Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6-ICT
2Coolmonkeys;1;;;;;;;1
3FIFTY;1;;;;;;;1
A. Timmerman's Ijzerhandel;;;;;;1;;1
A.B. TECHNIEK;;;;;;1;;1
Aakwadraat Networks/A2 Networks;;;;;;2;;2
AANNEMINGSBEDRIJF BEZEE;;;;;;1;;1
AB Sciex;;;;;;2;;2
ABF Group (incl. ABF Research en ABF Software);;;;;2;;;2
Abus Kraansystemen;;;;;;1;;1
Acanthis Document Solutions;2;;;;1;;;2
Aces Direct (incl. Take It Now, Rackserver, Sessence);;;1;;;;;1
Adecco Group (incl. Ajilon, Ajilon TTP, vh DNC);2;;;;;;;2
ADECS IT;;;1;;;;;1
ADLIB Information Systems (inc Axiell);;;;;1;;;1
Advantec Electronics;;;;;;1;;1
AdviSafe Risk Management;;;;;;2;;2
Aebi Schmidt Nederland;;;;;;1;;1
Aecom Radiodiscount;;;;;;;1;1
AG5;;;;;1;;;1
AGCO;;;;;;1;;1
Agilent Technologies;;;3;;;1;;3
Agmi Traffic;1;;;;;7;;7
Aivar Tech;;;;;;1;;1
All Solutions;;;;;1;;;1
Allekabels;;;;;;1;;1
Aloys Roemaat Transport;1;;1;;;;;2
Alphatron Communicatie, Observatie, Navigatie;1;;;;;1;1;1
Altec Industriele Identificatie;;;1;;;1;;1
AlterNet Internet;;;;;1;;;1
Amsio (vh Argeweb);;;;;1;;;1
Amsterdam Airport Schiphol;;;;;1;;;1
Andarr Technology Services;2;;;;;;;2
Anoniem;2;;4;;2;4;;5
Antea (vh Oranjewoud, Save);1;;;;;2;;2
ANWB;3;;;;;;;3
Apox;;;;;;1;;1
Applied Laser Technology;;;;;;1;;1
Aqua Vision;;;;;2;;;2
Arane Adviseurs in Verkeer en Vervo;2;;;;;;;2
ARBOR Media;;;;;1;;;1
Arcadis (incl. Prc./Bouwcentrum, Alkyon);1;;;;2;;;2
Aride;;;;;1;;;1
Aris;;;1;;;;;1
ARKASIS;;;2;;;;;2
ARP Nederland (incl. Artikona);;;3;;;1;;3
Ars Traffic & Transport Tech;7;;;;;;;7
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);;;;;;1;;1
Assi Safety Ned;;;;;;1;;1
ATK Grootkeukentechniek;;;;;;1;;1
Atos;7;;;;8;8;;9
AUDIOTEX;;;;;;2;;2
AV Brothers;;;;;;1;;1
Avantec Service;;;;;;1;;1
Avantor Performance Materials;;;1;;;;;1
Avex;;;;;1;1;1;1
AViste;;;;;;1;;1
AVT Industrial Components;;;;;;1;;1
Azerty Hardware;;;1;;1;1;;1
B&A Groep;;;;;;2;;2
Bakker & Co Handels en Ing.Bureau;;;;;;1;;1
Bakker & Spees;;;;;2;;;2
Bam (incl. Interflow);7;;2;;2;2;;7
Bartels Infra;;;;;;2;;2
Bastion Hotels;1;;;;;1;;1
BBC Belgian Beer Cafe Belvedere;1;;;;;;;1
BCT Automatisering;;;1;;;;;1
Be Informed;;;;;3;2;;3
Beaumont;1;;;;;;;1
Bechtle Direct;;;1;;;1;;1
Begra Trading;;;;;;1;;1
BELLHAYES B.V.;;;;;;2;3;3
Belmont Innovations & Sustainability;3;;;;;;;3
Bestdeal Factors (incl. Solid Factors);;;;;;1;;1
BESTRA INTERBOUW B.V.;1;;;;;;;1
Beun en De Ronde;;;1;;;;;1
Biesheuvel Groep;;;;;;2;;2
Bilderberg Hotels;;;;;;;1;1
Bilfinger (incl. Tebodin, Real Estate);;;;;;1;;1
Biosolve;;;1;;;;;1
BISTRO LA ROUTE;1;;;;;;;1
Bizz Design;3;;;;;;;3
Blansjaar 's-Gravenhage;;;;;;1;;1
Bluelink;;;2;;;;;2
BLUESTREAM ROV;;;1;;;4;;4
Boeg;;;;;;1;;1
Boels Verhuur (incl. HuurMax);;;;;;1;;1
Boertiengroep (incl. Ncatb);1;;;;;;;1
Boskalis (incl. Royal Boskalis Westminster, Boskalis Dolman);;;;;;3;;3
Boso;;;;;;1;;1
Bouwbeslag Import Ned.;;;;;;1;;1
Bouwlust;1;;;;;;;1
Brasserie Harkema (Haxpema);;;;;;1;;1
Brenntag;;;;;;1;;1
Bright Alley Knowledge & Learning;1;;;;;;;1
Brimos;;;;;;7;;7
BSI Group Management Systems;;;2;;;;;2
BST Applications;;;1;;;1;;1
BTD Beveiligingstechniek Dordrecht;;;;;;1;;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);10;;3;;3;8;9;11
BTN;;;;;;2;;2
Bull Nederland;;;;;3;;;3
BURANDO CUSTOMS SERVICES;;;1;;;;;1
Buy It Direct;;;;;1;;;1
B-Ware Ingenieursbureau;1;;;;;;;1
C SERVICES HOLLAND;1;;;;;;;1
CACHELOT;1;;;;;;;1
CAD Accent;;;1;;;;;1
Caesar Groep;;;;;3;5;;5
Campro Scientific;;;2;;;1;;2
Canast;;;;;1;;;1
Canon (incl. Océ Nederland);;3;5;;;;;5
Cans Advies en Consultancy;;;;;1;;;1
Capgemini;7;;2;;7;4;3;8
Caris Geographic Information;4;;;;;;;4
Carthago ICT;;;;;2;;;2
CAS NEDERLAND B.V.;;;;;;1;;1
Catec;;;2;;;2;;2
Catering2U / Lunchnu.nl;;;;;;1;;1
CE Delft Onderzoek Advies en Consultancy voor Duurzaamheid;;;;;;2;;2
CEBO HOLLAND;;;;;;1;;1
Celectric;;;1;;;;;1
Cendris (incl. Cendris Datacosulting);1;;;;;;;1
CENOSCO CUSTOM B.V.;3;;;;1;1;;3
Centillion;;;;;1;;;1
Central Point;;;1;;;;;1
Centric (incl. Qualityhouse);2;;6;;3;6;;7
Centric Financial Professionals (vh Finace);5;;;;;;;5
CETEQ Communication & Security;1;;;;;;;1
CGI Group (incl. Logica CMG);4;;;;5;;;5
Charta Software;5;;;;;;;5
Chartworx;;;1;;;;1;1
CHEIRON IT;1;;;;;;;1
CHINEES-JAPANS SPECIALITEITEN RESTA;1;;;;;;;1
CIMAR ELECTRONICS B.V.;4;;1;;;;;4
