Leverancier;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
.bos Ontwikkeling en Organisatie;;;;;1;;;1
@mathews;;;;;1;;;1
050 taxicentrale;;;;;;;1;1
078Media B.V.;;;;1;;;;1
100% Teamwear B.V.;;;;;1;;;1
125Procent B.V.;;;;;1;;;1
1910 Restaurant;;;;;;;1;1
1Door Mediation & Coaching;;;1;;;;;1
1e Klas' Grand Café Restaurant;;;;;;;1;1
2 Behave;;;;;2;;;2
2 Know How;;;1;;2;;;2
2 Seasons beach;;;1;;;;1;1
21 The Netherlands;;;1;;;;;1
25° Noord Recreatie;;;1;;;;;1
2strand B.V.;;;;;;;1;1
2tact B.V.;;;;;2;;;2
2winssecurity;;;;;;;1;1
36 Cycling B.V.;;;1;;;;;1
360 Levenskwaliteit Quality of life;;;;;1;;;1
365 dagen succesvol;;;;;1;;;1
3DMens;;;;;1;;;1
3Stones Keniaans Restaurant;;;;;;;1;1
4 Seasons Events;;;1;;1;;1;1
4DotNet B.V.;;;;;1;;;1
4Human Training, Coaching & Advies;;;;;1;;;1
5 HART-IT BV;;;;;2;;;2
5hart-IT Opleidingen B.V.;;;;;4;;;3
5VS;;;;;;;1;1
6&24;;;1;;;;;1
7AM Den Haag B.V.;;;;;1;;1;2
7Day;;1;;;;;;1
8D Games B.V.;;;1;;;;;1
91 Spices Rotterdam B.V.;;;1;;;;;1
9C Coaching;;;;;;;1;1
A & O Netwerk;;;;;;;1;1
A & P Investments B.V.;;;2;;1;;1;2
A 15 Dordrecht;;;1;;;;1;1
A Beautiful Mess Restaurant B.V.;;;1;;;;;1
A Guide to Leeuwarden;;1;;;;;;1
A van O B.V.;;;;;;;1;1
A. de Kom;;;;;;;2;2
A. de Lange B.V.;;;;;;;1;1
A. Klippel;;;;;1;;;1
A. Langeveld V.O.F.;1;;1;;;;1;1
A. Laurijssen;;;;;;;1;1
A. Nieuwenhuis;;;;;;;1;1
A. Pahladsingh;;;;;1;;1;1
A. Preesman GZ-psycholoog Rapporteur;;;;;;;1;1
A. v. Huijstee-de Mildt Opl., Train. & Advies;;;;;;;1;1
A. van Helden Relatiegeschenken B.V.;;1;1;;;;;1
A. Verheugt Praktijk voor psychotherapie;;;;;;;1;1
A.A.G. Verwaaijen;;;;;;;1;1
A.C. van Schaik;;;1;;;;;1
A.C.M. Kleinsman, Psychiater;;;;;;;1;1
A.E. Bos Advocate B.V.;;;;;;;1;1
A.E. Muller Management B.V.;;;;;1;;;1
A.G.F. Jos van Vugt;;;;;1;;;1
A.H. Bouwman;;;;;;;1;1
A.H. Westerduin Korving;;;;;1;;;1
A.H.A. Soons;;;;;;;1;1
A.H.M. Dolle;;;;2;;;;2
A.H.M. Esser;;;;;1;;;1
A.J. Dijksterhuis Holding B.V.;;;1;;;;;1
A.J. Klumpenaar;;;;;1;;1;1
A.J.M. van Rhee;;;;;;;;
A.M.H. Homminga;;;;;;;1;1
A.M.I. Eleveld;;;;;;;1;1
A.P. Veldhuis Pianoverhuur;;;1;;;;;1
A.R. Angkotta;;;;;;;1;1
A.S. Salih;;;;;;;2;2
A.Schouten, orthopedagoog en gz psycholoog;;;;;;;1;1
A.T. Scholte;;;;;;;1;1
A.T. van der Meij thodn Jamin Arnhem Centrum;;;1;;;;;1
A.W. Jongbloed;;;;;;;1;1
A.X. Rutten, psych., gerecht. deskund. NIFP;;;;;;;1;1
A.Z. N.V.;;;1;;;;;1
a4 Training;;;;;1;;;1
A5tien B.V.;;;;;1;;;1
Aaaaha! The Actor Factory B.V.;;;;;1;;;1
Aaltje Vincent & Company;;;1;;1;;;1
Aan de Dijck;;;;;;;1;1
Aan de slag Personeelsdiensten;;;1;3;;;;3
Aanmelder.nl B.V.;;;;;1;;;1
Aardoom & De Jong B.V.;;;;3;;;;2
Aardoom & De Jong Interim B.V.;;;;;2;;;2
Aarts Vissers Wijnen;;;1;;;;;1
AAS Bedrijfshulpverlening;;;;;2;;;2
ABC communicatie & mediaproducties;;;;;2;;;2
ABC Restaurant Velp;;;1;;;;;1
ABC Sevenum B.V.;;;;;;;1;1
Abdij Rolduc B.V.;;;1;;;;;1
Abdijhuis;;;1;;1;;1;1
Abel. Grand Café Restaurant B.V.;;;1;;;;;1
Abeltje Hoogenkamp;;;;;1;;1;1
ABP-Reclame;;;1;;;;;1
Abraham Mental Coaching;;;;;1;;;1
ABrantjes Coaching & Interim;;;;2;1;;;2
Absoluta B.V.;;;1;;1;;1;1
Academie Lokale Belastingen;;;;;1;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;1
Academie voor Coaching B.V.;;;;;1;;;1
Academie voor de Rechtspraktijk B.V.;;;;;2;;;2
Academie voor Medezeggenschap B.V.;;;;;1;;;1
Academie voor Motivatie en Gedragsverandering;;;;;1;;;1
Academie voor Organisatiecultuur;;;;;1;;;1
Academie voor Psychodynamica;;;;;1;;;1
Academie voor Psychologica;;;;;1;;;1
A-cademy;;;;;1;;;1
Academy for Information and Management B.V.;;;;;1;;;1
Academy for Leadership B.V.;;;;;2;;;2
Academy Payroll Professionals;;;;;1;;;1
Acaleph Opleiding Training en Adviezen B.V.;;;;;1;;;1
Accenture B.V.;;;;;1;;;1
Acces Interdit;;;;;1;;;1
Accor Hospitality Nederland N.V.;;;;;;;1;1
Accres Almelo B.V.;;;;;;;1;1
Accretio;;;;;2;;1;2
Accuraat B.V.;;;;;;;;
Achmea Schadeverzekeringen N.V.;;;;;;;1;1
Achtienhonderdeenenvijftig (1851) B.V.;;;1;;;;;1
Aclub B.V.;;;2;;;;;2
ACM Opleidingen B.V.;;1;;;1;;;2
Across Borders Law Office;;;;;1;;;1
ACS Ontwikkeling;;;;;1;;;1
Acteur en Theatermaker Ben van Bokhoven;;;1;;;;;1
Acteursbureau Kapok B.V.;;;;;1;;2;2
Action Events B.V.;;;1;;;;;1
Activiteitencommissie PI Zwolle;;;;;;1;;1
Activo;;;;;1;;;1
Acuive B.V.;;;;;1;;;1
Adam & Siam B.V.;;;1;;;;;1
A'dam LookOut B.V.;;;1;;;;;1
A'DAM Six Senses B.V.;;;;;1;;;1
Adaptics Health & Performance B.V.;;2;;;;;;2
Addvisie;;;1;;1;;;1
Adfo Groep B.V.;;;1;1;;;;1
ADHD Praktijk Leiden e.o.;;;1;;;;;1
Adlib Publishing Systems Inc.;;;;;1;;;1
Admiraal Steakhouse;;;;;;;1;1
Adoptiepraktijk Vinke;;;;;1;;;1
Adrem B.V.;;;;;;;1;1
ADR-Groos;;;;;;;1;1
Adriaan Denkers;;;1;;;;;1
Adriaanse van der Weel Advocaten;;;;;;;1;1
Adritax;;;1;;;;1;1
Adromi & CKMZ Trainingen;;;;;1;;;1
ADT Advocaten;;;1;;;;;1
Adv. en Evenementen Organisatiebureau Jerrink;;;;;1;;;1
Adventure Veluwe B.V.;;;1;;;;;1
Adventure Vlaardingen;;;1;;1;;;1
Adviesbureau Atim B.V.;;;;;2;;;2
Adviesbureau Elburg;;;;;1;;;1
Adviesbureau Movement;;;;;;;1;1
Adviesbureau Planplan;;1;;;;;;1
Adviesbureau Van der Wal;;;;;1;;;1
Advize B.V.;;;;;;;;
Advocaat mr G.H. Bunt;;;;;;;1;1
Advocaten Amsterdam Noord;;;;;1;;;1
Advocatenkantoor Butter;;;;;;;1;1
Advocatenkantoor Dekker;;;;;;;1;1
Advocatenkantoor Dijkgraaf B.V.;;;1;;;;;1
Advocatenkantoor Erkens;;;1;;;;;1
Advocatenkantoor Ikiz;;;;;;;1;1
Advocatenkantoor Koopman;;;;;;;1;1
Advocatenkantoor Louwerse;;;1;;;;;1
