Rijlabels;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Complex E-Techniek B.V.;1;;;;1
Conrad Electronic Benelux B.V.;1;;;;1
Deba 2000 B.V.;2;;;;2
Espero B.V.;1;;;;1
Krämer Bouw B.V.;3;;;2;3
Maasmond Leeuwarden B.V.;3;;;;3
Manutan B.V.;1;;;;1
Mondial Movers B.V.;;;2;;2
N.V. PWN Waterleidingbedrijf Noord-Holland;;1;;;1
Satellietkantoor Utrecht;1;1;;;2
Stanley Security Nederland B.V.;;;;2;2
T & G Terrein- en Groenvoorziening B.V.;3;;;;3
Technische Unie B.V.;1;;;;1
Top Movers Nederland B.V.;;;1;2;2
Xerox (Nederland) B.V.;;;1;;1
Lasaulec B.V.;1;;;;1
Walas Projects B.V.;;1;;1;1
RIKILT;;;;5;5
Rentokil hygiene;1;;;;1
Asecos B.V.;1;;;;1
Van Tol Laboratoriumtechniek B.V.;;;1;;1
Maasmond B.V.;4;;;2;4
Technische Unie;1;;;;1
Schoondergang Van Zwanenburg Serv.&Ond. B.V.;2;;;;2
J.P. van Eesteren B.V.;4;;;2;4
Deelen Metaaltechniek en Zonweringen;1;;;;1
R.B.A. Frijlink thodn de Gelderse IJzerhandel;1;;;;1
Liander N.V.;;3;;;3
Bex Beveiliging Exclusief B.V.;1;;;2;2
Stedin;;2;;;2
Kenter;;1;;;1
Ziggo Services B.V.;;;;1;1
Bouter B.V.;2;;;;2
dormakaba Nederland B.V.;1;;;;1
Hollandse Visveiling IJmuiden;;;;1;1
Postma Kunststof Tanks;;;;1;1
Hoogendoorn Automatisering B.V.;1;;;;1
Eneco Zakelijk;;3;;;3
Alewijnse Utrecht;2;;;;2
E.ON Benelux Levering B.V.;;4;;;4
Dr�ger Medical Netherlands B.V.;1;;;;1
THT Beveiligingstechniek B.V.;1;;;;1
Bredenoord B.V.;2;;;;2
Jaspersons Vastgoed B.V.;;;;1;1
N.V. Waterbedrijf Groningen;;1;;;1
DrÃ¤ger Nederland B.V.;1;;;;1
Administratiekantoor Baak;;;;1;1
THT Elektrotechniek B.V.;3;;;;3
Zeehaven IJmuiden N.V.;;1;;;1
Enexis Netbeheer B.V.;;2;;;2
Van Dorp installaties Amsterdam;1;;;;1
Joulz Meetbedrijf B.V.;;1;;;1
Steegman Elektrotechniek B.V.;1;;;;1
Evides N.V.;;1;;;1
Hacousto Security Systems;1;;;;1
Abus Kraansystemen B.V.;1;;;;1
ENGIE Energie Nederland N.V.;;4;;;4
Oasen N.V.;;1;;;1
Joulz Infradiensten B.V.;1;;;;1
Brabant Water N.V.;;1;;;1
Van Halteren Special Products B.V.;;;;1;1
ASSA ABLOY Nederland B.V.;1;;;;1
European Cargo Services B.V.;;;;2;2
Heijmans Utiliteit;;;;1;1
ASSA ABLOY Entrance Systems;1;;;;1
Bouwinvest Dutch Institutional Office Fund NV;;;;2;2
DELTA Fiber Nederland B.V.;;1;;;1
Soft dB Northern Europe;1;;;;1
Out of The Sun;2;;;;2
Cannock Chase Public;;;;;
Verschoor Bouwservice B.V.;;;;1;1
Ecotap B.V.;;;;1;1
BREEDVELD vouw- en paneelwanden;1;;;;1
Chubb Fire & Security Amsterdam;1;;;;1
Visafslag Den Oever Beheer B.V.;;;;1;1
P. Bestebreurtje B.V.;1;;;;1
Lammerink Installatiebedrijf Noord B.V.;1;;;;1
Zeeuwse Visveiling Breskens N.V.;;1;;;1
Marne Verhuur Bolsward;;1;;1;1
Terberg Systeemintegratie;;;;2;2
Eindtotaal;6;6;2;6;7
