Referentiecode RDW,Code mogelijk gevaar,Mogelijk gevaar
MGP070060,ONG,Een (verkeers)ongeval met letselschade
MGP080083,BRA,Brand met letselschade
MGP080098,ONG,Een (verkeers)ongeval met letselschade
MGP080098,TEL,Verhoogde kans op letsel bij een ongeval
MGP090029,BRA,Brand met letselschade
MGP090077,BRA,Brand met letselschade
MGP090098,TEL,Verhoogde kans op letsel bij een ongeval
MGP090145,BRA,Brand met letselschade
MGP090145,MIL,Het belasten van het milieu
MGP090238,ONG,Een (verkeers)ongeval met letselschade
MGP100018,ONG,Een (verkeers)ongeval met letselschade
MGP100044,BRA,Brand met letselschade
MGP100044,MIL,Het belasten van het milieu
MGP100058,BRA,Brand met letselschade
MGP100058,MIL,Het belasten van het milieu
MGP100088,ONG,Een (verkeers)ongeval met letselschade
MGP100123,ONG,Een (verkeers)ongeval met letselschade
MGP100135,ONG,Een (verkeers)ongeval met letselschade
MGP100153,ONG,Een (verkeers)ongeval met letselschade
MGP100171,ONG,Een (verkeers)ongeval met letselschade
MGP100245,ONG,Een (verkeers)ongeval met letselschade
MGP100246,BRA,Brand met letselschade
MGP100247,ONG,Een (verkeers)ongeval met letselschade
MGP100287,ONG,Een (verkeers)ongeval met letselschade
MGP110001,ONG,Een (verkeers)ongeval met letselschade
MGP110024,BRA,Brand met letselschade
MGP110024,MIL,Het belasten van het milieu
MGP110056,BRA,Brand met letselschade
MGP110056,ONG,Een (verkeers)ongeval met letselschade
MGP110058,ONG,Een (verkeers)ongeval met letselschade
MGP110123,ONG,Een (verkeers)ongeval met letselschade
MGP110279,TEL,Verhoogde kans op letsel bij een ongeval
MGP110280,ONG,Een (verkeers)ongeval met letselschade
MGP110285,ONG,Een (verkeers)ongeval met letselschade
MGP110320,ONG,Een (verkeers)ongeval met letselschade
MGP110341,ONG,Een (verkeers)ongeval met letselschade
MGP110377,BRA,Brand met letselschade
MGP110394,ONG,Een (verkeers)ongeval met letselschade
MGP110420,ONG,Een (verkeers)ongeval met letselschade
MGP110439,BRA,Brand met letselschade
MGP110439,MIL,Het belasten van het milieu
MGP110512,BRA,Brand met letselschade
MGP110592,ONG,Een (verkeers)ongeval met letselschade
MGP110594,ONG,Een (verkeers)ongeval met letselschade
MGP120026,BRA,Brand met letselschade
MGP120026,MIL,Het belasten van het milieu
MGP120026,ONG,Een (verkeers)ongeval met letselschade
MGP120027,BRA,Brand met letselschade
MGP120034,TEL,Verhoogde kans op letsel bij een ongeval
MGP120065,ONG,Een (verkeers)ongeval met letselschade
MGP120077,ONG,Een (verkeers)ongeval met letselschade
MGP120083,ONG,Een (verkeers)ongeval met letselschade
MGP120084,BRA,Brand met letselschade
MGP120096,ONG,Een (verkeers)ongeval met letselschade
MGP120106,ONG,Een (verkeers)ongeval met letselschade
MGP120107,ONG,Een (verkeers)ongeval met letselschade
MGP120122,BRA,Brand met letselschade
MGP120122,MIL,Het belasten van het milieu
MGP120125,ONG,Een (verkeers)ongeval met letselschade
MGP120135,BRA,Brand met letselschade
MGP120135,MIL,Het belasten van het milieu
MGP120154,ONG,Een (verkeers)ongeval met letselschade
MGP120159,ONG,Een (verkeers)ongeval met letselschade
MGP120161,ONG,Een (verkeers)ongeval met letselschade
MGP120162,ONG,Een (verkeers)ongeval met letselschade
MGP120226,ONG,Een (verkeers)ongeval met letselschade
MGP120227,ONG,Een (verkeers)ongeval met letselschade
MGP120228,ONG,Een (verkeers)ongeval met letselschade
MGP120231,ONG,Een (verkeers)ongeval met letselschade
MGP120232,ONG,Een (verkeers)ongeval met letselschade
MGP120233,ONG,Een (verkeers)ongeval met letselschade
MGP120259,ONG,Een (verkeers)ongeval met letselschade
MGP120263,ONG,Een (verkeers)ongeval met letselschade
MGP120272,ONG,Een (verkeers)ongeval met letselschade
MGP120273,BRA,Brand met letselschade
MGP120273,MIL,Het belasten van het milieu
MGP120284,ONG,Een (verkeers)ongeval met letselschade
MGP120293,TEL,Verhoogde kans op letsel bij een ongeval
MGP120309,ONG,Een (verkeers)ongeval met letselschade
MGP120313,MIL,Het belasten van het milieu
MGP120313,ONG,Een (verkeers)ongeval met letselschade
MGP120315,ONG,Een (verkeers)ongeval met letselschade
MGP120317,ONG,Een (verkeers)ongeval met letselschade
MGP120327,ONG,Een (verkeers)ongeval met letselschade
MGP120328,BRA,Brand met letselschade
MGP120328,ONG,Een (verkeers)ongeval met letselschade
MGP120330,ONG,Een (verkeers)ongeval met letselschade
MGP120331,ONG,Een (verkeers)ongeval met letselschade
MGP120343,ONG,Een (verkeers)ongeval met letselschade
MGP120362,ONG,Een (verkeers)ongeval met letselschade
MGP120363,ONG,Een (verkeers)ongeval met letselschade
MGP120364,ONG,Een (verkeers)ongeval met letselschade
MGP120373,ONG,Een (verkeers)ongeval met letselschade
MGP120377,ONG,Een (verkeers)ongeval met letselschade
MGP120391,ONG,Een (verkeers)ongeval met letselschade
MGP120392,BRA,Brand met letselschade
MGP120392,ONG,Een (verkeers)ongeval met letselschade
MGP120393,ONG,Een (verkeers)ongeval met letselschade
MGP120402,ONG,Een (verkeers)ongeval met letselschade
MGP120405,ONG,Een (verkeers)ongeval met letselschade
MGP120406,BRA,Brand met letselschade
MGP120414,ONG,Een (verkeers)ongeval met letselschade
MGP120415,ONG,Een (verkeers)ongeval met letselschade
MGP120419,BRA,Brand met letselschade
MGP120419,ONG,Een (verkeers)ongeval met letselschade
MGP120436,ONG,Een (verkeers)ongeval met letselschade
MGP120447,ONG,Een (verkeers)ongeval met letselschade
MGP120453,BRA,Brand met letselschade
MGP120454,ONG,Een (verkeers)ongeval met letselschade
MGP120455,ONG,Een (verkeers)ongeval met letselschade
MGP120460,ONG,Een (verkeers)ongeval met letselschade
MGP120461,ONG,Een (verkeers)ongeval met letselschade
MGP120462,ONG,Een (verkeers)ongeval met letselschade
MGP120463,BRA,Brand met letselschade
MGP120463,MIL,Het belasten van het milieu
MGP120465,ONG,Een (verkeers)ongeval met letselschade
MGP120469,TEL,Verhoogde kans op letsel bij een ongeval
MGP120471,ONG,Een (verkeers)ongeval met letselschade
MGP120473,ONG,Een (verkeers)ongeval met letselschade
MGP120475,ONG,Een (verkeers)ongeval met letselschade
MGP120476,ONG,Een (verkeers)ongeval met letselschade
MGP120477,ONG,Een (verkeers)ongeval met letselschade
MGP120478,ONG,Een (verkeers)ongeval met letselschade
MGP120479,ONG,Een (verkeers)ongeval met letselschade
MGP120481,ONG,Een (verkeers)ongeval met letselschade
MGP120482,BRA,Brand met letselschade
MGP120483,BRA,Brand met letselschade
MGP130002,ONG,Een (verkeers)ongeval met letselschade
MGP130004,ONG,Een (verkeers)ongeval met letselschade
MGP130009,ONG,Een (verkeers)ongeval met letselschade
MGP130011,ONG,Een (verkeers)ongeval met letselschade
MGP130012,ONG,Een (verkeers)ongeval met letselschade
MGP130013,ONG,Een (verkeers)ongeval met letselschade
MGP130015,ONG,Een (verkeers)ongeval met letselschade
