JAAR;PERIODE;BELEIDSPROGRAMMA;ORGANISATIE;SUBSIDIE_BESCHIKT;BEKOSTIGD_UIT_RIJKSINKOMSTEN;WETTELIJKE_TAAK;GLOB_OVERZ_GESUB_ACTIVITEITEN;INLEES_DATUM;GEMEENTE;GEMEENTE_CODE;LAND_CODE
2018;Q2;Programma Bestuur, Dienstverlening en Participatie;Stichting Vrienden van Moravska Trebova;5.000;Nee;Nee;Welzijnssubsidie: bijdrage aan de kosten die de stichting maakt met de activiteiten ten behoeve van het onderhouden van de vriendschapsband. ;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Rondvaarten Vlaardingen en Vlietlanden;708;Nee;Nee;Rondvaart in het thema Slag bij Vlaardingen.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Het Blauwe Vaasje;800;Nee;Nee;Organiseren van de Haring- en Bierwandeltocht 2018. ;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;ttoutdoor.events@gmail.com;1.000;Nee;Nee;Evenement Flardinga 1018 Kids Run in de binnenstad. Is niet uitgevoerd, subsidie is inmiddels teruggevorderd.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Toneelgroep De Fakkel;1.000;Nee;Nee;Welzijnssubsidie: voorstellingen bij stadsterras, pietenstuk en UitFestival. ;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Lokale Omroep Vlaardingen;1.250;Nee;Nee;Uitzendingen met Jong Talent tijdens het Zomerterras 2018.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Metamorphose;1.400;Nee;Nee;Realisering van het project De Kameel, het Montmartre van Vlaardingen.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Stadshart Vlaardingen;1.400;Nee;Nee;Organiseren van vier streekmarkten in de Hoogstraat. ;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Toneelvereniging Het Masker;1.500;Nee;Nee;Welzijnssubsidie: toneelvoorstellingen.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Antipesto;2.060;Nee;Nee;Evenement pop-up outdoor museaum op het Veerplein.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Tamboer-, Trompetter- en Majorettekorps Liberte / Haringkoppen;2.100;Nee;Nee;Welzijnssubsidie: muziekoptredens.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Anders Kijken;2.500;Nee;Nee;Het realiseren van het project Open Ateliers 2018.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Verder Kijken;2.500;Nee;Nee;Realiseren van het project Lichtloop van 't Oft naar Overkant.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Vereniging Vrienden van Museum Vlaardingen;2.600;Nee;Nee;Evenement binnenhalen van de Balder. ;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Muziek bij de Buren;2.900;Nee;Nee;Evenement Muziek bij de Buren.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting De Windwijzer;3.000;Nee;Nee;Project Vlaardingse Portretten.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Vlaardings Filmfestival;3.000;Nee;Nee;Culturele activiteit ter bevordering van Jong Talent.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Lokale Omroep Vlaardingen;3.500;Nee;Nee;Realiseren van reportages op locaties, zoals Nieuwjaarsreceptie, Familietentoonstelling Museum, Middeleeuws Kampement en Historisch Stadsspektakel.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Centrum Kunsteducatie Kade 40;3.500;Nee;Nee;Realiseren van het project Nacht van de Creativiteit 2018.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Jazz aan de Waterweg;3.500;Nee;Nee;Evenement Jazztival 2018.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Hospice De Margriet;3.526;Nee;Nee;Plaatsen van het beeld AURORA van de Vlaardingse kunstenaar Leen Droppert in de openbare ruimte aangrenzend aan Hospice de Magriet. ;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Centrum Kunsteducatie Kade 40;3.550;Nee;Nee;Evenement Amateurfestival BACKSTAGE.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Centrum Kunsteducatie Kade 40;4.000;Nee;Nee;Programma Jong Talent Klassieke Muziek.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Centrum Kunsteducatie Kade 40;4.000;Nee;Nee;Het realiseren van het project Culture Candy 2018.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Metamorphose;4.100;Nee;Nee;Evenement PlanT.R.A.P. & V.A.F. (Traject Regionaal Artistieke Positionering & Vlaardingen Art Fair).;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Gloria Toonkunst Vlaardingen;4.400;Nee;Nee;Vivaldi en Bachconcert.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Nationale Gedenkdagen Vlaardingen;4.950;Nee;Nee;Evenement, zoals het aanvullende programma op Koningsdag.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Haringkoppen Verbinden;5.000;Nee;Nee;realisatie haringbeeld;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Museum Vlaardingen;5.000;Nee;Nee;Versterken van het vermogen;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Internationale Orgelweek Vlaardingen;5.475;Nee;Nee;Welzijnssubsidie: orgelconcerten in (regio) Vlaardingen, -evenementen en educatie. ;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Waterweg Cultuurprijs;6.000;Nee;Nee;Evenement Waterweg Cultuurprijs.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Antipesto;6.500;Nee;Nee;Evenement Varend Corso 2018 dat in het teken staat van het Ontstaan van Holland.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;"Stichting Jongeren Cultuurcentrum Vlaardingen ""De Kroepoekfabriek""";6.550;Nee;Nee;Evenement Rock'n Ramps 2018.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Community Services Rotary Vlaardingen 80;6.950;Nee;Nee;Evenement Santarun in de binnenstad.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Geuzenmaand;7.000;Nee;Nee;Evenement Geuzenmaand 2018.;11-07-2018;Vlaardingen;0622;NL
2018;Q2;Programma Kunst en Cultuur;Stichting Balder Theater;7.043;Nee;Nee;Welzijnssubsidie: toneelopvoeringen Dirk III, the trye story.;11-07-2018;Vlaardingen;0622;NL
