Leverancier;1000 - Personele exploitatie overig;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Allianz Global Assistance;;;;;;;2;2
Alphatron Marine B.V.;;;;1;;;;1
Altimos B.V.;;;;2;;;;2
Alt-Tab Bedrijfsondersteuning;;2;;;;;;2
Amantis Loopbaanadvies Coaching Training;1;;;1;;;;1
Amaze Escape Events;;1;;;;;;1
Amazing Bread Company B.V.;;1;;;;;;1
Amazon Web Services EMEA SARL;;;;3;;;;3
Ambiance Vastgoed B.V.;;1;;;;;;1
Ambrosya Horeca;;1;;;;;;1
AMERICAN METEOROLOGICAL SOCIETY (AM;;;;;1;;;1
Amigo Promotion B.V.;1;;;;;;;1
Amplooi;;;1;;;;;1
Amrath Nijmegen B.V.;;1;;;;;;1
Amsterdam Boats B.V.;;1;;;;;;1
Amsterdam School of Real Estate B.V.;;;;1;;;;1
AnalitiQs B.V.;;;;1;;;;1
Andersson Elffers Felix;;;;2;;;;2
Andija B.V.;;1;;1;;;;1
Anika Coaching & Counseling;;;;1;;;;1
Annage Skûtsjesilen;;;;1;;;;1
Annakerk Amstelveen B.V.;;1;;;;;;1
Anne en John;;1;;;;;;1
ANNO19 Advies;;;;1;;;;1
Anoek.nu;;;1;1;;;;1
Anoniem_I & W_131;;1;;;;;;1
Anoniem_I & W_134;;;;1;;;;1
Anoniem_I & W_143;;1;;;;;;1
Anoniem_I & W_146;1;;;;;;;1
Anoniem_I & W_148;;1;;;;;;1
Anoniem_I & W_160;;;;2;;;;2
Anoniem_I & W_184;;1;;;;;;1
Anoniem_I & W_204;;;;1;;;;1
Anoniem_I & W_220;;1;;;;;;1
Anoniem_I & W_248;;;;1;;;;1
Anoniem_I & W_252;;;;;;;1;1
Anoniem_I & W_256;;;;2;;;;2
Anoniem_I & W_26;;1;;;;;;1
Anoniem_I & W_271;;;;1;;;;1
Anoniem_I & W_277;;;;1;;;;1
Anoniem_I & W_287;;1;;;;;;1
Anoniem_I & W_290;;;;;;;1;1
Anoniem_I & W_300;;1;;;;;;1
Anoniem_I & W_308;;1;;;;;;1
Anoniem_I & W_309;;1;;;;;;1
Anoniem_I & W_347;;;;1;;;;1
Anoniem_I & W_352;1;;;;;;;1
Anoniem_I & W_355;;;;1;;;;1
Anoniem_I & W_36;1;;;;;;;1
Anoniem_I & W_362;;1;;;;;;1
Anoniem_I & W_374;;1;;;;;;1
Anoniem_I & W_378;;1;;;;;;1
Anoniem_I & W_380;;;;1;;;;1
Anoniem_I & W_387;;;;1;;;;1
Anoniem_I & W_408;;;;;;;1;1
Anoniem_I & W_409;;1;;;;;;1
Anoniem_I & W_412;1;;1;;;;;1
Anoniem_I & W_419;;;;1;;;;1
Anoniem_I & W_428;;;1;1;;;;2
Anoniem_I & W_437;;1;;;;;;1
Anoniem_I & W_45;;1;;;;;;1
Anoniem_I & W_454;;1;;;;;;1
Anoniem_I & W_456;;;1;;;;;1
Anoniem_I & W_457;;;1;;;;;1
Anoniem_I & W_465;;;1;3;;;;3
Anoniem_I & W_467;;1;;;;;;1
Anoniem_I & W_468;;;;1;;;;1
Anoniem_I & W_473;;;;1;;;;1
Anoniem_I & W_475;;1;;;;;;1
Anoniem_I & W_478;;1;;;;;;1
Anoniem_I & W_480;;;;1;;;;1
Anoniem_I & W_486;1;;;;;;;1
Anoniem_I & W_491;;1;;;;;;1
Anoniem_I & W_505;;;;1;;;;1
Anoniem_I & W_514;;1;;;;;;1
Anoniem_I & W_519;;1;;;;;;1
Anoniem_I & W_523;;;;1;;;;1
Anoniem_I & W_537;;1;;;;;;1
Anoniem_I & W_544;;;;1;;;;1
Anoniem_I & W_549;;1;;;;;;1
Anoniem_I & W_555;;1;;;;;;1
Anoniem_I & W_559;;;;1;;;;1
Anoniem_I & W_560;;;1;;;;;1
Anoniem_I & W_570;;;;1;;;;1
Anoniem_I & W_578;;1;;;;;;1
Anoniem_I & W_8;;1;;;;;;1
Another Site;;1;;;;;;1
Ans van Wieren-Bier;;;1;;;;;1
Antea Nederland B.V.;;;;5;;;;5
Antonia;;;1;;;;;1
AOG Contractonderwijs B.V.;1;;;;;;;1
AON Ned. Makel. in Assurant.-Risico-Adviser.;1;;;;;;;1
APCOA Parking Nederland B.V.;;;;;;;1;1
APG Service Partners B.V.;;;;1;;;;1
Appassionato;;;;1;;;;1
ARA Groep B.V.;;1;;;;;;1
ARAM Academy B.V.;;;;1;;;;1
Arbeidspsych. Adv.Bureau J.J. van den Broek;1;;1;;;;;1
ARBO centrum;;;;1;;;;1
Arbo Unie B.V.;1;;1;;;;;1
Arbode Maritiem B.V.;;;;1;;;;1
ArboNed B.V.;;;;1;;;;1
ARCADIS Nederland;;;;1;;;;1
Archimedeans B.V.;;;;1;;;;1
Architectuurcentrum Aorta;;1;;;;;;1
ArchiXL B.V.;;;;1;;;;1
Ardis Opleidingen B.V.;1;;;4;;;;4
Arenda Oomen Fotografie;1;;;;;;;1
Arendje Verhuur B.V.;;1;;;;;;1
Arends Culinair;;1;;;;;;1
Argos Coaching;;;2;1;;;;2
Arie Snel: De Bouwmeester;;;1;;;;;1
Aristo Utrecht B.V.;1;;;;;;;1
Arjella van Scheppingen;;;1;;;;;1
ArjenOkxAdvies;;;;2;;;;2
Arma Verhuur Horeca;;;;1;;;;1
ARQ IVP B.V.;1;;1;2;;;;3
Art Centre Delft B.V.;;1;;;;;;1
Art for More;;1;1;;;;;1
Art4heartcoaching;;;1;1;;;;1
Artiestenverloningen B.V.;;;;1;;;;1
Artige B.V.;;1;;;;;;1
Artihove Regina B.V.;;1;;;;;;1
Ascender B.V.;1;;;;;;;1
Asessor B.V.;;;;1;;;;1
ASS RILEM;;;;1;;;;1
At Computing B.V.;;;;1;;;;1
At Osborne B.V.;;;2;2;;;;2
Athene Palace B.V.;;1;;;;;;1
Athlon Car Lease Nederland B.V.;;;;;;;1;1
Atlas Holiday Spijkenisse B.V.;;1;;;;;;1
Atos Nederland B.V.;;;3;;;;;3
ATS Applied Tech Systems B.V.;;;;1;;;;1
Audio Electronics Mattijsen B.V.;;1;;;;;;1
August;;1;;;;;;1
Autax;;;;;;;;
Automotive Publishing B.V.;;;;1;;;;1
Autorijschool Jansen;;;;1;;;;1
Avans Hogeschool MB B.V.;;;;1;;;;1
Avanteers B.V.;;;2;2;;;;2
Avex B.V.;1;;1;1;;;;2
AvontuurMakers B.V.;;1;;;;;;1
AVSM Arbo Consult;;;;1;;;;1
Aware Online B.V.;;;;1;;;;1
Axis Consultancy;;;;1;;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;1;;;;;;1
Azil, Centrum voor Levenskunst;;;;1;;;;1
B ter Avest, Vormgever Omgevingsparticipatie;;;;2;;;;2
B&B het Eibernest;;;;;;;1;1
B&B 't Poorthuys;;1;;;;;;1
B.G.L. & Partners B.V.;;;;1;;;;1
B.V. Auberge de Rousch;;1;;;;;;1
B.V. Rederij G. Doeksen en Zonen;;1;;;;;1;1
B.V. Topselect;;;1;1;;;;1
B+B Vakmedianet B.V.;;;;1;;;;1
B2Bakery B.V.;;1;;;;;;1
BaanBaan B.V.;;;1;;;;;1
Babel B.V.;;;;2;;;;2
Baek Food & Drinks;;1;;;;;;1
BAINES SIMMONS LIMITED;;;;2;;;;2
Bakker Klink;1;;;;;;;1
Bakker Wim;;1;;;;;;1
Bakkerij Andringa;;1;;;;;;1
Bakkerij Dam V.O.F.;;1;;;;;;1
Bakkerij 'Den Soeten Inval';;1;;;;;;1
Bakkerij Dieteren B.V.;;1;;;;;;1
Bakkerij in de Soete Suikerbol;;1;;;;;;1
Bakkerij Paul Schalke B.V.;;1;;;;;;1
Bakkerij Schuld B.V.;;1;;;;;;1
Bakkerij Schuurmans;;1;;1;;;;1
Bakkerij v. Keulen;;1;;;;;;1
Bakkerij Vink Haarlem B.V.;;1;;;;;;1
Bakkie Fietsen B.V.;;1;;;;;;1
Balans & Impuls B.V.;1;;2;2;;;;2
Ballon Express 2.0 B.V.;;1;;;;;;1
Bally's Bowling;;1;1;;;;;1
BAM Bouw en Techniek B.V.;;;;2;;;;2
Bambook V.O.F.;;1;;;;;;1
Banketbakkerij en Chocolaterie Wesseling B.V.;;1;;;;;;1
Banketbakkerij Jansen-de Koning;;1;;;;;;1
Banketbakkerij Kamphorst B.V.;;1;;;;;;1
Banketbakkerij Konditorei v.d. Sterre V.O.F.;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;1;;;;;;1
Banketbakkerij Maison Pierre;;1;;;;;;1
Banketbakkerij Marco Osté;;1;;;;;;1
Banketbakkerij Nijstad;;1;;;;;;1
Banketbakkerij Plasman;1;;;;;;;1
Banketbakkerij Stoffer;;1;;;;;;1
Banketbakkerij van Dalen;;1;;;;;;1
Banketbakkerij van Dijk;1;;;;;;;1
Banketbakkerij, Chocolaterie Van Ingen;;1;;;;;;1
Banketbakkerij-Partyservice Van den;;1;;;;;;1
Bar Company B.V.;;;1;;;;;1
Bar le Duc B.V.;;1;;;;;;1
Bar Restaurant Pavlov B.V.;1;2;;;;;;2
Barbarossa Beach B.V.;;1;;;;;;1
Barbecue Service Het Gooi;;1;;;;;;1
Barefoot Beach Camps;;1;;;;;;1
Bascule Groep;;;;1;;;;1
Bastion Hotel Utrecht B.V.;;1;;;;;1;1
BB Catering;;1;;;;;;1
BB-Go;1;;;;;;;1
BCM Academy B.V.;;;;1;;;;1
BDS Harlingen B.V.;;;;;;;1;1
Beach Club Oostvoorne B.V.;;1;;;;;;1
Beachclub 57;;1;;;;;;1
Beachclub BAIT;;1;;;;;;1
Behavior Change Group B.V.;;;;2;;;;2
Beiden Handjes;;1;;;;;;1
Beijer Projects;1;;;;;;;1
Belangenvereniging De Kruisweg;1;;;;;;;1
Beleving aan zee;;1;;;;;;1
Beleving in Communicatie;;;;1;;;;1
Belgian Beer Cafe Belvédère;;1;;;;;;1
Belgisch Biercafé Olivier B.V.;;1;;;;;;1
Belle-Rose Bloemen;;1;;;;;;1
Ber.ver. v. Nederl. Stedeb.kund. & Planologen;1;;;;;;;1
Berenschot B.V.;1;;3;1;;;;3
Berenschot Groep B.V.;;;2;2;;;;3
Berghauser Pont Academy B.V.;;;;1;;;;1
BERLUX lighting design;;;;1;;;;1
Bermuda Eindhoven B.V.;;1;;;;;;1
Bert Hellinger Instituut Nederland;;;;2;;;;2
Best Practice User Group Nederland;;;;1;;;;1
Bestenzet Printing B.V.;1;;;;;;;1
Bestuursacademie;;;;2;;;;2
Bestuursacademie Nederland Opleidingen B.V.;;;;3;;;;3
Betonvereniging';;;;2;;;;2
Between Staffing Nederland B.V.;;;;2;;;;2
Beurs van Berlage C.V.;;1;;;;;;1
Bezemer & Schubad B.V.;;1;;1;;;;1
Bezorggroente.nl;;1;;;;;;1
BHVNederland;;;;1;;;;1
Bidfood B.V.;;;;;;;6;6
Bierbewustzijn.nl;1;;;;;;;1
Bigger Brain Coöperatief U.A.;;;2;;;;;2
Bij Bastiaan;;1;;;;;;1
Bijl Opleiding en Advies;;;;1;;;;1
Bijlsma Wartena B.V.;;1;;;;;;1
BijzonderStrafrecht B.V.;;;;1;;;;1
Binkies Food & Drinks B.V.;;1;;;;;;1
Bird Jazz Podium/Horeca B.V.;;1;;;;;;1
BirdView Expertises B.V.;1;;;1;;;;1
Bison Bowling;;1;;;;;;1
Bistro Pampus;;1;;;;;;1
Bistrobar Bankoh B.V.;;1;;;;;;1
BitesWeLove B.V.;;1;;;;;;1
B-Leaves B.V.;;1;;;;;;1
Blik Grafisch Ontwerp;1;1;;;;;;1
blikopeners.nu;;1;;;;;;1
Bloeiing;;;1;;;;;1
BLOEM!;;1;;;;;;1
Bloembinderij Andreanum;;1;;;;;;1
Bloembinderij De Korenschoof;;1;;;;;;1
Bloemboutique Ton Hofman;1;1;;;;;;1
Bloemenboetiek Panhuis;;1;;;;;;1
Bloemenboutique Fonville;1;1;;;;;;1
Bloemenhuis Abrahamse;;1;;;;;;1
Bloemenhuis 'Magnolia';;;;1;;;;1
Bloemenshop Rozeneiland;;1;;;;;;1
Bloemsierkunst De Gelegenheid;;1;;;;;;1
Blom Opleidingen;;;;1;;;;1
BLOSSOM bloemisterij;1;2;;;;;;2
BMC Advies B.V.;;;1;;;;;1
BMD Advies Centraal Nederland B.V.;;;;1;;;;1
Bme Utrecht B.V.;;1;;;;;;1
BNP Paribas Leasing Solutions N.V.;;1;;;;;;1
Bob de Ronde Partners;;;;1;;;;1
Bobbe International B.V.;1;1;;;;;;1
BodemenergieNL;;;;1;;;;1
Boeketcadeau.nl;;1;;;;;;1
Boekhandel Van der Velde;;1;;;;;;1
Boekscout;;1;;;;;;1
BOEL;;1;;;;;;1
Boerderij De Middenhof Nieuwegein;;1;;;;;;1
Bokhorst Communicatie;;1;;;;;;1
bol.com B.V.;;1;;;;;;1
Bolster Group B.V.;;;;2;;;;2
Bon Courage B.V.;1;;;;;;;1
Bonaire International Airport N.V.;;;;;;;1;1
Bondi Beach;;1;;;;;;1
Bonvanie B.V.;;1;;;;;;1
Boogh Arbeidsre-integratie;;;1;1;;;;1
Boomerang Beach;1;1;;;;;;1
Boot & Stuurliedencoöp. 'De Koperen Ploeg' WA;;1;;;;;1;1
Bootcamp Aardenburg;;1;;1;;;;1
Boscafé 't Hijgend Hert Vijlen B.V.;;1;;;;;;1
Bosporus;;1;;;;;;1
Boterwaag Den Haag B.V.;;1;;;;;;1
Bouckaert Training & Coaching;;;;1;;;;1
Bourdrez Advies;;;;1;;;;1
Boutiquehotel The Roosevelt;;1;;;;;;1
Bouwend Nederland;;;;1;;;;1
Bovenmeester Diner & Lounge;;1;;;;;;1
Bowling Scheveningen B.V.;;1;;;;;;1
Box to Borrel;;1;;;;;;1
Brainwork B.V.;;;;1;;;;1
Brandchart;;;2;1;;;;2
Brandenburg Waardenburg Cater.- en Partyserv.;;1;;;;;;1
brandgiving;;;2;;;;;2
Brass Boer Zwolle B.V.;;1;;;;;;1
Brasserie 21 B.V.;;1;;;;;;1
Brasserie Berlage;;1;;;;;;1
Brasserie De Boerderij;;1;;;;;;1
Brasserie de Steinsetuin;;1;;;;;;1
Brasserie Grand-Café De Smaeckkamer;;1;;;;;;1
Brasserie Het Raadhuis;;1;;;;;;1
Brasserie Le Nord;;1;;;;;;1
Brasserie Me Moeder;;1;;;;;;1
Brasserie Sequenza;;1;;;;;;1
Brasserie 't Zusje Eindhoven;;1;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;1;;;;;;1
BRB Sound;1;;;;;;;1
Break Out Events B.V.;1;;;;;;;1
Breca Handelsonderneming;;1;;;;;;1
Breinkorf;;;;1;;;;1
Breinvoorkeuren NBI;;;;1;;;;1
Bremmer Transportcollege B.V.;;;;1;;;;1
Breur, Uw Topslijter;;1;;;;;;1
Bribenco B.V.;;1;;;;;;1
Brickk Nederland B.V.;;1;;;;;;1
Brickq;;;;2;;;;2
Brink Management & Advies B.V.;;1;;1;;;;2
BroerZ;;1;;;;;;1
Broese;;1;;;;;;1
BRON-TMC;;;3;;;;;3
Brood & Banketbakkerij Prins B.V.;;1;;;;;;1
Brood en Banket Margriet B.V.;;1;;;;;;1
Broodjeskantine;;1;;;;;;1
Broodjeslijn;;1;;;;;;1
Brouwer Produktie B.V.;;1;;;;;;1
Brouwerij Maximus B.V.;;1;;;;;;1
Brüggemann horeca groep;;1;;;;;;1
Budgetgift.nl B.V.;;1;;;;;;1
Buena Vista Beach Club B.V.;;1;;;;;;1
Buffalo.nl B.V.;;1;;;;;;1
Buitengoed Leeuwenburg;;1;;;;;;1
Buitenhotel De Vreemde Vogel;;1;;;;;;1
Bureau Collot;1;;;1;;;;1
Bureau Dongelmans;;;;1;;;;1
Bureau Els Desmet;;1;;;;;;1
Bureau Integriteit B.V.;;;;2;;;;2
Bureau Kamphorst;;;;1;;;;1
Bureau Kees Horden B.V.;;;;1;;;;1
Bureau Lolkema;;;;3;;;;3
Bureau Zuidema B.V.;2;;;3;;;;3
Bureautaal B.V.;;;;1;;;;1
Burghoorn Trainingen;;;;1;;;;1
Burgundy Street B.V.;;1;;;;;;1
Burn Out Poli;1;;1;;;;;2
Buro Dertig;;;;2;;;;2
Buro van Niks;;;;1;;;;1
BuroEvent;2;1;;;;;;2
Burrata Turfmarkt B.V.;;1;;;;;;1
Business Marketing Services Opleidingen B.V.;;;;1;;;;1
Businesswise Inspiring People B.V.;1;;;;;;;1
BusYness & Spiritualiteit;;;1;1;;;;1
Buttondiscounter;;1;;;;;;1
Buurthuis Bonte Kraai;;1;;;;;;1
BV&T Opleiding & Advies;;;;1;;;;1
BVO Opleidingen B.V.;;;;3;;;;3
By Mari B.V.;1;;;;;;;1
Byte2Biz;;;;1;;;;1
C.R.M. van Veen B.V.;;;;1;;;;1
C.W. van Dedem Holding B.V.;;2;;;;;;2
C2Results B.V.;;;;2;;;;2
Cadeau Company;;1;;;;;;1
Cadeau Concepten B.V.;1;1;;;;;;2
Cadeaubonnen.nl B.V.;1;1;;1;;;;1
CadeauXperts;1;;;;;;;1
CafÃƒÂ©-Restaurant Balk;;1;;;;;;1
Cafe Blossom;;1;;;;;;1
Café Brasserie De Wildeman B.V.;;1;;;;;;1
Café De Markies;;1;;;;;;1
Café de Rus;;1;;;;;;1
Café De Schoof V.O.F.;;1;;;;;;1
Café du Midi B.V.;;1;;;;;;1
Café Einstein;;1;;;;;;1
Café Restaurant De Wits;;1;;;;;;1
Café Restaurant Mira;;1;;;;;;1
Café Sevilla B.V.;;1;;;;;;1
Café Verheyden;;1;;;;;;1
Café Zuid;;1;;;;;;1
Café-Restaurant 'Belvédère' B.V.;;1;;;;;;1
Café-Restaurant Bergzicht;;1;;;;;;1
Café-Restaurant De Boschvijver B.V.;;1;;;;;;1
Café-Restaurant 'De Roskam' B.V.;;1;;1;;;;1
Café-Restaurantbedrijf De Kikker;;1;;;;;;1
CAI-Advies B.V.;;;;1;;;;1
Cake my Day;;1;;;;;;1
Calla's LVRED 51A B.V.;;1;;;;;;1
Canast B.V.;;;;1;;;;1
Cancer Health Coach;1;;;2;;;;2
Candas Import Export;1;;;;;;;1
CAOP;;;;1;;;;1
Capgemini Educational Services B.V.;;;;2;;;;2
Capgemini Nederland B.V.;;;;2;;;;2
Capilla;1;;;;;;;1
Cappuccino;;1;;;;;;1
Carlton Beach Club;;1;;;;;1;1
Caro Hoogeboom Catering;;1;;;;;;1
CarriereNoordNederland;;;1;;;;;1
Casu Utrecht B.V.;;;;2;;;;2
Catch-up;;1;;;;;;1
Cateau;;;;1;;;;1
Caterbox.nl;;1;;;;;;1
Catering Hanenburg B.V.;;1;;;;;;1
Catering Utrecht B.V.;;1;;;;;;1
Catering van den Berg;;1;;;;;;1
Centraal Boekhuis B.V.;;1;;;;;;1
Centralpoint Amstelveen B.V.;;;;;1;;;1
Centric;;;;2;;;;2
CGI;;;;1;;;;1
CGI Nederland B.V.;;;;2;;;;2
Challenge of Change;;;;1;;;;1
Chatway International;1;;;;;;;1
Chi Neng Instituut;;1;;;;;;1
Chinees Indische Restaurant De Lange Muur;;1;;;;;;1
Chinees-Indisch Restaurant 'De Lange Muur';;1;;;;;;1
Chinees-Indisch Restaurant Malakka;;1;;;;;;1
Chorda B.V.;;;;1;;;;1
Chung Ching / Kyoto;;1;;;;;;1
Ciao! Ciao! B.V.;;1;;;;;;1
CIBT Netherlands;;;;;;;1;1
Classic Incasso B.V.;;;1;;;;;1
Cloose;;1;;;;;;1
CLS Computertrainingen;;;;1;;;;1
Coachboulevard B.V.;;;;1;;;;1
Coachcenter B.V.;;;;1;;;;1
Coaching in Organisaties;;;1;;;;;1
Coen Teulings Consult;;1;;;;;;1
Collabó B.V.;;;;1;;;;1
Columba Communications;;;;1;;;;1
CombiCraft B.V.;;1;;;;;;1
Comminz B.V.;;;1;;;;;1
Compabox B.V.;1;1;;;;;;1
Compacon B.V.;1;1;1;;;;;1
Company Catering Commanderie B.V.;;1;;;;;;1
Company Webcast B.V.;;;2;1;;;;2
Compassend Coachen;;;;1;;;;1
Competence Factory;;;;1;;;;1
Computerborduren Personality;1;;;;;;;1
Compu'Train;;1;;1;;;;1
Computrain Opleidingen;;;;1;;;;1
Conclusion Core Business B.V.;;;;2;;;;2
Congress by design;;;;1;;;;1
Connect Management Consulting;2;;;3;;;;4
Connected Information Systems B.V.;1;;;;;;;1
Connexxion Taxi Services B.V.;;;;;;;1;1
Connexxion Tours;;1;;;;;;1
Considerati B.V.;;;;1;;;;1
CONSULTING FOR ORGANISATION DEVELOP;;;;2;;;;2
Convivium B.V.;;;;1;;;;1
Coolblue B.V.;1;;;;;;;1
Coöp. Onderwijsgroep Noordwest-Holland U.A.;;;;1;;;;1
Coöperatie ACS partners U.A.;;;;2;;;;2
Coöperatie De Betekenaar U.A.;;1;;1;;;;1
Coöperatie 'Neptunus' UA;;;;;;;1;1
Coosto B.V.;;2;;1;;;;2
Copla Opleiding & Training B.V.;;;;1;;;;1
Corinor Organisatieontwikkeling B.V.;;;;2;;;;2
CorpTV;;;;1;;;;1
Cosijn Consultancy & Coaching;;;;1;;;;1
CPT Europe B.V.;;;;1;;;;1
Create 2 Connect B.V.;;1;;;;;;1
Crisisplan B.V.;;;;2;;;;2
Crowne Plaza Hotel Maastricht;;;;;;;1;1
Crux Engineering B.V.;;;;1;;;;1
CS Opleidingen B.V.;1;;;;;;;1
CSR Centrum B.V.;1;1;;;;;;1
Culinair Catering;;1;;;;;;1
Culinair Verantwoord;;;;1;;;;1
Culpepper B.V.;1;1;;;;;;1
Cyklist;;1;;;;;;1
Cylin B.V.;;;;1;;;;1
D&F Consulting B.V.;;;;2;;;;2
D.C. Vogelaar;;1;;;;;;1
D.P. Hilversum B.V.;;1;;;;;;1
Dagelijks Lekker B.V.;;1;;;;;;1
Dagvoorzitter.nl;;;;1;;;;1
Daily;;1;;;;;;1
DANISH METEOROLOGICAL INSTITUTE;;;;;;;1;1
DataExpert Academy;;;;1;;;;1
DataExpert B.V.;;;;1;;;;1
De Academy B.V.;;;;1;;;;1
De Academy Opleiding & Advies B.V.;;;;1;;;;1
De Amstel Tafel;;1;;;;;;1
De Arend;;1;;;;;;1
De Baak Administratie;;;;3;;;1;3
De Baak B.V.;;;;2;;;;2
de baaningenieurs;;;;1;;;;1
De Bakker Westland C.V.;1;;;;;;;1
De Barbecue en Buffettenboer;;1;;;;;;1
De Batterijen aan de Overeindseweg B.V.;;1;;;;;;1
De Bazar B.V.;;1;;;;;;1
De Belgische Keizer B.V.;;1;;;;;;1
De Berenkuil B.V.;;1;;;;;;1
De Bewustzijnsfabriek;;;;1;;;;1
De Bistrooh;;1;;;;;;1
De Bloemist;;1;;;;;;1
De Blomster;;1;;;;;;1
De Boerinn B.V.;;1;;;;;;1
De Bonte Haas B.V.;;1;;;;;;1
De Borrel B.V.;1;1;;;;;;1
De Branding Utrecht B.V.;;1;;;;;;1
De Brasserij Partycentrum;;1;;;;;;1
De Budde;;1;;;;;;1
DE BUNK'R B.V.;;1;;;;;;1
De Doornhof;;1;;;;;;1
De eetplaneet;;1;;;;;;1
De Efteling B.V.;;1;;;;;;1
De Emauspoort;;;;1;;;;1
De Erkende Toezichthouder;;;;1;;;;1
De Feed Fabriek;1;2;;;;;;2
De Gezonde Zaak B.V.;;;1;;;;;1
De Goesting;;1;;;;;;1
De Gordiaan;;1;;;;;;1
De Gouden Leeuw;;1;;;;;;1
De Gouverneur Maastricht B.V.;;1;;;;;;1
De Griffel De Bilt B.V.;;1;;;;;;1
De Heische Hoeve B.V.;;;;1;;;;1
De Hiemel B.V.;;1;;;;;;1
De Hofstad Taxicentrale B.V.;;;;;;;1;1
De IJsselstroom;;1;;;;;;1
De Jong Psycholoog voor Arbeid en Vitaliteit;;;1;;;;;1
De Jongens uit Schoorl B.V.;;1;;;;;;1
De Kampanje;;1;;;;;;1
De Keite;;1;;;;;;1
De keuken van Thijs;;1;;;;;;1
De Kleine Seinpost B.V.;;1;;;;;;1
De Kloveniersdoelen B.V.;;1;;;;;;1
De Knegt & Leeflang B.V.;;1;;;;;;1
De Koning Org.-Creativiteit en Ontwikkeling;;;;1;;;;1
De Kookfabriek Utrecht B.V.;;1;;;;;;1
De Landgoederij B.V.;;1;;;;;;1
De Mert Swalmen B.V.;;1;;;;;;1
De Nederlandse Ver. van Rentmeesters NVR;;;;1;;;;1
De Nieuwe Pelgrim;;;;1;;;;1
De Nonnen in Vught;;;;2;;;;2
de online coach;;;;1;;;;1
De Ooievaar Beheer;;1;;;;;;1
De Oranjerie;;1;;;;;;1
De Overburen;;1;;;;;;1
De Pier Horeca B.V.;;1;;;;;;1
De Polderij Zakelijke Bijeenkomsten;;1;;;;;;1
De Rede van Batavia Haven B.V.;;1;;;;;;1
De Ridder Bestuurskundige zaken;;1;;;;;;1
De Rolwissel;;;;1;;;;1
De Rotterdam B.V.;;1;;;;;;1
De Rotterdam Business Center B.V.;1;;;;;;;1
