Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
.RUIM*;;;;;1;;;;;1
`T Pakhuus;;;;1;;;;;;1
1910 Restaurant;;;;1;;;;;;1
2Aline Carrière Management B.V.;;;;;1;;;;;1
2de Spoor B.V.;;;;;1;;;;;1
3K Horeca B.V.;;;;1;;;;;;1
4Meetings B.V.;;;;;;;;;1;1
5hart-IT Opleidingen B.V.;;;;;;4;;;;4
7AM Den Haag B.V.;;;;;;;;;2;2
7Day;;;1;;;;;;;1
8 Track Entertainment B.V.;;;;;;1;;;;1
a.t. werkt;;;;;1;;;;;1
AB Praktijk voor gedragstherapie en NLP;;;;;1;;;;;1
A'bella Vita;;;;1;;;;;;1
Abonnementenland;;;;1;;;;;;1
About Flowers;;;;1;;;;;;1
Academie voor Organisatiecultuur;;;;;;1;;;;1
Academie voor Vastgoed B.V.;;;;;;1;;;;1
Accres Recreatie B.V.;;;;1;;;;;;1
Achterop;;;;;;;;;1;1
ACI;;;;;;1;;;;1
Acquire Publishing B.V.;;;;;;1;;;;1
ACT Management B.V.;;;;;;3;;;;3
Acte De Présence;;;;;;1;;;;1
Acteursbureau Kapok B.V.;;;;;;2;;;;2
Active Learning;;;;;;1;;;;1
Actors in Action;;;;;;1;;;;1
Adrienne van den Bos;;;;;;1;;;;1
Adventure and Thrill;;;;;;;1;;;1
Adviesbureau Planplan;;;1;;;;;;;1
Advocatenkantoor Dijkgraaf B.V.;2;;;;;;;;;2
AED Solutions B.V.;;;4;;;;;;;4
Aeres;;;;;;1;;;;1
Agile Consortium (AC);;;;;;1;;1;;1
Ahrend Nederland B.V.;;;1;;;;;;;1
Aiki Art;;;;;;1;;;;1
Akhnaton C.V.;;;;1;;;;;;1
Akihito Sushi;;;;1;;;;;;1
Aktief Overijssel B.V.;;;;1;;;;;;1
Ale House B.V.;;;;2;;;;;;2
Alg. Ver. van Bel.deurw. en belastinginvord.;;;;;;1;;;;1
Alkemade Forensic Reasoning (AFR);;;;;;1;;;;1
Alkmaarse Rugby Union Football Club;;;;1;;;;;;1
Allanta vzw;;;;;;1;;;;1
Allers;;;;1;;;;;;1
Allkoestiek B.V.;;;1;;;;;;;1
Altimos B.V.;;;;;;1;;;;1
Amaze Escape Events;;;;1;;;1;;;1
Ambachtelijke Slagerij Kevelam;;;;1;;;;;;1
Amici B.V.;;;;1;;;;;;1
Amigo-Produkties;;;;1;;;;;;1
Amira Language School;;;;;;1;;;;1
Amisni B.V.;;;;2;;;;;;2
Amsterdam Identity Apartments B.V.;;;;1;;;;;;1
Andriessen & Partners B.V.;;;;;;4;;;;4
Anti Money Laundering Professionals;;;;;;1;;;;1
Antropia B.V.;;;;;;2;;;;2
ANWB-Rijopleiding;;;;;;1;;;;1
Any Lamp;;;;;;1;;;;1
AOB Compaz;;;1;;;;;;;1
AOG Contractonderwijs B.V.;;;;;;2;;;;2
Apeldoornse Bierbrouwerij De Vlijt B.V.;;;;2;;;;;;2
Apenheul;;;;4;;;;;;4
Aperitivo B.V.;;;;1;;;;;;1
APK Kampen;;;;;;;;;1;1
ARAG Legal Services;1;;;;;;;;;1
Archeon Novum;;;;;;;1;;;1
ARC-Q B.V.;;;;;;;;;1;1
Ardis Opleidingen B.V.;;;1;;;4;;;;4
A-Rea Artsen en Arbeidsdeskundigen B.V.;;;;;1;;;;;1
Arieso Holding B.V.;;;;4;;;;;;4
Arnage Horeca B.V.;;;;1;;;;;;1
Array Media B.V.;;;;;;1;;;;1
Art of Co-creation;;;;;;2;;;;2
Art of Life Mindfulness en Non-dualiteit;;;;;;1;;;;1
Art to Art;;;;1;;;;;;1
Artige B.V.;;;;1;;;;;;1
Artihove Regina B.V.;;;;1;;;;;;1
Asia Vietnamees Spec. Rest.;;;;1;;;;;;1
Ass. Autofauteuils B.V.;;;;;;;;;1;1
Assemblee Sprekersbureau B.V.;;;;;;1;;;;1
Athene Palace B.V.;;;;1;;;;;;1
Atlantic Hotel Exploitatie B.V.;;;;;;;;;1;1
Atletiek Vereniging Sprint;;;;1;;;;;;1
Auberge de Rousch;;;;1;;;;;;1
Auberge Navet V.O.F.;;;;1;;;;;;1
Ausems en Kerkvliet Arbeidsmed. Adv. B.V.;;;;;1;;;;;1
Authentiek leiderschap B.V.;;;;;;1;;;;1
Autop Roermond B.V.;;;;;;;;;1;1
Avans Hogeschool B.V.;;;;;;2;;1;;2
AVEQ Creatieve Producties B.V.;;;2;;;;;;;2
AVEQ Interactieve Media B.V.;;;1;;;;;;;1
Avnet;;;;;;1;;;;1
AXVECO B.V.;;;;;;1;;;;1
B & B Feestartikelen;;;;1;;;;;;1
B B Music;;;;1;;;;;;1
B.V. De Vooruitgang;;;;1;;;;;;1
B.V. Eerste Hulp Dichtbij!;;;1;;;;;;;1
B.V. Exploitatiemaatschappij Museumstoomtram;;;;1;;;;;;1
B.V. Perscentrum Nieuwspoort;;;;1;;;;1;;1
B.V. 't Nieuwe Draeckje;;;;1;;;;;;1
BaanPlus B.V.;;;;;1;;;;;1
Bacchus Utrecht B.V.;;;;1;;;;;;1
Badge Promotions B.V.;;;;;;1;;;;1
Baker & Moore B.V.;;;;1;;;;;;1
Bakker in Vorden;;;;1;;;;;;1
Balans & Impuls B.V.;;;2;;2;;;;;3
BandZoeker Music B.V.;;;;1;;;;;;1
Banketbakkerij Maison Kelder B.V.;;;;1;;;;;;1
Bar Bistro 'Pieke Potloed';;;;1;;;;;;1
Bar De Tapperij;;;;1;;;;;;1
Bar Le Duc;;;;1;;;;;;1
Bar Restaurant Pavlov B.V.;;;;1;;;;;;1
Bar-CafÃ©-Restaurant 'De Kei';;;;1;;;;;;1
Barista Service Nederland;;;;1;;;;;;1
Bar-Restaurant Imono;;;;1;;;;;;1
Barthen Exploitatie Maatschappij B.V.;;;;1;;;;;;1
BAX B.V.;;;;1;;;;;;1
