Rijlabels;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
AB Sciex EDC B.V.;;1;2;;;;2
Abbott B.V.;;1;;;;;1
ABF Research B.V.;;;;;1;;1
acdegroot publishing;;;;;1;;1
Acoutronics B.V.;;1;;;;;1
AdFoPack;;;;;2;;2
Agilent Technologies Netherlands B.V.;;1;4;;;;4
Aig Europe (Netherlands) N.V.;;;;;;2;2
Air Quality Monitoring Consultancy;;;;;2;;2
ALcontrol Laboratories;;;;;4;;4
Alere Health B.V.;;1;;;;;1
All Modul B.V.;;;2;;;;2
Alliance Healthcare;;2;;;;;2
Alltech/Applied Science B.V.;;1;;;;;1
Altec Industriële Identificatie;;1;1;;;;1
Ameco Adviesgroep Milieubeleid B.V.;;;;;3;;3
Antea Nederland B.V.;;;;;2;;2
Anthos Labtec B.V.;;;1;;;;1
Antonides;;1;;;;;1
Apotheek Beek en Donk B.V.;;;;;;1;1
Apotheek Bilthoven;;1;;;;;1
Apotheek Planetenbaan;1;1;;;;;1
Applied Biosystems;;;1;;;;1
Arbo Unie B.V.;;;;;1;;1
ARCADIS Nederland B.V.;;;;;2;;2
Architectuurcentrum Aorta;;;;;1;;1
Ardis Opleidingen B.V.;;;;;1;;1
Ardis Organisatieontwikkeling B.V.;;;;;1;;1
Asogem Nederland;;1;1;;;;1
AUV Groothandel B.V.;;1;;;;;1
Avans Hogeschool;;;;;1;;1
Avantes B.V.;;;1;;;;1
Aviv B.V.;;;;;2;;2
AW-ChemAdvice;;;;;2;;2
Azbil Telstar Benelux B.V.;;1;4;;;;4
B. Braun Medical B.V.;;1;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;1;2;;;;2
Bactimm B.V.;;;;;;1;1
Balis Micro B.V.;;1;;;;;1
BAM Techniek;;;1;;;;1
BaseClear B.V.;6;2;;;;;6
BBTWEEN;;;;;1;;1
Beckman Coulter Nederland B.V.;;2;3;;;;4
Becton Dickinson;;4;3;;;;4
Beer advocaten N.V.;;;;;1;;1
Beldico B.V.;;1;;;;;1
Belimed B.V.;;;1;;;;1
Beltox Consultancy;;;;;2;;2
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;;;1;;1
Between;;;;;;2;2
Beun- de Ronde B.V.;;1;2;;;;2
Bevaplast B.V.;;1;;;;;1
BGP Products B.V.;;;;;;7;7
Bilthoven Biologicals B.V.;;2;4;;1;5;5
Bio Trading Benelux B.V.;;4;;;;;4
Bio-Connect B.V.;;3;;;;;3
Bio-Connect Diagnostics B.V.;;3;;;;;3
Bio-Connect Services B.V.;;5;1;;;;5
Biognost;;4;1;;;;4
Biolegio B.V.;;3;;;;;3
bioMérieux Benelux B.V.;;2;1;;;;2
Bio-Rad Laboratories B.V.;;4;3;;;;4
Biosecurity B.V.;;1;;;;;1
Biosisto B.V.;;1;;;;;1
Biozymtc B.V.;;1;;;;;1
Bisschoff Medical Research;1;;;;;;1
Blonk Milieu Advies B.V.;;;;;3;;3
BMC;;;;2;;;2
Bodinco B.V.;;1;;;;;1
Bojan Advies;;;;;2;;2
bol.com B.V.;;;1;;;;1
Boom B.V.;;4;1;;;;4
Brady B.V.;;1;;;;;1
Bruker Nederland B.V.;;1;1;;;;1
Brunschwig Chemie B.V.;;3;;;;;3
BSA Schaderegeling B.V.;;;;;;1;1
Bugter Consult;;;;;1;;1
Bureau Veritas Industrial Services;;;1;;;;1
Buro Blauw B.V.;;1;;;;;1
Business Line Cleanroom;;;1;;;;1
Buveco Gasdetection B.V.;;;1;;;;1
BWT Nederland B.V.;;1;1;;;;1
CACI B.V.;;;2;;2;;2
Caliz B.V.;;;1;;;;1
Capgemini N.V.;;;;;;4;4
CareFusion Netherlands 238 B.V.;;1;1;;;;1
CarePack Holland B.V.;;1;;;;;1
Carl Zeiss B.V.;;;1;;;;1
CBD;;;;;5;;5
Cendris Dataconsulting B.V.;;;;;;1;1
Centric Netherlands B.V.;;;;;1;;1
Charles River Laboratories Den Bosch B.V.;;;;;2;;2
Cimsolutions;;;;;;2;2
CKade B.V.;;;;;4;;4
Clindia Benelux B.V.;;2;;;;;2
CLM Onderzoek en Advies B.V.;;;;;4;;4
Co. Van Beek Generatoren;;;1;;;;1
Common Eye B.V.;;;;;1;;1
COMPAREX Nederland B.V.;;;;;;1;1
Compass Group Nederland Holding B.V.;;;;;;1;1
Conrad Electronic Benelux B.V.;;1;;;;;1
Coöp. Medisch Specialist. Bedrijf Domstad UA;;;;;1;;1
Cosanta B.V.;;;;;1;;1
Council of Europe Minority Youth Committees;;1;;;;;1
CrisisTox Consult;;;;;2;;2
Croon Elektrotechniek B.V.;;;1;;;;1
Cruxin;;;1;;;;1
Cryo Store B.V.;;1;1;;;;1
CSL Behring B.V.;;;;;;4;4
Da Vinci Laboratory Solutions B.V.;;1;1;;;;1
Dbvision B.V.;;;;;2;;2
DDL Diagnostic Laboratory B.V.;;4;;;;;4
De heer Environment & Communication;;;;;2;;2
