Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Abus Kraansystemen B.V.;1;;;;1
ArtTest B.V.;1;;;;1
Asecos B.V.;1;;;;1
ASSA ABLOY Entrance Systems;1;;;;1
Bouter B.V.;1;;;;1
Bouwinvest Dutch Institutional Office Fund NV;;;;2;2
BREEDVELD vouw- en paneelwanden;1;;;;1
C.T. Systems B.V.;1;;;;1
Chubb Fire & Security B.V.;1;;;;1
Complex E-Techniek B.V.;1;;;;1
Deba 2000 B.V.;2;;;;2
DELTA Energie B.V.;;1;;;1
dormakaba Nederland B.V.;1;;;;1
Eneco Zakelijk;;5;;;5
Enexis Netbeheer B.V.;;2;;;2
ENGIE Energie Nederland N.V.;;5;;;5
Hague Office Investment I Coöperatief U.A.;;;;2;2
HEYDAY Ventures B.V.;1;;;;1
Hollandse Visveiling IJmuiden;;;;1;1
Hoogendoorn Automatisering B.V.;1;;;;1
Hoveniersbedrijf Walinga;;1;;1;1
Ingenieursbureau Ebatech B.V.;;1;;;1
Interfit;1;;;2;2
Jaspersons Vastgoed B.V.;;;;1;1
Joulz Infradiensten B.V.;1;;;;1
Joulz Meetbedrijf B.V.;;1;;;1
Keller's IJzerhandel B.V.;2;;;;2
Kenter;;1;;;1
Liander N.V.;;2;;;2
Maasmond B.V.;6;;;5;6
Manutan B.V.;1;;;;1
Mondial Movers B.V.;;;3;;3
N.V. Waterbedrijf Groningen;;1;;;1
Oasen N.V.;;1;;;1
Polomnis B.V.;;;;1;1
Protinus IT B.V.;1;;;;1
R.B.A. Frijlink thodn de Gelderse IJzerhandel;1;;;;1
RAS Techniek;1;;;;1
Red Profs B.V.;1;;;;1
Sandfirden Technics B.V.;1;;;;1
Satellietkantoor Utrecht;1;1;;;2
Schoondergang Van Zwanenburg Serv. en Onderh.;1;;;;1
SoftdB Expert;1;;;;1
Stanley Security Nederland B.V.;1;;;1;1
Stedin;;2;;;2
T & G Terrein- en Groenvoorziening B.V.;3;;;;3
Technische Unie;1;;;;1
Toering Ship Supply;;;;1;1
Top Movers Nederland B.V.;;;1;;1
Trenton B.V.;;1;;;1
VBT Groep B.V.;1;;;;1
Visafslag Den Oever Beheer B.V.;;;;1;1
Visser Print & Sign;1;;;;1
Walas Projects B.V.;;1;;1;1
Zeehaven IJmuiden N.V.;;1;;;1
Zeeuwse Visveiling Breskens N.V.;;1;;;1
Ziggo B.V.;;;;;
Eindtotaal;6;6;3;5;7
