Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
&Maes B.V.;;;;;1;;;;;1
033 interactive;;;;;;;;1;;1
073 Meeting Company B.V.;;;;;1;;;;;1
123Accu B.V.;;;;;;;1;1;;1
1-Line Safety & Security Intermediairs B.V.;;1;;;;;;;;1
2Essence;;;1;;;;;1;;1
2-Nice B.V.;;;;;1;;;;;1
2-Rescue;;1;;;;;;;;1
3M Nederland B.V.;;2;;;;;;5;;5
4b-Plus B.V.;;;;;;;1;1;;1
4walls;;;;;;;;1;;1
7AM Den Haag B.V.;;;;;2;;;;;2
A & C Presentations;;;;;;;1;;;1
A & P Investments B.V.;2;1;1;1;2;;3;2;;4
A Point B.V.;;;2;;;;;;;2
A. Langeveld V.O.F.;1;;;;;;;;;1
A. Timmerman's IJzerhandel B.V.;;;;;;;;1;;1
A. Tufi t.h.o.d.n. Supervlaai;1;;;;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;;;2;;;1;;2
A.C. de Boer Brood-Banket-Grootverbruik;1;;;;;;;;;1
A.C. van Schaik;1;;;;1;;;;;1
A.E. Bos Advocate B.V.;;;;1;;;;;;1
A.J. van der Linde B.V.;;;;;;;;1;;1
A.L.A.D. Reizen B.V.;;;;;1;;;;;1
A.P.S.;;;1;;;;;;;1
A.S. Zwaans B.V.;;;;;;;1;;;1
AAB Beveiligingen B.V.;;2;;;;;;;;2
aadesign;;1;;;;;;1;;1
Aaldering B.V.;1;;;;;;;;;1
Aalders Wassalon/Stomerij;;;;;;;1;;;1
Aannemersbedrijf G.B. van Hoek B.V.;;;;;;;1;;;1
Aannemersbedrijf Peters B.V.;;;;;;;1;1;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;;;;;;2;1;;2
Abalco Service B.V.;;;1;;;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;3;;;;;;1;;3
ABO Opleidingen V.O.F.;;1;;;;;;;;1
Abonnementenland;;;;;;;;;1;1
Absoluta Food and Facilities B.V.;1;;;;;;;;;1
ABV Haukes Inspectiediensten B.V.;;;;;;;1;;;1
Acclon Technologies B.V.;;;;;;;;1;;1
Accor Hospitality Nederland N.V.;;;;;1;;;;;1
Accres Exploitatie B.V.;1;;;;;;;;;1
ACM Opleidingen B.V.;;2;;;;;;;;2
ACS audiovisual solutions B.V.;;;;;;;;2;;2
Activo;;;;;2;;;;;2
ACV Beveiligingstechniek B.V.;;1;;;;;;1;;1
Adames Consultancy;;;;;1;;;;;1
ADB Handelsonderneming B.V.;;;;;;;1;;;1
Ademar B.V.;;;;1;;;;;;1
Adler International C.V.;;;;;;;;1;;1
Adorabel;;;;;1;;;;;1
Adv. en Evenementen Organisatiebureau Jerrink;1;;;;;;1;;;1
Adviesbureau Planplan;;;;;;;;1;;1
Aecom V.O.F.;;1;;;;;;;;1
AED Solutions B.V.;;1;;;;;;1;;1
AEDcompany.nl;;1;;;;;;;;1
Aerophoto Eelde;;;;;1;;;;;1
Aeves Groep B.V.;;1;;;;;;;;1
Afpro Filtertechniek B.V.;;;;;;;;1;;1
Ageeth van der Veen Journalistiek;;;;;1;;;;;1
Agilent Technologies Netherlands B.V.;;;;;;;;3;;3
Aha Drukwerk;;;;;;;;1;;1
Ahrend Nederland B.V.;;;;;;;6;1;;6
Akoestiek Comfort B.V.;;;;;;;2;1;;2
Akropolis express;1;;;;;;;;;1
Alanya Kebab;1;;;;;;;;;1
Albeka;;;;;;;;1;;1
Albert Heijn B.V.;1;;;;;;;;;1
Albron Nederland B.V.;7;;;;1;;;;;7
Albyco Nederland B.V.;;;;;;;;1;;1
Alert Promotie;;1;;1;;;;1;;1
Alewijnse Utrecht;;2;;;;;1;1;;2
Alfa Glas B.V.;;;;;;;1;;;1
Alfun Verhuur B.V.;1;;;;;;;;;1
Alga B.V.;;;;;;;1;1;;1
Algemene Amersfoortse Glaswacht B.V.;;;;;;;1;;;1
All Cartoons Holland;;;;;1;;;;;1
All Dent B.V.;;;;;;;;1;;1
All-4-Music Events;;;;;1;;;;;1
Alle Ophangsystemen;;;;;;;;1;;1
Allekabels B.V.;;;;1;;;;1;;1
Allgifts.nl B.V.;;;;;1;;;1;;1
ALL-SIGNS Visuele Communicatie;;;;;;;1;;;1
ALM Afbouwgroep;;;;;;;1;;;1
Almere Tours;;;;;1;;;;;1
Alp Lift B.V.;;;;;;;1;1;;1
Alpheios B.V.;;;1;;;;1;;;1
Alphense Sleutel & Sloten Service;;1;;;;;1;;;1
Altec Industri�le Identificatie;;;;;;;1;1;;1
Alternate Computerversand Nederland;;;;1;;;;1;;1
Altrex B.V.;;;;;;;1;;;1
Alvero Kantoormeubelverhuur B.V.;;;;;;;1;;;1
Always Green B.V.;;;;;1;;;;;1
Amatec Technische Veren B.V.;;;;;;;1;;;1
Amaze Escape Events;;;;;1;;;;;1
Amazing Bread Company B.V.;;;;;1;;;;;1
Ambachttechniek;;;;;;;1;1;;1
Ambius B.V.;;;1;;;;1;;;1
AMETEK B.V.;;;;;;;;1;;1
Ampelmann Netherlands B.V.;;;;;;;;1;;1
Amsterdam Boats B.V.;;;;;1;;;;;1
Amsterdam Cupcake Company;;;;;1;;;;;1
Andermanskeuken;;;;;1;;;;;1
Annemarie Willems Producties;;;;;1;;;;;1
Annemiki's Gallery/Atelier;;;;;1;;;;;1
Anoniem 11;;;;;1;;;;;1
Anoniem 12;;;;;;;;1;;1
Anoniem 13;;;;;2;;;;;2
Anoniem 17;1;;;;1;;;;;1
Anoniem 4;;;;;;;1;1;;1
Anoniem 7;;;;;;;;1;;1
ANP Photo;;;;;1;;;;;1
Antalis B.V.;;;;;;;;1;;1
Anticimex;;;1;;;;1;;;1
Antropia B.V.;;;;;1;;;;;1
Any Lamp;;;;;;;1;;;1
AOC Snijders B.V.;;1;;;;;;;;1
APAC Services B.V.;;;;;;;1;1;;1
apetito B.V.;1;;;;;;;;;1
Apex Global B.V.;;;;;;;1;;;1
APG Service Partners B.V.;;;;;;;4;;;4
Applied Biosystems;;;;;;;;4;;4
AQP Theaterproducties;;;;;1;;;;;1
Aqua Chain Holland B.V.;1;;;;;;1;1;;1
Aquacare Europe B.V.;;;;;;;1;;;1
Aquaco B.V.;;;;;;;;1;;1
Aquarius Repro;;;;;1;;;;;1
ARA Groep B.V.;;;;;1;;;;;1
Arbo Safe B.V.;;1;;;;;;;;1
Architectuurcentrum Aorta;;;;;1;;;;;1
Arenda Oomen Fotografie;;;;;1;;;;;1
Argus Etiketten B.V.;;;;;;;;1;;1
Aristo Amsterdam B.V.;1;;;;;;;;;1
ArjoHuntleigh Nederland B.V.;;;;;;;1;1;;1
Arnauld Geschenken B.V.;;;;;1;;;1;;1
Arob Antennebouw B.V.;;;;;;;1;1;;1
ARP Nederland B.V.;;1;;;;;;;;1
Art & Allposters International B.V.;;;;;;;;1;;1
Art 4 U;;;;;;;2;;;2
Art for More;;;;;1;;;;;1
Art Unlimited B.V.;;;;;1;;;;;1
Artiestenverloningen B.V.;;;;;1;;;;;1
Artige B.V.;;;;;;;;1;;1
Artihove Regina B.V.;;;;;1;;;;;1
Artimat B.V.;;;;;;;;1;;1
Arts & Dennissen Catering;1;;;;;;;;;1
ARTTRA Cultureel Organisatiebureau;;;;;1;;;;;1
ASB Security B.V.;;2;;;;;;1;;2
Ascom (Nederland) B.V.;;1;;;;;1;1;;1
Asecos B.V.;;;;;;;1;;;1
ASSA ABLOY Nederland B.V.;;1;;;;;2;1;;3
Atal B.V.;;;;;;;;1;;1
Athlete.nl B.V.;;;;;;;;1;;1
ATK Grootkeukentechniek B.V.;;;;;;;;1;;1
Atlas Copco Tools Nederland;;;;;;;1;;;1
ATP Business Travel B.V.;;;;;1;;;;;1
ATS Systems B.V.;;2;;;;;;;;2
ATTERO B.V.;;;;;;1;;;;1
Auberge du Bonheur B.V.;;;;;1;;;;;1
Audio Video Wolbers;;;;;;;;1;;1
Audion Elektro B.V.;;;;;;;;1;;1
Auke Rauwerda B.V.;;;;;;;1;1;;1
Auke Smits Publiciteit B.V.;;;;;1;;;;;1
Automatic Signal Rijsenhout B.V.;;3;;;;;;;;3
AV Partners;;;;;2;;;;;2
AV Point Europe B.V.;;;;;1;;;1;;1
AVD Solutions;;;;;;;1;;;1
AVDD B.V.;;3;;;;;;;;3
Avex B.V.;;;;;1;;;1;;1
Aviste B.V.;;;;;;;;1;;1
Avontuur & Verstrepen Advocaten;;;;;;;;;1;1
AW Kroeze;;;;;;;1;;;1
aware4youth;;;;;;;;;1;1
Axent Groen B.V.;;;;;;;1;;;1
Aydin Market B.V.;1;;;;;;;;;1
Azion;;;;;;;1;;;1
Azul Trading B.V.;;;;;;;1;;;1
B & V Bedrijfshulpverlening B.V.;;2;;;;;;;;2
