Leveranciersnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
"""Hong-Kong""B.V. Chinees-Indisch Restaurant";;;;1;;;;;;1
"""Il Pozzo B.V.""";;;;1;;;;;;1
&MAES;;;;;;1;;;;1
. BOS ONTWIKKELING IN ORGANISATIE;;;;;;1;;;;1
1e Klas' Grand CafÃ© Restaurant;;;;;;1;;;;1
2KNOWHOW, art of change B.V.;;;;;;1;;;;1
2Shan t.h.o.d.n. Bezorgbeer Delft;;;;1;;;;;1;1
4 Seasons Events;;;;1;;;;;;1
50+ CARRIERE B.V.;;;;;;1;;;;1
5-Hart-IT;;;;;;1;;;;1
5HART-IT OPLEIDINGEN B.V.;;;;;;2;;;;2
7AM B.V.;;;;;;1;;;1;1
7AM DEN HAAG;;;;1;;;;;;1
7AM Den Haag B.V.;;;;;;;1;;;1
A MARE BY SANDRA MINNEE;;;;;;1;;;;1
A&W Cuisine B.V.;;;;1;;;;;;1
A+O Fonds Rijk;;;;;;1;;;;1
Aaaaha! The Actor Factory B.V.;;;;1;;;;;;1
Aanmelder.nl B.V.;;;;;;1;;;;1
ABC Display Industry B.V.;;;;1;;;;;;1
ABONNEMENTENLAND;;;;;;1;;;;1
ABOUT FLOWERS;;;;1;;;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;1;;1;1
AB-Vela B.V.;;;;;;;;1;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;1;;;;1
Academie voor Organisatiecultuur B.V.;;;;;;2;;;;2
Academie voor Vastgoed B.V.;;;;;;1;;;;1
ACADEMY FOR LEADERSHIP;;;;;;6;;;;6
Academy Payroll Professionals;;;;;;2;;;;2
AcceLead;;;;;;1;;;;1
Accor Hospitality Nederland N.V.;;;;;;;;;1;1
ACCOUNTOR NEDERLAND;;;;;;1;;;;1
Achterberg M;;;;;;1;;;1;1
ACML BAARN;;;1;;;;;;1;1
ACTEURSBUREAU KAPOK;;;;;;1;;;;1
AD NIEUWSMEDIA;;;;;;1;;;;1
A'DAM SCHOOL OF REAL ESTATE;;;;;;1;;;;1
ADO Hospitality & Events;;;;;;1;;;;1
Advies Veiligheid MtB;;;;;;1;;;;1
AEVES B.V.;;;;;;1;;;;1
AFAS Circustheater Events;;;;2;;;;;;2
Afdeling Buitengewone Zaken;;;;;;2;;;;2
AFUK KURSUSSEN BOEKEN YNFORMAASJE;;;;;;1;;;;1
AG CONNECT;;;;;;1;;;;1
Ahrend;;;1;;;;;;;1
AL HAYAT restaurant;;;;1;;;;;;1
ALBERT HEIJN;;;;1;;;;;;1
Albert Heijn B.V.;;;;1;;;;;;1
Albron Nederland B.V.;;;;1;;;;;;1
Alert Promotie;;;;1;;;;;;1
ALFABETA;;;;;;1;;;;1
Alfred's Holding B.V.;;;;1;;;;;;1
Allgifts;;;;1;;;;;;1
ALLIUM;;;;;;1;;;;1
Alphaplan B.V.;;;;;;1;;;;1
ALPINA;;;;1;;;;;;1
ALWAYS GREEN;;;;1;;;;;;1
Amadore Hotel-Restaurant De kamperduinen;;;;;;1;;;;1
Amaze;;;;1;;;;;;1
Amaze Escape;;;;1;;;;;;1
Amaze Escape Events;;;;1;;;1;;;1
Ambitech B.V.;;;;;;2;;;;2
Ambitio;;;;;1;;;;;1
Ambulance Event Service;;;;;;1;;;;1
AMI Maastricht;;;;;;1;;;;1
Amier Cafe-Restaurant;;;;1;;;;;;1
AMPLEXOR;;;;;;1;;;;1
AMSTERDAM CENTER FOR INTEGRITY AND;;;;;;1;;;;1
ANALITIQS;;;;;;2;;;;2
Ander Leven B.V.;;;;;;1;;;;1
ANDERMANSKEUKEN;;;;1;;;;;;1
ANDERSSON ELFFERS FELIX;;;;;;3;;;;3
AndrÃƒÂ© Dokter Horeca B.V.;;;;1;;;;;;1
Angelis Coaching;;;;;;1;;;;1
Anker & Kompas;;;;;;1;;;;1
Anna Vastgoed Beheer B.V.;;;;2;;2;;;;2
Anoniem 102;;;;;;1;;;;1
Anoniem 103;;;;;;;;;1;1
Anoniem 108;;;;;;;;;1;1
Anoniem 110;;;;1;;;;;1;1
Anoniem 112;;;;;;;;;1;1
Anoniem 119;;;;1;;;;;;1
Anoniem 123;;;;1;;;;;;1
Anoniem 126;;;;1;;;;;;1
Anoniem 131;;;;;;;;;1;1
Anoniem 133;;;;1;;;;;;1
Anoniem 134;;;;;;;;;1;1
Anoniem 135;;;;1;;;;;;1
Anoniem 137;;;;;;1;;;;1
Anoniem 140;;;;;;1;;;;1
Anoniem 142;;;;1;;;;;;1
Anoniem 143;;;;1;;;;;;1
Anoniem 144;;;;1;;;;;;1
Anoniem 145;;;;;;;;;1;1
Anoniem 146;;;;1;;;;;;1
Anoniem 147;;;;1;;;;;;1
Anoniem 148;;;;1;;;;;;1
Anoniem 149;;;;1;;;;;;1
Anoniem 15;;;;;;1;;;;1
Anoniem 150;;;;;;3;;;;3
Anoniem 151;;;;;;1;;;;1
Anoniem 153;;;;;;;;;1;1
Anoniem 155;;;;;;;;;1;1
Anoniem 157;;;;;;;;;1;1
Anoniem 158;;;;;;;;;1;1
Anoniem 159;;;;1;;;;;;1
Anoniem 16;;;;1;;;;;;1
Anoniem 160;;;;1;;;;;;1
Anoniem 168;;;;;;;;;1;1
Anoniem 169;;;;;;1;;;1;1
Anoniem 172;;;;;;2;;;;2
Anoniem 176;;;;1;;;;;;1
Anoniem 177;;;1;;;;;;;1
Anoniem 178;;;1;;;;;;;1
Anoniem 185;;;1;;;;;;;1
Anoniem 192;;;;1;;;;;;1
Anoniem 193;;;;1;;;;;;1
Anoniem 194;;;;;1;;;;;1
Anoniem 195;;;;;;1;;;;1
Anoniem 197;;;;;;1;;;;1
Anoniem 2;;;;1;;;;;;1
Anoniem 200;;;;1;;;;;;1
Anoniem 202;;;;;;;;;1;1
Anoniem 203;;;;;;;;;1;1
Anoniem 204;;;;;;1;;;;1
Anoniem 206;;;;;;1;;;;1
Anoniem 211;;;;;;;;;1;1
Anoniem 213;;;;1;;;;;;1
Anoniem 215;;;;1;;;;;;1
Anoniem 222;;;;;;;;;1;1
Anoniem 223;;;;;;;;;1;1
Anoniem 226;;;;1;;;;;;1
Anoniem 227;;;;1;;;;;;1
Anoniem 229;;;;;;1;;;;1
Anoniem 23;;;;1;;;;;;1
Anoniem 230;;;;1;;;;;;1
Anoniem 231;;;;1;;;;;;1
Anoniem 232;;;;1;;1;;;;1
Anoniem 233;;;;;;1;;;;1
Anoniem 234;;;;;;1;;;;1
Anoniem 235;;;;;;1;;;;1
Anoniem 243;;;;;;;;;1;1
Anoniem 252;;;;;;;;;1;1
Anoniem 253;;;;;;;;;1;1
Anoniem 254;;;;;;;;;1;1
Anoniem 267;;;;;;1;;;;1
Anoniem 272;;;1;;;;;;;1
Anoniem 275;;;;1;;;;;;1
Anoniem 278;;;;1;;;;;;1
Anoniem 280;;;;;;1;;;;1
Anoniem 284;;;;;;;;;1;1
Anoniem 285;;;;;;1;;;;1
Anoniem 286;;;;1;;;;;;1
Anoniem 290;;;;;;;;;1;1
Anoniem 291;;;;;;1;;;;1
Anoniem 294;;;;;;2;;;;2
Anoniem 296;;;;;;;;;1;1
Anoniem 299;;;;;;;;;1;1
Anoniem 3;;;;;;1;;;;1
Anoniem 305;;;;;;1;;;;1
Anoniem 306;;;;;;1;;;;1
Anoniem 309;;;;1;;;;;;1
Anoniem 311;;;;;;1;;;;1
Anoniem 317;;;;;;1;;;;1
Anoniem 318;;;;1;;;;;;1
Anoniem 319;;;;;;1;;;;1
Anoniem 320;;;1;;;;;;;1
Anoniem 322;;;;1;;;;;;1
Anoniem 323;;;1;;;;;;;1
Anoniem 342;;;;;;1;;;;1
Anoniem 344;;;;;;2;;;;2
Anoniem 346;;;;;;1;;;;1
Anoniem 350;;;;;;;;;1;1
Anoniem 352;;;;;;;;;1;1
Anoniem 353;;;;1;;;;;;1
Anoniem 355;;;;;;;;;1;1
Anoniem 359;;;;;;;;;1;1
Anoniem 361;;;;1;;;;;;1
Anoniem 362;;;;;;;;;1;1
Anoniem 363;;;;;;;;;1;1
Anoniem 364;;;;1;;;;;;1
Anoniem 366;;;;;;1;;;;1
Anoniem 367;;;;;;;;;1;1
Anoniem 368;;;;1;;;;;;1
Anoniem 369;;;;;;1;;;;1
Anoniem 371;;;;1;;;;;;1
Anoniem 372;;;;;;;;;1;1
Anoniem 376;;;;;;2;;;;2
Anoniem 391;;;;;;2;;;;2
Anoniem 395;;;;;;1;;;;1
Anoniem 396;;;1;;;;;;;1
Anoniem 397;;;1;;;;;;;1
Anoniem 398;;;1;;;;;;1;1
Anoniem 399;;;1;;;;;;;1
Anoniem 4;;;;;;1;;;;1
Anoniem 400;;;2;;;;;;;2
Anoniem 405;1;;;;;;;;;1
Anoniem 408;;;;;;1;;;;1
Anoniem 412;;;;;;1;;;;1
Anoniem 413;;;;;;1;;;;1
Anoniem 417;;;;;;;;;1;1
Anoniem 42;;;;;;1;;;;1
Anoniem 43;;;;;;1;;;;1
Anoniem 434;;;;1;;;;;;1
Anoniem 436;;;;1;;;;;;1
Anoniem 437;;;1;;;;;;;1
Anoniem 439;;;;;;1;;;;1
Anoniem 443;;;;1;;;;;;1
Anoniem 444;;;;;;1;;;;1
Anoniem 447;;;;1;;;;;;1
Anoniem 451;;;;;;1;;;;1
Anoniem 452;;;;;;1;;;;1
Anoniem 453;;;;;;;;;1;1
Anoniem 454;;;;;;1;;;;1
Anoniem 461;;;;;;1;;;;1
Anoniem 462;;;;1;;;;;;1
Anoniem 463;;;;;;1;;;;1
Anoniem 466;;;;;;1;;;;1
Anoniem 468;;;;;;1;;;;1
Anoniem 469;;;;1;;;;;;1
Anoniem 470;;;;;;1;;;;1
Anoniem 474;;;;;;1;;;;1
Anoniem 478;;;;1;;;;;;1
Anoniem 480;;;;1;;;;;;1
Anoniem 482;;;;;;1;;;;1
Anoniem 487;;;;;;1;;;;1
Anoniem 489;;;;1;;;;;;1
Anoniem 490;;;;;;1;;;;1
Anoniem 491;;;1;;;;;;1;1
Anoniem 498;;;;1;;;;;;1
Anoniem 5;;;2;;;;;;;2
Anoniem 500;;;;;;;;;1;1
Anoniem 501;;;;;;1;;;;1
Anoniem 508;;;;;;1;;;;1
Anoniem 509;;;;;;1;;;;1
Anoniem 510;;;;;;1;;;;1
Anoniem 511;;;;1;;;;;;1
Anoniem 512;;;;1;;;;;;1
Anoniem 516;;;;;;;;;1;1
Anoniem 520;;;;;;;;;1;1
Anoniem 521;;;2;;;;;;1;2
Anoniem 522;;;1;;;;;;;1
Anoniem 523;;;;1;;;;;;1
Anoniem 524;;;1;;;;;;1;1
Anoniem 525;;;1;;;;;;;1
Anoniem 526;;;;;;1;;;;1
Anoniem 527;;;;;;;;;2;2
Anoniem 528;;;2;;;;;;;2
Anoniem 534;;;;1;;1;;;;1
Anoniem 541;;;1;;;;;;1;1
Anoniem 544;;;;1;;;;;1;1
Anoniem 545;;;;1;;;;;;1
Anoniem 552;;;;;;1;;;;1
Anoniem 555;;;;1;;;;;;1
Anoniem 562;;;;1;;;;;;1
Anoniem 565;;;4;;;;;;;4
Anoniem 566;;;;;;1;;;;1
Anoniem 571;;;3;;;;;;;3
Anoniem 572;;;;;;;;;1;1
Anoniem 573;;;;;;;;;1;1
Anoniem 574;;;;;;;;;1;1
Anoniem 575;;;;;;1;;;;1
Anoniem 576;;;;;;1;;;;1
Anoniem 582;;;;1;;;;;;1
Anoniem 591;;;;;;1;;;;1
Anoniem 594;;;;;1;;;;2;2
Anoniem 596;;;;;;1;;;;1
Anoniem 6;;;1;;;;;;1;1
Anoniem 601;;;;;;1;;;;1
Anoniem 604;;;;;;1;;;;1
Anoniem 605;;;;1;;;;;;1
Anoniem 607;;;;1;;;;;;1
Anoniem 608;;;;1;;;;;;1
Anoniem 61;;;;;;1;;;;1
Anoniem 610;;;;1;;;;;;1
Anoniem 612;;;;1;;;;;;1
Anoniem 613;;;;1;;;;;;1
Anoniem 626;;;;1;;;;;;1
Anoniem 631;;;1;;;;;;;1
Anoniem 632;;;;;;1;;;;1
Anoniem 635;;;;1;;;;;;1
Anoniem 639;;;;;;1;;;;1
Anoniem 640;;;;1;;;;;;1
Anoniem 642;;;;;;1;;;;1
Anoniem 643;;;;1;;;;;;1
Anoniem 647;;;;;;1;;;;1
Anoniem 650;;;2;;;1;;;;2
Anoniem 656;;;;;;;;;1;1
Anoniem 657;;;;;;;;;1;1
Anoniem 658;;;;;;1;;;;1
Anoniem 675;;;;;;;2;;;2
Anoniem 676;;;;1;;;;;;1
Anoniem 679;;;;1;;;;;;1
Anoniem 680;;;;;;;;;1;1
Anoniem 682;;;;;;;;;1;1
Anoniem 686;;;;1;;;;;;1
Anoniem 689;;;;1;;;;;;1
Anoniem 691;;;;1;;;;;;1
Anoniem 693;;;;1;;;;;;1
Anoniem 694;;;;1;;;;;;1
Anoniem 697;;;;1;;;;;;1
Anoniem 699;;;;;;1;;;;1
Anoniem 70;;;;;;1;;;;1
Anoniem 700;;;;1;;;;;;1
Anoniem 704;;;;1;;;;;;1
Anoniem 706;;;;1;;;;;;1
Anoniem 708;;;;;;1;;;;1
Anoniem 709;;;;1;;;;;;1
Anoniem 710;;;;;;1;;;;1
Anoniem 713;;;;;;;;;2;2
Anoniem 715;;;;;;1;;;;1
Anoniem 716;;;;;;1;;;;1
Anoniem 719;;;;1;;;;;;1
Anoniem 721;;;;;;1;;;;1
Anoniem 726;;;;;;1;;;;1
Anoniem 728;;;;;;;;;2;2
Anoniem 729;;;;1;;;;;;1
Anoniem 730;;;;;;1;;;;1
Anoniem 733;;;;1;;;;;;1
Anoniem 735;;;;1;;;;;;1
Anoniem 737;;;;;;;;;1;1
Anoniem 738;;;;;;1;;;;1
Anoniem 739;;;;;;1;;;;1
Anoniem 740;;;;1;;;;;;1
Anoniem 742;;;;1;;;;;;1
Anoniem 744;;;;;;;;;1;1
Anoniem 746;;;;;;1;;;;1
Anoniem 747;;;;1;;;;;;1
Anoniem 750;;;1;;;;;;;1
Anoniem 751;;;1;;;;;;;1
Anoniem 753;;;;;;1;;;;1
Anoniem 756;;;;1;;;;;;1
Anoniem 759;;;;1;;;;;;1
