Handelsnaam;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
(BBP) Beerens-Business Press B.V.;1;;;;;1
2 Maal Ee;;;;;2;2
3D Medical Solutions B.V.;;;;;1;1
54Events B.V.;;;;3;;3
7Zebra's;;;;;1;1
87seconds SA/NV;;;;;1;1
A Solution;;;;2;;2
A&C Media;;;;;1;1
A. Terlouw Consult;;;;;1;1
A. van Helden Relatiegeschenken B.V.;;;1;;;1
Aaaaha! The Actor Factory B.V.;;;;2;;2
Aart Geesink IDZ B.V.;;;;;2;2
Abeng Taal & Tekst;2;;;;;2
Abonnementenland;1;;;;;1
Abrikoos Utrecht B.V.;;;1;;;1
Absoluta Food and Facilities B.V.;;;;1;;1
Absolute Delicious;;;1;;;1
Access;;;1;;;1
Accountant General;;;;1;;1
Accres Uitgevers;;;1;;;1
AD NieuwsMedia B.V.;1;;;;;1
Adfo Groep B.V.;1;;;;;1
Aeneas B.V.;1;;;;;1
AFC Ajax N.V.;;;;1;;1
Africa Coffee Academy;;;;1;;1
AG Connect B.V.;1;;;;;1
AGF Primeur B.V.;;;;1;;1
Agriculture Fisheries and Food Authority (AFFA);;;;3;;3
AgriHolland B.V.;1;;;;;1
Agrip Advies;;;1;;;1
Agripers B.V.;1;;;;;1
AgroConnect;1;;;;;1
AH Design Reclame & Belettering;;;;1;;1
Ahoy Rotterdam N.V.;;;;1;;1
Aided-Trade Limited;;;;2;;2
Airtec GmbH & Co. KG;;;;2;;2
Alex Aalders Bloemist;;;1;;;1
Alexios Party Catering B.V.;;;;2;;2
Allegra Events Ltd;;;;1;;1
allesin1studio.nl;;;;1;;1
Alter Ego Development;;;;1;;1
Alt-Tab Bedrijfsondersteuning;;2;;;;2
Ambachtelijke Slagerij Kevelam;;;;1;;1
Amigos International B.V.;;;;1;;1
Amsterdam Media B.V.;;;;;1;1
ANP Photo;;;;;1;1
ANP Video;;;;;1;1
Anwendungszentrum GmbH Oberpfaffenhofen;1;;;;;1
Apeldoornse Bierbrouwerij De Vlijt B.V.;;;;1;;1
Apricot;;;1;;;1
Arcgis Gebruikersgroep Nederland;1;;;;;1
Ardis Opleidingen B.V.;1;;;;;1
Arenda Oomen Fotografie;;;;;1;1
Argentum Hallintopalvelut Oy;;;;1;;1
Arjan Klopstra;;;;2;;2
