FID,omschr,afst_obst,pos_omschr,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
wegbermen_wegvak.1,Berm met geleideconstructie,3.25 -> 3.25,Middenberm,T,290304015,2014-11-01T00:00:00,57,131,029030401520141101,KLK0008085472,R,I,,"LINESTRING (145367.46449999884 452209.4600000009, 145440.9290000014 452203.9360000007)"
wegbermen_wegvak.2,Berm met geleideconstructie,1 -> 3.25,Middenberm,T,290304015,2014-11-01T00:00:00,0,39,029030401520141101,KLK0008085435,R,I,,"LINESTRING (145310.625 452213.7340000011, 145349.51520000026 452210.80970000103)"
wegbermen_wegvak.3,Geleide barriers,3.25 -> 3.25,Middenberm,T,290304015,2014-11-01T00:00:00,39,57,029030401520141101,KLK0003991191,R,I,,"LINESTRING (145349.51520000026 452210.80970000103, 145367.46449999884 452209.4600000009)"
wegbermen_wegvak.4,Berm met obstakels,,Buitenberm,H,261498031,2014-11-01T00:00:00,0,24,026149803120141101,KLK0008825309,R,I,,"LINESTRING (130819.0700000003 549062.8940000013, 130822.90700000152 549067.3269999996, 130825.04399999976 549072.6119999997, 130826.44399999827 549078.7080000006, 130824.38300000131 549084.7250000015)"
wegbermen_wegvak.5,Obstakelvrije berm,,Middenberm,T,261498031,2014-11-01T00:00:00,12,24,026149803120141101,KLK0008825312,R,I,,"LINESTRING (130825.14169999957 549073.0373000018, 130826.44399999827 549078.7080000006, 130824.38300000131 549084.7250000015)"
wegbermen_wegvak.6,Obstakelvrije berm,,Middenberm,T,120250025,2014-11-01T00:00:00,0,61,012025002520141101,KLK0009789911,L,I,,"LINESTRING (60067.20699999854 425070.86300000176, 60089.92199999839 425073.0219999999, 60127.36400000006 425079.6460000016)"
wegbermen_wegvak.7,Obstakelvrije berm,,Buitenberm,H,128217020,2014-11-01T00:00:00,8,150,012821702020141101,KLK0009846940,R,I,,"LINESTRING (64378.398299999535 408664.6469999999, 64427.34800000116 408683.8530000001, 64494 408716, 64506 408725)"
wegbermen_wegvak.8,Obstakelvrije berm,,Middenberm,T,128217020,2014-11-01T00:00:00,8,150,012821702020141101,KLK0009846941,R,I,,"LINESTRING (64378.398299999535 408664.6469999999, 64427.34800000116 408683.8530000001, 64494 408716, 64506 408725)"
wegbermen_wegvak.9,Verhoogde/verlaagde berm,,Buitenberm,H,140262015,2014-11-01T00:00:00,24,28,014026201520141101,KLK0009789743,L,I,,"LINESTRING (70301.6779000014 431043.07559999824, 70301.6259999983 431046.8209999986)"
wegbermen_wegvak.10,Obstakelvrije berm,,Middenberm,T,140262015,2014-11-01T00:00:00,24,28,014026201520141101,KLK0009789737,L,I,,"LINESTRING (70301.6779000014 431043.07559999824, 70301.6259999983 431046.8209999986)"
wegbermen_wegvak.11,Obstakelvrije berm,,Buitenberm,H,219431067,2014-11-01T00:00:00,8,16,021943106720141101,KLK0008036756,L,I,,"LINESTRING (109544.89719999954 515552.59420000017, 109551 515547)"
wegbermen_wegvak.12,Obstakelvrije berm,,Middenberm,T,219431067,2014-11-01T00:00:00,8,16,021943106720141101,KLK0008036753,L,I,,"LINESTRING (109544.89719999954 515552.59420000017, 109551 515547)"
wegbermen_wegvak.13,Obstakelvrije berm,,Middenberm,T,254493028,2014-11-01T00:00:00,7,29,025449302820141101,KLK0008825260,R,I,,"LINESTRING (127156.76260000095 546754.5866999999, 127159.44900000095 546757.5419999994, 127161.11300000176 546768.4499999993, 127158.7100000009 546774.9210000001)"
wegbermen_wegvak.14,Obstakelvrije berm,,Buitenberm,H,254493028,2014-11-01T00:00:00,0,29,025449302820141101,KLK0008825256,R,I,,"LINESTRING (127152.0540000014 546749.4070000015, 127159.44900000095 546757.5419999994, 127161.11300000176 546768.4499999993, 127158.7100000009 546774.9210000001)"
wegbermen_wegvak.15,Obstakelvrije berm,,Buitenberm,H,62196008,2014-11-01T00:00:00,0,28,006219600820141101,KLK0009790357,R,I,,"LINESTRING (31009.230000000447 398042.86100000143, 31012.6240000017 398034.2879999988, 31019.9459999986 398029.1090000011, 31029.80999999866 398027.5089999996)"
wegbermen_wegvak.16,Obstakelvrije berm,,Middenberm,T,62196008,2014-11-01T00:00:00,2,28,006219600820141101,KLK0009790359,R,I,,"LINESTRING (31009.966200001538 398041.00140000135, 31012.6240000017 398034.2879999988, 31019.9459999986 398029.1090000011, 31029.80999999866 398027.5089999996)"
wegbermen_wegvak.17,Obstakelvrije berm,,Buitenberm,H,64199030,2014-11-01T00:00:00,0,26,006419903020141101,KLK0009790335,R,I,,"LINESTRING (32466.74199999869 399888.688000001, 32465.313000001013 399881.186999999, 32467.63500000164 399873.1499999985, 32474.844999998808 399865.6319999993)"
wegbermen_wegvak.18,Obstakelvrije berm,,Middenberm,T,64199030,2014-11-01T00:00:00,9,26,006419903020141101,KLK0008132362,R,I,,"LINESTRING (32465.691599998623 399879.8764999993, 32467.63500000164 399873.1499999985, 32474.844999998808 399865.6319999993)"
wegbermen_wegvak.19,Obstakelvrije berm,,Middenberm,T,174308066,2014-11-01T00:00:00,6,24,017430806620141101,KLK0003995388,R,I,,"LINESTRING (87119.92700000107 454241.4635999985, 87131.70600000024 454227.8570000008)"
wegbermen_wegvak.20,Obstakelvrije berm,,Buitenberm,H,174308066,2014-11-01T00:00:00,6,24,017430806620141101,KLK0003995385,R,I,,"LINESTRING (87119.92700000107 454241.4635999985, 87131.70600000024 454227.8570000008)"
wegbermen_wegvak.21,Obstakelvrije berm,,Buitenberm,H,254493029,2014-11-01T00:00:00,0,11,025449302920141101,KLK0008825250,R,I,,"LINESTRING (127125.61499999836 546756.8020000011, 127130.79199999943 546750.7010000013, 127133.61140000075 546749.6801000014)"
wegbermen_wegvak.22,Obstakelvrije berm,,Buitenberm,H,254493029,2014-11-01T00:00:00,24,30,025449302920141101,KLK0008825256,R,I,,"LINESTRING (127145.9765000008 546747.9140000008, 127152.0540000014 546749.4070000015)"
wegbermen_wegvak.23,Berm met geleideconstructie,2.5 -> 2.5,Buitenberm,H,245490022,2014-11-01T00:00:00,0,128,024549002220141101,KLK0008149335,R,I,,"LINESTRING (122597.56500000134 545117.6350000016, 122609.31700000167 545117.879999999, 122676.88899999857 545134.2829999998, 122722.24430000037 545145.4550999999)"
wegbermen_wegvak.24,Obstakelvrije berm,,Middenberm,T,245490022,2014-11-01T00:00:00,0,149,024549002220141101,KLK0005633383,R,I,,"LINESTRING (122597.56500000134 545117.6350000016, 122609.31700000167 545117.879999999, 122676.88899999857 545134.2829999998, 122726.58799999952 545146.5249999985, 122741.30700000003 545149.8740000017, 122742.37090000138 545150.8315000013)"
wegbermen_wegvak.25,Obstakelvrije berm,,Buitenberm,H,245490022,2014-11-01T00:00:00,128,149,024549002220141101,KLK0004059037,R,I,,"LINESTRING (122722.24430000037 545145.4550999999, 122726.58799999952 545146.5249999985, 122741.30700000003 545149.8740000017, 122742.37090000138 545150.8315000013)"
wegbermen_wegvak.26,Berm met geleideconstructie,1.25 -> 1,Buitenberm,T,353162050,2015-06-01T00:00:00,0,60,035316205020150601,KLK0008822347,R,I,,"LINESTRING (176756.11400000006 381478.83999999985, 176770.49799999967 381477.0689999983, 176815.94900000095 381471.9549999982)"
wegbermen_wegvak.27,Berm met geleideconstructie,3.5 -> 3.5,Buitenberm,H,353162050,2015-06-01T00:00:00,0,60,035316205020150601,KLK0008822346,R,I,,"LINESTRING (176756.11400000006 381478.83999999985, 176770.49799999967 381477.0689999983, 176815.94900000095 381471.9549999982)"
wegbermen_wegvak.28,Berm met obstakels,,Buitenberm,H,214459025,2016-12-01T00:00:00,0,39,021445902520161201,KLK0008079107,L,I,,"LINESTRING (107355.24100000039 529853.4090000018, 107356.76000000164 529844.5890000015, 107359.9459999986 529832.7820000015, 107368.3900000006 529817.3720000014)"
wegbermen_wegvak.29,Obstakelvrije berm,,Middenberm,T,214459025,2016-12-01T00:00:00,0,2,021445902520161201,KLK0007073979,L,I,,"LINESTRING (107355.24100000039 529853.4090000018, 107355.58040000126 529851.438000001)"
wegbermen_wegvak.30,Berm met geleideconstructie,10.5 -> 1.75,Buitenberm,T,279224043,2016-08-01T00:00:00,24,38,027922404320160801,KLK0008650081,R,I,,"LINESTRING (139706.1570999995 412149.8335000016, 139715.54800000042 412149.3229999989, 139719.76999999955 412146.76000000164)"
wegbermen_wegvak.31,Berm met geleideconstructie,2 -> 2,Buitenberm,H,210397085,2017-07-01T00:00:00,8,31,021039708520170701,KLK0008104219,R,I,,"LINESTRING (105318.67810000107 498722.64510000125, 105319 498718, 105317.98999999836 498709.2710000016, 105322.77800000086 498701.243999999)"
wegbermen_wegvak.32,Ondergronds,2 -> 2,Buitenberm,H,210397085,2017-07-01T00:00:00,7,8,021039708520170701,KLK0008104218,R,I,,"LINESTRING (105318.60889999941 498723.6427000016, 105318.67810000107 498722.64510000125)"
wegbermen_wegvak.33,Obstakelvrije berm,,Middenberm,T,463373033,2017-09-01T00:00:00,10,17,046337303320170901,KLK0008783893,R,I,,"LINESTRING (231635.65239999816 486608.1409999989, 231642.1649999991 486607.6649999991)"
wegbermen_wegvak.34,Obstakelvrije berm,,Buitenberm,H,463373033,2017-09-01T00:00:00,9,17,046337303320170901,KLK0008783892,R,I,,"LINESTRING (231634.65509999916 486608.21389999986, 231642.1649999991 486607.6649999991)"
wegbermen_wegvak.35,Berm met geleideconstructie,4 -> 4,Buitenberm,H,248358030,2017-09-01T00:00:00,0,98,024835803020170901,KLK0008056432,R,I,,"LINESTRING (124071.36199999973 479474.77600000054, 124076.93499999866 479449.2969999984, 124090.7100000009 479421.1979999989, 124106.67700000107 479392.59099999815, 124110.23299999908 479385.95600000024)"
wegbermen_wegvak.36,Berm met obstakels,,Buitenberm,H,198266023,2016-04-01T00:00:00,0,3,019826602320160401,KLK0008124444,L,I,,"LINESTRING (99482 433343, 99482.86199999973 433345.8735000007)"
wegbermen_wegvak.37,Berm met obstakels,,Middenberm,T,198266023,2016-04-01T00:00:00,0,3,019826602320160401,KLK0008124442,L,I,,"LINESTRING (99482 433343, 99482.86199999973 433345.8735000007)"
