;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
@Wal;;;;;1;;;;1
100% Real Greek;;;1;;;;;;1
1892 Eten & Drinken;;;1;;;;;;1
1910 Restaurant;;;1;;;;;;1
'1e Klas' Grand Café Restaurant;;;1;;;;;;1
2 Seasons Beach;;;1;;;;;;1
3 vosjes;;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;;;5;;;;5
A Jenne Sjlaagboom;;;1;;;;;;1
A Million Faces B.V.;;;;1;;;;;1
A. Boezen;;;1;;;;;;1
A. Gaemers Chronometrie;;;1;;;;;;1
A. Langeveld V.O.F.;;;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;;;1
A. van Keulen Broekhuizen;;1;;;;;;;1
A.A. Nijhuis Taxi- en Rijwielbedrijf;;;;;;;;1;1
A.A. van der Heijden;;1;;;;;;;1
A.C.A. van Zon;1;;;;;;;;1
A.D.I. Associazione Doganale Italia;;;1;;;;;;1
a.t. werkt;;1;;;;;;;1
Aan de Beek BV;;;1;;;;;;1
Aart Stigter Running vof;;1;;;;;;;1
Abel. Grand CafÃ© Restaurant B.V.;;;1;;;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;;1
Academie voor Medezeggenschap B.V.;;;;;1;;;;1
Academy for Information & Managemen;;;;;2;;;;2
Academy for Leadership B.V.;;;;;2;;;;2
ACCS Gerechtsdeurwaarders B.V.;;;;;5;;;;5
Acte De PrÃ©sence;;;;;1;;;;1
Acteursbureau Kapok B.V.;4;;;;;;;;4
Actief in Werk;;;;1;;;;;1
Actors in Action;;;;;;1;;;1
Adlib Gebruikersgroep;;;;;1;;;;1
Adviesbureau Atim B.V.;;;;;2;;;;2
against all odds H.O. CafÃ© Charlies;;;1;;;;;;1
Agile Consortium (AC);;;;;1;;;;1
Airborne Museum Hartenstein;;;1;;;;;;1
AL HAYAT restaurant;;;1;;;;;;1
Alba-academie;;;;;1;;;;1
Alberts eten & drinken;;;1;;;;;;1
Ale House B.V.;;;2;;;;;;2
