Leveranciersnaam;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&ranj B.V.;;;;;1;;;;1
&samhoud People Equity B.V.;;;;;4;;;;4
12% of Meer;1;;1;;;;;;1
1910 Restaurant;;;1;;;;;;1
1e Klas' Grand Café Restaurant;;;1;;;;;;1
'1e Klas' Grand Caf� Restaurant;;;1;;1;;;;1
2KNOWHOW, art of change B.V.;;;;;1;;;;1
2-Tact;;;;1;;;;;1
365 dagen succesvol;;;;;1;;;;1
3DMens;;;;;2;;;;2
4shipping B.V.;;;;;;;;1;1
5hart-IT Opleidingen B.V.;;;;;1;;;;1
7AM B.V.;;;;;1;;;;1
7AM Den Haag B.V.;;;1;;;;;1;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;;;1
A.J. Vaessen thodn Multi-Vl. 's-Hertogenbosch;;;1;;;;;;1
A.V. Webwinkels;;;1;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;;;;;;;;1;1
AAB Management Services B.V.;;;;;1;;;;1
Aageka Webshops;;;1;;;;;;1
Aalsmeers Bloemenhuis;1;;1;;;;;;1
AAN Coaching;;;;;1;;;;1
AAS Opleiding en Training;;;;;2;;;;2
ABC Ballonnen Zeist B.V.;1;;;;;;;;1
ABC Display Industry B.V.;;;2;;;;;;2
Abel. Grand CafÃ© Restaurant B.V.;;;1;;;;;;1
ABP-Reclame;;;;;1;;;;1
Abrikoos Utrecht B.V.;1;;;;;;;;1
Absoluta Food and Facilities B.V.;;;1;;;;;;1
Academie Lokale Belastingen;;;;;1;;;;1
Academie voor Coaching B.V.;;;;;1;;;;1
Academie voor Psychologica;;;;;1;;;;1
Academie voor Vastgoed B.V.;;;;;2;;;;2
Academy for Leadership B.V.;1;;;;;;;;1
Accountor Nederland B.V.;;;1;;;;;;1
Achtienhonderdeenenvijftig (1851) B.V.;;;1;;;;;;1
A-Club B.V.;;;1;;;;;;1
Acquire Publishing B.V.;;;;;1;;;;1
Acradac;;;;;1;;;;1
Action Learning Business School Europe B.V.;;;;;1;;;;1
ACTME B.V.;;;;1;1;;;;2
Actuality B.V.;;;;;1;;;;1
Ad Hogerdijk Wijnen;;;1;;;;;;1
Adam Factory;;;1;;;;;;1
ADcreative;;;1;;;;;;1
Adigo Consulting;;;;1;1;;;;1
Adminds;;;;;1;;;;1
Advance Business Events;3;;;;;;;;3
Adventure & Ski Events;;;;;;;4;;4
Advies bij Arbeid B.V.;1;;;;;;;;1
advies Leren En Opleiden - LS Sales Training;;;;1;1;;;;1
Adviesbureau Kusters B.V.;2;;;;;;;;2
Adviesgroep voor Kantoorinnovatie AVK B.V.;;;;;1;;;;1
Advocatenkantoor Dijkgraaf B.V.;1;;;;;;;;1
Aegis Advocaten Noord B.V.;1;;;;;;;;1
Aeneas B.V.;;;;;2;;;;2
Aeromedical Expert Centre B.V.;1;;;;;;;;1
AFBD;;;;;1;;;;1
Afhaal De Palmboom;;;1;;;;;;1
African Wildlife Foundation;;;;;;;;1;1
Agathos Manag.- en Organisatieontwikk. B.V.;;;;;2;;;;2
Agilent Technologies Netherlands B.V.;1;;;;;;;;1
Agrima II B.V.;;;1;;;;;;1
AGUSTA WESTLAND;;;;;1;;;;1
Ahrend Nederland B.V.;1;;;;;;;;1
Aiki Art;1;;;;;;;;1
AikiContact;;;;;1;;;;1
Airbus Helic�pters Training Service;;;;;1;;;;1
AIRSIGHT;;;;;2;;;;2
Akkermans Leisure & Golf;;;2;;;;;;2
AKZO Nobel Industrial Chemicals B.V.;1;;;;;;;;1
AL HAYAT restaurant;;;1;;;;;;1
Al Mundo;;;1;;;;;;1
