FID,bevoegd_ge,vergunning,lozingsobj,x_coordina,y_coordina,vestiging,huisnummer,toevoeging,locatieoms,postcodege,postcodele,plaatsnaam,naam_1e_cp,telefoon_1,fax_1e_cp,email_1e_c,naam_2e_cp,telefoon_2,fax_2e_cp,email_2e_c,e_cp_bg,e_cp_bg_1,tno_nummer,ippc_plich,ippc_kerna,ind_actief,se_anno_cad_data,gdb_geomattr_data,shape
lozingsobjecten.1,ZHXXROTTERDAM,TESSENDERLO CHEMIE ROTTERDAM B.V.,TESSVLA,81632,435121,Zevenmanshaven,139, ,Bedrijfterrein,3133,CA,VLAARDINGEN,Dhr. F. Kasel,31621547634,31104452758,frank.kasel@aliphos.eu, , , , ,ZHARWTFA, ,13001,J,38,J,,,POINT (81632 435121.0001000017)
lozingsobjecten.2,ZHXXROTTERDAM,TRONOX PIGMENTS (HOLLAND) B.V.,TIOFINE2,78195,434995,PROFESSOR GERBRANDYWEG,2, , ,3197,KK,BOTLEK RT,Ron Breit,0181-246661, ,ron.breit@tronox.com, , , , ,ZHARWEVE, ,10073,J,19,J,,,POINT (78195 434995)
lozingsobjecten.3,ZHXXROTTERDAM,Tank Installatie Chemiehaven,NBM,78665,432680,Welplaatweg,20, , ,3197,KS,BOTLEK ROTTERDAM,Dhr. P.J. Kikkert,31104161444,31104380644, , , , , ,ZHARWMME, , ,N, ,J,,,POINT (78664.9998999983 432680.0001000017)
lozingsobjecten.4,ZHXXROTTERDAM,Tank Services Pernis,NWMPERN,85335,434200,PROPAANWEG,27, , ,3196,KH,VONDELINGENPLAAT RT,Dhr. O. Willekens,31104725600,31104725644,aldwin.krom@mwhglobal.com, , , , ,ZHARWJVT, ,11475,J,20,J,,,POINT (85335 434199.9998999983)
lozingsobjecten.5,ZHXXROTTERDAM,Tref Ego Substrates B.V.,BAATMOER,100461,411184,Graanweg,24, ,Op-en Overslagbedr van Veenproduk,4782,PP,MOERDIJK,Ir.T.J.van Wijk,0168-330577, , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (100460.9998999983 411184)
lozingsobjecten.6,ZHXXROTTERDAM,Tropicana Holding B.V.,CEPARC,94085,437160,Maasboulevard,100, , ,3063,SN,ROTTERDAM,L.C.F. Blom, , , , , , , ,ZHARWMIN, , ,N, ,N,,,POINT (94085.0001000017 437160.0001000017)
lozingsobjecten.7,ZHXXROTTERDAM,Tuinvisie Nieuwerkerk a/d IJssel,ARNHEMNY,103014,442828,Kortenoord,23, , ,2911,BD,NIEUWERKERK AD IJSSEL,dhr. T. Pots,0547-386120, , , , , , ,ZHARWABR, , ,N, ,J,,,POINT (103014.0001000017 442827.9998999983)
lozingsobjecten.8,ZHXXROTTERDAM,Unilever Nederland B.V. S.U.  Nassaukade,BERGHJ,94280,436605,Nassaukade,3, , ,3071,JL,ROTTERDAM,Dhr. T. Dorchain,31104394398, , ,Dhr. J. van Noord, , , ,ZHARWMVO, ,10733,J,29,J,,,POINT (94279.9998999983 436605.0001000017)
lozingsobjecten.9,ZHXXROTTERDAM,Unimills B.V.,UNIMILLS,103309,424508,Lindtsedijk,8, , ,3336,LE,ZWIJNDRECHT,J.J.A.G. Augspurger, , , , , , , ,ZHARWMVO, ,10097,J,29,J,,,POINT (103309.0001000017 424508.0001000017)
lozingsobjecten.10,ZHXXROTTERDAM,VAN DER GIESSEN-DE NOORD N.V.,GNK,104703,430420,ZUIDERSTEK,30, ,bouw scheepssecties/reparatie,2952,AZ,ALBLASSERDAM,Dhr. J.L. Defache, , , , , , , ,ZHARWEVE, , ,N, ,J,,,POINT (104703 430420.0001000017)
lozingsobjecten.11,ZHXXROTTERDAM,VAN MANNEKUS & CO.B.V.,MANNEKUS,86649,435159,NIEUWE WATERWEGSTRAAT,45, ,Wilhelminahaven,3115,HE,SCHIEDAM,Dhr. R. van Ree,31104091523, , , , , , ,ZHARWMME, , ,N, ,J,,,POINT (86649 435158.9998999983)
