Rijlabels;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
'1e Klas' Grand Café Restaurant;;;1;;;;;1
2 Know How;;;;;1;;;1
4 Coaching en Training;;;;;1;;;1
4xM-Mixed Media Match Makers;;;1;;;;;1
5hart-IT Opleidingen B.V.;;;;;2;;;2
707 Brand Consultancy B.V.;;2;;;2;;;2
7AM B.V.;1;;1;;;;;1
A. Brooijmans Hengstenh. K.I. en S.W. Station;;;1;;;;;1
a4 Training;;;;;1;;;1
Aaaaha! The Actor Factory B.V.;;;;;;1;;1
Aandacht voor Eten Deli;1;;;;;;;1
ABC Publicaties;;;;1;;;;1
Abrikoos Utrecht B.V.;1;;1;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;1
Academy for Integrative Medicine;;;;;1;;;1
Academy for Leadership B.V.;;;;;2;;;2
Academy Payroll Professionals;;;;;1;;;1
Accenture B.V.;;4;;;;;;4
Active Dance Music;1;;;;;;;1
Adelijn van Huis Kunstkijken;;;;;1;;;1
Advies & Interimman. V.O.F.;;;;;1;;;1
Adviesbureau Atim B.V.;;;;;1;;;1
Agile Communicatie;;;;;2;;;2
Agile Consortium (AC);;;;;1;;;1
Agile Works;;;;;1;;;1
Aidsfonds;;;;;1;;;1
Aiki Art;;;;;1;;;1
Albron B.V.;;;1;;;;;1
Albron Nederland B.V.;;;1;;;;;1
All Season Sports;1;;;;;;;1
Amaze Escape Events;;;1;;;;;1
Ana's Kuzin;1;;;;;;;1
Andermanskeuken;;;1;;;;;1
Anglo-File;1;;;;;;;1
Anne de Vette Training en Consultancy;;;;;1;;;1
Annette Postma;;1;;;;;;1
Antea Nederland B.V.;;1;;;1;;;1
AOG Contractonderwijs B.V.;;;;;1;;;1
Aqua Flor Bloembinderij;;;1;;;;;1
Arbo Unie B.V.;;;;1;;;;1
Arboduo B.V.;;;;1;;;;1
ArboNed B.V.;;5;;;;;;5
ARCADIS Nederland B.V.;;4;;;;;;4
Architectuurcentrum Aorta;;;1;;;;;1
Ardis Opleidingen B.V.;;;;;3;;;3
Ardis Organisatieontwikkeling B.V.;;;;1;3;;;3
Areamedia B.V.;;;;;1;;;1
Ariez Holding B.V.;;;;1;;;;1
Arkiva Horeca B.V.;;;1;;;;;1
Arko Sports Media B.V.;;1;;;1;;;1
Arnage Horeca B.V.;1;;1;;;;;1
Array Media B.V.;;;;;1;;;1
Art of Events;;;1;;;;;1
Art of Growing;;;;;1;;;1
Artige B.V.;;;1;;;;;1
ARTTRA Cultureel Organisatiebureau;;;;;;1;;1
Athene Palace B.V.;;;1;;;;;1
Atos Nederland B.V.;;3;;;;;;3
ATP Business Travel B.V.;;;;;;;2;2
ATP Den Haag;;;1;;;;2;2
ATP Maarssen;;;1;;;;;1
Attentio;;;1;;;;;1
August;;;1;;;;;1
AutiTalent B.V.;;;;;1;;;1
Automotive Publishing B.V.;;;;;1;;;1
Autoverhuurbedrijf Ad Rem B.V.;1;;;;;;;1
Avans Hogeschool B.V.;;;;;1;;;1
A-Vier Producties;;;;;1;;;1
Aviv B.V.;;1;;;;;;1
AyniSpirit;;;;;1;;;1
AZ Barbecue & Gourmet Partyservice B.V.;;;1;;;1;;1
B.V. Perscentrum Nieuwspoort;;;1;;;;;1
B+B Vakmedianet B.V.;;;;;2;;;2
Babel;;;;;1;;;1
Babel B.V.;;;;;1;;;1
Babycompany.nl;1;;;;;;;1
Bacchantes Wijnimport;;;1;;;;;1
Bahn Khoen Ying;;;1;;;;;1
Bakkerij Ammerlaan B.V.;;;1;;;;;1
Bakkerij en lunchroom van der Breggen;;;1;;;;;1
Bakkerij Hagedoren B.V.;;;1;;;1;;1
Bakkerij van Malkenhorst;1;;1;;;;;1
Balans & Impuls B.V.;;1;;;1;;;1
Ballon Express 2.0 B.V.;;;1;;;;;1
Banketbakkerij Boheemen;;;1;;;;;1
Banketbakkerij Borgman;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;1;;;;;1
Banketbakkerij, Chocolaterie Van Ingen;;;1;;;;;1
Bantex;;2;;;;;;2
Bar Restaurant Pavlov B.V.;;;2;;;1;;2
Bart Smit;1;;;;;;;1
Bart Versteeg fotograaf;1;;;;;;;1
Bartholomeus Gasthuis;;;1;;;;;1
Basis & Beleid Organisatie-Adviseurs B.V.;;;;;1;;;1
Bastiaanse Communication B.V.;;;;;1;;;1
Bastion Hotels Dakar Team;;;1;;;;;1
BautZuid As;1;;;;;;;1
BDL horeca;;;1;;;;;1
Beach Club WOW;;;;;;1;;1
Belgisch Biercafé Olivier B.V.;;;1;;;;;1
BeLife Zorg B.V.;;;;;1;;;1
Berenschot B.V.;;1;;;;;;1
Berenschot Groep B.V.;;;;1;;;;1
Bergh Delisse Events;;;1;;;;;1
Beroepsver. van Professionals in Sociaal Werk;;;;;1;;;1
Beroepsvereniging Vide;;;;;1;;;1
