OBJECTID,PUIC,OBEGINTIJD,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,OFFSET_VLAKPUNT,OFFSET_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,DOCUMENT,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,OP_TALUD,Shape__Area,Shape__Length
1,64f6518c92ad4054a20d6576b4ba5777,2021/07/01 00:00:00+00,2022/06/01 14:39:34+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.104055,"56,104055",16.338412,"16,338412",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159325.321087,385243.9975,51.45625729,5.4494328,0.464875,,283,gerealiseerd,Nee,0.464875,3.03979250002704
2,11abce4da19c4adeb7f52de68329a946,2021/07/01 00:00:00+00,2022/06/01 14:39:34+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.101457,"56,101457",14.120597,"14,120597",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159321.9588,385244.588,51.45626262,5.44938443,1.104395,,283,gerealiseerd,Ja,1.104395,6.04918639799195
3,53e3005a8c8f4f6289a97c11e8f393f8,2021/02/08 00:00:00+00,2021/02/08 12:32:41+00,L0004,Prorail,bestaand,0,531,c,531,531_c,Utrecht Centraal,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,37.019143,"37,019143",-49.534968,"-49,534968",Randstad Noord,RN,Utrecht,13,BAAN,Neerlands Midden,BAAN,Randstad Noord,RN,ProRail,137201.9095,454269.974659,52.07642127,5.12758481,10.822254,,283,gerealiseerd,Ja,10.822254,14.2396382568013
4,2a7aa35ef3104148b814261303763da0,2020/10/29 00:00:00+00,2020/11/02 05:50:50+00,L0004,Prorail,bestaand,0,553,c,553,553_c,Sittard,Mt-Vl,Maastricht - Venlo ,20.912374,"20,912374",14.710492,"14,710492",Zuid,Z,Roermond,25,BAAN,Limburg,BAAN,Zuid,Z,ProRail,187598.568216,334049.1495,50.9951652,5.85152954,11.010627,,283,gerealiseerd,Ja,11.010627,15.3889018883547
5,4b5c91fd99f246b6ba9193652b3e3aad,2020/10/30 00:00:00+00,2020/11/05 13:22:32+00,L0004,Prorail,bestaand,0,024,,24,024__,Deventer - Wierden,Dv-Aml,Deventer - Almelo ,2.856251,"2,856251",9.211036,"9,211036",Noord-Oost,NO,IJsselstreek,31,BAAN,Veluwe,BAAN,Noord-Oost,NO,ProRail,210534.6235,473924.41829,52.25055902,6.20045873,7.59912,,283,gerealiseerd,Nee,7.5991195,11.7994896240523
6,2289c635e43e49df96592c4d01d3faa7,2020/10/05 00:00:00+00,2020/10/06 12:39:48+00,L0004,Prorail,bestaand,0,063,,63,063__,Maastricht - Sittard,Mt-Vl,Maastricht - Venlo ,9.351269,"9,351269",13.638974,"13,638974",Zuid,Z,Maastricht,26,BAAN,Limburg,BAAN,Zuid,Z,ProRail,180622.893286,325815.528,50.92151178,5.75158653,18.777293,,283,gerealiseerd,Ja,18.7772935,28.0364740257768
7,fc59fdba07a64e9da09d2a9920b44192,2021/07/01 00:00:00+00,2022/06/01 14:39:35+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.101477,"56,101477",16.281455,"16,281455",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159323.638113,385245.948,51.45627484,5.44940861,0.397333,,283,gerealiseerd,Nee,0.3973335,2.72113560673697
8,e99e11fe0892469c8a4f83847d35a78f,2021/07/01 00:00:00+00,2022/06/01 14:39:35+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.104067,"56,104067",17.676214,"17,676214",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159326.360749,385244.8395,51.45626485,5.44944777,0.660809,,283,gerealiseerd,Ja,0.6608095,3.9610874718921
9,7e03a38448274878961dd22140c403a5,2021/07/01 00:00:00+00,2021/07/05 12:56:30+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.519511,"56,519511",-20.839531,"-20,839531",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159561.565619,384900.0295,51.45316361,5.45282737,4.605171,,283,gerealiseerd,Ja,4.6051705,10.0776574237273
10,7e311023d365452c9d073c5057dda942,2021/07/01 00:00:00+00,2021/07/05 12:56:30+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.519526,"56,519526",-18.344235,"-18,344235",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159563.4945,384901.612583,51.45317783,5.45285514,1.379121,,283,gerealiseerd,Nee,1.379121,4.69852016468028
11,93c76cb377ad405d9cd4a93d45eb3ad3,2021/07/01 00:00:00+00,2022/06/01 14:39:35+00,L0004,Prorail,bestaand,0,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,56.104035,"56,104035",14.097611,"14,097611",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,159323.5798,385242.587,51.45624463,5.44940773,1.104395,,283,gerealiseerd,Ja,1.104395,6.04918639799195
12,7f2b50571576448faec6d136c67777b9,2020/07/21 00:00:00+00,2020/07/21 14:01:40+00,L0004,Prorail,bestaand,0,625,b,625,625_b,Lage Zwaluwe,Bd-Rtd,Breda - Rotterdam Centraal ,17.251761,"17,251761",-33.358308,"-33,358308",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,104061.886278,413689.1085,51.70963767,4.65020223,21.560473,,283,gerealiseerd,,21.560473,28.5253611116138
