Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;Eindtotaal
BKV Medische Diensten B.V.;1;;;;;1
Conducto B.V.;;2;;;;2
De Argumentenfabriek B.V.;;;2;;;2
Deu Con Isaf - Mazar-e-Sharif;2;;;;;2
DEU EinsKtgt RS EinsWVSt Mazar-e Sharif;2;;;;;2
Deucon Isaf Prt Kunduz;1;;;;;1
Ecolog International FZE;1;;;;;1
Gartner Nederland B.V.;;;2;;;2
Mad Multimedia;;;5;;;5
Multiwacht Groep B.V.;1;;;;;1
Natuurbalans/Limes Divergens B.V.;;;2;;;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;2;;6;;;6
Optics11 B.V.;;;3;;;3
RDMG Uitgeverij B.V.;3;;;;;3
Roush;3;;;;;3
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;3;3
Stichting Faciliteiten ten behoeve van het Centraal Georganiseerd Overleg Militairen (SFCGOM);7;;;;;7
TeeuwenGroep Sprekersbureau B.V.;;;;1;;1
T-Minus Engineering B.V.;;;4;;;4
Anoniem 1;3;;;;;3
Eindtotaal;7;2;7;1;3;7
