Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;4-Diensten en middelen
!Pet (Automatiseerders, Boek- en Kantoorhandel, Competsoft);;;;;;;;1;;1
2 Getthere B.V.;;;;1;;;;;;1
Aafm (vh Arcadis Aqumen);3;2;3;3;;;;;;4
Aangeenbrug Electro;1;;;;;;;;;1
AED Service Nederland;;1;;;;;;;;1
Ajax Chubb Varel;;1;;;;;;1;;1
Albert Nolten Schoenen;;;;;;;;1;;1
Albron Catering;6;;;;;;1;;;6
Alewijnse Holding;;;;;;;1;;;1
All Office;;;;;;;;1;;1
Allekabels;;;;;;;;1;;1
Alleleijn Informatie Verzorging;;;;;3;;;;;3
Almeva;;;;;;;;1;;1
Aloys Roemaat Transport;;;;1;;;;;;1
Alt-Tab;;;;;1;;;;;1
Amazing Design;;;;;;;1;;;1
Andriessen Installatiebedrijf;;1;;;;;;;;1
ANP - Algemeen Nederlands Persbureau;;;;;;;1;;;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);;;;;;;;1;;1
Antonides;;;;;;;;2;;2
Aqua Mister (Aqua Active);1;;;;;;;;;1
Ara Groep (incl. HFM\Bovaco);;;;;1;;;;;1
ARAS Security;;1;;;;;;;;1
Arcgis Gebruikersgroep Nederland;;;;;;;;1;;1
ArtiMedès;;;;;;;1;;;1
Asito;;;2;;;;;;;2
ATK Grootkeukentechniek;1;;;;;;;;;1
ATN Beveiliging;;1;;;;;;;;1
Automatic Signal Rijsenhout;;1;;;;;;;;1
AUV Groothandel;;;;1;;;;1;;1
B&V Brandbeveiliging, Bedrijfshulpverlening;;1;;;;;;;;1
B. de Graaf Beheer;;;;1;;;;;;1
Banctec;;;;;1;;;1;;1
Banketbakkerij Boheemen;;;;;;;;1;;1
Banketbakkerij Partyservice Borgman;1;;;;;;;;;1
Banketbakkerij Rodenburg BV;1;;;;;;;;;1
Bas - Business Art Service;;;;;;;2;;;2
Bazuin & Partners Gerechtsdeurwaarders;;;;;;;;;1;1
BCM Music Systems;;;;;;;;1;;1
BCS - Bolman Cleaning Services;;;1;;;;;;;1
Beljaars Schapenpraktijk;;;;;;;;2;;2
Ben De Graaff Project;;;;;;;1;;;1
Benelux - Bureau Voor De Intellectuele Eigendom;;;;;;;;6;;6
Berendsen en De Graaf;;;;1;;;;;;1
Berric;;;;;;;;1;;1
Bever Zwerfsport;;;;;;;;2;;2
Bijenhuis Wageningen;;;;;;;;1;;1
BIM Media;;;;;;;;1;;1
Biocontrol Systems;;;;;;;;1;;1
BM Bert Muller Services;;;;;;;;1;;1
Bo Kramers Mediastyling;;;;;;;;1;;1
Bolhuis Café;1;;;;;;;;;1
Boma Harderclean;;;1;;;;;;;1
Boom Laboratorium Leverancier Meppel;;;;;;;;1;;1
Bouter;1;;;;;;;;;1
BP;;;;1;;;;;;1
Brady Groupe (incl. Seton, Transposafe);;;;;;;;1;;1
Brandpreventie Groep;;1;;;;;;;;1
Brandwijk Sales B.V.;;;;;;;;1;;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;;;;;;;3;;;3
Bright Caliber;;;;;;1;;;;1
Brink's Nederland;;;;1;;;;;;1
Bruikman Reclamestudio;;;;;1;;;;;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;;;1;;;;;;1
Buro van Riel Schoonmaakbedrijf;;;1;;;;;;;1
BVA Auctions B.V.;;;;;;;1;;;1
BVA Beurtvaartadres (inc transfollow);;;;;1;;;;;1
Canon (incl. Océ Nederland);;;;;2;;;4;;4
Capgemini;;;;1;;;;1;;1
Capriole Coffee-Service;1;;;;;;;;;1
Catharina Ziekenhuis;;2;;;;;;;;2
CC Document Management;;;;;3;;;;;3
CCV Services;1;;;;;;;;;1
Cendris (incl. Cendris Datacosulting);;;;1;;;;;;1
Central Point;;;;;;;;1;;1
Certafix;;;1;;;;;;;1
Cheeseworks;;;;;1;;;;;1
CIV Cooperatieve In- en Verkoopvereniging /Den Oever;;;;;;;;1;;1
CIV Cooperatieve In- en Verkoopvereniging Lauwerszee;;;;;;;;1;;1
CM Club Message Benelux (incl. Callfactory);;;;;;;;1;;1
Coca Cola Enterprises Nederland;1;;;;;;;;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;;;;;;2;;;2
Cold Tex;;;;;;;;1;;1
Colorwood Photo;;;;;2;;;1;;2
Combi Foto Sipkes;;;;;;;;1;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);6;;;;;;;;;6
Complex E-Techniek;;1;;;;;;;;1
Compu Stuff;;;;;;;;1;;1
Conrad Electronic;1;;;;;;;2;;2
Cool Water Service;1;;;;;;;;;1
Coolblue - Pda Shops;;;1;;;;;1;;1
Coördesign;;;;;;;;1;;1
Cormet Schoolcatering;1;;;;;;;;;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;;;;;1;;;;;1
Crowd Support B.V.;;2;;;;;;;;2
CSU Schoonmaak (vh. City Service);;;2;;;;;;;2
CTM Solutions;;;;;;;;1;;1
Cuperus Communicatie;;;;;1;;;;;1
CWS Nederland;;;3;;;;;;;3
DA' CARLO RISTORANTE-PIZZERIA;1;;;;;;;;;1
Dara;1;;;;;;;;;1
Datawyse;;;;;1;;;;;1
Datema Electronics;;;;1;;;;1;;1
DBMI (incl. GebiedsPromotieIndex);1;;;;;;;;;1
De Gelderse IJzerhandel;;;;;;;;1;;1
De Gulzige Kater Eet- en Drinkhuis;1;;;;;;;;;1
De Harense Smid (Him Haren);;;;;;;;1;;1
De Lage Landen (incl. Trade Finance/Plantijn/Vendorlease/Oce Finance);;;;;4;;;;;4
De Merkplaats;;1;;;;;;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;;;1;;;;;1
De Resolutie;;;;;2;;;;;2
De Rozijnenkorf;1;;;;;;;;;1
De Walrus Restaurant;1;;;;;;;;;1
De Weegschalenshop;;;;;;;;1;;1
Debets Kantoor En Meer;;;;;;;;1;;1
Dehullu Projekt (Dehullu Sign Sytems);;;;;1;;;;;1
Deli Xl;1;;1;;;;;;;1
Delta International;;;;;;;;1;;1
