ID openbaar;Dienst;Afdeling;Hoofdproces;Naam verwerking;Beschrijving;Toelichting (optioneel);Verwerkingsverantwoordelijke;Doeleinde;Grondslag AVG;Uitleg grondslag;Categorieën  Betrokkenen;Categorieën persoonsgegevens;Persoonsgegevens;Gevoelige persoonsgegevens;Bijzondere en strafrechtelijke persoonsgegevens;Categorieën  ontvangers;Doorgifte naar derde landen;Bewaartermijn;Technische en organisatorische maatregelen
1;SZW;Den Haag werkt ;WIO - Sociale werkvoorziening;Aanvragen subsidie bij derden (Wet Sociale Werkvoorziening) ;Het registreren van werknemersinformatie met als doel het aan kunnen vragen van subsidie voor het in dienst hebben van WSW-medewerkers. ;;College van B&W;Het aanvragen van subsidie voor WSW-medewerkers.;Publieke taak ;Wet Sociale Werkvoorziening ;WSW-medewerkers, Medewerkers externe organisaties ;"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- Arbeidsgegevens 
- Contactgegevens

 



";;;;Panteia ;;7 jaar na einde dienstverband ;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
2;SZW;Den Haag werkt ;Instroom en arbeidsontwikkeling;Arbeidsbemiddeling;Het verzorgen van handvatten voor de burgers van de gemeente Den Haag on hun re-integratie in de arbeidsmarkt te faciliteren. ;Ondersteunt het uitvoeren van de werkzaamheden in het kader van de participatiewet (bijv. intake, bemiddeling, training).;College van B&W;De re-integratie van burgers in de arbeidsmarkt. ;Publieke taak ;art. 17 en 53a Participatiewet, art. 13 en 44 IOAW/IOAZ, art. 38.2 Bbz;"Uitkeringsgerechtigden
Niet-uitkeringsgerechtigden
Aanvrager";"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- Arbeidsgegevens 
- Contactgegevens

Gevoelige persoonsgegevens: 
- BSN (Nationaal identificatienummer) 
- Financiële gegevens

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens

";;;;"Opdrachtnemers 
Werkgevers 
Indicatie- en reïntegratiebedrijven 
Sociaal team";;10 jaar;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
3;SZW;Inkomensondersteuning en Armoederegelingen;Bijstand;Beoordelen recht op bijstand;Het uitvoeren van de inkomensaspecten van de Participatiewet.;Ondersteunt de werkzaamheden die nodig zijn voor het uitvoeren van de Participatiewet zoals het behandelen van uitkeringsaanvragen, verstrekken van uitkeringen en toezien op de rechtmatigheid van gebruik. Maakt gebruik van diverse soorten gegevens uit andere registraties om een compleet klantbeeld te kunnen vormen voor verantwoorde uitvoering van de werkzaamheden. Suwinet vormt hierbij de belangrijkste gegevensbron via welke diverse soorten gegevens van organisaties uit de keten van Werk en Inkomen beschikbaar komen. De BRP vormt een andere belangrijke bron waar het systeem gegevens uit moet kunnen betrekken voor een goede ondersteuning van de werkzaamheden.;College van B&W;Het beoordelen van het recht op bijstand en het uitkeren van een bijstanduitkering aan de personen die daar recht op hebben.;Publieke taak ;"art. 53a Pw 
art. 62 Pw (gegevens opvragen en verstrekken door instanties)";"Aanvragers
Inwonenden
Verwanten";"Persoonsgegevens: 
- Persoonlijke gegevens

Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)
- financiële gegevens

Bijzondere  persoonsgegevens:
- Gezondheidsgegevens";;;;;;"Bij toekenning 10 jaar na beeindiging uitkering (Selectielijst  2017 8.1, Handreiking selectielijst 2017 6.5.1 )

Bij weigering 5 jaar na dato (Selectielijst  2017 8.2)";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
4;SZW;Den Haag werkt ;Social Return;Controle social return;Het controleren van de mate waarin externe bedrijven hun social return verplichtingen nakomen ;;College van B&W;"Controleren of opdrachtnemers van de gemeente mensen met een afstand tot de arbeidsmarkt in dienst nemen.
Beoordeling juistheid invulling van (extra) werkplekken voor de doelgroep van de
Participatiewet en de banenafspraak uit het Sociaal akkoord of andere groepen met een afstand tot de arbeidsmarkt. (WW,WIA)";Publieke taak ;"Art. 53a Pw
Art. 54 Wet Suwi";"Cliënten
Werkgevers
Medewerkers gemeente Den Haag ";"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- arbeidsgegevens 
- Contactgegevens

Gevoelige persoonsgegevens: 
- BSN (Nationaal identificatienummer) ";;;;Opdrachtnemer, tenzij deze zelf kandidaat aandraagt, gemeente Den Haag ;;10 jaar  Selectielijst  2017 8.1, Handreiking selectielijst 2017 6.5.1;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
5;SZW;Intensieve begeleiding;Dak- en thuislozenloket ;Dak- en thuislozenloket ;Opvang en begeleiden burgers zonder vaste woon of verblijfplaats (regiofunctie) ;Het registreren en vastleggen van dakloosheid en het daarvoor aannemen van aanvragen voor een uitkering, aan de hand waarvan verzorging en nachtopvang geregeld kan worden. ;College van B&W;Het opvangen en begeleiden van daklozen naar juiste zorg.;Publieke taak ;Art. 5.1.1 Wmo;Clienten die geen vaste woon of verblijfplaats hebben (Den Haag, Zoetermeer, Leidschendam-Voorburg, Rijkswijk);"Persoonsgegevens: 
- Persoonlijke gegevens
- Contactgegevens

Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)

Bijzondere persoonsgegevens:
- Gezondheidsgegevens ";;;;Hulpverleners in de keten, gemeentelijke hulpverleners;;Wmo, 15 jaar na afhandeling aanvraag;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
6;SZW;Inkomensondersteuning en Armoederegelingen;Bureau kinderopvang;Financiële ondersteuning kinderopvang;De gemeente kan een tegemoetkoming in de kosten van kinderopvang verstrekken. ;De gemeente kan een tegemoetkoming in de kosten van kinderopvang verstrekken voor 1/3 deel of 1/6 deel van de kosten. De hoogte van de tegemoetkoming is afhankelijk van de financiële situatie van de aanvrager.;College van B&W;Het beoordelen van het recht op een gemeentelijke tegemoetkoming kinderopvang.;Publieke taak ;Gemeentelijke regeling kinderopvang;"Aanvrager
Kind
Gastouder 
Gastouderbureau";"Persoonsgegevens: 
- Persoonlijke gegevens
- Contactgegevens

Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)
- Financiële gegevens
";;;;Beschikking naar de opvang (indien bekend) en de Jeugdarts;;Bij weigering en toekenning 5 jaar na dato (Selectielijst  2017 8.2);De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
7;SZW;Handhaving en fraude;Sociale Recherche;Fraude onderzoek sociale zekerheid;De ondersteuning van toezicht en handhaving binnen sociaal domein;;College van B&W;Het vaststellen rechtmatigheid uitkering dmv vergelijking met opgave en waarneming ter plaatse.;Publieke taak ;art. 17 en 53a Pwet;"Aanvrager en gezin
Onderhoudsplichtigen
Inwonenden
Derden
Relaties";"Persoonsgegevens: 
- Persoonlijke gegevens 
- Identiteitsgegevens (niet zijnde BSN)
-  Arbeidsgegevens

Gevoelige persoonsgegevens:
- Financiële gegevens
- BSN (Nationaal identificatienummer)

Bijzondere persoonsgegevens:
- Gezondheidsgegevens

Strafrechtelijke gegevens
";;;;"Corporaties
Iinlichtingen
Politie, 
OM
Banken";;7 jaar;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
8;SZW;Den Haag werkt ;Hallo Werk;HalloWerk ;Online platform voor werkzoekenden en werkgevers voor begeleiding naar werk op grond van de verplichtingen van de gemeente Den Haag uit hoofde van de Participatiewet.;;College van B&W;Werkzoekenden begeleiden naar het vinden van werk.;Publieke taak ;"Artikel 6 lid 1 sub e AVG
Artikelen 7, 9 en 53a Participatiewet 
Artikel 10, 54 en 62 Wet Suwi";"Client Participatiewet
Medewerkers
Werkgevers";"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- Contactgegevens
- Arbeidsgegevens 

Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)
- Financiële gegevens

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens

";;;;"Werkgevers
Medewerkers ";;"Wat betreft bewaartermijnen geldt dat deze voor profielen van kandidaten zijn vastgesteld op tien jaar wegens de plicht die de gemeente heeft op grond van de Participatiewet en de Archiefwet heeft om deze gegevens te bewaren. Deze bewaartermijn is vervolgens vertaald naar de Selectielijst gemeenten en intergemeentelijke organen 2020. 
De volgende categorieën en daarbij horende bewaartermijnen zijn daarmee van toepassing op HalloWerk:
•	Categorie 8.1 ‘Voorzieningen verstrekken’: indien de voorziening is verstrekt het resultaat 10 jaar bewaren vanaf einde verstrekking voorziening, daarna vernietigen.
•	Categorie 8.2 ‘Voorzieningen verstrekken’: indien de voorziening is geweigerd het resultaat 5 jaar bewaren vanaf weigering voorziening, daarna vernietigen.
•	Categorie 8.3 ‘Voorzieningen verstrekken’: indien de voorziening is beëindigd het resultaat 10 jaar bewaren vanaf beëindiging voorziening, daarna vernietigen.
•	Categorie 8.4.1 ‘Voorzieningen verstrekken’: indien de voorziening is afgebroken het resultaat 6 weken bewaren vanaf afbreken aanvraag voorziening, daarna vernietigen.";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
9;SZW;Inkomensondersteuning en Armoederegelingen;Inkomensondersteuning;Leveren inkomensondersteuning;Het uitvoeren van de inkomensaspecten van de Participatiewet.;Ondersteunt de werkzaamheden die nodig zijn voor het uitvoeren van de Participatiewet zoals het behandelen van uitkeringsaanvragen, verstrekken van uitkeringen en toezien op de rechtmatigheid van gebruik. Maakt gebruik van diverse soorten gegevens uit andere registraties om een compleet klantbeeld te kunnen vormen voor verantwoorde uitvoering van de werkzaamheden. Suwinet vormt hierbij de belangrijkste gegevensbron via welke diverse soorten gegevens van organisaties uit de keten van Werk en Inkomen beschikbaar komen. De BRP vormt een andere belangrijke bron waar het systeem gegevens uit moet kunnen betrekken voor een goede ondersteuning van de werkzaamheden.;College van B&W;Voorzien in inkomen op grond van landelijke en lokale regelgeving;Publieke taak ;art. 17, 53a Participatiewet, art. 13 en 44 IOAW, art. 13 en 44 IOAZ, art. 38 lid 2 Bbz, Wet inburgering, Wet op de taaleis,;"Aanvragers
Inwonenden";"Persoonsgegevens: 
- Persoonlijke gegevens


Gevoelige persoonsgegevens:
- BSN (Nationaal identificatienummer)
- financiële gegevens

Bijzondere gegevens:
- gezondheidsgegevens";;;;Sociale recherche, deurwaarders, rechtbank, ministerie BZK, gezondheidszorginstellingen, RDW, inlichtingenbureau, IND, COA, UWV, Politie, Rechtbank en andere gemeenten.;;"Stukken voor 2017 maximaal 20 jaar of 7 jaar na beëindiging; Stuikken vanaf 2017 maximaal 10 jaar na beëindiging";De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
10;SZW;Participatie;Participatie (statushouders, jongeren en regulier);Participatietraject ;Het stimuleren van burgers om deel te nemen aan de maatschappelijke omgeving van de gemeente Den Haag. Zoals bijvoorbeeld vrijwilligerswerk. ;;College van B&W;Maatschappelijke participatie van clienten bevorderen, met als doel terugkeer naar arbeidsproces.;Publieke taak ;art. 17 en 53a Pwet;Uitkeringsgerechtigden ;"Gewone persoonsgegevens: 
- Persoonlijke gegevens
- Contactgegevens

Gevoelige persoonsgegevens: 
- BSN (Nationaal identificatienummer) 

Bijzondere persoonsgegevens: 
- Gezondheidsgegevens

";;;;Opdrachtnemers, indicatie- en reïntegratiebedrijven;;10 jaar ;De gemeente Den Haag heeft in overeenstemming met de Baseline Informatiebeveiliging Overheid (BIO) passende technische en organisatorische maatregelen getroffen om de risico’s van misbruik, verlies, onbevoegde toegang en bewerking van persoonsgegevens te beperken.
