Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
200 OK;;;;;;1;;1
27images;;;1;;;;;1
2Basics B.V.;;;2;;;;;2
2CoolMonkeys B.V.;1;;;;;;;1
A.K. de Zwart B.V.;2;;;;;;;2
A.M.C. van Gorp;;;1;;;;;1
Aaaaha! The Actor Factory B.V.;2;;;1;;;;2
ABF Research B.V.;2;;;;;;;2
Accenture B.V.;;;;;;3;;3
Adviesbureau Van Montfoort B.V.;1;;2;;;;;2
Aenova B.V.;1;;;;;;;1
AKD;;;2;;;;;2
Aknet;;;1;;;;;1
Andersson Elffers Felix;4;;5;;;;;6
Ankerpunt.com B.V.;2;;;;;;;2
Anne Frank Stichting;2;;;;;;;2
Annie - creatief Tekstw. & schrijftrainingen;;;;2;;;;2
APE Public Economics B.V.;1;;4;;;;;4
APG Service Partners B.V.;4;;;;;;;4
ArboNed B.V.;1;;;;;;;1
ARCADIS Nederland B.V.;1;;;;;;;1
Ardis Opleidingen B.V.;;;;;;2;;2
Ardis Organisatieontwikkeling B.V.;;2;;1;;2;;2
Arenda Oomen Fotografie;;;;1;;;;1
Argos Beheer B.V.;;;2;;;;;2
Arteria Consulting B.V.;;;2;;;;;2
Assistis;1;;;;;;;1
Atos B.V.;;;;;;5;;5
Atos Nederland B.V.;4;;1;;;2;;4
AutiTalent B.V.;;;;;;2;;2
Avanade Netherlands B.V.;;;;;;2;;2
AVB Language Group B.V.;;;;1;;;;1
Axway B.V.;;;;;;1;;1
B & A B.V.;1;;;;;;;1
Babs van Geel Fotografie;;;1;;;;;1
Baecke Advies;1;;;;;;;1
Bakker Corporate Advies en Support;1;;;;;;;1
Barbarossa Beach B.V.;1;;;;;;;1
Bart van Vliet Freelance Fotograaf;1;;;;;;;1
Beer advocaten N.V.;;;2;;;;;2
Ben Faydherbe;;;;3;;;;3
Berenschot Groep B.V.;1;;4;;2;;;4
Bijl PR B.V.;;;;1;;;;1
BKFF bas kijzers fotografie en film;1;;;;;;;1
BMC;;;2;;;;;2
BMC Advies B.V.;3;;4;;;;;4
Boer & Croon Corporate Finance B.V.;2;;;;;;;2
Bokhorst Communicatie;;;;1;;;;1
BPI Services B.V.;2;;;;;1;;2
Brainmoves;1;;;;;;;1
Breinbrekers;;;1;;;;;1
Brinkhof N.V.;;;;;2;;;2
Broelando;;;;1;;;;1
BSA Schaderegeling B.V.;;;;;1;;;1
Bureau aan Zee B.V.;;;1;;;;;1
Bureau BlauwGeel B.V.;;;1;;;;;1
Burgers Beheer B.V.;;;;;;1;;1
Buro FIT B.V.;;;2;;;;;2
Capgemini N.V.;;;;;;5;;5
Capgemini Nederland B.V.;6;;;;;6;;7
CC Organisatieadviseurs B.V.;2;;;;;;;2
Cebeon Centr. Beleidsadviserend Onderz. B.V.;2;;;;;;;2
Charles River Laboratories Den Bosch B.V.;;;2;;;;;2
Cimsolutions;;;;;;4;;4
Cinop Advies B.V.;3;;;;;;;3
CM Online B.V.;;;;;;1;;1
Common Eye B.V.;1;;;;;;;1
COMPAREX Nederland B.V.;;;;;;2;;2
Congress by design;2;;;;;;;2
ConnectTools B.V.;1;;;;;;;1
ConsultingKids;;;2;;;;;2
Coöp. Koepel zorgcoöperaties Z Nederland UA;;;2;;;;;2
Coöperatieve vereniging MEE NL UA;;;2;;;;;2
Corpus Experience Beheer B.V.;2;;;;;;;2
CQT Zorg & Gezondheid;2;;5;;;;;5
Crisisplan B.V.;1;;;;;;;1
Dagvoorzitter.nl;1;;;;;;;1
De Argumentenfabriek Groep B.V.;;;2;;;;;2
De Doelen;;;;1;;;;1
De Jonge Specialist;2;;;;;;;2
Debatrix;;;;1;;;;1
Deloitte Accountants B.V.;4;;;;;;;4
Deloitte Financial Advisory Services B.V.;;;2;;;;;2
Denkschets.nl;;;;1;;;;1
Desan Marktonderzoek B.V.;1;;;;;1;;1
Di-AcetylM B.V.;7;;;;;;;7
DiaVentie Management Consulting;;;;;;1;;1
Doekle Terpstra Advies;2;;2;;;;;3
DSP-Groep B.V.;;;2;;;;;2
ECORYS Nederland B.V.;2;;5;;;;;5
Effectory Publieksmonitor B.V.;;;1;;;;;1
Eiffel B.V.;;;;;;4;;4
Elles van Goozen - Decor & Architectuur;2;;;;;;;2
Emakina;1;;;;;;;1
EMLoriaux Healthcare Compliance;;;;;;2;;2
EMMA Communicatie B.V.;4;;;;;;;4
EMZet Coaching, Inter.- en Proj. Man. V.O.F.;;;1;;;;;1
EN4S B.V.;2;;;;;1;;2
EnablE-U B.V.;;;;;;4;;4
Entopic B.V.;;;2;;;;;2
Ergo B.V.;1;;;;;;;1
Ergosport Breda;;;;1;;;;1
Ernst & Young Accountants LLP;4;;4;;;;;5
E-Space B.V.;;;2;;;;;2
F. Haverkamp Holding B.V.;;;;;;2;;2
F.I. van Heerikhuizen;;;;1;;;;1
Face Two B.V.;3;;;;;;;3
Facilion B.V.;;;;1;;;;1
Faktor5;;;1;;;;;1
Federatie Medisch Specialisten;3;;;;;;;3
Fine Arts Productions John van Helvert;1;;;;;;;1
FMMU B.V.;4;;;;;;;4
Fysergo B.V.;;;;;;2;;2
Gartner Nederland B.V.;2;;;;;3;;4
Gezonde Stad Advies;;;2;;;;;2
GfK Netherlands B.V.;2;;;;;;;2
Grafisch Buro van Erkelens B.V.;1;;;;;;;1
Grinwis Zonneveld;;;;;;2;;2
Guppies in the Dark B.V.;1;;;;;;;1
Gupta Strategists B.V.;3;;;;;;;3
H.J.M. Zonderland Fotografie;;;;1;;;;1
Haai B.V.;1;;;;;;;1
HeadFirst B.V.;;;;;;4;;4
Het Nederlandse Rode Kruis;1;;;;;;;1
Het NIC B.V.;;;1;;;;;1
Hiemstra + Rutten Produkties B.V.;;;;1;;;;1
Hollandse Hoogte B.V.;1;;;;;;;1
Homans & Menting;5;;5;;;;;6
Hoofdkantoor Stichting Antes;1;;;;;;;1
Hooftman Consultancy;2;;;;;;;2
Hotel Contact B.V.;1;;;;;;;1
I & O Research B.V.;;;4;;;;;4
I. Schilperoord;;;1;;;;;1
I.v.O.v. Maatsch. Vraagstukken;;;2;;;;;2
IdeeVersa B.V.;3;;;;;;;3
Ieder-In;2;;;;;;;2
Illustratiestudio Jutta Raith;;;;1;;;;1
In Vorm B.V.;;;;1;;;;1
In2Content B.V.;;;;1;;;;1
in60seconds B.V.;;;;1;;;;1
Infomedics Factoring B.V.;2;;;;;;;2
Inforwijzer;;;2;;;;;2
Ingrid Brons Tekst en Training;1;;;;;;;1
Innovative Solutions in Media (ISM);;;;;;1;;1
Intraval, Buro voor Onderzoek & Advies;4;;;;;;;4
iQibt B.V.;2;;;;;;;2
Iron Mountain Nederland B.V.;;;1;;;;;1
Isolease B.V.;1;;;;;;;1
J.B. Lorenz B.V.;2;;;;;;;2
Jeroen Poortvliet Fotografie;1;;;;;;;1
Joh. Enschedé Facilities B.V.;3;;;;;;;3
Johan Wakkie Advies;;;2;;;;;2
Jongvws, Verenig. voor Jonge VWS-Medewerkers;1;;;;;;;1
Joop Spee Personeelsmanagement & Coaching;;1;;;;;;1
Joris Fischer;;;2;;;;;2
Julie Teeken;1;;;;;;;1
Just B.V.;2;;;3;;;;3
Kartonwinkel;;;;1;;;;1
Kees Kaptein Teksten;1;;;1;;;;2
Kessels & Smit, the Learning Company B.V.;;;;1;;;;1
Kiwa Carity B.V.;5;;4;;;;;6
KNMP Holding B.V.;1;;;;;;;1
Kon. Ned. Mij. tot Bevord. der Geneeskunst;4;;;;;;;4
KPMG Advisory N.V.;5;;6;;;2;;6
KPMG Audit;4;;;;;;2;5
KPN Consulting B.V.;;;;;;1;;1
KPN Corporate Market;;;;;;1;;1
krijn van beek;2;;;;;;;2
Kris Kras context, content and design;;;;1;;;;1
Kwink Groep B.V.;;;3;;;;;3
Lapidair Teksten;;;;2;;;;2
Laurie Ickenroth Strategisch Adviseur;2;;;;;;;2
Leeuwendaal Advies B.V.;2;;;;;;;2
Letterlijk en Figuurlijk (L.E.F.);1;;;;;;;1
Lloyd's Register Nederland B.V.;1;;2;;;;;2
Logistiek Optima Forma (L.O.F.) B.V.;1;;;;;;;1
Lost Lemon B.V.;;;2;;;;;2
LPBL B.V.;2;;;;;;;2
Maak Mantelzorg Mogelijk;2;;;;;;;2
Maartje Eigeman;;;2;;;;;2
MAEXchange B.V.;2;;;;;;;2
Mare Holland B.V.;2;;;;;;;2
Margo Weerts - Verbinden & Vernieuwen;2;;;;;;;2
Maven Publishing B.V.;1;;;;;;;1
Mazars Paardekooper Hoffman;;;;;;1;;1
MBO Raad;;;1;;;;;1
MetrixLab Nederland B.V.;2;;;;;;;2
Mies/Tekst en Training;2;;;;;;;2
MIX B.V.;;;;;;3;;3
Moduli Print B.V.;;;;1;;;;1
Moneypenny.nl B.V.;2;;;;;;;2
Motion & Media;;;;1;;;;1
Motivaction International B.V.;1;;4;;;;;4
Mproof Beheer B.V.;;;;;;1;;1
MPS B.V.;2;;;;;;;2
Muconsult B.V.;3;;;;;;;3
Nationale Beeldbank B.V.;;;;1;;;;1
Native Consulting B.V.;;;;;;1;;1
Necto Consultancy;2;;;;;;;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;4;;1;;;;;4
Nederl. Ver. voor Technische Geneeskunde;1;;1;;;;;1
Nederlands Huisartsen Genootschap;;;1;;;;;1
Nederlands Instituut van Psychologen (N.I.P.);;;4;;;;;4
NetSolid;;;1;2;;;;2
Networking4all B.V.;;;;1;;;;1
NH Den Haag;1;;;;;;;1
NH Grand Hotel Krasnapolsky;3;;;;;;;3
NLO Shieldmark B.V.;1;;;;;;;1
Noblesse Oblige B.V.;2;;;;;;;2
Noto Services B.V.;;;2;;;;;2
NRC Handelsblad Weekeditie voor buitenland;;;;1;;;;1
Nuchter B.V.;4;;;;;;;4
NVKC Ver. v. Klin. Chem. & Laborat.geneesk.;1;;;;;;;1
O.K.A. de Jong;;;1;;;;;1
Oasis Data & Document Management Netherlands;;;2;;;;;2
OmnicomMediaGroup Nederland B.V.;1;;;2;;;;2
Onestopsourcing B.V.;2;;;;;;;2
Onlyhuman B.V.;;;;2;;;;2
Ontwerpwerk B.V.;;;;;;2;;2
Oorlogsgravenstichting;1;;;;;;;1
Ordina Beheer & Outsourcing;4;;;;;3;;4
Ordina Technologie & Competenties B.V.;;;;;;2;;2
Organisatie van Nederlandse Tandprothetici;2;;;;;;;2
OVG;1;;;;;;;1
Palatium Amstelodamum N.V.;1;;;;;;;1
Panteia B.V.;;;5;;;;;5
