2015: weekoverzichten F-16 inzet anti-ISIS coalitie;;;
Week;M = aantal uitgevoerde missie-opdrachten  ;W = aantal keren wapeninzet  (x) = cumulatief;Overzicht operaties 
;;;
Week 1;M: 14;W: 6;In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Al-Anbar en Ninawa nabij de plaatsen Baghdad en Mosul, vond 6 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 2;M: 8 (22);W: 5 (11);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 8 missies. In de Iraakse provincies Ninawa, Al-Anbar en Sala Ad-Din nabij de plaatsen Baghdad, Mosul en Kirkuk, vond 5 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen en wapensopstellingen waren het doelwit.
Week 3 ;M: 11 (33);W: 3 (14);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincies Al-Anbar, Ninawa en Sala ad-Din nabij de plaatsen Baghdad en Mosul, vond 3 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 4 ;M: 12 (45);W: 5 (19);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincie Ninawa nabij de plaatsen Mosul en Tabankort, vond 5 keer wapeninzet plaats. ISIS strijders, voertuigen, logistieke opslagplaatsen en wapenopstellingen waren het doelwit.
Week 5 ;M: 17 (62);W: 8 (27);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 17 missies. In de Iraakse provincies Al-Anbar, Al-Ta’mim en Ninawa nabij de plaatsen Fallujah, Mosul, Kirkuk en Baghdad, vond 8 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 6 ;M: 16 (78);W: 4 (31);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 16 missies. In de Iraakse provincies Al Ta’mim en Ninawa nabij de plaatsen Mosul en Kirkuk, vond 4 keer wapeninzet plaats. Logistieke opslagplaatsen waren het doelwit. 
Week 7 ;M: 10 (88);W: 1 (32);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincie Al Ta’mim nabij de plaats Kirkuk, vond 1 keer wapeninzet plaats. Logistieke opslagplaatsen waren het doelwit.
Week 8 ;M: 13 (101);W: 4 (36);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 13 missies. In de Iraakse provincies Al-Anbar en Ninawa nabij de plaatsen Mosul en Baghdad, vond 4 keer wapeninzet plaats. Logistieke opslagplaatsen en wapenopstellingen waren het doelwit. 
Week 9 ;M: 12 (113);W: 3 (39);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincie Al-Anbar nabij de plaats Baghdad, vond 3 keer wapeninzet plaats. ISIS strijders en logistieke opslagplaatsen waren het doelwit.
Week 10 ;M: 12 (125);W: 5 (44);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincies Al-Anbar, Kirkuk en Ninawa nabij de plaatsen Kirkuk, Baghdad en Mosul, vond 5 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 11 ;M: 10 (135);W: 2 (46);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincies Ninawa en Kirkuk nabij de plaatsen Kirkuk en Mosul, vond 2 keer wapeninzet plaats. Voertuigen en logistieke opslagplaatsen waren het doelwit.
Week 12 ;M: 10 (145);W: 3 (49);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 10 missies. In de Iraakse provincies Al-Anbar en Kirkuk nabij de plaatsen Kirkuk en Baghdad, vond 3 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen en voertuigen waren het doelwit. 
Week 13 ;M: 14 (159);W: 6 (55);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Ninawa, Al-Anbar en Sala ad-Din nabij de plaatsen Tikrit, Fallujah en Mosul, vond 6 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 14 ;M: 18 (177);W: 3 (58);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 18 missies. In de Iraakse provincie Ninawa nabij de plaats Mosul, vond 3 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen en wapenopstellingen waren het doelwit. 
Week 15 ;M: 12 (189);W: 3 (61);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincies Ninawa en Al-Anbar nabij de plaatsen Baghdad en Mosul, vond 3 keer wapeninzet plaats. ISIS strijders, wapenopstellingen en logistieke opslagplaatsen waren het doelwit.
Week 16 ;M: 12 (201);W: 8 (69);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 12 missies. In de Iraakse provincies Al-Anbar, Kirkuk en Ninawa nabij de plaatsen Mosul, Baghdad en Kirkuk, vond 8 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen, wapenopstellingen en voertuigen waren het doelwit. 
Week 17 ;M: 13 (214);W: 9 (78);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 13 missies. In de Iraakse provincies Ninawa, Al-Anbar en Erbil nabij de plaatsen Mosul, Baghdad, Kirkuk en Erbil, vond 9 keer wapeninzet plaats. ISIS strijders, voertuigen, logistieke opslagplaatsen en wapenopstellingen waren het doelwit.
Week 18 ;M: 14 (228);W: 6 (84);In de strijd tegen terreurorganisatie ISIS ondersteunden Nederlandse F-16’s grondtroepen tijdens 14 missies. In de Iraakse provincies Al-Anbar, Ninawa en Sala ad-Din nabij de plaatsen Mosul, Baghdad en Kirkuk, vond 6 keer wapeninzet plaats. ISIS strijders, logistieke opslagplaatsen en wapenopstellingen waren het doelwit. 
Week 19 ;M: 11 (239);W: 5 (89);In de strijd tegen terreurorganisatie ISIS ondersteunen Nederlandse F-16’s grondtroepen tijdens 11 missies. In de Iraakse provincies Kirkuk, Al-Anbar en Sala ad/Din nabij de plaatsen Baghdad en Kirkuk, vond 5 keer wapeninzet plaats. ISIS strijders, voertuigen, logistieke opslagplaatsen en wapenopstellingen waren het doelwit.
