TYPE;BEHEERDER;STRAAT;X;Y;LONGITUDE;LATITUDE
Standaard;Gemeente;Meindert Hobbemastraat;106445.587;427818.615;4.68270373921413;51.8368403070889
Standaard;Gemeente;Aert de Gelderstraat;106484.501;427893.698;4.6832577971996;51.8375185281483
Standaard;Gemeente;Meindert Hobbemastraat;106435.627;427786.377;4.68256375849925;51.8365496887055
Standaard;Gemeente;Lisdreef;107899.994;428120.708;4.70376396877001;51.8396800267705
Standaard;Gemeente;Kastanjelaan;107829.313;428120.175;4.7027384972575;51.8396692716719
Standaard;Gemeente;Kastanjelaan;107829.647;428114.328;4.70274414053161;51.8396167473516
Standaard;Gemeente;Meelbeshof;107907.776;427811.747;4.70391892898669;51.8369037565985
Standaard;Gemeente;Meelbeshof;107900.594;427814.106;4.70381440725929;51.8369243536723
Standaard;Gemeente;Campanulahof;108045.323;427933.497;4.70589802167695;51.8380096188136
Standaard;Gemeente;Meelbeshof;107873.906;427801.98;4.70342885332038;51.83681311491
Standaard;Gemeente;Akeleizoom;107856.385;427923.858;4.70315804488573;51.8379070700487
Standaard;Gemeente;Meelbeshof;107910.922;427782.309;4.70396857872636;51.8366394344297
Standaard;Gemeente;Meelbeshof;107908.066;427780.213;4.70392742767457;51.836620354921
Standaard;Gemeente;Meelbeshof;107901.191;427777.439;4.703828059321;51.8365948427233
Standaard;Gemeente;Meelbeshof;107897.634;427776.834;4.70377653498446;51.8365891050965
Standaard;Gemeente;Meelbeshof;107905.047;427814.161;4.7038790065332;51.8369252234489
Standaard;Gemeente;Notenhof;107764.461;427934.63;4.701822858075;51.8379961225614
Standaard;Gemeente;Haagbeukhof;107458.863;427677.699;4.69742425768091;51.8356609158498
Standaard;Gemeente;Anemoonhof;108235.41;427969.837;4.70865107348324;51.8383521874676
Standaard;Gemeente;Wilgenhof;107829.14;427370.995;4.70283810511063;51.8329356628118
Standaard;Gemeente;Wilgenhof;107840.27;427395.131;4.70299628288472;51.833153535803
Standaard;Gemeente;Wilgenhof;107717.003;427493.584;4.70119455258541;51.8340280078018
Standaard;Gemeente;Ericahof;108206.989;427567.229;4.70829315084809;51.834731182582
Standaard;Gemeente;Duindoornhof;108362.156;427909.927;4.71049811420657;51.8378243155141
Standaard;Gemeente;Kokardebloem;107320.275;427204.846;4.6954787384752;51.8313991273442
Standaard;Gemeente;Kokardebloem;107316.721;427217.141;4.69542548766195;51.8315093308679
Standaard;Gemeente;Kokardebloem;107319.938;427210.433;4.69547308011798;51.8314493142566
Standaard;Gemeente;Kokardebloem;107309.684;427205.972;4.69532494186865;51.8314083438374
Standaard;Gemeente;Kokardebloem;107294.531;427175.365;4.69510933844728;51.8311319560351
Standaard;Gemeente;Kokardebloem;107373.131;427298.411;4.69623263602158;51.8322445930972
Standaard;Gemeente;Kokardebloem;107366.536;427291.855;4.69613786409237;51.832185105857
Standaard;Gemeente;Kokardebloem;107366.261;427289.816;4.69613415524843;51.8321667559826
Standaard;Gemeente;Kokardebloem;107362.248;427288.829;4.69607607431604;51.8321575427153
Standaard;Gemeente;Rembrandtlaan;106584.234;427406.265;4.68477298597413;51.8331461692136
Standaard;Gemeente;Kokardebloem;107301.786;427183.845;4.69521341614153;51.831208793269
Standaard;Gemeente;Kokardebloem;107288.194;427170.338;4.69501810231102;51.8310862324918
Standaard;Gemeente;Kokardebloem;107291.467;427164.78;4.6950663487378;51.8310365569644
Standaard;Gemeente;Kokardebloem;107309.222;427197.777;4.6953193687772;51.8313346481591
Standaard;Gemeente;Vrijheer van Eslaan;107192.057;426960.576;4.6936524411634;51.8291926844051
Standaard;Gemeente;Kokardebloem;107302.055;427194.158;4.69521589739538;51.8313015089528
Standaard;Gemeente;Kokardebloem;107309.528;427186.151;4.69532540958155;51.8312301803819
Standaard;Gemeente;Madeliefstraat;107255.395;427355.481;4.69451676008383;51.8327474860637
Standaard;Gemeente;Kamperfoeliestraat;107003.268;427238.662;4.69087529687067;51.8316759203129
Standaard;Gemeente;Hortensiastraat;107068.546;427198.641;4.69182781836581;51.8313218179083
Standaard;Gemeente;Kievitsbloemstraat;107135.544;427163.592;4.69280458890184;51.8310125431636
Standaard;Gemeente;Kennedylaan;107233.029;426942.918;4.69424922085174;51.8290374793939
Standaard;Gemeente;Kennedylaan;107331.418;426979.705;4.69567139007147;51.8293765218754
Standaard;Gemeente;Kennedylaan;107363.392;427022.193;4.69612936313679;51.8297611289833
Standaard;Gemeente;Kennedylaan;107362.195;427021.167;4.69611214031603;51.8297518052874
Standaard;Gemeente;Kennedylaan;107380.744;427221.995;4.69635359091151;51.8315584188673
Standaard;Gemeente;Kennedylaan;107342.081;427161.168;4.69580108714271;51.831008412164
Standaard;Gemeente;Kennedylaan;107363.464;427074.734;4.6961231775938;51.8302333711324
Standaard;Gemeente;Kennedylaan;107425.722;427153.928;4.69701543490047;51.830950467723
Standaard;Gemeente;Kennedylaan;107426.82;427152.48;4.69703156220806;51.8309375466621
Standaard;Gemeente;Kennedylaan;107471.372;427259.676;4.69766314405264;51.8319048109793
Standaard;Gemeente;Kennedylaan;107423.344;427245.233;4.69696838879972;51.8317709101493
Standaard;Gemeente;Kennedylaan;107411.017;427293.156;4.69678297339211;51.832200589829
Standaard;Gemeente;Andoornlaan;108712.676;427777.896;4.71560143723659;51.8366667805296
Standaard;Gemeente;Andoornlaan;108708.699;427762.192;4.71554583748322;51.8365253038732
Standaard;Gemeente;Westkil;108447.25;427700.305;4.71176093400524;51.8359473384913
Standaard;Gemeente;Westkil;108480.972;427788.6;4.7122383138353;51.8367437402217
Standaard;Gemeente;Westkil;108468.291;427728.535;4.71206240731622;51.8362028218555
Standaard;Gemeente;Westkil;108525.437;427741.722;4.71288973233729;51.8363261034238
Standaard;Gemeente;Westkil;108506.152;427689.264;4.71261698516618;51.835853007845
Standaard;Gemeente;Westkil;108301.291;427433.275;4.7096793490557;51.8335350995143
Standaard;Gemeente;Westkil;108447.959;427609.683;4.71178341032677;51.8351328900053
Standaard;Gemeente;Westkil;108449.319;427610.153;4.71180307803654;51.8351372276801
Standaard;Gemeente;Westkil;108405.104;427575.305;4.71116629697199;51.8348203288319
Standaard;Gemeente;Westkil;108405.694;427576.96;4.71117463383804;51.8348352531285
Standaard;Gemeente;Westkil;108445.665;427575.953;4.71175466614877;51.8348295346719
Standaard;Gemeente;Westkil;108446.655;427574.684;4.71176919970428;51.8348182114411
Standaard;Gemeente;Westkil;108558.768;427676.295;4.71338209270894;51.8357408196052
Standaard;Gemeente;Westkil;108548.783;427524.722;4.71325757206904;51.8343776557969
Standaard;Gemeente;Westkil;108473.217;427621.984;4.71214820057403;51.8352455552333
Standaard;Gemeente;Westkil;108476.471;427364.422;4.71223003179299;51.8329308666447
