Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;1-Personele exploitatie
7Am;;;1;;1;;;2
A4 Training;;;;;1;;;1
Aaltsje Wester Communicatie;;;;;1;;;1
About Flowers;;;1;;;;;1
Academie Voor De Rechtspraktijk;;;;;1;;;1
ACCRETOR;;;;;1;;;1
Ace Performance;;;;;1;;;1
AD SPEK JACHTBOUW;;;1;;;;;1
All in Verhuur;;;1;;;1;;1
Alpina van Houwening & Ijsselstijn;;;1;;;;;1
ALWIN SLOMP PHOTOGRAPHY;;;;1;;;;1
Ambassade Hotel;;;1;;;;;1
Ambidex Promotions;;;;;1;;;1
Annelies Kraan & partners;;;;;1;;;1
AOG Contractonderwijs (incl. Academie voor Management);;;;;2;;;2
Arcam Architectuur Centrum Amsterdam;;;1;;;;;1
Ardis Management Development;;;1;;4;;;4
Artiestenverloningen;;;1;;;;;1
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);;;;;;;1;1
Avans;;;;;1;;;1
Aveq Show Theatre & Congress Facilities;;;;;;1;;1
Avetica;;;;;1;;;1
B+B Vakmedianet;;;;;1;;;1
Babbilage Restaurant-Brasserij;;;1;;;;;1
Bakker & Schnabel Training;;;;;1;;;1
Banketbakkerij Boheemen;;;1;;;;;1
Belfleur Bloemenatelier;;;1;;;;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;;;;5;;;5
BERWIN BUITENSPORT;;;;1;;;;1
Bever Zwerfsport;;;;1;;;;1
Bex Communicatie;;;;;2;;;2
BJU Boom Juridische Uitgevers (incl. Sun);;;1;;1;;;1
BLOEMENKIOSK GINA;;;1;;;;;1
Blossom Bloemisterij;;;1;;;;;1
BMW;;;;;;;1;1
Boerderij Meyendel;;;;;;1;;1
Boertiengroep (incl. Ncatb);;;;;1;;;1
Bol.Com;;;;1;;1;;1
Booij Klusman en van Bruggen;;;;2;;;;2
Boomerang Beach (vh Billabong Beach);;;1;;;;;1
Boosty;;;1;;;;;1
BPP Professional Education (incl. MVP Markus Verbeek Praehep);;;;;1;;;1
Brain Box Mediatraining;;;;;3;;;3
Britten, à table!;;;1;;;;;1
Broadcast Organizers;;;1;;;;;1
Broekmeulen Renée Tekst & Training;;;;;1;;;1
Brouwersdam Zeil- en Surfcentrum;;;1;;;;;1
Buiten Strandpaviljoen;;;1;;1;;;1
Buitengoed Hagenhorst;;;1;;;;;1
Burggolf;;;1;;;;;1
CAPPON COACHING & TRAINING;;;;;2;;;2
Carina Tapas;;;1;;;;;1
Carlton Hotel;;;;;;;1;1
Carolien Nout Journalistieke;;;;1;;;;1
Casa Caroni den Haag Restaurant;;;1;;;;;1
Central Point;;;;;;1;;1
CHIMP CHANGE AND IMPACT;;;;;1;;;1
Chinese School Nederland;;;;;1;;;1
Christian Restaurant;;;1;;;;;1
CJH Cozijnsen h/o Jos Cozijnsen;;;;;1;;;1
Cloos Eetcafé;;;1;;;;;1
Compacon & Partners;;;1;;;;;1
Conferentiecentrum Kaap Doorn;;;;;1;;;1
Connexxion;;;;;;;4;4
Conquaestor Management Consulting;;;;;2;;;2
Cooking & Booking;;;1;;;1;;1
COOLEN EXPERTISE B.V.;1;;;;;;;1
Copex Air Cargo, Air, Movers&Packers;;;;;;;1;1
Corael Opleidingen;;;;;1;;;1
COUWENBERGH COMMUNICEERT;;;;;1;;;1
Culpepper Beachclub;;;1;;;;;1
Daan Limburg;;;;;1;;;1
Dataweb Internetdiensten;;;;1;;;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;;;;;2;1;1;2
De Basiliek Restaurant;;;1;;;;;1
De Bierelier Muziekcafé;;;1;;;;;1
De Echoput Restaurant;;;;;;;1;1
De Eeuwige Jachtvelden Café-Restaurant;;;1;;;1;;1
De Franse Stap Culinair;;;1;;;;;1
De Hofstad Taxicentrale;;;;;;;1;1
De Jongens;;;1;;;;;1
De Knip Restaurant;;;1;;;;;1
De Kookfabriek;;;1;;;;;1
De Kwartel Strandpaviljoen;;;1;;;;;1
De Lange & Partners;;;;;1;;;1
De Lof der Zotheid Restaurant Café Diner;;;1;;;;;1
De Ondersteen;;;;;1;;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;;1;;;1;;1
De Schenker;;;1;;;;;1
De Tuyn Restaurant (J.A.W. Groeneveld);;;1;;;;;1
De twee linden;;;1;;;;;1
De Witte Raaf Hotel-Restaurant;;;1;;;;;1
De Ysbreeker;;;1;;;;;1
Den Haag Marketing & Events;;;2;;;;;2
Dendy Bar Restaurant;;;1;;;;;1
Denk Producties;;;;;1;;;1
Derlon Hotel Maastricht;;;;;;;1;1
Designthinkers;;;;;;1;;1
Diana Koster VrouwenCoach & Verloskundige;;;;;1;;;1
D-ICT Solutions/Slim Bekeken;;;;;2;;;2
Discountoffice.nl;;;;;;;1;1
Distinguished (Jan Jaap van Weering);;;;;1;;;1
Dopper;;;1;;;;;1
Double Healix Educational Media;;;;;1;;;1
DREWSTAR ENTERTAINMENT AND MUSIC;;;1;;;;;1
Dunea (Duinwaterbedrijf Zuid-Holland);;;1;;;;;1
DUNGELMANN B.V.;;;1;;;;;1
E&M Exportmanagement;;;;;1;;;1
Ecorys Nederland (incl. Ecorys-Kolpron);;;;;1;;;1
EEN WERELD VAN VERSCHIL;;;;;1;;;1
