Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
123Accu B.V.;;;;;;;;1;;1
123RF B.V.;;;;;1;;;;;1
1798 Dinercafé;1;;;;;;;;;1
24horeca B.V.;;;;;;;;1;;1
2cook4u;1;;;;;;;;;1
2sisters;1;;;;;;;;;1
3DMens;;;;;1;;;;;1
3K Horeca B.V.;;;;;1;;;;;1
3M Nederland B.V.;;2;;1;;;;4;;4
4b-Plus B.V.;;;;;;;2;;;2
4walls;;;;;;;1;1;;1
4XM Music, Media, Management & More;;;;;1;;;;;1
7AM Den Haag B.V.;1;;;;2;;;;;2
A & C Presentations;;;;;;;;1;;1
A & P Investments B.V.;2;1;1;1;1;1;3;2;;4
A&W Zonwering en Interieur;;;;;;;1;;;1
A. Timmerman's IJzerhandel B.V.;;;1;;;;;1;;1
A. Tufi t.h.o.d.n. Supervlaai;1;;;;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;;1;2;;;1;;2
A. Wijnen B.V.;;;1;;;;;;;1
A.A.B. Koeriers;;;;1;;;;;;1
A.J. Alblas Beheer B.V.;;;;;;;;1;;1
A.J. Vaessen thodn Multi-Vl. 's-Hertogenbosch;1;;;;;;;;;1
A.J. van der Linde B.V.;;;;;;;;1;;1
A.M.I. Complete Project Interieurs;;;;;;;1;;;1
A.P.S.;1;;;2;;;;;2;3
Aaaaha! The Actor Factory B.V.;;;;;1;;;;;1
AAB Beveiligingen B.V.;;2;;;;;;;;2
aadesign;;1;;1;;;;;;1
Aakwadraat Networks B.V.;;;;;;;2;;;2
Aannemersbedrijf M.J. Teunissen B.V.;;;;;;;1;;;1
Aannemersbedrijf Peters B.V.;;;;;;;1;;;1
Aannemersbedrijf Versteeg;;;;;;;1;;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;;1;1;;;3;2;;3
AAP Klimsportspecialist B.V.;;;;;;;;1;;1
Aarts Vissers Wijnen;;;;;1;;;;;1
AAS Opleiding en Training;;2;;;;;;;;2
Abiom Communication Systems (A.C.S.) B.V.;;;;;;;;2;;2
ABO Opleidingen V.O.F.;;1;;;;;;;;1
About Flowers;;;;;1;;;;;1
Absoluta Food and Facilities B.V.;1;;;;1;;;;;1
Abson C.V.;;;;;;;1;1;;1
Acal Technology Netherlands;;;;;;;1;;;1
Accountor Nederland B.V.;;;;;;;;;1;1
Ackermans Handelsonderneming;;;;;;;;1;;1
ACM Opleidingen B.V.;;2;;;;;;;;2
Active Collecting Control & Services B.V.;;;;;;;;;1;1
ACV Beveiligingstechniek B.V.;;1;;;;;;1;;1
Ad Eight Media advies & uitvoering;;;;;1;;;;;1
Ad Hosman;;;;;1;;;;;1
A'damse Med. Speciaalz. Fa. A. Vos & Zoons;;;;;;;1;;;1
Adler International C.V.;;;;1;;;;1;;1
Administratiekantoor J.A. Rijswijk V.O.F.;;;;;;;1;;;1
Adv. en Evenementen Organisatiebureau Jerrink;;;;;;;1;;;1
Advanced Security Solutions B.V.;;;;;;;;1;;1
Aecom V.O.F.;;1;;;;;;;;1
AED Solutions B.V.;;1;;1;;;;1;;1
AEDcompany.nl;;1;;1;;;1;;;1
Aegon Nederland N.V.;1;1;;;;;;;;2
Aerophoto Eelde;;;;;1;;;;;1
Afd. Anl. van de Kon. Nederl. Ver. E.H.B.O.;;1;;;;;;;;1
Afd. Eelde/Paterswolde vd Kon. Ned. Ver. EHBO;;1;;;;;;;;1
AGC Beverwijk;;;;;;;1;;;1
Agilent Technologies Netherlands B.V.;;;;;;;;1;;1
Agrifirm Plant B.V.;;;;;;;;1;;1
Agrifirm-Welkoop;;;;1;1;;1;;;1
Aha Drukwerk;;;;;;;;1;;1
Ahrend Inrichten;;;;;;;3;;;3
Ahrend International B.V.;;;;;;;1;2;;2
Ahrend Nederland B.V.;;;;1;;;5;2;;5
Ajax-Chubb Brandbeveiliging B.V.;;2;;;;;;;;2
Ako Sol B.V.;;;;;;;2;;;2
Akoestiek Comfort B.V.;;;;;;;2;;;2
Alanya Kebab;1;;;;;;;;;1
Albany Door Systems B.V.;;1;;;;;;;;1
Albert Heijn B.V.;1;;;;1;;;;;1
Alberts Kunsthandel;;;;;;;1;;;1
Albron Nederland B.V.;7;;1;;;;1;;;7
Albyco Nederland B.V.;;;;;;;1;1;;1
Alciatus Beheer B.V.;;;;;1;;;;;1
Alert Teleservices B.V.;;1;;;;;;;;1
Alewijnse Holding B.V.;;;;;;;1;;;1
Alfred's Holding B.V.;;;;;1;;;;;1
Alga B.V.;;;;;;;;1;;1
All Dent B.V.;;;;;;;;1;;1
All In Verhuur B.V.;;;;;;;1;;;1
Allas-van Heezen B.V.;;;;;;;1;;;1
Allekabels B.V.;;;;;;;;1;;1
Allekante B.V.;;;;;1;;;;;1
Alltech/Applied Science B.V.;;;;;;;;1;;1
ALM Afbouwgroep;;;;;;;1;;;1
Aloys Lurvink;1;;;;;;;;;1
Aloys Roemaat Transport B.V.;;;;1;;;;;;1
Alp Lift B.V.;;;;;;;1;1;;1
Alpheios B.V.;;;1;;;;1;1;;2
Alphense Sleutel & Sloten Service;;;;;;;1;;;1
Altec Industriële Identificatie;;;;;;;;1;;1
ALTER - HAAGLANDEN sleutels - sloten;;;;;;;1;;;1
Altrex B.V.;;;;;;;;1;;1
Alup Grassair Kompressoren B.V.;;;;;;;1;1;;1
Alvero Kantoormeubelverhuur B.V.;;;;;;;1;1;;1
Am tech;;;;;;;;1;;1
A-Mac B.V.;;;;;;;;1;;1
Amadore Hotel Restaurant Arneville;;;;;1;;;;;1
Amazing Bread Company B.V.;1;;;;2;;1;;;2
Ambachttechniek;;;;;;;;1;;1
Ambius B.V.;;;1;1;;;;;;1
Ami IJsblokjes;1;;;;;;;;;1
Amsterdam Boats B.V.;;;;;1;;;;;1
Amsterdam Flowers;;;;;1;;;;;1
Andersson Elffers Felix;;;;;2;;;;;2
André's Bloemen B.V.;;;;;1;;;;;1
Andrevo Naaimachines B.V.;;;;1;;;;;;1
Anja's Broodjesdienst;1;;;;;;;;;1
anoniem;2;;;1;2;;1;1;1;2
Antalis B.V.;;;;;;;;1;;1
Antea Group;;;;;;;1;;;1
Anticimex;1;;2;;;;;;;2
APAC Services B.V.;;;;;;;;1;;1
apetito B.V.;1;;;;1;;;;;1
APG Service Partners B.V.;;;;;;;4;;;4
Apotheek Ypenburg;;1;;;;;;;;1
Applied Biosystems;;;;;;;;4;;4
Aps (Dsluis,Veer,Schans,Schouw);1;;;;;;;;;1
Aqua;;;;;;;1;;;1
Aqua Chain Holland B.V.;1;;;;;;1;1;;2
Aqua Flor Bloembinderij V.O.F.;;;;;1;;;;;1
Aquacare Europe B.V.;;;;1;;;1;;;1
Aquaco B.V.;;;;;;;1;1;;1
Aquarius Repro;;;;;1;;;;;1
ARAS Security B.V.;;;;;;;;1;;1
Arbo Safe B.V.;;1;;;;;;;;1
Archangel Bouw B.V.;;;;;;;;1;;1
Argus Etiketten B.V.;;;;;;;;1;;1
Arian Tuintechniek;;;1;;;;1;;;1
Aristo Amsterdam B.V.;;;;;1;;;;;1
ArjoHuntleigh Nederland B.V.;;;;;;;;1;;1
Arkin Holding B.V.;;1;;;;;;;;1
Arma Verhuur Horeca B.V.;;;;;;;1;;;1
Arnauld Geschenken B.V.;;;;;1;;;;;1
Arob Antennebouw B.V.;;;;;;;;1;;1
Arriva Touring;;;;;1;;;;;1
Arseus Dental Nederland B.V.;;;;1;;;1;1;;1
Art & Allposters International B.V.;;;;;;;;1;;1
Art 4 U;;;;;;;2;;;2
ART At Work B.V.;;;;;;;1;1;;1
Artige B.V.;;;;;;;;1;;1
Artihove Regina B.V.;;;;1;;;;;;1
Arts & Dennissen Catering;1;;;;;;;;;1
arvato Finance B.V.;;;;;1;;;;;1
Arveon B.V.;;;;;;;1;;;1
ASB Security B.V.;;1;;;;;;;;1
Ascom (Nederland) B.V.;;2;;;;;1;1;;3
ASP Dienstverlening B.V.;;;1;;;;1;;;1
Asphalia B.V.;;1;;;;;;;;1
ASSA ABLOY Nederland B.V.;;;;1;;;1;1;;1
Astare;;1;;;;;;;;1
Asya B.V.;;;;;;;;1;;1
Atal B.V.;;;;;;;;1;;1
Atelier Van Zijderveld;;;;;;;1;;;1
Atir Schoonmaakstrategen;;;3;;;;1;;;3
ATK Grootkeukentechniek B.V.;;;;;;;;1;;1
Atlas Copco Tools Nederland;;;;;;;;1;;1
Atletiekvereniging Startbaan;;;;;1;;;;;1
Atos Nederland B.V.;;;;;;;1;;;1
Atradius Collections B.V.;;;;;;;;;1;1
ATS Systems B.V.;;2;;;;;;;;2
Auberge du Bonheur B.V.;;;;;1;;;;;1
Audio Video Wolbers;;;;;;;1;;;1
Augie;;;;1;;;;;;1
Auke Smits Publiciteit B.V.;;;;;1;;;;;1
Auto Poets Centrum Breda B.V.;;;1;;;;;;;1
Automatic Signal Rijsenhout B.V.;;3;;;;;;;;3
Autoverhuur Sloothaak B.V.;1;;;;;;;;;1
AV Partners;;;;;;;;1;;1
AV Point Europe B.V.;;;;;;;;1;;1
AVDD B.V.;;2;;;;;;;;2
Aveq Show Theatre & Congress Facilities;;;;;1;;;;;1
Avetica B.V.;;;;;;;1;;;1
Avex B.V.;;;;;;;;1;;1
Aviodrome Exploitatie B.V.;1;;;;1;;;;;1
Aviste B.V.;;;;;;;;1;;1
Axent Groen B.V.;;;1;;;;1;;;1
Azerty Hardware;;1;;;;;;;;1
Aziatisch Restaurant Jasmijn & Ik;1;;;;;;;;;1
Aziatische Bloemsierkunst V.O.F.;;;;;1;;;;;1
B & V Brandbeveiliging B.V.;;2;;;;;;;;2
B&D Creative;;;;;1;;;;;1
B&G Catering Service;1;;;;;;;;;1
B. en S. Luxe Verhuur V.O.F.;;;;1;;;;;;1
B. van Loon Groentechniek B.V.;;;;;;;;1;;1
B.M. R. Multimedia;;;;;;;;1;;1
B.S.B. Reclame;;;;;;;1;;;1
B.T.B. Fire & Medical Support B.V.;;1;;;;;;;;1
B.V. Bouwbedrijf Breumelhof;;;;;;;1;;;1
B.V. Brandveiligheid & Riskmanagement;;1;;;;;;;;1
B.V. Bunkercentrale Bece;;;;1;;;;1;;1
B.V. Fryslan Miljeu Bedrijfsservice (Omrin);;;2;;;;;;;2
B.V. Glashandel Markendaal;;;;;;;1;;;1
B.V. Installatiebureau A.L. van Wijlen;;1;;;;1;;1;;1
B.V. Korthofah;;;;;;;;1;;1
B.V. Nederlands Onderwijs Instituut;;;;1;;;;;;1
B.V. Princeville Exploitatie;;;;;1;;;;;1
B.V. Schildersbedrijf Noud van Bussel;;;;;;;1;;;1
B.V. Technisch Bureau Jacot;;;;;;;;1;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;;;;1;;1
B.V.D.A. International B.V.;;;;1;;;1;1;;1
B+B Vakmedianet B.V.;;1;;;;;1;1;;1
Babo café;;;;;1;;;;;1
Bacchus Utrecht B.V.;;;;;1;;;;;1
Bagels & Beans Vivaldi;;;;;1;;;;;1
bagsandboxes;;;;;1;;;;;1
Bakery Cafe Kottier;;;;;1;;;;;1
Bakker De Houthandel B.V.;;;;;;;1;;;1
Bakker Derks 'Der Deutsche Backer';1;;;;1;;;;;1
Bakker Professional B.V.;1;;;;;;;1;;1
Bakker Wim;1;;;;;;;;;1
Bakkerij A.M.J. Verbeek;1;;;;;;;;;1
Bakkerij Bos;1;;;;;;;;;1
Bakkerij Brokking;1;;;;;;;;;1
Bakkerij De Lekkerbek B.V.;1;;;;1;;;;;1
Bakkerij Deterd B.V.;1;;;;;;;;;1
Bakkerij Hardeman;1;;;;;;;;;1
Bakkerij Scheunhage;1;;;;;;;;;1
Bakkerij Spanjer;1;;;;;;;;;1
Bakkerij Struiksma Almere;1;;;;;;;;;1
Balk Holding B.V.;;;;1;;;;;;1
Ballon Express 2.0 B.V.;;;;;1;;;;;1
Ballon Express B.V.;;;;;1;;;;;1
Bally's eten & drinken;1;;;;;;;;;1
Baltes Bedrijfshygiene;;;1;;;;;;;1
BAM Bouw en Techniek regio Zuidwest;;;;;;;1;1;;1
BAM Techniek - Fire Protection;;1;;;;;;1;;1
Bamihuisje;1;;;;;;;;;1
Banketbakkerij Arnold Cornelis B.V.;;;;;1;;;;;1
Banketbakkerij Boheemen;1;;;;1;;;;;1
Banketbakkerij Borgman;;;;;1;;;;;1
Banketbakkerij De Jong;;;;;1;;;;;1
