Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;;2;;;1;2
20/20 Coaching;;;;;;1;;;;1
2KNOWHOW, art of change B.V.;;;;;;1;;;;1
365 dagen succesvol;;;;;;1;;;;1
3K Horeca B.V.;;;;;;;;;1;1
4Meetings & Events;;;;;;1;;;;1
50+ Carrière B.V.;;;;;;1;;;;1
54Events B.V.;;;;;;;;;1;1
5HART-IT B.V.;;;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;;;;3;;;;3
A Chatzipetrou;;;;;;;;;1;1
A Solution;;;;;;;;;1;1
A. de Jong T.H. Beheer;;;;;;1;;;;1
A. Tabak;1;;;;;;;;;1
A. Twigt;;;;;;2;;;;2
A.C. Brouwer;;;;;;;;;1;1
A.J. Bronkhorst;;;;;1;;;;;1
A.J. catering & Meer;;;;1;;1;;;;1
Abrikoos Utrecht B.V.;;;;1;;;1;;;1
Ac Restaurants & Hotels BV;;;;;;;;;1;1
Acad. voor Middenmanagement (AvMM) Coöp. UA;;;;;;1;;;;1
Academie voor Organisatiecultuur B.V.;;;;;;1;;;;1
Academie voor Psychodynamica;;;;;;1;;;;1
Academy for Leadership B.V.;;;;;;1;;;1;1
Academy of European Law;;;;;;1;;;;1
Academy Payroll Professionals;;;;;;1;;;;1
AcanChia UG&Co.KG;;;;;;;;;1;1
Achmea Pensioen- en Levensverzekeringen N.V.;1;;1;;;;;;;1
Achmea Vitale;;;2;;;;;;;2
Acteursbureau Renze Arnold;;;;;;1;;;;1
Acuity CRM B.V.;;;;;;1;;;;1
Adenda;;;;;;;;;1;1
Adfo Groep B.V.;;;;;;1;;;;1
Adviesbureau Kans B.V.;;;;;;1;;;;1
Aeneas B.V.;;;;;;1;;;;1
Aes Consultancy;;;;;;1;;;;1
AEVES B.V.;2;;;;;;;;;2
Afd. Ned. Van de World's Poultry Science Ass.;;;;;;1;;;;1
Agency for Agricultural Markets and Rural Development (AKTRP);;;;;;;;;3;3
Agilent Technologies Sanigi B.V.;;;;;;1;;;;1
Agrio Uitgeverij B.V.;;;;;;1;;;1;1
Ahrend Nederland B.V.;;;2;;;;;;;2
Ahuis Organisatieontwikk. Training Coaching;;;;;;3;;;;3
Albers Adviezen;;;;;;1;;;;1
