ID,SUBTYPE,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,POSITIONELE_NAUWKEURIGHEID_MM,NAAM,STATUS,OPPERVLAKTE
3520211,steiger,2014/02/13 08:23:47+00,G0546,Leiden,bestaand,1,283,,,4.782
3520212,steiger,2015/09/16 10:14:20+00,G0599,Rotterdam,bestaand,1,283,,,173.043
3520213,steiger,2018/11/28 08:47:32+00,G0547,Leiderdorp,bestaand,1,283,,,30.882
3520214,steiger,2015/09/23 11:14:45+00,G0599,Rotterdam,bestaand,1,283,,,27.516
3520215,steiger,2015/09/16 10:14:20+00,G0599,Rotterdam,bestaand,1,283,,,358.723
3520217,steiger,2015/09/23 11:14:45+00,G0599,Rotterdam,bestaand,1,283,,,53.982
3520219,steiger,2013/09/10 10:07:59+00,G0599,Rotterdam,bestaand,1,283,,,21.612
3520222,hoogspanningsmast,2015/09/18 13:03:31+00,G0599,Rotterdam,bestaand,0,283,,,4.839
3520224,steiger,2015/09/23 11:14:45+00,G0599,Rotterdam,bestaand,1,283,,,1525.634
3520225,hoogspanningsmast,2015/09/18 13:03:31+00,G0599,Rotterdam,bestaand,0,283,,,4.839
3520226,steiger,2017/02/24 20:45:22+00,G0546,Leiden,bestaand,1,283,,,1.94
3520236,steiger,2015/11/05 14:50:46+00,G0505,Dordrecht,bestaand,1,283,,,8.812
3520237,steiger,2015/11/05 14:50:46+00,G0505,Dordrecht,bestaand,1,283,,,39.04
3520238,steiger,2015/11/05 14:50:46+00,G0505,Dordrecht,bestaand,1,283,,,3.535
3520246,steiger,2022/03/15 13:54:08+00,G0479,Zaanstad,bestaand,1,283,,,3.801
3520247,steiger,2015/09/24 06:38:00+00,G0599,Rotterdam,bestaand,1,283,,,95.129
3520248,steiger,2022/03/15 13:54:08+00,G0479,Zaanstad,bestaand,1,283,,,3.436
3520249,steiger,2015/09/16 10:14:20+00,G0599,Rotterdam,bestaand,1,283,,,337.089
3520250,stuw,2022/11/22 17:39:19+00,W0663,Waterschap Vechtstromen,bestaand,-1,283,,,0.24
3520254,steiger,2014/02/13 08:23:47+00,G0546,Leiden,bestaand,1,283,,,7.07
3520256,strekdam,2014/10/02 08:58:03+00,G0599,Rotterdam,bestaand,0,283,,,1561.337
3520257,steiger,2014/09/19 14:49:39+00,G0531,Hendrik-Ido-Ambacht,bestaand,1,283,,,4.272
3520258,steiger,2015/09/16 10:14:20+00,G0599,Rotterdam,bestaand,1,283,,,394.147
3520261,stuw,2016/11/22 09:46:35+00,G0400,,bestaand,0,283,,,2.7
3520262,stuw,2016/11/22 09:46:35+00,G0400,,bestaand,0,283,,,2.824
3520263,steiger,2020/03/31 10:17:12+00,G0599,Rotterdam,bestaand,1,283,,,34.16
3520264,niet-bgt: vispassage,2020/04/06 10:47:41+00,W0621,Waterschap Rivierenland,bestaand,0,283,,,74.116
3520265,niet-bgt: vispassage,2020/04/06 10:47:41+00,W0621,Waterschap Rivierenland,bestaand,0,283,,,16.121
3520266,steiger,2020/04/10 09:43:08+00,G0363,Amsterdam,bestaand,1,283,,,12.499
