Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
A.G. Advies B.V.;;;1;;;;;1
A.M.C. van Gorp;;;1;;;;;1
Aaaaha! The Actor Factory B.V.;1;;;;;;;1
Abdurdias BV;;;;;;2;;2
ABF Research B.V.;1;;;;;;;1
Accenture B.V.;;;;;;2;;2
Ad Prins;;;2;;;;;2
Aditi Communicatiemanagement;1;;;;;;;1
Adviesbureau Van Montfoort B.V.;;;2;;;;;2
AEVES B.V.;;;2;;;;;2
Agile Works;1;;;;;;;1
Albron Nederland B.V.;1;;;;;;;1
Andersson Elffers Felix;5;;6;;;;;6
Anne Frank Stichting;2;;;;;;;2
Annie - creatief Tekstw. & schrijftrainingen;;;;1;;;;1
ANP Pers Support Benelux B.V.;;;;1;;;;1
APE Public Economics B.V.;;;2;;;;;2
APG Service Partners B.V.;7;;;;1;;;7
Apps B.V.;2;;;;;2;;2
Ardis Opleidingen B.V.;;;;;;1;;1
Ardis Organisatieontwikkeling B.V.;;;;;;1;;1
Argo;;;2;;;;;2
Assistis;;;1;;;;;1
Atos Nederland B.V.;5;;;;;;;5
AVB Language Group B.V.;;;;1;;;;1
BarendseHaase Netwerk Notarissen;;;;;1;;;1
Beer advocaten N.V.;;;2;;;;;2
Berenschot Groep B.V.;;;3;1;2;2;;4
Between B.V.;1;;;;;;;1
Binnenzaken V.O.F.;;;1;;;;;1
BioMed Central Limited;1;;;;;;;1
BI-zone Albert Cuyp en omgeving;4;;;;;;;4
Blackbird Consultancy;;;;;;2;;2
Blauw Research B.V.;;;1;2;;1;;2
BMC;;;5;;;;;5
BMC Advies B.V.;;1;3;;;;;3
Boer & Croon Corporate Finance B.V.;2;;;;;;;2
BOinK;;;1;;;;;1
Bokhorst Communicatie;;;;4;;;;4
Born05 B.V.;;;;2;;;;2
Bos & Meer;;;;;;1;;1
BPI Services B.V.;;;;;;1;;1
Brainstorm IT B.V.;;;;1;;;;1
Bureau BlauwGeel B.V.;;;;;;1;;1
