;9580 - SZW specifiek;Eindtotaal
Aanbestedingskalender B.V.;1;1
Aboma;1;1
Actys Wonen B.V.;1;1
All Pensions Group;7;7
Alrijne Ziekenhuis Leiden;1;1
Apotheekhoudende Huisartsenpraktijk Marken;1;1
ArboVitale B.V.;1;1
Arcus;1;1
Ardis Organisatieontwikkeling B.V.;1;1
BCD Travel Nederland B.V.;1;1
BlijWerkt;1;1
Bonekamp en van der Mispel, huisartsen;1;1
Buyitdirect.com B.V.;1;1
Capability B.V.;1;1
Catering Houtop B.V.;1;1
China Unlimited;1;1
Company.Info B.V.;1;1
Compass Group Nederland B.V.;1;1
Coöp. Med. Special. Bedrijf Midden-Brabant UA;1;1
Coöperatie Medisch Specialisten IJmond UA;1;1
D&F Consulting B.V.;1;1
Dantuma-Wegkamp;1;1
De Bedrijfspoli B.V.;1;1
De Dag Van Morgen;1;1
De Hoogstraat Revalidatie;1;1
De Meeuw Oirschot B.V.;1;1
Détect Milieu Services B.V.;1;1
Diakonessenhuis Orthopaedie B.V.;1;1
DNV GL Netherlands B.V.;4;4
Element Breda;2;2
Eurofins Sanitas Testing B.V.;1;1
Fibrecount B.V.;1;1
Fijbes Consultancy & Training;1;1
FNV Vrouwenbond;1;1
Funty speeltoestellen;1;1
Fysiotherapiepraktijk Duin-Lobato;1;1
Gezondheidscentrum de Heeze;1;1
Groene Hart Ziekenhuis;1;1
Handtherapie Nederland B.V.;1;1
Heijing Adviesbureau B.V.;1;1
Huisarts Obaidy;1;1
Huisarts VH;1;1
Huisartsenpr. Koolhaas en Van Koningsbruggen;1;1
Huisartsenpraktijk Aarle-Rixtel;1;1
Huisartsenpraktijk Antoniusveld;1;1
Huisartsenpraktijk De Kastanje;1;1
Huisartsenpraktijk Laila B.V.;1;1
Huisartsenpraktijk P. Olie;1;1
Huisartsenpraktijk Wehl;1;1
ING Bank N.V.;1;1
Interparking Nederland B.V.;2;2
Jansen Hydrauliek-Service B.V.;1;1
Landelijke Clientenraad;6;6
Laszka Vertaalbureau Pools en Russisch;1;1
Leeuwendaal Advies B.V.;2;2
Liftinstituut B.V.;1;1
Lloyd's Register Nederland B.V.;1;1
Logicx Berging B.V.;2;2
Lunchtijd.nl;1;1
Maasstad Medisch Specialisten;1;1
Maasziekenhuis Pantein B.V.;1;1
Maatschap Broekman en Poorte De Westeree;1;1
Maatschap Jiawan/Jiawan-Ganesh;1;1
Maatschap MSB Almere e.o.;1;1
Maatschap/potovereenkomst Huisartsen MC de Es;1;1
Medisch Specialistisch Bedrijf-Stafmaat;1;1
Medische Staf Martini Ziekenhuis;1;1
Menno Fenger Bestuurskundig Advies;1;1
Mts. huisartsen gezondheidscentrum Leonardus;1;1
NHG Tolkbureau;1;1
Nuclear Research and Consultancy Group;1;1
Oesterbaai B.V.;1;1
OnlyHuman Groep B.V.;3;3
Organisatorische Eenheid Heelkunde;1;1
P. Schokker Dienstverlening;1;1
POL Heteren B.V.;1;1
Porter Novelli B.V.;1;1
Presence Translate & Interact B.V.;1;1
Promen;2;2
Rentmore BVBA;1;1
Revalide Helmond B.V.;1;1
RPS Analyse B.V.;1;1
Schellekens Huisartsenpraktijk B.V.;1;1
Schiphol Nederland B.V.;1;1
SGS Search Milieu;1;1
Sheikh Tapijthandel;1;1
Specialistenassociatie Orthopedie Dordrecht;1;1
SportFit centrum Konings-Pinxteren;1;1
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;
Stg. Pers.fds. Min. Soc. Zaken en Werkgel.;1;1
Stichting AOVVT;1;1
Stichting Dutch Government Pride;1;1
Stichting Europees Jeugdparlement Nederland;1;1
Stichting OLVG, OLVG Oost;1;1
Stichting OVZ-CMSR;1;1
Stichting Pensioenfonds ABP;2;2
Stichting Pensioenfonds P.;8;8
Stichting Sint Maartenskliniek;1;1
Stichting VeiligheidNL;1;1
Swerts & Vissers, bedrijfsartsen;1;1
Tempo-Team Uitzendbureau;2;2
TNO International Holding B.V.;;
Tolk- en vertaaldiensten Hindi Punjabi Urdu;1;1
Transformation Technologies B.V.;2;2
TRConsult B.V.;2;2
Tweewielerserv. Bert van Eeten H.O. FietsNed;1;1
VCK Travel B.V.;1;1
Vincent van Gogh voor Geestelijke Gezondheid;1;1
Vodafone winkel;2;2
Werkgeverskeuringen B.V.;1;1
Wil Fagel Forensisch Onderzoek;1;1
Xerox (Nederland) B.V.;1;1
Xpert Clinic Eindhoven B.V.;1;1
YoungCapital Flex B.V.;1;1
Zicht op BETER B.V.;1;1
Ziekenhuis Rivierenland;1;1
Eindtotaal;9;9
