Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
September;;;;1;;;;;1
!pet handel B.V.;;;1;;;;;;1
"""Parkhaus Doberaner Hof"" Harburger Binnenhafen GmbH & Co.KG";;1;;;;;;;1
&Associates;;;;;1;1;;;1
( Di)eet Slim Sportdieetpraktijk;;;1;;;;;;1
1,2..8 B.V.;;;;;;;1;;1
123kamerplanten.nl;;;;1;;;;;1
12Mprove B.V.;;;;;;1;;;1
15 Events;;;;1;;;;;1
2BIRDSMEDIA;;;;;;;1;;1
2CoolMonkeys B.V.;;;;;;;1;;1
360-Control B.V.;;;;;;2;;;2
3Dcarton.com;;;;;2;;;;2
4CF SP Z O O;;;;;;2;;;2
4DotNet B.V.;;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;;;;2;;;2
6966624 Canada Inc;;;;;;1;;;1
7AM Den Haag B.V.;;;;;;;1;;1
A World of Fantasy B.V.;;;;;;;1;;1
A. Baars Bloembinderije;;;;1;;;;;1
A. de Bruin-Folgerts;;;;;;1;;;1
A. de Jager-Tolhoek;;;;;;;1;;1
A. de Jong T.H. B.V.;;;;;;1;;;1
A. van Helden Relatiegeschenken B.V.;;;;1;;1;;;1
A.G. Davi Ltd;;2;;;;;;;2
A.P.S. (Aviation Patch Supplies);;;;1;;1;1;;1
A1-City B.V.;;;;1;;;1;;1
A1-Plaza B.V.;;;;1;;;2;;2
a4 Training;;;;;;2;;;2
AAB Management Services B.V.;;;;;;1;;;1
Aaltje Vincent & Company;;;;;;1;;;1
AAO B.V.;;;;;;1;;;1
Aartsen Hekman Lodder Advocaten;;;;;;1;;;1
ABB B.V.;;;;;;2;;;2
ABC Appartementen N.V.;;1;;;;;;;1
About Flowers;;;;1;;;;;1
ABP-Reclame;;;;;;;1;;1
AC Watersport;;;;;;1;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;2;;;2
Academie voor leefstijl en gezondheid B.V.;;;;;;1;;;1
Academie voor Medisch Specialisten B.V.;;;;;;2;;;2
Academy Payroll Professionals;;;;;;1;;;1
Accidental Spill Control Consultancy B.V.;;;;;;2;;;2
Accountor Incasso group Voorheen PBK INCASSO BV;1;;;;;;;;1
AccreDidact B.V.;;;;;;1;;;1
Accuracy 1st, Inc.;;;;;;2;;;2
A-Compagnie 13 Infbat RSPB;;;;1;;;;;1
ACRATS Training Services B.V.;;;;;;1;;;1
ACTA Dental Education B.V.;;;;;;2;;;2
Acta Theater en Muziek;;;;;;;1;;1
Actas ATM Consultancy Training and Selection;;;;;;1;;;1
Action Dome;;;;;;;1;;1
Active Health Center Ypenburg;;;;;;;1;;1
Active Living B.V.;;;1;;;;;;1
Ad Roovers Verhuur V.O.F.;;;;;;;1;;1
ADACORE;;;;;;1;;;1
Adelborstenvereniging;;;;;;1;;;1
Administratiekantoor Kroese;1;;;;;;;;1
Admiraal De Ruyter Ziekenhuis locatie Goes;;;;;;1;;;1
Adrie Sluimer;;;1;;;;;;1
Advanced Encryption Technology Europe B.V.;;;;;;1;;;1
Adventure Sport Nederland;;;;;;;1;;1
Advisafe Risk Management B.V.;;;;;;2;;;2
Ae Sensors B.V.;;;;;;1;;;1
AEGIS TECHNOLOGIES GROUP, INC., THE;;;;;;1;;;1
Aeneas Uitgeverij van Vakinformatie;;;;;;1;;;1
AESC B.V.;;;;;;1;;;1
AG Connect B.V.;;;;;;1;;;1
Agile Scrum Group B.V.;;;;;;1;;;1
Agrima II B.V.;;;;1;;;;;1
Aguettant SA/NV SA;;;1;;;;;;1
Air Group B.V.;;;;;;1;;;1
Air Products Nederland B.V.;;;3;;;;;;3
Airborne Systems North America of NJ Inc;;;;;;2;;;2
Airbus Helicopters;;;;;;4;;;4
Airbus Helicopters Training Services;;;;;;4;;;4
Aircraft Maintenance & Training School B.V.;;;;;;3;;;3
AIRINC International Holdings B.V.;;;;;3;;;;3
Airsight GmbH;;;;;;3;;;3
Airtec GmbH & Co. KG Safety Systems;;;1;;;;;;1
AIS Vliegopleidingen B.V.;;;;;;1;;;1
Alba-academie;;;;;;1;;;1
Alberta Kuil troost en meer;1;;;;;;;;1
Albron Nederland B.V.;;;;1;;;;;1
Aledda N.V.;;;;;;;1;;1
Algemene Stichting Horeca Onderwijs;;;;;;1;;;1
Alkmaar Sport N.V.;;;1;;;;;;1
All Golf;;;1;;;;;;1
All In Verhuur B.V.;1;;;;;1;;;1
Allekabels B.V.;;;1;;;;;;1
Allers;;;;;;;1;;1
Alles Kids Family Events V.O.F.;;;;;;;1;;1
Alliance Healthcare;;;1;;;;;;1
Alliander N.V.;1;;;;;;;;1
allinScope B.V.;;;;;1;;;;1
Alltime Tourist Complex Ltd. St Raphael Resort;4;;;;;;;;4
AllwaysFit;;;;;;1;;;1
Alp Lift B.V.;;;;;;1;;;1
alpincenter.com GmbH & Co. KG;;;;1;;;;;1
A-Mac B.V.;;;;;;2;;;2
Amarant Groep;;;;1;;;;;1
Ambachtsbakker van Kooten;;;;1;;;;;1
Ambitech B.V.;;;;;;2;;;2
Ambulance Amsterdam B.V.;;;2;;;;;;2
Ambutraining;;;;;;2;;;2
Amc;;;;1;;1;;;1
AMC Centre;;;;;;1;;;1
Amersfoort Excurises;;;;;;;1;;1
Amore Trattoria;;;;;;;1;;1
Amphenol Fiber Systems Internationa;;;;;;2;;;2
Amstelhuys N.V.;1;;;;;;;;1
Amsterd. Studenten-Roeivereeniging 'Nereus';;;;;1;;;;1
