ParkingAddressReferenceType,ParkingAddressReference,ParkingAddressType,StreetName,HouseNumber,ZipCode,Place,Province,Country,TelephoneNumber,EmailAddress,FaxNumber
I-O,48,F,Siem Heidenstraat,6,3077MS,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,7,F,Wilhelminasingel,101,,Weert,Limburg,Nederland,,,
I-O,1446,F,Van Lochemstraat,9,7511EG,Enschede,Overijssel,Nederland,,postbus20@enschede.nl,
I-O,65,F,Siem Heidenstraat,6,3077MS,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,140,F,Scheldeboulevard,1,4531EJ,Terneuzen,Zeeland,Nederland,,gemeente@terneuzen.nl,
I-O,49,F,Zoomstraat,111,3036RE,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,41,F,Kralingse Zoom,70,3062SM,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,38,F,Kipstraat,177,3011ZX,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,66,F,Siem Heidenstraat,6,3077MS,Rotterdam,Zuid-Holland,Nederland,14010,,
GEB,599,P,Postbus,10902,3004BC,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,2,F,Walburgpassage,0,,Weert,Limburg,Nederland,,,
I-O,34,F,Polderstraat,10,3074XJ,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,1866,F,,0,,Gooise Meren,,,,noreplt@gooisemeren.nl,
I-O,45,F,Burg. van Walsumweg,718,3011MZ,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,43,F,Museumpark,32,3015CX,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,80,F,Marktstraat,58,8102AC,Raalte,Overijssel,Nederland,,info@raalte.nl,
I-O,22,F,Ir. Van Muijlwijkstraat,175,6828BN,Arnhem,Gelderland,Nederland,,,
GEB,988,P,Postbus,950,6000AZ,Weert,Limburg,Nederland,0495-575000,gemeente@weert.nl,
GEB,268,P,Postbus,9105,6500HG,Nijmegen,Gelderland,Nederland,14024,gemeente@nijmegen.nl,
GEB,268,A,Korte Nieuwstraat,6,6511PP,Nijmegen,Gelderland,Nederland,14024,gemeente@nijmegen.nl,
I-O,56,F,Colosseumweg,13,3074SN,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,1865,F,Zuidtangent,1,1703SH,Heerhugowaard,Noord-Holland,Nederland,,,
I-O,44,F,Nieuwe Binnenweg,388,3023ET,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,30,F,Velperplein,13,6811AG,Arnhem,Gelderland,Nederland,,,
I-O,35,F,Colosseumweg,13,3074SN,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,47,F,Binnenrotte,15,3011HB,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,307,F,Damplein,6,2265AC,Leidschendam,Zuid-Holland,Nederland,,info@leidschendam-voorburg.nl,
GEB,599,A,Coolsingel,40,3011AD,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,1397,F,Grotestraat,79,7443BC,Hellendoorn,Overijssel,Nederland,,gemeente@hellendoorn.nl,
I-O,63,F,Binnenrotte,15,3011HB,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,19,F,Voerweg,2,6511RT,Nijmegen,Gelderland,Nederland,,,
I-O,21,F,Tweede Walstraat,45,6511LP,Nijmegen,Gelderland,Nederland,,,
I-O,5,F,Walburgpassage,0,,Weert,Limburg,Nederland,,,
I-O,32,F,Bloklandstraat,154,3036TS,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,60,F,Weenatunnel,50,3013AL,Rotterdam,Zuid-Holland,Nederland,14010,,
I-O,37,F,Klencke,74,3191VK,Rotterdam,Zuid-Holland,Nederland,14010,,
