FID,rdx,rdy,urlbig,folder,group_,name,se_anno_cad_data,gdb_geomattr_data,shape
zn_helicopterfotos_2009_11.1,159219.3884,389634.2316,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0543.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0543,,,POINT (159219.38800000027 389634.2320000008)
zn_helicopterfotos_2009_11.2,159321.1043,389655.4556,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0544.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0544,,,POINT (159321.10399999842 389655.45600000024)
zn_helicopterfotos_2009_11.3,159355.056,389662.1599,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0545.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0545,,,POINT (159355.05600000173 389662.16000000015)
zn_helicopterfotos_2009_11.4,159525.1643,389691.2352,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0546.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0546,,,POINT (159525.1640000008 389691.2349999994)
zn_helicopterfotos_2009_11.5,159731.0953,389728.1372,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0547.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0547,,,POINT (159731.0949999988 389728.13699999824)
zn_helicopterfotos_2009_11.6,159903.1425,389758.3395,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0548.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0548,,,POINT (159903.14299999923 389758.33999999985)
zn_helicopterfotos_2009_11.7,160004.0153,389784.0264,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0549.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0549,,,POINT (160004.0150000006 389784.02600000054)
zn_helicopterfotos_2009_11.8,160037.1297,389792.9595,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0550.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0550,,,POINT (160037.12999999896 389792.9600000009)
zn_helicopterfotos_2009_11.9,160103.0109,389810.826,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0551.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0551,,,POINT (160103.01099999994 389810.8260000013)
zn_helicopterfotos_2009_11.10,160135.9178,389818.647,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11/jvh091117-0552.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/a58_ekkersweijer-ekkersrijt/2009-11,a58_ekkersweijer-ekkersr,jvh091117-0552,,,POINT (160135.91800000146 389818.6469999999)
