Nummer;Totaal van;Jaar;Maand;Procedure categorie;Verblijfscluster;Nationaliteit;Beslissing;Aantal beslissingen
1;Jaar;2018;*Alle*;*Alle*;*Alle*;*Alle*;*Alle*;84740
2;Jaar, Maand;2018;1;*Alle*;*Alle*;*Alle*;*Alle*;6430
2;Jaar, Maand;2018;2;*Alle*;*Alle*;*Alle*;*Alle*;5900
2;Jaar, Maand;2018;3;*Alle*;*Alle*;*Alle*;*Alle*;6660
2;Jaar, Maand;2018;4;*Alle*;*Alle*;*Alle*;*Alle*;4700
2;Jaar, Maand;2018;5;*Alle*;*Alle*;*Alle*;*Alle*;5760
2;Jaar, Maand;2018;6;*Alle*;*Alle*;*Alle*;*Alle*;8390
2;Jaar, Maand;2018;7;*Alle*;*Alle*;*Alle*;*Alle*;11990
2;Jaar, Maand;2018;8;*Alle*;*Alle*;*Alle*;*Alle*;9560
2;Jaar, Maand;2018;9;*Alle*;*Alle*;*Alle*;*Alle*;5920
2;Jaar, Maand;2018;10;*Alle*;*Alle*;*Alle*;*Alle*;6060
2;Jaar, Maand;2018;11;*Alle*;*Alle*;*Alle*;*Alle*;6720
2;Jaar, Maand;2018;12;*Alle*;*Alle*;*Alle*;*Alle*;6650
3;Jaar, Procedure categorie;2018;*Alle*;TEV;*Alle*;*Alle*;*Alle*;57800
3;Jaar, Procedure categorie;2018;*Alle*;VVR;*Alle*;*Alle*;*Alle*;26940
4;Jaar, Maand, Procedure categorie;2018;1;TEV;*Alle*;*Alle*;*Alle*;4020
4;Jaar, Maand, Procedure categorie;2018;1;VVR;*Alle*;*Alle*;*Alle*;2400
4;Jaar, Maand, Procedure categorie;2018;2;TEV;*Alle*;*Alle*;*Alle*;4010
4;Jaar, Maand, Procedure categorie;2018;2;VVR;*Alle*;*Alle*;*Alle*;1900
4;Jaar, Maand, Procedure categorie;2018;3;TEV;*Alle*;*Alle*;*Alle*;4870
4;Jaar, Maand, Procedure categorie;2018;3;VVR;*Alle*;*Alle*;*Alle*;1780
4;Jaar, Maand, Procedure categorie;2018;4;TEV;*Alle*;*Alle*;*Alle*;3160
4;Jaar, Maand, Procedure categorie;2018;4;VVR;*Alle*;*Alle*;*Alle*;1550
4;Jaar, Maand, Procedure categorie;2018;5;TEV;*Alle*;*Alle*;*Alle*;3980
4;Jaar, Maand, Procedure categorie;2018;5;VVR;*Alle*;*Alle*;*Alle*;1780
4;Jaar, Maand, Procedure categorie;2018;6;TEV;*Alle*;*Alle*;*Alle*;6070
4;Jaar, Maand, Procedure categorie;2018;6;VVR;*Alle*;*Alle*;*Alle*;2320
4;Jaar, Maand, Procedure categorie;2018;7;TEV;*Alle*;*Alle*;*Alle*;9160
4;Jaar, Maand, Procedure categorie;2018;7;VVR;*Alle*;*Alle*;*Alle*;2830
4;Jaar, Maand, Procedure categorie;2018;8;TEV;*Alle*;*Alle*;*Alle*;6330
4;Jaar, Maand, Procedure categorie;2018;8;VVR;*Alle*;*Alle*;*Alle*;3230
4;Jaar, Maand, Procedure categorie;2018;9;TEV;*Alle*;*Alle*;*Alle*;3660
4;Jaar, Maand, Procedure categorie;2018;9;VVR;*Alle*;*Alle*;*Alle*;2260
4;Jaar, Maand, Procedure categorie;2018;10;TEV;*Alle*;*Alle*;*Alle*;4010
4;Jaar, Maand, Procedure categorie;2018;10;VVR;*Alle*;*Alle*;*Alle*;2050
4;Jaar, Maand, Procedure categorie;2018;11;TEV;*Alle*;*Alle*;*Alle*;4160
4;Jaar, Maand, Procedure categorie;2018;11;VVR;*Alle*;*Alle*;*Alle*;2560
4;Jaar, Maand, Procedure categorie;2018;12;TEV;*Alle*;*Alle*;*Alle*;4360
4;Jaar, Maand, Procedure categorie;2018;12;VVR;*Alle*;*Alle*;*Alle*;2290
