;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&Maes B.V.;;1;3;1;;;;3
&Morgen;2;;;;;;;2
&ranj B.V.;;2;;;;;;2
[frisbee];;;;;;1;;1
1Camera B.V.;1;;;;;;;1
2 Maal Ee;;2;;;;;;2
21 Markets B.V.;;1;;;;;;1
23G;1;;;;;;;1
2Bprojects B.V.;;2;;;;;;2
2-Nice B.V.;2;;;;;;;2
360° The Invisible Force;2;;;;;;;2
4cast B.V.;3;;;;;;;3
52N 5E;;;;1;;;;1
5hart-IT Opleidingen B.V.;;;1;;;;;1
7Zebra's;;;1;;;;;1
87seconds SA/NV;1;;;;;;;1
91 Spices Rotterdam B.V.;;1;;;;;;1
A new zero;2;;;;;;;2
A. Terlouw Consult;1;;;;;;;1
A5tien B.V.;1;;;;;;;1
AAA Display B.V.;1;;;;;;;1
Aaaaha! The Actor Factory B.V.;1;;1;;;;;1
Aalsmeer Taxi;1;;;;;;;1
Aalsmeers Bloemenhuis;1;;;;;;;1
Aarhus University;1;;;;;;;1
ABIS GROUP;2;;;;;;;2
Absoluta B.V.;;;;;;;1;1
Acacia Water B.V.;2;;;;;;;2
ACADEMY OF ATHENS - RESEARCH COMMIT;;2;;;;;;2
Accor Hospitality Nederland N.V.;2;;;;;;;2
Accuwrite;1;;;;;;;1
Acquire Publishing B.V.;3;;;;;;;3
AD eco advies;2;;;;;;;2
Adapt CSR B.V.;;;;;;4;;4
Add-app B.V.;;;;;;3;;3
Adecs Airinfra B.V.;3;;;;;;;3
Adecs Airinfra Consultants B.V.;5;;;;1;;;5
Adecs AirSystems B.V.;2;;;;;;;2
adelphi consult GmbH;;;2;;;;;2
Adriaanse van der Weel Advocaten;;;;;5;;;5
Adventure Valley Zoetermeer B.V.;1;;;;;;;1
Advier;2;;;;;;;2
Adviesbureau Atim B.V.;;1;;;;;;1
Adviesbureau Jan Tempelman;1;;;;;;;1
Adviesbureau Ronnico B.V.;;2;;;;;;2
Adviesgroep Questions, Answers and More B.V.;3;;;;;;;3
Advin B.V.;;2;;;;;;2
Advocatenkantoor Dijkgraaf B.V.;;;;;1;;;1
Advocatenpraktijk Acquisition Management B.V.;2;;;;;;;2
Adwin Peeks Communicatieadvies;1;;;;;;;1
AECOM IRELAND LTD;1;;;;;;;1
AEQUATOR Groen & Ruimte B.V.;3;;;;;;;3
Aeres Hogeschool Dronten;;1;;;;;;1
Aerial Pro B.V.;2;;2;;;;;2
afdelinggeluk;1;;;;;;;1
Afrikaanderwijk werkcoöperatief UA;1;;;;;;;1
Agency Heart B.V.;2;;;;;;;2
Agmi Traffic B.V.;;2;;;;;;2
Agora;1;;;;;;;1
Agrifirm Group B.V.;;;1;;;;;1
Airbus Defence and Space Netherlands;;2;;;;;;2
Aircraft Owners and Pilots Associat. Neth.;1;;;;;;;1
Airport Coordination Limited;1;;;;;;;1
AKD N.V.;1;;;;;;;1
Albron Nederland B.V.;1;;;;;;;1
Aleid Landeweerd Illustraties en Vormgeving;1;;;;;;;1
Alert Business Consultancy;;;1;;;;;1
Allekabels B.V.;;;;;;1;;1
Allied Patents B.V.;;1;;;;;;1
Alltradis;2;;;;;;;2
Almere Business Center B.V.;1;;;;;;;1
Alphaplus Creatieve Communicatie;1;;;;;;;1
Altea B.V.;6;;;;;;;6
Alt-Tab Bedrijfsondersteuning;2;1;2;1;;;;2
Amaze Escape Events;1;;;;;;;1
Amazing Bread Company B.V.;1;;;;;1;;1
Ambiënt Advies B.V.;1;;;;;;;1
American Baking Company;1;;;;;;;1
Amersfoortse Broodjes Centrale (A.B.C.);1;;;;;;;1
Amigo Promotion B.V.;1;;;;;;;1
AND Products B.V.;3;;;;;;;3
Andersson Elffers Felix;5;3;3;;;;;5
Ankerbeer B.V.;;;;;;;2;2
Annakerk Amstelveen B.V.;1;;;;;;;1
Anneke Nunn Tekst & Concept;1;;;;;;;1
Annemiek Kool Fotografie;1;;;;;;;1
anoniem_IenW_19;;1;;1;;;;2
anoniem_IenW_20;;1;;;;;;1
anoniem_IenW_23;1;;;;;;;1
anoniem_IenW_257;;1;;1;;;;1
anoniem_IenW_268;;;2;;;;;2
anoniem_IenW_269;;;2;;;;;2
anoniem_IenW_283;;;;1;;;;1
