Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;5-Vervoer en verblijfskosten
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);;1;1
7Am;1;;1
Actys (incl. Wonen, Retail, BOG);;1;1
AKD Prinsen van Wijmen Advocaten;1;;1
Amazing Bread Company (incl. Mammomi);1;;1
ARBOUW;1;;1
Ardis Management Development;2;;2
Aristo Holding;1;;1
ASS Autofauteuils;;1;1
Athlon Car Lease;;7;7
Auto Mondt;;1;1
Autogrill;1;;1
BCN Business Centre Nederland;2;;2
Beide-Handen/My Trik;1;;1
Bilderberg Hotels;1;;1
Brasserie De Holle Boom;1;;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;1;1
Buitengoed Hagenhorst;1;;1
Burgers Zoo;1;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;1;;1
Carlton Hotel;1;;1
CNV Vakmensen;1;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);1;;1
Conferentiecentrum Kaap Doorn;1;;1
De Arendshoeve Hotel;1;;1
De Bosbaan Grand Cafe;1;;1
De Eeuwige Jachtvelden Café-Restaurant;1;;1
De Groot Houtbewerkingsmachines;1;;1
De Marlijn Strandpaviljoen;1;;1
De Prom Utrecht (incl. Vredenburg);2;;2
De Reiger Catering (incl. Nikita, Vechthuis);1;;1
De Stomme van Campen;1;;1
De Tuinkamer;1;;1
De Witte Vosch;2;;2
De Zandkamer;1;;1
De Zeeuwse Stromen - Hotel/Congresc;1;;1
Dorpshuis De Meiboom;1;;1
Dorpshuis Rilland;1;;1
Driessen Autogroep;;1;1
Echos Home;1;;1
EHM Hotels (incl. Apollo Hotels & Resorts);1;;1
Elzenhagen - Motel Restaurant;1;;1
Engels Grandcafé/Restaurant/Zalen;1;;1
Enterse Motor Club;1;;1
Fletcher Hotel Restaurant;1;;1
Fris;1;;1
Golden Tulip;2;;2
Hampshire Hotel;1;;1
Hans Struijk Fietsen;;1;1
Het Heerenhuis, Grandcafé, Lunch, Diner, Zalen;1;;1
Het Muntgebouw Utrecht;1;;1
Het Pleidooi/Lancee Café-Restaurant;1;;1
Het schellinkje Restaurant/De liberté;1;;1
Hogerhuys Hotel;1;;1
Hotel Dahlia;1;;1
Hotel Landgoed Het Roode Koper;1;;1
Huize Molenaar Cuisinier;1;;1
Ibis Accor Hotels;1;;1
Karel V Utrecht Grand Hotel;1;;1
KAV Autoverhuur;;1;1
Kivi Niria Congresbureau;1;;1
Lukkien Auto Aanpassingen;;1;1
Lumenz Talentontwikkeling (incl. Om de hoek);1;;1
Marrakech Restaurant;1;;1
MB Safety;;1;1
Meeting Plaza;1;;1
Momento;1;;1
NDC den Hommel;1;;1
New Babylon Meeting Center;2;;2
NH Hotels (incl. Nhow hotels);1;;1
NOA;1;;1
Oolderhof Restaurant;1;;1
Pan Café Restaurant;1;;1
Pantar De Tuinderij CCB;1;;1
Park-Line;;3;3
PBLQ (HEC, ROI, Zenc);1;;1
Pepperoni;1;;1
Polder Horeca;1;;1
Postillion Hotels;1;;1
Potijk Autobekleding;;1;1
Prins27;1;;1
Protect Effect B.V.;;1;1
Protinus It;;1;1
Public Partners;1;;1
Puur Events;1;;1
Randstad Group (incl. Tempo Team, P/Flex);1;;1
Regardz (incl. Iassociate);2;;2
Regus;1;;1
Salsaparilla;1;;1
Schortinghuis Restaurant;1;;1
Schouwburg Ogterop Meppel;1;;1
Seats2meet.com;1;;1
Sing Sing Restaurant (Zuid BV);1;;1
Solbeach Strandpaviljoen;1;;1
St - Groep;1;;1
St. Parkeergelden Parkmobile;;1;1
Stayokay;1;;1
Stg. Vrienden van Het DAF Museum;1;;1
Stichting Gemeenschapshuis De Meent en In de Roos;1;;1
Stichting Kontakt der Kontinenten Conferentiehotel;1;;1
Strandpaviljoen Zoomers Castricum;1;;1
'T Koetshuis Restaurant;1;;1
Taat & De Regt;1;;1
Teka Groep;1;;1
Tower Leisure (Haagse Toren);1;;1
Trevler;;1;1
Tyrilo (incl. Oscars restaurant);1;;1
Van den Udenhout Autobedrijf;;1;1
Van der Valk Hotels;2;;2
Van Kouwen Automotive;;1;1
VCK Groep, Travel & Logistics;;1;1
Vergader & Partycentrum De Horst;1;;1
Villa Augustus Hotel-Restaurant;1;;1
Waterreus De;1;;1
Wind in De Wilgen;1;;1
Zaalverhuur 7;1;;1
Zaanstad Hotel;1;;1
ZIJM;;1;1
Eindtotaal;5;7;7
