Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
20/20 Vision Europe B.V.;;;1;;;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;;1;;;;;1
A.B. Info;;;;;;;1;;1
AB Sciex EDC B.V.;;;;2;;;;;2
Abbott Informatics Netherlands B.V.;;;;;;;;1;1
Abro;;1;;;;;;;1
Accenture B.V.;;;7;3;;;;;7
Achmea Schadeverzekeringen N.V.;;;;;;;;1;1
Aenova B.V.;;;;2;;;;;2
AG5 B.V.;;;1;;;;;;1
Agilent Technologies Netherlands B.V.;;;;1;;;;;1
Aiwos;;;;2;;;;;2
Alarma 33;;;2;;;;;;2
Allround Automations V.O.F.;;;;1;;;;;1
Altec Industriële Identificatie;;2;;;;;;;2
Alternate Computerversand Nederland;;1;;;;;;;1
Amainsolutions B.V.;;;;1;;;;;1
Amplicon Benelux;;1;;;;;;;1
Assendelft Automatisering en Advisering;;;;1;;;;;1
At Consultancy B.V.;;;;1;;;;;1
Atal B.V.;;1;;;;;;;1
Atos Nederland B.V.;;2;6;5;;;;;6
Avangate B.V.;;;;1;;;;;1
Axway B.V.;;;1;;1;;;;1
B.&A. Services B.V.;;2;2;;;;;;2
B.V. Verenigde Instrumenthandel Salm & Kipp;;1;1;;;;;;1
Barnsten Business Solutions B.V.;;;1;;;;;;1
BCT B.V.;;;2;2;;;;;2
Between B.V.;;;;;;;;3;3
bioMérieux Benelux B.V.;;;;1;;;;;1
BIS Bedrijfs Informatie Systemen B.V.;;1;;2;;;;;2
Bizz'co;;;;1;;;;;1
Black Bytes B.V.;;;;1;;;;;1
Bluedesk CRM B.V.;;;;3;;;;;3
bol.com B.V.;;1;;;;;;;1
BPI Services B.V.;;;1;1;;;;;1
Broek Tekst- & Dataverwerking (BT&D);;;;;;;;1;1
Bureau Ten Napel;;;;;;;;1;1
CACI B.V.;;;2;;;;;;2
Cannock Chase B.V.;;;;;;;1;;1
Capgemini N.V.;;7;;;2;;;;7
Capgemini Nederland B.V.;;;;4;;;;;4
Card Vision B.V.;;;;;;;1;;1
Care-system Consultancy;;;;1;;;;;1
Cegeka Solutions and Projects B.V.;;;1;;;;;;1
Cendris Dataconsulting B.V.;;;;1;;;;;1
Centrum Media & Gezondheid (CMG);;;;2;;;;;2
Cimsolutions;;;5;5;;;;;6
Cinnamon Interactive B.V.;;;;2;;;;;2
Cloud Seven B.V.;;;4;2;;;;;4
CM Online B.V.;;;;;;;1;;1
CM Telecom B.V.;;;;;;;1;;1
Coform B.V.;;;;1;;;;;1
Comon Invent B.V.;;;;2;;;;;2
COMPAREX Nederland B.V.;2;1;7;6;1;;2;;7
Concetti B.V.;;;2;;;;;;2
Conclusion ICT B.V.;;;1;;;;;;1
Conrad Electronic Benelux B.V.;;1;;;;;;;1
ControlSolutions International B.V.;;1;;;;;;;1
Coöperatie SURF UA;;;;2;;;;;2
Coosto B.V.;;;;1;;;;;1
Coosto Holding B.V.;;;;1;;;;;1
CVIS International B.V.;;;2;;;;;;2
D.K. A. Alphen B.V.;;;1;;;;;;1
DDC Europe B.V.;;;;;;;;2;2
De Tiktijger;;;;;;;;1;1
De Webmakers;;;2;;;;;;2
Defacto Software B.V.;;;;2;;;;;2
Delorentz & Partners B.V.;;;;;1;;;;1
Desan Marktonderzoek B.V.;1;;;1;;;;;1
Detron ICT Infra Support Services;;;1;;;;;;1
DGMR Raadgevende Ingenieurs B.V.;;;1;;;;;;1
Dimension Data Nederland B.V.;;1;5;2;;;;;5
Disc B.V.;;;;1;;;;;1
Doxx B.V.;;;3;;;;;;3
DTG B.V.;;;;;;;1;;1
DTT Multimedia B.V.;;;;2;;;;;2
Dyzle Operations B.V.;;;1;1;;;;;1
E.Novation CRM Solutions B.V.;;;;1;;;;;1
Easy Data B.V.;;;;1;;;;;1
Easy Ergonomics B.V.;;1;;;;;1;;1
Ecit B.V.;;;;1;;;;;1
Ecommany B.V.;;;2;3;;;;1;4
EMC Computer Systems (Benelux) B.V.;;;1;;;;;;1
Enof creatieve communicatie B.V.;;;;1;;;;;1
Enrise B.V.;;;;;;;;2;2
Entopic B.V.;;;;1;;;;;1
E-Office B.V.;;;2;1;;;;;2
Equinix (Netherlands) B.V.;;2;3;;;;;5;5
Ergo2Go B.V.;;1;;;;;;;1
Esri Nederland;;;3;;;;;;3
Ettu Configuration B.V.;;;;2;;;;;2
Everett NL B.V.;;;2;1;;;;;2
Evite Services B.V.;;;;;;;;2;2
Exact Software Nederland B.V.;;;1;2;;;;;2
E-Zorg;;;;1;;;;;1
Fenêtre B.V.;;1;2;;2;;;;2
Fieldworks Direct B.V.;;1;;;;;;;1
Flycatcher Internet Research B.V.;;;;;;;;1;1
Fortes Solutions B.V.;;;3;;;;;;3
Freshheads B.V.;;;;2;;;;;2
Fugro GeoServices B.V.;;;;5;;;;;5
Fujitsu Technology Solutions B.V.;;;2;;;;;;2
Gartner Nederland B.V.;;;;3;;;;;3
Geodan B.V.;;;;1;;;;;1
GetApped;;;;;;;;1;1
Getting the picture B.V.;;;;1;;;;;1
Greater Good;;;;1;;;;;1
Green Valley Public Solutions B.V.;;;3;1;;;;;4
Haai B.V.;;;;1;;;;;1
Handelsonderneming Kleine;;;;1;;;;;1
Hecla Electronics B.V.;;;1;;;;;;1
High Security International B.V.;;;;1;;;;;1
Homans & Menting;;;;;;;;4;4
Homij Technische Installaties B.V.;;;;;;;1;;1
Hostnet B.V.;;;;;;1;;1;1
Hulskamp Audiovisueel Utrecht;2;1;;;;;1;;2
iBabs B.V.;;;;1;;;;;1
IBM Nederland B.V.;;;;2;;;;;2
ICT Partners Opleidingen B.V.;;;1;;;;;;1
Inconnect Faculty B.V.;;;;1;;;;;1
Infoland;;;2;;;;;;2
Infopact Netwerkdiensten B.V.;;;;;;;1;;1
Information Builders (Benelux) B.V.;;;1;;;;;;1
Informed Consulting B.V.;;;1;;;;;;1
Infradata Group B.V.;;;1;;;;;;1
ING Bank;;;;1;;;;;1
Ingenico e-Commerce Solutions B.V.;;;;;;1;;;1
Ingenieursbureau Wittich & Visser B.V.;;1;;;;;;;1
Innova Market Insights B.V.;;;;;;;;1;1
Innovero Software Solutions B.V.;;;2;1;;;;;2
Insiders Online B.V.;;;;2;;;;;2
Intermax B.V.;;;2;;;;1;;2
Internedservices;;;;1;;;;;1
Inventeers;;;;1;;;;;1
Invention Design;;;;1;;;;;1
ISS Nederland B.V.;;;;3;;;;;3
iWelcome B.V.;;;1;;;;;;1
Jongens van Beheer B.V.;;;;3;;;;;3
Keyon;;;;1;;;;;1
Kiwi Electronics B.V.;;1;;;;;;;1
Klinkende Taal B.V.;;;;2;;;;;2
knowsy;;;1;;;;;;1
Koning & Hartman B.V.;;1;1;;;;;;1
KPN B.V.;;;5;1;1;;2;1;5
KPN Contact lokatie Eindhoven;;;;;;;1;;1
KPN Corporate Market;;;2;;;;;;2
KPN XL;;;;;;;1;;1
Label A B.V.;;;1;1;;;;;1
Land. Ver. van Vrijg. Psychol. & Psychother.;;;;;2;;;;2
Laverbe;;;1;;;;;;1
LimoenGroen B.V.;;;2;;;;;;2
Linx Mobile Solutions;;1;1;;;;;;1
Log*in Consultants Nederland B.V.;;;1;;;;;;1
Lyreco Nederland B.V.;;1;;;;;;;1
Mailcamp B.V.;;;;;1;;;;1
Manutan B.V.;;;;;;;1;;1
Mavention Beheer en Producten B.V.;;;;1;;;;;1
Mavim Holding B.V.;;;;1;;;;;1
Medicom Medische Uitgeverij;;;;;;;;1;1
Mettler-Toledo B.V.;;1;;;;;;;1
Microsoft B.V.;;;2;;;;;;2
Misco Nederland B.V.;;1;;;;1;;;1
Misco Solutions B.V.;;7;3;;;;;;7
Modelec Data-Industrie;;1;;;;;;;1
Mr. Silent Computing;;3;;2;;;;;3
Multi-Post Services B.V.;;;1;;;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;;;;6;6
Negometrix B.V.;;;;2;;;;;2
NetQuestionnaires Nederland B.V.;;;;1;;;;;1
Netwerkperformance.nl;;;2;;;;;;2
Network Innovations Services;;;;;;;1;;1
Networking4all B.V.;;;;1;;;;;1
NMS;;2;;;;;;;2
Nsecure B.V.;;;;1;;;;;1
OCLC B.V.;;;;2;;;;;2
OGD Utrecht;;;;;;;;1;1
Onestopsourcing B.V.;;;;;;;;3;3
Onsite360;;;;1;;;;;1
Ontuitive International B.V.;;;1;;;;;;1
Oracle Nederland;;;4;2;;;;;4
Ordina Beheer & Outsourcing;1;;;4;;;;;4
Ordina Technologie & Competenties B.V.;;;4;7;;;;;7
Oribi Software B.V.;;;1;;;;;;1
Ortel Mobile Holding B.V.;;;;;;;1;;1
Outpost24 Benelux B.V.;;;1;;;;;;1
OXILION;;;1;;;;;;1
Patiëntenfederatie Nederland;;;;;;;;1;1
PCextreme B.V.;;;;1;;;;;1
Perfectview;;;;1;;;;;1
PerkinElmer Nederland B.V.;;;;1;;;;;1
Pharmatech Consultancy B.V.;;;;1;;;;;1
Planon B.V.;;;2;;;;;;2
Pondres Direct Mail B.V.;;;;1;;;1;;1
Porter Novelli B.V.;;;;2;;;;;2
Postcode.NL B.V.;;;;1;;;;;1
PQR B.V.;;2;6;2;;;;;6
Pro Conference B.V.;;;;;;;1;;1
Procyon Networks B.V.;;;;;;;2;1;2
Promista B.V.;;;2;;;;;;2
Protinus IT B.V.;;7;7;4;;;1;;7
Q Delft B.V.;;;;2;;;;;2
Qiagen Benelux B.V.;;;;2;;;;;2
Quelsa B.V.;;;1;;;;;;1
Quis Products B.V.;;;1;2;;;;;2
QuoVadis Trustlink B.V.;;;1;1;1;;;;1
Qweb Internet Services;;;;1;1;;;;1
RAV Hollands Midden;;;;1;;;;;1
Red Five B.V.;;;2;1;;;;;2
Red Hat B.V.;;;4;1;;;;;4
RedNose IT B.V.;;;;1;;;;;1
Relatics B.V.;;;;1;;;;;1
Repromat B.V.;;;1;;;;;;1
