Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-Communicatie
A&R Vereninging Ambtenaar & Recht;;1;;;;1
A.S.K. 07 Holding;;;;;1;1
Aaaaha! The Actor Factory;;;;1;;1
Accuraat A'Damse Verhuurinrichting;;;;1;;1
Adformatie Groep Uitgeverij;;1;;;;1
Adviesbureau Reit;;1;;;;1
Agripers;;1;;;;1
Airinc;;1;;;;1
AMB Import;;;;;1;1
Ambtelijk Secretarissen van Medezeggenschapsorganen in Nl;;1;;;;1
Amsterdam Museum;;1;;;;1
Archined;;;1;;;1
Aris;;1;;;;1
Artifac Tekenvakhandel;;;;;1;1
Asp4All Hosting;;;;;2;2
Augustus Connect;;1;;;;1
Auxilium;;;;;3;3
B+B Vakmedianet;;1;;;;1
Bagsandboxes;;;;1;;1
BAMW Beroepsregister voor agogen en maatschappelijk werkers;;1;;;;1
Beveiliging Managementblad;;1;;;;1
BIM Media;;1;;;;1
BJU Boom Juridische Uitgevers (incl. Sun);;1;;;;1
Blomsma Groep (incl. Print & Sign, Sign & Safety, Colorprinting, Repro);;;;;2;2
BlueBerry Media B.V.;;;;;1;1
Bobbe Abonnementen;;2;;;;2
Bol.Com;;1;;;;1
Books Unlimited;;1;;;;1
BOS EN MEER;;;;1;;1
Brouwers Tours;;;;1;;1
BTG (incl. Telegrootgebruik (TGG), Telegrootgebruik Inkoop, Belstore);;1;;;;1
Buildingbusiness Uitgeverij;;1;;;;1
Calcsoft;;1;;;;1
Canvas Company;;;;1;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;;;;;1;1
CB Centraal Boekhuis (incl. Facturatie);;1;;;;1
CCM Customer Contact Magazine;;1;;;;1
Celsus Juridische Uitgeverij;;1;;;;1
Center For People And Buildings;;1;;;;1
Christiaanse-Taxateur Rfv;;1;;;;1
Cio Platform Nederland;;1;;;;1
CMI Career Management Institute;;1;;;;1
Concept7;;;;;1;1
Conclusion;;;;;1;1
Consumentenbond;;1;;;;1
Contentkings;;;;;1;1
Couve Algemene Boekhandel;;1;;;;1
Creator Meeting Support;;;;1;;1
C-track Benelux;;1;;;;1
Dankers & Frank;;1;;;;1
Dataland;1;;;;;1
Dataprovider BV;;;;;1;1
De Correspondent;;1;;;;1
De Drukkerij;;1;;;;1
De Haagse Boekerij;;1;;;;1
De Koninklijke Hollandsche Maatschappij;;;1;;;1
De Pater bedrijfsmakelaars;;;;;1;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;1;;;1;1
Delta3;;;;;1;1
Den Haag Marketing & Events;;;3;;;3
Den Hollander Uitgeverij;;1;;;;1
Diensten Stichting Mediation;;1;;;;1
Digital Action;;;;1;;1
Docdata Payments;;1;;;;1
Dotweb Systems  B.V.;;1;;;;1
Drupsteen + Straathof;1;;;;;1
Dtz Zadelhoff;;;;;1;1
Dun & Bradstreet;;1;;;;1
Dus Architects;;;;1;;1
Dutch Women In Real Estate;;1;;;;1
Easyhosting;;;;;1;1
EBSCO Europe;;1;;;;1
Ecp - Stichting Electronic Commerce Platform Nederland;;2;;;;2
E-Democracy;;1;;;;1
Eisma Group Media (incl. Bouwmedia, Businessmedia, Trademedia, Industrialmedia);;1;;;;1
Elba Media;;1;;;;1
Equrion Services;;1;;;;1
ESBI;;;;;1;1
Euro-toilet;;;;1;;1
Evite Services;;;;1;;1
Facultatieve Media;;1;;;;1
FAMO Federatie van Algemene Middelenmanagers bij de Overheid;;1;;;;1
Financieele Dagblad;;1;;;;1
Fleetlogic;;1;;;;1
Free Musketeers;;1;;;;1
Frisse Blikken ondernemen met Talent;;;;;1;1
Fryske Akademy;;1;;;;1
GESCHIEDKUNDIGE VER ORANJE-NASSAU;;1;;;;1
Gielissen;;;;2;;2
Gopher;;1;;;;1
GreenOnline;;1;;;;1
Gringo's;;;;1;;1
Haai;;;;;1;1
Het Coachhuis;;1;;;;1
Het Oranje Kruis;;1;;;;1
Hiemstra Communicatie;;;;;1;1
High Tower Text;1;;;;;1
HOEZO! Projectmanagement en Congresorganisatie;;;;;1;1
HolaPress Communicatie;;1;;;;1
Holland Service Koeriers;;;;;1;1
Hollandse Hoogte;;;;;1;1
Hoogwout Kennistransfer;;;;;1;1
Houtschild Boekhandel;;1;;;;1
IBR Instituut Voor Bouwrecht;;1;;;;1
IIA Instituut van Internal Auditors;;1;;;;1
Imade;;;;;1;1
In de Verkleedkist;;;;1;;1
In2Content;;;;;1;1
Indicator;;1;;;;1
Indicia Nederland;2;;;;;2
Infoprojects;;;;;2;2
Innovero Software Solutions (incl. FormDesk);;1;;;;1
Intermax;;;;;1;1
Ipma Nl;;1;;;;1
Jaarbeurs Catering Services;;;;;1;1
Jaarbeurs Utrecht;;;;;1;1
Kivi Niria Congresbureau;;;;;1;1
Klantocratie;;;;1;;1
Koninklijke Bdu Uitgeverij;;1;;;;1
Koninklijke van der Most;;;;;1;1
KPN (incl. Getronics, PTT Telecom);;1;;;;1
KPN Lokale Overheid (vh Gemnet);;1;;;;1
Lamar Communicatie;;;;;2;2
Lammers Geluid Service;;;;1;;1
Le Strasbourg;;;;2;;2
Legal Intelligence/Quay Consult;;2;;;;2
LetC Communicatieadvies;;;;;2;2
Lexis Nexis;;1;;;;1
Logeion Vereniging Voor Communicatie;;1;;;;1
Louter Bureau;;1;;;;1
Lyreco Nederland (vh Ahrend Office Products);;;;;1;1
Maatschap van Son Calis;;;;1;;1
Madurodam;;;;2;;2
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;2;;;;2
Management Drives Opleidingen;;1;;;;1
Media Info Groep (incl. Euroclip, Knipsel, Antal Clipping, Reporterservice);;;;;1;1
Media Post Sanoma Uitgevers;;1;;;;1
Meltwater the Netherlands;;;;;2;2
Merk - Echt;1;;;;1;1
MMM Interactieve Communicatie;;;;;2;2
MT Abonnementenland;;1;;;;1
Muller Wenskaarten;;;;;1;1
Multi Post Nederland;;;;;1;1
Multicopy (incl. Andre Cossee);;;;;1;1
Munckhof Reizen;;1;;;;1
MYbusinessmedia (vh Media Business Press);;1;;;;1
Myriadm;;1;;;;1
NaJou;;1;;;;1
Nationale Beeldbank;;;;;1;1
Nedco Display;;;;;1;1
Nederlands Openluchtmuseum;;;;2;;2
Nederlands Tijdschrift voor Coaching;;1;;;;1
Nederlandse Vereniging van Maatschappelijk Werkers;;1;;;;1
NEDERLANDSE VERENIGING VOOR VLAGGENKUNDE;;1;;;;1
Netcreators;;;;;2;2
Netrex Internet Solutions;;;;;1;1
Nevi/Neho;;1;;;;1
NH Hotels (incl. Nhow hotels);;;;;1;1
Nieborg Boek- en kantoorboekhandel;;1;;;;1
NMv Nederlandse Mediatorsvereniging;;1;;;;1
NOBCO Nederlandse Orde van Beroepscoaches;;1;;;;1
Noloc;;1;;;;1
NOREA Nederlandse Orde van Register EDP-Auditors;;1;;;;1
Novum Foto;;;;;1;1
NRC Handelsblad;;1;;;;1
NT Publishers;;1;;;1;1
NVB Federatie Nederlandse Verenigingsbureau;;1;;;;1
NVDO Nederlandse Vereniging voor Doelmatig Onderhoud;;;;;1;1
NVO2 Nederlandse Vereniging van HRD-Professionals in Ontwikkelen en Opleiden;;1;;;;1
NVVA Ned Ver Voor Aanbestedingsrecht;;1;;;;1
NVVK Nederlandse Vereniging Voor Veiligheidskunde;;1;;;;1
OCLC (incl. PICA);;1;;;;1
Online Business Productions;;1;;;;1
Onze Taal Genootschap;;1;;;;1
OR Secretariaat;;;;;2;2
Ordina (incl. Be Value, Clockwork);;;;;1;1
Otys;;;;;1;1
Paagman Kantoorbenogigdheden;;1;;;;1
Paperlinx (v.h. Buhrmannubbens, incl. Living Office Paper Services);;;;;1;1
Paralax;;1;;;;1
Pardon Consult (vh Wassenaar Consult);;1;;;;1
PBLQ (HEC, ROI, Zenc);;2;;;;2
Pels Rijcken & Droogleever Fortuijn (incl. De Landsadvocaat);;;;;1;1
Performa Uitgeverij;;1;;;;1
Pinkcube;;;;1;;1
Postcode.nl;;1;;;;1
PPO Praktijkonderzoek Plant & Omgeving;;1;;;;1
Primera;;1;;;;1
Prof.Mr. B.M. Teldersstichting;;1;;;;1
Projectcolor;;;;1;;1
Promofit;;;;1;;1
Property Nl;;1;;;;1
ProtoSpace;;;;1;;1
Public Matters;;;;1;;1
Rajapack;;;;;1;1
RechtNet Advocaten (recht.nl);;1;;;;1
Reclamestudio Guthschmidt;;;;1;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;1;;;;1
Regardz (incl. Iassociate);;;;;1;1
Rendement;;1;;;;1
Rikkers infographics;;;;;1;1
Rodenburg Makelaars;;;;;1;1
RRIS Information Systems;;;;;2;2
Sabel Communicatie;;;;;2;2
Schoonhoven Bedrijfsmakelaardij;;;;;1;1
SDU - Service Centrum Uitgevers;;1;;;;1
Security Press;;1;;;;1
SMC Security Monitoring Centre;;1;;;;1
Smidswater;;;;;1;1
Societeit De Witte Nieuwe of Litteraire;;;;2;;2
Soundfocus;;;;;1;1
Spiegel Historiael Uitgeverij;;1;;;;1
Sports Design Textieldrukkers;;;;;1;1
Stg Zuidelijk Historisch;;1;;;;1
Stg. Vakblad Natuur Bos Landschap;;1;;;;1
Stichting Adviesgroep Bestuursrecht;;1;;;;1
Stichting Lean Management Instituut;;1;;;;1
Stichting Recruiters United;;1;;;;1
Streamer;;;;;1;1
Studio A Mediamelange;;;;;1;1
Swets Info Services (incl. Blackwell, Zeitlinger);;1;;;;1
Taller Events;;1;;;;1
Tappan Communicatie;2;;;;;2
Telstar Uitgeverij;;1;;;;1
Ten Hag;;;;;1;1
Tentoo (incl. Directors Cast & Crew);1;;;;;1
The DJ Company;;;;1;;1
The Perfect Supplies Company;;;;1;;1
Tiem Uitgeverij;;1;;;;1
TMG - de Telegraaf Media Group;;1;;;2;2
TNO;;1;;;;1
