OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,NAAM,STATUS,Shape__Area,Shape__Length
1,4a9056c58f314e34bcd8ec0adec44dc6,2022/12/06 12:10:42+00,L0004,Prorail,bestaand,0,gesloten verharding,924,a,924,924_a,Kijfhoek,Kfhz-Kfhn,Kijfhoek Zuid - Kijfhoek Noord ,34.646892,"34,646892",Randstad Zuid,RZ,Kijfhoek,99,BAAN,Zee-Zevenaar,BAAN,Randstad Zuid,RZ,ProRail,100837.147851,427026.3475,51.82920647,4.60146528,272893.108758,283,,gerealiseerd,272893.1087575,18314.2453339603
2,5d94a7339f0e4b9e94a91644a7692850,2022/01/05 09:17:28+00,L0004,Prorail,bestaand,0,gesloten verharding,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,Bd-Rtd,Breda - Rotterdam Centraal ,30.985349,"30,985349",Randstad Zuid,RZ,Dordrecht,5,BAAN,Dordrecht,BAAN,Randstad Zuid,RZ,ProRail,104003.690883,425159.0915,51.81272251,4.64767375,33.044811,283,,gerealiseerd,33.044811,25.375756637658
3,6eb967943b3c489d98079723fda2be1e,2016/05/26 12:12:55+00,L0004,Prorail,bestaand,0,gesloten verharding,625,b,625,625_b,Lage Zwaluwe,Bd-Rtd,Breda - Rotterdam Centraal ,14.540762,"14,540762",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,105143.672,411189.364166,51.6872676,4.66621108,127.507972,283,,Actueel,127.507972,68.6966787742609
4,a123291c088644779aff8137cdc0145f,2017/09/11 09:41:15+00,L0004,Prorail,bestaand,0,gesloten verharding,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,Bd-Rtd,Breda - Rotterdam Centraal ,43.659396,"43,659396",Randstad Zuid,RZ,Dordrecht,5,BAAN,Dordrecht,BAAN,Randstad Zuid,RZ,ProRail,95423.9835,434040.196855,51.89169148,4.52173401,25.87065,283,,Actueel,25.87065,21.6043023394251
5,a5424433d788440199aa8774de8fe257,2020/07/24 14:18:39+00,L0004,Prorail,bestaand,0,gesloten verharding,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,47.278567,"47,278567",Zuid,Z,Boxtel,23,BAAN,Brabant,BAAN,Zuid,Z,ProRail,154374.5635,392517.625433,51.52165371,5.3781896,43.624233,283,,gerealiseerd,43.624233,26.4836868096998
6,9a190abe0a22488bbe81607108c1d21e,2020/08/24 11:48:51+00,L0004,Prorail,bestaand,0,gesloten verharding,081,,81,081__,Zaandam - Amsterdam Singelgracht Aansl.,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,74.617392,"74,617392",Randstad Noord,RN,Amsterdam,9,BAAN,Amsterdam,BAAN,Randstad Noord,RN,ProRail,116884.4955,491576.036308,52.41068167,4.8270246,151.662998,283,,gerealiseerd,151.6629985,93.4925545466523
7,f7996ae91ae44a9d92fac1f1bc73ae88,2020/10/09 18:13:10+00,L0004,Prorail,bestaand,0,gesloten verharding,555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,82.635324,"82,635324",Randstad Zuid,RZ,Rotterdam,3,BAAN,Rotterdam,BAAN,Randstad Zuid,RZ,ProRail,90600.602,437595.0265,51.92310278,4.45100765,42.48761,283,,gerealiseerd,42.48761,31.2558482088831
8,e489f89979de4756abcbda4c91977eba,2021/01/12 07:38:30+00,L0004,Prorail,bestaand,0,gesloten verharding,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,Gd-Gvc,Gouda - Den Haag Centraal ,6.544078,"6,544078",Randstad Zuid,RZ,Den Haag,2,BAAN,Den Haag,BAAN,Randstad Zuid,RZ,ProRail,99484.323025,448952.216,52.02613254,4.57830196,43.114452,283,,gerealiseerd,43.114452,31.1858226864332
9,b40b885c5acf4033b91d33582ed2f38e,2022/03/09 11:11:09+00,L0004,Prorail,bestaand,0,gesloten verharding,152,b,152,152_b,Kijfhoek - Meteren Aansl.,Brgnd-Brech,Betuweroute Giessendam - Betuweroute Echteld ,29.91471,"29,914710",Randstad Zuid,RZ,A15trace,71,BAAN,Zee-Zevenaar,BAAN,Randstad Zuid,RZ,ProRail,130237.841768,428178.1645,51.84163915,5.02788399,93.107905,283,,gerealiseerd,93.1079045,55.6617881084249
10,fef1070dd8d8441295e34f3f594eddc2,2017/05/10 09:05:17+00,L0004,Prorail,bestaand,0,gesloten verharding,152,a,152,152_a,Kijfhoek - Meteren Aansl.,Brppd-Brgnd,Betuweroute Papendrecht - Betuweroute Giessendam ,20.451999,"20,451999",Randstad Zuid,RZ,A15trace,71,BAAN,Zee-Zevenaar,BAAN,Randstad Zuid,RZ,ProRail,121269.168783,427676.216,51.83665727,4.89779443,211.785279,283,,Actueel,211.785279,65.7580088666567
