Leveranciers;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;5-Vervoer en verblijfskosten
4Meetings & Events;;1;;1
7Am;;2;;2
A Lab Stichting;;1;;1
Absoluta Food and Facilities;;2;;2
Aktiviteitencentrum Poortershoes;;1;;1
Amazing Bread Company (incl. Mammomi);;1;;1
ANWB;;;1;1
APS Algemeen Pedagogisch Studiecentrum (incl. Edukern, Sopo);;1;;1
Ardis Management Development;;1;;1
Arriva Openbaar Vervoer;;;1;1
Athlon Car Lease;;;6;6
ATPI Group (incl. The Advanced Travel Partner, ATP Corporate Travel, ATP Event Experts, ATP Groups & Incentives);1;;;1
Autobedrijven Jacob Schaap;;;1;1
Bandzoeker.nl;;1;;1
Basaal Restaurant;;1;;1
Beleidstheater;;1;;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);;1;;1
Best Western Hotels;;1;;1
Bijzondere Locaties Groningen;;1;;1
Bitter en Zoet Hotel Restaurant;;1;;1
Bizon Events;;1;;1
Bol Kreditank;;;1;1
Bos & Bos Catering (incl. Brasserie Bites);;1;;1
Brainstormnet;;1;;1
Brasserie Royal Kroonenburg;;1;;1
Break Out Events;;1;;1
Bureau Mouton;;2;;2
Carlton Hotel;;1;;1
Centrum Quadraat;;1;;1
Century Autogroep (incl. BMC Groningen);;;1;1
Cic Company;;1;;1
Clifford Electronics Benelux;;;1;1
De Artisjok Restaurant;;1;;1
De Band;;2;;2
De Bovenkamer van Groningen;;1;;1
De nieuwe Poort Exploitatie Maatschappij;;1;;1
De Observant Stadscafé;;1;;1
De Poort van Kleef Café-Restaurant;;1;;1
De Prom Utrecht (incl. Vredenburg);;1;;1
De Pudding/Saroma [Puddingfabriek];;1;;1
De Sniep Restaurant & Hotel;;1;;1
De Tuinkamer;;1;;1
De Witte Vosch;;1;;1
De Zilveren Vosch;;1;;1
Deventer Schouwburg;;1;;1
DKV Euro Service;;;1;1
Dom Hotel;;1;;1
Domstad Hogeschool, Cursus- en Vergadercentrum;;1;;1
Drakenburg Conferentiecentrum;;1;;1
Dropwinkel;;1;;1
Dudok (Horeca Exploitatie WWZ IV);;1;;1
Eten en Zo;;1;;1
Euroborg Horeca;;1;;1
Fletcher Hotel Restaurant;;1;;1
Ganzenmarkt;;1;;1
GFK Group (incl. Panel Services, Intomart);;1;;1
Green Wheels;;;1;1
Hans & Frans Hessing Banketbakkerij (Hesbak);;1;;1
Het Heerenhuis, Grandcafé, Lunch, Diner, Zalen;;1;;1
Het Kasteel;;1;;1
Het Paleis;;1;;1
Heuvelman Sound & Vision;;1;;1
Hoeboer Keramiek;;1;;1
Hoog Holten Restaurant & Hotel;;1;;1
Hotel Contact/Worldmeetings;;6;;6
Huize Molenaar Cuisinier;;1;;1
Igluu Workspace For Professionals;;1;;1
In De Driehoek, Zalencentrum;;1;;1
Interim Direct/Van der Wijst personenvervoer;;;1;1
Internet New Business Concepts (Vergaderruimte-Utrecht.nl);;2;;2
Ipic Nederland;;;1;1
ISS Holding/Catering;;1;;1
Jaarbeurs Utrecht;;1;;1
Karel V Utrecht Grand Hotel;;1;;1
Kasteel Huize Harmelen;;1;;1
Kivi Niria Congresbureau;;1;;1
Klap Des Bouvrie en Bredius;;;1;1
Koning Willem I College MBO Den Bosch;;1;;1
La Place Catering Service Restaurant;;1;;1
LCW Groningen b.v.;;;1;1
Leading Transformations;;2;;2
Management Expedition;;1;;1
Marnix Academie;;1;;1
Mary K Hotel;;1;;1
Mauritshuis;;1;;1
Momento;;1;;1
Museum Catering;;1;;1
Nanny en Zo;;1;;1
NH Hotels (incl. Nhow hotels);;1;;1
Noord Lease;;;2;2
Noorderpoort College;;1;;1
Novotel;;1;;1
Omroep Muziek Stg;;1;;1
Opus Consult;;1;;1
OSP Office Service Partners (incl. Du Monde Food, Catering);;1;;1
Oudaen Stadskasteel;;1;;1
Oud-Katholieke Kerk van Nederland;;1;;1
Park Plaza;;1;;1
Parkhuis Lombok;;1;;1
Rederij Behouden Vaart B.V.;;1;;1
Regardz (incl. Iassociate);;1;;1
Regus;;1;;1
Reinaerde;;1;;1
Retraiterie Rottemeren;;1;;1
Rova Bedrijven;;;1;1
Rozee;;1;;1
Sandton Hotels (incl. Sandton Malie Exploit.);;2;;2
Sardes;;1;;1
Seats2meet.com;;1;;1
Shell;;;1;1
Silo Today;;1;;1
Stichting Hiphophuis Holland;;1;;1
Still Intern Transport;;;1;1
SURF Shared Professional Services;;1;;1
Taat & De Regt;;3;;3
Taribush Events;;1;;1
Taxibedrijf Poll;;;2;2
VCK Groep, Travel & Logistics;2;;;2
Villa Heideheuvel;;1;;1
Vink Lisse;;;1;1
Vitam Catering;;1;;1
Zaamen;;1;;1
Zomers Restaurant;;1;;1
Zo-Vital;;1;;1
Eindtotaal;2;7;6;7
