Leveranciers;5110 - Verblijf extern;5210 - Wagenpark;5-Vervoer en verblijfskosten
7Am;3;;3
A30 Trucks B.V.;;1;1
Amazing Bread Company (incl. Mammomi);1;;1
Amershof Restaurant-Hotel-Zalencentrum;1;;1
Andree's Snackbar;1;;1
Ardis Management Development;2;;2
Aristo Holding;1;;1
Athlon Car Lease;;7;7
Auto Muntstad;;2;2
Autobedrijf De Rooij;;1;1
Autobedrijf Van Hugten;;1;1
Autoverhuur Bultman;;1;1
Autowascentrum Binckhorstlaan (B Kerkhof & Zn.);;2;2
Babbilage Restaurant-Brasserij;1;;1
Bartholomeus Gasthuis;1;;1
Bastion Hotels;1;;1
BCN Business Centre Nederland;2;;2
BCU - Bergings Combinatie Utrecht;;1;1
Bilderberg Hotels;1;;1
BMW;;1;1
Brasserie Vink (Berenkuil);1;;1
Briq Restaurant;1;;1
Buitengoed Hagenhorst;1;;1
Bureau Jeugdzorg;1;;1
CAOP - Centrum Voor Arbeidsverhoudingen Overheidspersoneel;1;;1
Carlton Hotel;1;;1
Carrosserie Bakker;;1;1
Carrosseriefabriek Harderwijk;;1;1
CATERING AAN ZEE;1;;1
Centrale Rino;1;;1
Company Sandwich;1;;1
Compass Group Nederland (incl. Eurest, ECS Catering, Avenance);1;;1
Concordia Theater & Zalen;1;;1
Conferentiecentrum Kaap Doorn;1;;1
Connexxion;1;;1
Contour Advanced Systems;;1;1
Cornelissen Projectbegeleiding;;1;1
Court Hotel City Centre Utrecht (incl. De Rechtbank Restaurant);1;;1
CROWN SLIM WERKEN;1;;1
Dazzling Cocktails;1;;1
De Artisjok Restaurant;1;;1
De Baak incl. Seaside, Administratie, Hospitality, Management Centrum;1;;1
De Bakkerswinkel (incl. Geelhoed Eetwinkel);1;;1
De Beuk Organisatie-Adviesbureau;1;;1
De Eeuwige Jachtvelden Café-Restaurant;1;;1
De Engel Restaurant;1;;1
De Griffel Groot Café-Restaurant;1;;1
De Hoefslag Restaurant;1;;1
De Hoorneboeg/Ernst Sillem Hoeve Conferentiecentrum;1;;1
De Kargadoor Beheerstichting;1;;1
De Pineta Zalencentrum;1;;1
De Poort van Kleef Café-Restaurant;1;;1
De Prom Utrecht (incl. Vredenburg);1;;1
De Reiger Catering (incl. Nikita, Vechthuis);2;;2
De Sniep Restaurant & Hotel;1;;1
De Soesterduinen Café-Restaurant;1;;1
De Witte Zwaan Restaurant;1;;1
Den Haag Evenementen;1;;1
Den Hartog;;2;2
Dierenpark Amersfoort;1;;1
Digital Action;1;;1
Domstad Evenementen (incl. Tours & Events);1;;1
Dudok (Horeca Exploitatie WWZ IV);1;;1
Duin & Kruidberg Landgoed;1;;1
Dyzle Operations;;1;1
Esther-Louise Luytjes Facilities;2;;2
Europcar Autoverhuur (Sterverhuur);;1;1
Faber Vlaggen (vh Shipmate);1;;1
Fepa Horeca (Le Hathor);1;;1
Fleetlogic;;2;2
Fletcher Hotel Restaurant;1;;1
FlexCentraal;1;;1
Freerk Albertema;1;;1
Golden Tulip;1;;1
Grand Kasteel Woerden;1;;1
Hampshire Hotel;1;;1
Hertz Automobielen;;1;1
Het Boegbeeld;1;;1
Het Brouwcafe;1;;1
Het Dolhuys;1;;1
Het Kookplein Kookschool en Lunchrestaurant;1;;1
Het Muntgebouw Utrecht;1;;1
Het Nutshuis;1;;1
Het Pageshuis;1;;1
Holiday Inn;1;;1
Hotel Bergse Bossen;1;;1
Hotel Des Indes Le Meridien, Lehwood;1;;1
Hotel Hoogeveen;1;;1
Hotel Landgoed Het Roode Koper;1;;1
HTM Hollandse Telecommunicatie Maatschappij;;1;1
Huize Molenaar Cuisinier;2;;2
Humanity House;1;;1
Ibg Advies/Kunstkamer;1;;1
Igluu Workspace For Professionals;1;;1
In De Driehoek, Zalencentrum;1;;1
Integraal Kankercentrum;1;;1
Interim Direct/Van der Wijst personenvervoer;;4;4
Interuniversitair Cardio- Logisch Instituut Nederland;1;;1
Jaarbeurs Catering Services;2;;2
Jaarbeurs Utrecht;4;;4
Jeroen Bosch Ziekenhuis, Institute;1;;1
Karel V Utrecht Grand Hotel;2;;2
KNVB;1;;1
Koninklijke van den Boer Groep (incl. Oseven, happening and food);1;;1
Kraaybeekerhof Facilitair;1;;1
KRAS2;1;;1
Kropman Installatietechniek;;3;3
L. van Ingen Soil Sampling;;1;1
La Place Catering Service Restaurant;1;;1
Landgoed De Reehorst Hotel en Congrescentrum, Facilitairbedrijf (incl. Antropia);2;;2
Lazuli Cursuscentrum & Zaalverhuur;1;;1
Lloyd Hotel;1;;1
LONGFONDS PATIENTENVERENIGING;1;;1
Makeblijde;1;;1
Meeting Plaza;2;;2
Meneer Buscourr Restaurant;1;;1
Mercure Hotels;1;;1
MIEKE MOOR VRIJ WERK;1;;1
Mitland Hotel;2;;2
Mooi Zeist Indonesisch Restaurant;1;;1
Museum Catering;1;;1
Museum voor Communicatie;1;;1
Mwee;1;;1
Nemo Octrooiborrel;2;;2
New Babylon Meeting Center;1;;1
NH Hotels (incl. Nhow hotels);1;;1
Ni Hao Group (incl. Restaurant, Trading, Horeca);1;;1
NIBI Nederlands Instituut Voor Biologie;1;;1
Nieuwspoort;2;;2
NISB Ned Inst Sport en Bewegen;1;;1
Nu-Swift Brandbeveiliging;;1;1
NVKC Nederlandse Vereniging Voor Klinische Chemie en Laboratorium;1;;1
On-Route;;1;1
Onze Lieve Vrouwe;1;;1
OSP Office Service Partners (incl. Du Monde Food, Catering);1;;1
Oud London Catering-Hotel-Restaurant;1;;1
Oud Poelgeest;1;;1
Oudaen Stadskasteel;1;;1
Pact! Groep Persoonlijk Advies, Coaching & Training;1;;1
PARALLEL UNIVERSUM PHOTOGRAPHY;1;;1
Park Plaza;1;;1
Paul's Bistro;1;;1
Pavlov Bar Restaurant;1;;1
PBLQ (HEC, ROI, Zenc);1;;1
Per Saldo;1;;1
PIT Partner Intern Transport;;3;3
Plein 10A (Rozee, Millers Restaurant);1;;1
Prins27;1;;1
Profile Rene De Fietsenspecialist;;1;1
REALTIME INSIGHT EXCHANGE;1;;1
Regardz (incl. Iassociate);2;;2
Regus;2;;2
Ripassa;1;;1
Ropeni (incl. Schlemmer);1;;1
Ruimteutrecht;1;;1
RWIN Showtechniek;1;;1
Sandton Hotels (incl. Sandton Malie Exploit.);1;;1
Seats2meet.com;2;;2
Sekondant;1;;1
Show Rental;1;;1
Silverijn;1;;1
Smeba Brandbeveiliging;;1;1
Sodexo;5;;5
Spaces Rode Olifant;2;;2
Stern Schade;;2;2
SternTec;;1;1
Sterrenberg Hotel-Boutique-Restaurant;1;;1
STG DEPREZ;1;;1
STG ZORGSTRUCTUUR VO IJSSEL-VECHT;1;;1
Stichting De Rijswijkse Schouwburg;1;;1
Strandpaviljoen Zuid;1;;1
Taat & De Regt;1;;1
Technocon Holding;;1;1
Telstar Laboratory Equipment (vh PMV Particle Measurement & Validation, Clean Air Techniek, ilShin);;1;1
TERROIRWIJN;1;;1
The Harbour Club;1;;1
Theaterhotel De Oranjerie;1;;1
Theefeestje;1;;1
Tijmen Ploeg Carrosseriefabr.;;1;1
Tollius Medisch Centrum;1;;1
Toyota (incl. Louwman);;1;1
Transscope Voertuigsystemen;;1;1
Tyrilo (incl. Oscars restaurant);2;;2
Uit koken / Diner Thuis;1;;1
V&Vn Beroepsvereniging van Zorgprofessionals;1;;1
Van der Linde Catering + Evenementen;1;;1
Van der Valk Hotels;2;;2
Van Miltenburg Café;2;;2
VCK Groep, Travel & Logistics;1;;1
Veilingmeester;1;;1
Vergadercentrum Domus Medica;1;;1
Vermaat Leisure, Horeca, Service;1;;1
Vigilat Beveiligingen;;1;1
Vroeg;1;;1
VTN Veiligheidstechniek Nederland;;1;1
Winkel van Sinkel Cultureel;1;;1
Wittebrug Autogroep;;1;1
Woudschoten Conferentiecentrum;1;;1
WTC Schiphol;1;;1
Zoef;1;;1
ZORGBELANG GRONINGEN;1;;1
Zorgsaam Zeeuws-Vlaanderen;1;;1
Eindtotaal;7;7;7
