Nummer;Totaal van;Jaar;Soort verzoek;Land van aanvraag;Aantal ontvangen reisdocumenten
1;Jaar;2017;*Alle*;*Alle*;220
2;Jaar, Soort verzoek;2017;LP;*Alle*;220
3;Jaar, Land van aanvraag;2017;*Alle*;Algerije;30
3;Jaar, Land van aanvraag;2017;*Alle*;Angola;10
3;Jaar, Land van aanvraag;2017;*Alle*;Armenië;10
3;Jaar, Land van aanvraag;2017;*Alle*;Belarus;10
3;Jaar, Land van aanvraag;2017;*Alle*;Guinee;10
3;Jaar, Land van aanvraag;2017;*Alle*;Marokko;10
3;Jaar, Land van aanvraag;2017;*Alle*;Moldavië;10
3;Jaar, Land van aanvraag;2017;*Alle*;Mongolië;10
3;Jaar, Land van aanvraag;2017;*Alle*;Myanmar;10
3;Jaar, Land van aanvraag;2017;*Alle*;Nigeria;30
3;Jaar, Land van aanvraag;2017;*Alle*;Peru;10
3;Jaar, Land van aanvraag;2017;*Alle*;Sierra Leone;30
3;Jaar, Land van aanvraag;2017;*Alle*;Tunesië;10
3;Jaar, Land van aanvraag;2017;*Alle*;Vietnam;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Algerije;30
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Angola;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Armenië;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Belarus;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Guinee;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Marokko;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Moldavië;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Mongolië;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Myanmar;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Nigeria;30
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Peru;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Sierra Leone;30
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Tunesië;10
4;Jaar, Soort verzoek, Land van aanvraag;2017;LP;Vietnam;10
