Rijlabels;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
2-Advise;;1;;;;;;;1
Abiom Communication Systems (A.C.S.) B.V.;;;;;;;6;;6
Actis B.V.;;;;;2;;;;2
Airsain;;;;;;;1;;1
Alphatron Marine B.V.;;;;;;;3;;3
anoniem 29;;;;;;;1;;1
Atexxo B.V.;;;;;;;1;;1
Atos Nederland B.V.;;;;;;;;1;1
Avantgarde Media;;;;1;;;;;1
Avantgarde Media B.V.;;;;1;;;;;1
Avast Software B.V.;;;;1;;;;;1
Avensus Nederland B.V.;;;;;3;;;;3
Axiell ALM Netherlands B.V.;;;;;;;;2;2
Böwe Systec Nederland B.V.;;7;;;;;;;7
Beijer Automotive B.V.;;;;1;;;;;1
Belstore.Com B.V.;;;;;;;1;;1
BIS Bedrijfs Informatie Systemen B.V.;;;7;;;;;;7
BIT B.V.;;;;;;;;2;2
BiZZdesign International;;;;;7;;;;7
Boom uitgevers Amsterdam B.V.;;;;1;;;;;1
Bouwcombinatie DUO2 V.O.F.;;;;;;;1;;1
BPI Services B.V.;;;;1;;;;;1
BrightContact Technology B.V.;;;;;6;;;;6
Budgetcam;;1;;;;;;;1
Buyitdirect.com B.V.;;2;;;;;7;;7
Bwise B.V.;;;;2;;;;;2
CA software B.V.;;;;;7;;;;7
Canon Nederland;;;6;;3;;;;7
Capgemini Nederland B.V.;;;;;5;;;;5
CaseWare Nederland;;;;1;7;;;;7
CBizz B.V.;;;;;;;1;;1
Central Point Nederland B.V.;;2;;1;;;;;2
Centric Netherlands B.V.;;;;2;2;;;;2
CISOfy;;;;1;;;;;1
Clipperms.nl;;1;;;;;;;1
CM Telecom B.V.;;;;;;;2;;2
Comecer Netherlands B.V.;;;2;;;;;;2
Communicativ B.V.;;;1;;;;;;1
COMPAREX Nederland B.V.;;;;8;8;;;;9
Croonwolter&dros B.V.;;7;;;1;;;;7
Cymax E-Products B.V.;;;;;3;;;;3
DataExpert B.V.;;4;;4;4;;;;5
De Hosting Makelaar B.V.;;;;;;;1;;1
De Klantcontact Monitor B.V.;;;;1;;;;;1
Dedicon B.V.;;;;1;;;;;1
Dell Benelux Call Centre;;;5;;;;;;5
Detron Communication Solutions;;1;5;2;1;;3;;6
DifferentLab B.V.;;;;1;;;;;1
Document Dialog B.V.;;;;;2;;;;2
D-RT Group Netherlands B.V.;;;;1;;;1;;1
Duvak Automatisering B.V.;;;;;;;1;;1
Eikelboom & De Bondt It Services B.V.;;;;;3;;;;3
Enigma Business Consulting B.V.;;;;;;;1;;1
Entco Nederland B.V.;;;;;2;;;;2
E-Office B.V.;;;;;2;;;;2
Escherware B.V.;;;;;1;;;;1
European Customs Agencies B.V.;;;;;;;2;;2
Flash Rental Services B.V.;;;;;;;2;;2
Flexera Software Limited;;;;;2;;;;2
Flex-I.D. B.V.;;;;4;2;;;;4
Flexwebhosting B.V.;;;;;;;1;;1
FlightMaster;;;;;4;;;;4
Focus B.V.;;;;;;;4;;4
Fofic;;;3;;;;;;3
Fox-IT;;;;4;;;;;4
Fujitsu Technology Solutions (Holding) B.V.;;;;;2;;;;2
Fujitsu Technology Solutions B.V.;;7;2;8;10;;;;11
Gemnet B.V.;;;;1;;;2;;2
Genesys Telecommunications Laboratories B.V.;;;;;6;;;;6
GEVEG;;;;;1;;;;1
Groningen Airport Eelde N.V.;;;;1;;;;;1
Hakvoort Horeca B.V.;;;;;;;1;;1
Heijnen B.V.;;;;1;;;;;1
Hewlett-Packard Nederland B.V.;;8;;5;7;;;;9
Honeywell Building Solutions;;;;;1;;;;1
Hostnet B.V.;;;;;;;1;;1
i3 groep;;7;9;6;7;;;;9
IBM Nederland B.V.;;9;;9;8;;;;10
ICCS;;;;1;;;;;1
InEar Systems;;;;;3;;;;3
Infopact Netwerkdiensten B.V.;;;;;;;2;;2
ING Bank;;;;1;;;;;1
Ingenieursbureau B-Ware B.V.;;;;;4;;;;4
Insight Enterprises Netherlands B.V.;;;;;7;;;;7
Intelligence Improved;;;;1;;;;;1
Inter-Engineering Services Ltd.;;;;;3;;;;3
Internedservices;;;;1;1;;;;2
