Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
!Pet;;1;;;;;;1
_Unity B.V.;;;;;;;1;1
4IT Professionals B.V.;;;;2;;;;2
50PlusIT B.V.;;;;4;;;;4
ABB Holdings B.V.;;1;;;;;;1
Abma IT;;;;1;;;;1
AC Plus Automatisering B.V.;;;;6;;;;6
Advisie Business Consultants;;;;1;;;;1
Ahoy Rotterdam N.V.;;;;;;1;;1
Allekabels B.V.;;1;;;;;;1
A-mac B.V.;1;1;;;;1;;1
Amazon Web Services Netherlands B.V.;;;;1;;;;1
Amtex;;;;1;;;;1
Andarr Technology Services;;;;5;;;;5
Andriessen & Partners B.V.;;;;2;;;7;7
Anoigo Services Limited;;2;;;;;;2
Apples n Berrys;;;;;;1;;1
ArchiXL B.V.;;;;;;;1;1
Armatiek B.V.;;;1;;;;;1
Atos Nederland B.V.;3;6;;8;;1;7;9
Avex B.V.;2;;;;;;;2
Backshop Healthy Computing bv;1;;;;;;;1
Bazelmans Audio Visual Rentals;1;;;3;;;;4
Bechtle direct B.V.;6;;;;;;;6
BelStore.NL;;;;;;2;;2
bibliotheca Netherlands B.V.;;1;;;;;;1
Blauwborg B.V.;;;;1;;;;1
Bloemendaal Consultancy B.V.;;;;4;;;;4
Bluedesk Groep;;;1;2;;;;2
BMC Advies B.V.;;;;3;;;;3
bol.com B.V.;1;1;;;;;;1
Bouwcombinatie DUO2 V.O.F.;;1;;;;;;1
BPI Services B.V.;;1;;1;;;;1
BPI Services BV;;;;1;;;;1
BQA B.V.;;;;6;;;;6
Brisk ICT B.V.;;1;;1;;;;1
Brunel Nederland B.V.;;;;7;;;;7
BTC Teleconsult;;;;;;2;;2
Buy It direct;1;;;;;;;1
Buyitdirect.com N.V.;4;1;;;;1;;4
Bys Hosting;;;;1;;;;1
Byte B.V.;;;;1;;;;1
Canon Nederland N.V.;;4;1;;;;1;4
Capgemini Nederland B.V.;;;1;8;1;;6;9
CCM Masters B.V.;;;;1;;;;1
Cendris Dataconsulting B.V.;;;;1;;;;1
Central Point Nederland B.V.;3;;;;;1;;3
Centric;;;;7;;;;7
CGI Nederland B.V.;;;;8;;;;8
Chubb Fire & Security Twente;;;;1;;;;1
Cimsolutions;;;;7;;;;7
Cimsolutions B.V.;;;;;;;3;3
Citrus;;;;6;;;;6
Claranet Benelux BV;;;;;;;1;1
Clockwork B.V.;;;;2;;;;2
CM Telecom B.V.;;;;;;1;;1
Community Network Groningen B.V.;;2;;3;;2;;4
COMPAREX Nederland B.V.;;5;4;7;7;2;4;8
Computer Marketing Associatie B.V.;;;;1;;;;1
ConoScenza B.V.;;;;4;;;;4
Content Strategy B.V.;;;;1;;;;1
Coolblue B.V.;1;;1;;;;;1
Coosto B.V.;;;1;;;;;1
Daily Creations;;;;;;;1;1
DB Audio Video Systemen B.V.;;;1;;;;;1
De Processpecialisten B.V.;;;;;;;2;2
DE REE archiefsystemen;;;;4;;;;4
De Staffing Groep Nederland B.V.;;;;7;;;;7
Delaware Consulting;;;;;;;1;1
DELFT Q;;;;;;;2;2
Dell Software International Ltd;;;;;;;2;2
Dell Taiwan B.V.;1;;;;;;;1
Deloitte Accountants B.V.;;;1;;;;;1
Detron ICT Infra Support Services B;;;;;;1;;1
Detron Lifecycle Services;4;;;;;3;;4
Digital Revolution B.V.;;1;;;;;;1
DVT Communicatie B.V.;;1;;;;;;1
EduContinu;;;;1;;;;1
Electrade;;1;;;;;;1
Elogio;;;;3;;;;3
Enrise;;;;;;;1;1
Erfgoed Brabant;;;;;;;2;2
Ergo2work BV;1;;;;;;;1
ESN Automatisering B V;2;1;1;1;;1;1;2
ESN Service en Netwerkbeheer B.V.;1;1;;1;;;2;2
