FID,name,folder,group_,urlbig,rdx,rdy,se_anno_cad_data,gdb_geomattr_data,shape
zn_helicopterfotos_2011_03.1,jvh_4108.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4108.jpg,151610.409266,413008.946492,,,POINT (151610.40900000185 413008.9459999986)
zn_helicopterfotos_2011_03.2,jvh_4109.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4109.jpg,151621.941975,413027.481022,,,POINT (151621.94200000167 413027.48099999875)
zn_helicopterfotos_2011_03.3,jvh_4110.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4110.jpg,151668.035275,413045.992646,,,POINT (151668.03500000015 413045.9930000007)
zn_helicopterfotos_2011_03.4,jvh_4111.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4111.jpg,151679.567687,413064.527308,,,POINT (151679.56799999997 413064.52699999884)
zn_helicopterfotos_2011_03.5,jvh_4112.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4112.jpg,151702.620155,413083.054459,,,POINT (151702.62000000104 413083.0540000014)
zn_helicopterfotos_2011_03.6,jvh_4113.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4113.jpg,151737.192551,413101.574256,,,POINT (151737.19299999997 413101.57400000095)
zn_helicopterfotos_2011_03.7,jvh_4114.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4114.jpg,151760.232747,413101.559416,,,POINT (151760.23299999908 413101.55900000036)
zn_helicopterfotos_2011_03.8,jvh_4115.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4115.jpg,151794.816567,413138.621865,,,POINT (151794.81700000167 413138.6220000014)
zn_helicopterfotos_2011_03.9,jvh_4116.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4116.jpg,151863.948154,413157.12071,,,POINT (151863.94799999893 413157.12099999934)
zn_helicopterfotos_2011_03.10,jvh_4117.jpg,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch,zuidwillemsvaart\2011-03_denbosch,https://downloads.rijkswaterstaatdata.nl/Regio/zuid_nederland/helicopterfotos_dnb/geogegevens/raster/zuidwillemsvaart/2011-03_denbosch/jvh_4117.jpg,151898.519448,413175.641616,,,POINT (151898.51900000125 413175.6420000009)
