Leveranciers;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
&Samhoud Nederland B.V.;;;;;2;;;2
.bos ontwikkeling in organisatie;;;;1;;;;1
1001 Hapjes;;;;;;1;;1
2-Rescue;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;;;2;;;2
7AM B.V.;;;;;1;;;1
A.V. Webwinkels;1;;;;;;;1
Aarten Management & Consultancy B.V.;;2;;;;;;2
Abbott Informatics Netherlands B.V.;;;;;1;;;1
Abdijkaarsen;;;1;;;;;1
Abode Beheer B.V.;;;;;1;;;1
AC groep;;;;;1;;;1
Academisch Genootschap;;;1;;;;;1
Academy for Leadership B.V.;;;;;1;;;1
Accenture B.V.;;;;;2;;;2
Adiantar;;;;;1;;;1
Adlib Gebruikersgroep;;;;;1;;;1
Adviesbureau Atim B.V.;;;;;1;;;1
Ai-Opener;;;;;1;;;1
AL Marketing?;;;;;;1;1;1
Albron Nederland B.V.;;;2;;;;;2
Alexander Hotel B.V.;;;;;1;;1;1
Alignment4Value;;2;;;;;;2
Allgifts.nl B.V.;;;1;;;;;1
Always Green B.V.;;;1;;;;;1
Amaze Escape Events;;;1;;;1;;1
Ana's Kuzin;1;;;;;;;1
Andermanskeuken;;;1;;;;;1
Anglo-File;1;;;;;;;1
Anne de Vette Training en Consultancy;;;;;1;;;1
anoniem;;;;;;;1;1
AOB Compaz B.V.;;;;1;;;;1
AOG Contractonderwijs B.V.;;;;;1;;;1
Apartt Rotterdam Horeca B.V.;;;1;;;;;1
Aqua Flor Bloembinderij;;;1;;;;;1
Arboduo B.V.;;;;1;;;;1
ArboNed B.V.;;5;;;1;;;5
ARCADIS Nederland B.V.;;3;;;;;;3
Ardis Opleidingen B.V.;;;;;4;;;4
Ardis Organisatieontwikkeling B.V.;;;;1;2;;;2
Aristo Holding B.V.;;;;;;;1;1
Arko Sports Media B.V.;;1;;;1;;;1
Arnout Visscher;1;;;;;;;1
Arsvitae Arbeidspsychologie & Loopbaanadvies;;;;1;;;;1
Art of Events;;;1;;;;;1
Artige B.V.;;;1;;;;;1
At Computing B.V.;;;;;1;;;1
Atlantic Hotel Exploitatie B.V.;;;1;;;;;1
Atos Nederland B.V.;;2;;;;;;2
ATP Den Haag;;;1;;;;1;1
Attentio;;;1;;;;;1
Automotive Publishing B.V.;;;;;1;;;1
Avans Hogeschool MB B.V.;;;;;1;;;1
Avanza Advies;;;;;1;;;1
B.V. Perscentrum Nieuwspoort;;;1;;;;;1
B+B Vakmedianet B.V.;;;;;1;;;1
Baantraject B.V.;1;;;;;;;1
Babel B.V.;;;;;1;;;1
Backshop B.V.;;1;;;;;;1
Badmintonclub Velo;;;1;;;;;1
Bakkerij Bart;;;1;;;;;1
Bakkerij van Malkenhorst;;;1;;;;;1
Balans & Impuls B.V.;;1;;;1;;;1
Ballonnenservice.nl;1;;;;;;;1
Banketbakkerij Boheemen;;;1;;;1;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;1
Banketbakkerij Theo Blom V.O.F.;1;;1;;;;;1
Bar Restaurant Pavlov B.V.;;;1;;;;;1
Barbecue Catering Nederland;;;1;;;;;1
Beachclub Indigo B.V.;;;1;;;;;1
Bedrijfs- en Kantineservice C. de Rooij B.V.;;;1;;;;;1
Beleidstheater;;;;;1;;;1
Belgisch Biercafé Olivier B.V.;;;1;;;;;1
Benecke Beheer B.V.;;;;;1;;;1
Berenschot B.V.;;2;;;1;;;2
Bergh Delisse Events;;;1;;;;;1
Berghauser Pont Academy B.V.;;;;;1;;;1
Beroepsvereniging Vide;;;;;1;;;1
Best Western Berghotel;;;;;1;;;1
Bestuursacademie Nederland Opleidingen B.V.;;;;;2;;;2
Beweegwijs B.V.;;1;;;;;;1
Bezemer Kuiper & Schubad B.V.;;;;;1;;;1
Bezoekerscentrum de Kennemerduinen;;;1;;;;;1
BHV Competent;;;;;1;;;1
Bij Jou Catering;;;1;;;;;1
Bilderberg Hotel Klein Zwitserland;;;1;;;;;1
Bilderberg Residence Groot Heideborgh;;;1;;;;;1
Bilthoven Biologicals B.V.;;3;;;;;;3
Binnenlands Bestuur B.V.;;;;;1;;;1
BinnensteBuiten Leren;;;;;1;;;1
Bistro De Zoete Inval V.O.F.;;;1;;;;;1
BIT GRILL AND CAFE;;;1;;;;;1
Bling Bistro;;;1;;;;;1
Bloemenhuis J.H. Schuiten B.V.;;;1;;;;;1
Blomberg Instituut B.V.;;;;;1;;;1
Blomme Consult;;;;;1;;;1
Blonk Milieu Advies B.V.;;;;;1;;;1
BLOSSOM bloemisterij;;;1;;;;;1
Bluedesk CRM B.V.;;;;;2;;;2
blueriq;;;;;1;;;1
BMC Advies B.V.;;;;;2;;;2
BMKV Diensten B.V.;;;;;1;;;1
BOCA Horeca B.V.;;;1;;;;;1
Boek en Service;;;;;1;;;1
Boer Salades B.V.;1;;;;;;;1
Bojang;;;;;1;;;1
bol.com B.V.;;;1;;;;;1
Bolyari;;;1;;;;;1
Boom & Bos B.V.;;;;;1;;;1
Boomerang Beach;;;1;;;;;1
Boost Events;;;1;;;;;1
Bouwmarkt Van der Schee B.V.;;;;;;;1;1
Bowling Scheveningen B.V.;;;1;;;;;1
Brain Box Mediatraining B.V.;;;;;1;;;1
Brasserie Buitenhof;;;1;;;;;1
Brasserie De Boerderij;;;1;;;;;1
Brasserie Jansen;;;1;;;;;1
Brasserie Sequenza;;;1;;;;;1
Brasserie Soho B.V.;;;1;;;;;1
Brasserie/Restaurant Babbilage;;;1;;;;;1
Bravosolution Benelux;;;;;1;;;1
Bright & Company B.V.;;;;;1;;;1
Broers;;;1;;;;;1
Broodje van Martin;;;1;;;;;1
Brug in Bedrijf;;;;;1;;;1
Buena Vista Beach Club;1;;1;;;;;1
Buitengoed Uylenburg B.V.;;;1;;;;;1
Bureau BD;;;;;2;;;2
Bureau Mouton B.V.;;;;;1;;;1
Bureau Ten Napel;;;;;1;;;1
Bureau Zuidema B.V.;;;;;2;;;2
Bureautaal B.V.;;1;;;1;;;1
Burger Coaching & Advies;;;;;1;;;1
Burn Out Poli;;1;;;1;;;2
Buromac B.V.;;;1;;;;;1
CA Communicatie;;;;;1;;;1
Cadeau Company;;;1;;;;;1
Café Berger Beheer;;;1;;;;;1
Café De Dikke;;;1;;;;;1
Café Restaurant Rootz B.V.;;;1;;;;;1
Café van Miltenburg;;;2;;;;;2
Café 'Zanzibar';;;1;;;;;1
Café Zomers & Zomers;;;1;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;1;;;;;1
Café-Restaurant New York Den Haag;;;1;;;;;1
cambiamo;;;;;1;;;1
Capgemini Educational Services B.V.;;;;;1;;;1
Capgemini N.V.;;;;;1;;;1
Capgemini Nederland B.V.;;;;;1;;;1
Carlton Hotels Nederland B.V.;;;1;;;;;1
Caroni;;;1;;;;;1
Carpe Diem Events;;;1;;;;;1
Catering Oud London B.V.;;;1;;;;;1
CBO B.V.;;1;;;;;;1
Centrum voor Zijnsoriëntatie;;;;;1;;;1
Change2Result;;;;;1;;;1
Chez Michel Delicatessen & Catering;;;1;;;;;1
Chin. Ind. Restaurant 'De Chinese Muur' B.V.;;;1;;;;;1
Chinees/Japans Restaurant Momiji;;;1;;;;;1
Chinees-Indisch restaurant Ko Shing;;;1;;;;;1
ChocoladeTotaal;;;1;;;;;1
Chocolaterie Le Cacao;;;1;;;;;1
Christine Boland Trends & Mindsets;;;1;;;;;1
Ciao! Ciao! B.V.;;;1;;;;;1
Cimsolutions;;5;;;;;;5
Cirquest B.V.;;;;;2;;;2
Citylife B.V.;;;1;;;;;1
CKade B.V.;;2;;;;;;2
Clinical Trial Service B.V.;;;;;1;;;1
Cloose;;;1;;;;;1
Cloud Seven B.V.;;2;;;;;;2
Coffee Fresh Westhoff B.V.;;;2;;;;;2
Cogitatio B.V.;;;1;;;;;1
COGNICUM;;;;;1;;;1
Coincide B.V.;;;;;1;;1;2
Colour XL B.V.;;;1;;;;;1
Commection;;;;;1;;;1
Commitment B.V.;;;;;1;;;1
Common Eye B.V.;;2;;;1;;;2
Company Sandwich;;;1;;;;;1
Compass Group Nederland B.V.;;;1;;;;;1
Competence Factory;;;;;1;;;1
Compu'Train;;;;;1;;;1
Compu'Train Opleidingen B.V.;;;;;1;;;1
Connexxion;;;;;;;1;1
Connexxion Taxi Services B.V.;;;;;;;3;3
Connexxion Tours B.V.;;;;;;;1;1
ConSense;;;;;1;;;1
Cooking & Booking;;;1;;;;;1
Coöperatie Academic Transfer UA;;;;1;;;;1
Coöperatie Hoeve Biesland BA;;;1;;;;;1
Coppa;;1;;;;;;1
Cordes Organisatie Advies & Ontwikkeling;;;;;1;;;1
Corinor Organisatieontwikkeling B.V.;;;;;1;;;1
Corion;;;;;1;;;1
Cornelissen Loopbaanconsult;;;;;1;;;1
Cosanta B.V.;;;;;2;;;2
CrisisTox Consult;;2;;;;;;2
Croissanterie Aad de Groot B.V.;;;1;;;;;1
Cross Media Nederland B.V.;;;;1;;;;1
Crystal River;;;;;2;;;2
Cuisine Royale B.V.;;;1;;;;;1
Cut-Up;;;1;;;;;1
Dado;1;;;;;;;1
Dagelijks Lekker;;;1;;;;;1
Darpo Reklame B.V.;;;1;;;;;1
Data Ventures Europe B.V.;;;;;1;;;1
Dazhong B.V.;;;1;;;;;1
De Argumentenfabriek B.V.;;;;;3;;;3
De Argumentenfabriek Denkacademie B.V.;;;;;2;;;2
De Baak Administratie;;;;;2;;;2
De Baar Business Solutions B.V.;;;;;1;;;1
