Datum zaak start;Stap;Zaakstatus;Datum zaak uiterste;Hoofdcategorie (zaaktype mor);Subcategorie (zaaktype mor);straat (zaaktype mor);Ter hoogte van (zaaktype mor);Wijk (zaaktype mor)
31-12-2017 0:00;Definitief afgesloten;Afgesloten;31-12-2017 0:00;Openbare verlichting;;;Locatie Prinses Margrietlaan en zijstraten. Mastnummer;
31-12-2017 0:00;Voorlopig afgesloten;Afgehandeld;31-12-2017 0:00;Wegen en fietspaden;Gebreken wegdek;Bergweg;Locatie Van Tetslaan, tussen de Dr s'Jacoblaan en de Bergweg.;Zeist Centrum
30-12-2017 0:00;Lopend;In behandeling;30-12-2017 0:00;Riolering;;;Locatie Parallelweg Utrechtseweg ter hoogte van huisnummer 48b. Mastnummer;
30-12-2017 0:00;Lopend;In behandeling;30-12-2017 0:00;Riolering;;;Locatie Verlengde Slotlaan ter hoogte van nummer 85 Mastnummer;
30-12-2017 0:00;In behandeling;In behandeling;6-1-2018 0:00;Wegen en fietspaden;Gebreken fiets-/voetpaden;Jacob Blokhuislaan;Locatie Jacob blokhuislaan 4 bij de riolering aan de straat kant. Mastnummer;Zeist Noord
30-12-2017 0:00;Lopend;In behandeling;30-12-2017 0:00;Afvaldumping;;;Locatie Prinses Margrietlaan, ingang C Mastnummer;
29-12-2017 15:39;Definitief afgesloten;Afgesloten;29-12-2017 15:39;Handhaving;Handhaving;Emmaplein;;Zeist Centrum
29-12-2017 14:52;Definitief afgesloten;Afgesloten;29-12-2017 14:52;Parkeren;Parkeren;Jagerlaan;;Zeist Centrum
29-12-2017 14:26;Nieuw via KCC;Ontvangen;29-12-2017 14:26;;;;;
29-12-2017 14:23;Voorlopig afgesloten;Afgehandeld;29-12-2017 14:23;Bomen;Bomen;Valckenboschlaan;;Zeist Centrum
29-12-2017 14:17;Definitief afgesloten;Afgesloten;29-12-2017 14:17;Bomen;Bomen;Prinses Marijkelaan;;Zeist Oost
29-12-2017 13:20;Definitief afgesloten;Afgesloten;29-12-2017 13:20;Overig;;Emmaplein;zie omschrijving;Zeist Centrum
29-12-2017 13:20;Definitief afgesloten;Afgesloten;29-12-2017 13:20;Afvaldumping;Afvaldumping;De Clomp;;Zeist West
29-12-2017 12:51;Definitief afgesloten;Afgesloten;29-12-2017 12:51;Afvaldumping;Afvaldumping;Brugakker;;Zeist West
29-12-2017 11:23;Definitief afgesloten;Afgesloten;29-12-2017 11:23;Handhaving;Handhaving;Emmaplein;;Zeist Centrum
29-12-2017 10:36;Definitief afgesloten;Afgesloten;29-12-2017 10:36;Afvaldumping;Afvaldumping;Brugakker;;Zeist West
29-12-2017 10:09;Lopend;In behandeling;29-12-2017 10:09;;;Promenade;2667 en 0028 en 0029;Zeist Centrum
29-12-2017 8:54;Definitief afgesloten;Afgesloten;5-1-2018 8:54;Openbare verlichting;Lamp defect;Couwenhoven;0591-5204 en 0591-4604;Zeist West
29-12-2017 0:00;Lopend;In behandeling;29-12-2017 0:00;;;;Locatie Fazantenlaan Mastnummer;
29-12-2017 0:00;Voorlopig afgesloten;Afgehandeld;29-12-2017 0:00;Groen;;Kersbergenplein;Locatie Kersbergenplein hoek Kersbergenlaan/Henriette van Lijndenlaan Mastnummer;Zeist West
29-12-2017 0:00;Voorlopig afgesloten;Afgehandeld;29-12-2017 0:00;Overig;;Brugakker;Locatie Speelplaats tegenover Brugakker 1204 Mastnummer;Zeist West
28-12-2017 15:40;Definitief afgesloten;Afgesloten;28-12-2017 15:40;Overig;;Van Reenenweg;hoek bloemheuvelllaan;Zeist Centrum
28-12-2017 15:04;Aanpassen;In behandeling;28-12-2017 15:04;;;;;
28-12-2017 13:36;Voorlopig afgesloten;Afgehandeld;4-1-2018 13:36;Riolering;Overig (Riolering);Joubertlaan;;Zeist Centrum
28-12-2017 13:16;Definitief afgesloten;Afgesloten;28-12-2017 13:16;Handhaving;Handhaving;Prins Bernhardlaan;;Zeist Oost
28-12-2017 12:12;Datum uitvoering wijzigen;In behandeling;28-12-2017 12:12;Handhaving;Handhaving;Dr. H. Colijnlaan;;Zeist Noord
28-12-2017 12:09;In behandeling;In behandeling;28-12-2017 12:09;Wegen en fietspaden;Gebreken fiets-/voetpaden;Rozenstraat;tussen nummer 8 en 12;Zeist Centrum
28-12-2017 11:33;In behandeling;In behandeling;28-12-2017 11:33;Overig;;Antonlaan;zie omschrijving;Zeist Centrum
28-12-2017 11:17;Definitief afgesloten;Afgesloten;4-1-2018 11:17;Wegen en fietspaden;Gebreken fiets-/voetpaden;Oranje Nassaulaan;59;Zeist Oost
28-12-2017 11:04;Lopend;In behandeling;28-12-2017 11:04;Klachten afvalinzameling;;Prinses Alexialaan;;Zeist Oost
28-12-2017 10:10;Definitief afgesloten;Afgesloten;28-12-2017 10:10;Handhaving;Handhaving;Couwenhoven;;Zeist West
28-12-2017 10:09;Voorlopig afgesloten;Afgehandeld;4-1-2018 10:09;Wegen en fietspaden;Gebreken wegdek;Gagellaan;voor tussen 27 en 29 inhamstrook;Den Dolder e.o.
28-12-2017 10:04;Definitief afgesloten;Afgesloten;4-1-2018 10:04;Wegen en fietspaden;Gebreken fiets-/voetpaden;Schermerslaan;;Zeist Noord
28-12-2017 10:01;Definitief afgesloten;Afgesloten;28-12-2017 10:01;Bomen;Bomen;Schermerslaan;;Zeist Noord
28-12-2017 9:47;Voorlopig afgesloten;Afgehandeld;28-12-2017 9:47;Overig;;Torenlaan;De speeltuin en steeg aan de Torenlaan zijn al heel lang niet meer schoongemaakt.;Zeist Centrum
28-12-2017 9:46;Definitief afgesloten;Afgesloten;28-12-2017 9:46;Handhaving;Handhaving;Anne de Vrieslaan;;Zeist Centrum
28-12-2017 0:00;In behandeling;In behandeling;4-1-2018 0:00;Wegen en fietspaden;Gebreken fiets-/voetpaden;Julianaplein;Locatie Julianaplein, Zeist Mastnummer;Zeist Oost
28-12-2017 0:00;Voorlopig afgesloten;Afgehandeld;28-12-2017 0:00;Bomen;Bomen;Waterhoenlaan;Locatie Boom achter woning Waterhoenlaan 35 zeist Mastnummer;Zeist West
28-12-2017 0:00;Voorlopig afgesloten;Afgehandeld;4-1-2018 0:00;Groen;Overig (Groen);Weteringlaan;Locatie Ik ben woonachtig op Couwenhoven 6249, maar dit verhaal geldt voor grote gedeelten van de Weteringlaan. Mastnummer;Zeist West
28-12-2017 0:00;Voorlopig afgesloten;Afgehandeld;28-12-2017 0:00;Bomen;Bomen;Oranje Nassaulaan;Locatie ter hoogte Oranje Nassaulaan 75 Mastnummer;Zeist Oost
28-12-2017 0:00;Definitief afgesloten;Afgesloten;28-12-2017 0:00;Openbare verlichting;;;Locatie Guido Gezellelaan t.o. nr 14Guido Gezellelaan , net voorbij het hek van het landhuis Ma Retraite Mastnummer;
27-12-2017 15:38;Definitief afgesloten;Afgesloten;3-1-2018 15:38;Openbare verlichting;Lamp defect;Verlengde Slotlaan;intermetzo;Zeist Centrum
27-12-2017 15:33;Voorlopig afgesloten;Afgehandeld;3-1-2018 15:33;Wegen en fietspaden;Gebreken fiets-/voetpaden;Slotlaan;;Zeist Centrum
27-12-2017 14:50;Definitief afgesloten;Afgesloten;27-12-2017 14:50;Bomen;Bomen;Prinses Margrietlaan;;Zeist Oost
27-12-2017 14:32;Definitief afgesloten;Afgesloten;27-12-2017 14:32;Wegen en fietspaden;Paaltjes;Tolhuislaan;32;Den Dolder e.o.
27-12-2017 12:25;Definitief afgesloten;Afgesloten;27-12-2017 12:25;Afvaldumping;Afvaldumping;Nijenheim;flat 9000;Zeist West
27-12-2017 11:36;In behandeling;In behandeling;3-1-2018 11:36;Wegen en fietspaden;Gebreken fiets-/voetpaden;Heideweg;Bospaden Warande;Zeist Oost
27-12-2017 11:23;Voorlopig afgesloten;Afgehandeld;27-12-2017 11:23;Overig;;Johannes Wierlaan;;Den Dolder e.o.
27-12-2017 11:19;Definitief afgesloten;Afgesloten;27-12-2017 11:19;Afvaldumping;Afvaldumping;Prinses Margrietlaan;zie melding;Zeist Oost
27-12-2017 10:37;Definitief afgesloten;Afgesloten;27-12-2017 10:37;Afvaldumping;Afvaldumping;Anne de Vrieslaan;tegenover nummer 30;
27-12-2017 8:50;Voorlopig afgesloten;Afgehandeld;27-12-2017 8:50;Overig;;Prinses Margrietlaan;;Zeist Oost
27-12-2017 8:46;Nieuw via KCC;Ontvangen;27-12-2017 8:46;;;;;
27-12-2017 8:43;Nieuw via KCC;Ontvangen;27-12-2017 8:43;;;;;
27-12-2017 8:31;Definitief afgesloten;Afgesloten;27-12-2017 8:31;Handhaving;Handhaving;Willem Pijperplein;;Zeist Centrum
27-12-2017 8:30;Definitief afgesloten;Afgesloten;27-12-2017 8:30;Handhaving;Handhaving;Kersbergenlaan;;Zeist West
27-12-2017 8:26;Definitief afgesloten;Afgesloten;3-1-2018 8:26;Wegen en fietspaden;Gebreken wegdek;Boulevard;;Zeist Centrum
27-12-2017 0:00;Definitief afgesloten;Afgesloten;27-12-2017 0:00;Openbare verlichting;;Torenlaan;Locatie Plein achter de Torenlaan bij huisnrs 11 tm 21 Mastnummer 2667-0028;Zeist Centrum
27-12-2017 0:00;Lopend;In behandeling;27-12-2017 0:00;Riolering;;;Locatie Oranje Nassaulaan 19 3708GA Zeist Mastnummer;
27-12-2017 0:00;Voorlopig afgesloten;Afgehandeld;27-12-2017 0:00;Bomen;Bomen;Beethovenlaan;Locatie Einde Beethovenlaan ingang bospad. Boom achter vuilopvanger.;Zeist Noord
27-12-2017 0:00;Lopend;In behandeling;27-12-2017 0:00;Overig;;Leeuweriklaan;Leeuweriklaan;Zeist West
27-12-2017 0:00;Definitief afgesloten;Afgesloten;27-12-2017 0:00;Openbare verlichting;;;Locatie Vestdijklaan Mastnummer Geen idee;
27-12-2017 0:00;In behandeling;In behandeling;27-12-2017 0:00;Overig;;Bethaniëplein;Locatie In het Park aan het Bethanieplein, ligt overal op het gras hondenpoep. Terwijl er duidelijk een opruimplicht is. Hierop wordt niet gehandhaafd. Mastnummer;Zeist Centrum
26-12-2017 21:34;Lopend;In behandeling;26-12-2017 21:34;Bomen;Bomen;Nijenheim;achterkant van 5243;Zeist West
26-12-2017 14:16;Voorlopig afgesloten;Afgehandeld;26-12-2017 14:16;Afvaldumping;;Rozenstraat;18;Zeist Centrum
26-12-2017 11:38;Definitief afgesloten;Afgesloten;26-12-2017 11:38;Overig;;1e Dorpsstraat;;Zeist Centrum
24-12-2017 14:23;Definitief afgesloten;Afgesloten;1-1-2018 14:23;Wegen en fietspaden;Gebreken wegdek;Korte Bergweg;;Den Dolder e.o.
24-12-2017 11:30;Definitief afgesloten;Afgesloten;24-12-2017 11:30;Handhaving;Handhaving;2e Hogeweg;;Zeist Centrum
23-12-2017 0:09;Definitief afgesloten;Afgesloten;30-12-2017 0:09;Openbare verlichting;Lamp defect;Jufferstraat;1471-0005;Zeist Centrum
