Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
!JES jij en scheiden;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
&Maes B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
(P.C. Translations);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
.bos Ontwikkeling en Organisatie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
@Groenewegen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
@Nieuwkuijk B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
@WORK Personeelsdiensten B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
020- Legal Consultancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
033 interactive;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
073 Meeting Company B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
100%Fitgym;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
10Force B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
123 Machineverhuur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
123Accu B.V.;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
123boekingen.nl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
123bpm.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
123kamerplanten.nl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
1e Klas' Grand Café Restaurant;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1-Line Safety & Security Intermediairs B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
1medisch adviseur B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
2 Behave;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
2 Know How;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
21 The Netherlands;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2Essence;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;1
2HG;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2-Nice B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
2-Rescue;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
2RIDE;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2Twintig Public Relations B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
3 Advocaten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
3 Keuken & Bar B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
365 dagen succesvol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
365dagenopgeruimd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
3DMens;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
3K Horeca B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
