Rijlabels;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
"""Vesalius"" Nederlandse Vereniging van Obductie-Assistenten";;;;;;;1;;;1
2-Nice B.V.;;;;;;;1;;;1
3Division Outdoor Events B.V.;;1;;;;;;;;1
4b-Plus B.V.;;;;;;;;1;;1
4walls;;;;;;;;1;;1
7Day;;;;;;;;1;;1
A & E Trading B.V.;;;;;;;1;;;1
A & P Investments B.V.;1;1;;;1;;;1;;1
A&W Zonwering en Interieur;;;;;;;1;;;1
A. Horst;;;;;1;;;;;1
A. Langeveld V.O.F.;1;;;;;;;;;1
A. Rietveld Boekbinderij;;;;;1;;;;;1
A. Timmerman's IJzerhandel B.V.;;;;;;;;1;;1
A. Tufi t.h.o.d.n. Supervlaai;1;;;;;;;;;1
A.A.W. Meijer;;;;;1;;;;;1
A.C. van Schaik;1;;;;;;;;;1
A.D.J.A. Hilkens;;;;;1;;;;;1
A.G. van den Heuvel Trading & Services;;;;;;;1;;;1
A.J. van Spengen;1;;;;;;;;;1
A.J.C. Damen;;;;;;;;1;;1
A.K. van der Veen;;;;;1;;;;;1
A.M. van Helvoort;;;;;;;;1;;1
A.S.M. Joosten t.h.o.d.n. Vormvreters;;;;;1;;;;;1
AAA Display B.V.;;;;;1;;;;;1
Aaaaha! The Actor Factory B.V.;;;;;1;;;;;1
aadesign;;1;;;;;;;;1
Aalbers - Indeko B.V.;;;;;;;1;;;1
Aannemersbedrijf Peters B.V.;;;;;;;1;;;1
Aannemersbedrijf Versteeg;;;;;;;;1;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;;;;;;1;;;1
Aardse Zaken;;;;;1;;;;;1
AAS Opleiding en Training;;1;;;;;;;;1
Abalco Service B.V.;;;1;;;;;;;1
ABC Display Industry B.V.;;;;1;;;;1;;1
ABC Winkelinrichting B.V.;;;;;;;;1;;1
ABCA B.V.;;;;;;;;1;;1
ABO Opleidingen V.O.F.;;1;;;;;;;;1
Absoluta Food and Facilities B.V.;1;;;;;;;;;1
Accountor Nederland B.V.;;;;;;;;;1;1
Accres Exploitatie B.V.;1;;;;;;;;;1
Accuraat B.V.;1;;;;;;;;;1
ACS audiovisual solutions B.V.;;;;;;;;1;;1
Actiforce Europe B.V.;;;;;;;;1;;1
Activo;;;;;1;;;;;1
Adamas Instrumenten B.V.;;;;;;;;1;;1
ADB Handelsonderneming B.V.;;;;1;;;;1;;1
Administratiekantoor Reurslag;;;;;1;;;;;1
Adv. en Evenementen Organisatiebureau Jerrink;;;;;1;;;;;1
AED Solutions B.V.;;1;;;;;;1;;1
AEDcompany.nl;;1;;;;;;;;1
Aermast Holland;;;;;;;1;;;1
Afdeling Buitengewone Zaken;;;;;1;;;;;1
Agora catering and fine dining;1;;;;;;;;;1
Aha Drukwerk;;;;;;;;1;;1
Air Products Nederland B.V.;;;;;;;;1;;1
Airsain;;;;;;;;1;;1
Ako Sol B.V.;;;;;;;;1;;1
Akribie Zeefdruk & Sign;;;;;1;;;;;1
Akse Media B.V.;;;;;1;;;;;1
Alanya Kebab;1;;;;;;;;;1
Albeka;;;;;;;;1;;1
Albert Heijn B.V.;1;;;;;;;;;1
Albert-Schweitzergroep - Scouts Troep;;;;;1;;;;;1
Albyco Nederland B.V.;;;;;;;;1;;1
Alert Promotie;;;;;;;;1;;1
Aletta Vlaardingerbroek;;;;1;;;;;;1
Alewijnse Utrecht;;;;;;;1;;;1
Alfa-college, locatie Leek;1;;;;1;;;;;1
Alicona Imaging GmbH;;;;;;;;1;;1
Alkaram B.V.;1;;;;;;;;;1
All Dent B.V.;;;;;;;;1;;1
All4feet;;;;;;;;1;;1
Allekabels B.V.;;;;1;;;;1;;1
Allgifts.nl B.V.;;;;;1;;;;;1
ALM Afbouwgroep;;;;;;;1;;;1
Alp Lift B.V.;;;;;;;1;1;;1
Alup Grassair Kompressoren B.V.;;;;;;;;1;;1
Always Green B.V.;;;;;1;;;;;1
Amazing Bread Company B.V.;;;;;1;;;;;1
Amazing Flowers;;;;;1;;;;;1
Ambitious;;;;;1;;;;;1
Ambius B.V.;;;1;;1;;1;;;1
AMCO International B.V.;;;;;;;;1;;1
AMETEK B.V.;;;;;;;;1;;1
Amigo Promotion B.V.;;;;;1;;;;;1
Amsterdam Flowers;;;;;1;;;;;1
Andree Troost Geluidstechniek;;;;;1;;;;;1
Anneliek Holland beeldend ontwerper;;;;;1;;;;;1
anoniem 11;;;;;;;;1;;1
anoniem 12;;;;;;;1;;;1
Anovis B.V.;1;;;;;;;;;1
Ansul;;;;;;;1;;;1
Antalis B.V.;;;;;;;;1;;1
Anticimex;;;1;;;;;;;1
AOC Snijders B.V.;;1;;;;;;;;1
A-One Spoedkoeriers B.V.;;;;1;;;;;;1
APAC Services B.V.;;;;;;;;1;;1
apetito B.V.;1;;;;;;;;;1
AP-Interieurarchitect;;;;;;;1;;;1
AQP Theaterproducties;;;;;1;;;;;1
Aqua Chain Holland;1;;;;;;;;;1
Aqua Chain Holland B.V.;1;;;;;;;1;;1
Aquaco B.V.;;;;;;;;1;;1
Arap Relatiegeschenken B.V.;;;;;;;;1;;1
Arbo Safe B.V.;;1;;;;;;;;1
