Leveranciers;9510 - BZ Specifiek;9-Dienstspecifiek
AAB Beveiligingen;1;1
ABP Algemeen Burgelijk Pensioenfonds;1;1
ALEKSANDRA GACA TEXTILE DESIGN;1;1
Bavak Beveiligingsgroep;1;1
Berenschot Groep (incl. HB, KSG, Mazars Berenschot);1;1
Best Western Hotels;1;1
Between;1;1
CapitalP;1;1
Carlton Hotel;1;1
Copex Air Cargo, Air, Movers&Packers;1;1
De Basiliek Restaurant;1;1
De Blauwe Lotus;1;1
DE LEEUW BESTUURSRECHT;1;1
Den Haag Evenementen;1;1
Digital Action;1;1
Edufax;1;1
FRANK (GEEFT GRAFISCHE IDEEEN VORM);1;1
Haaglanden Opleidingscentrum;1;1
Hampshire Hotel;1;1
HTM Haagsche Tram Maatschappij (incl. Specials, Selected Services);1;1
IIR Institute For International Research;1;1
In2Content;1;1
Inbraakpreventie;1;1
INVENTUS PROMOPRINT;1;1
IT Staffing Nederland (vh IT Staffing Paxton, en incl. Info Motion, Centor);2;2
IVIO Wereldschool;1;1
Maxlead Services;1;1
Movenpick Hotels;1;1
Munckhof Reizen;1;1
Nauta Security Storage;1;1
New Babylon Meeting Center;1;1
NFGD Audiovisuele Technieken;1;1
NVB Federatie Nederlandse Verenigingsbureau;1;1
Quadrant Advies;1;1
Randstad Group (incl. Tempo Team, P/Flex);1;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);1;1
Roos Wouters;2;2
Sabel Communicatie;1;1
Schip van Blaauw;1;1
Sodexo;3;3
Stichting IBID;2;2
STICHTING NTC SCHOOL DE BOOMKIKKER;1;1
Stomerij Panda;1;1
Theaterhotel De Oranjerie;1;1
Top Movers;2;2
Trigion Beveiliging (incl. Csu Security, PreNed, Falck Security, Teleguard);1;1
VCK Groep, Travel & Logistics;5;5
Vertaalbureau;1;1
ZWARTWOUD GRONINGEN BV;2;2
Eindtotaal;6;6
