Leveranciersnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
/. de WERKPR GRONINGEN WLP OSSENKOP;;;1;;;;;1
2B Security Systems ApS;;;1;;;;;1
A. Agterberg B.V.;;1;3;;;;;3
Aageka Webshops;;;1;;;;;1
Aarhus University;;;;;2;;;2
ABDIJ SINT BENEDICTUSBERG;;;1;;;;;1
ACADEMY OF ATHENS - RESEARCH COMMIT;;;;;1;;;1
Activiteitenboerderij 't Geveltje;;;1;;;;;1
Air Products Nederland B.V.;;;2;;;;;2
Airhouse Midden Nederland B.V.;;;1;;;;;1
Airyx GmbH;;;1;;;;;1
AlterNET Internet B.V.;;;;;1;;;1
Altran Netherlands B.V.;;;2;;;;;2
Amazon Web Services LLC;;;2;;;;1;2
Ambitiekompas B.V.;;;2;;;;;2
Anoniem 1;;;1;;;;;1
Anoniem 1003;;;1;;;;;1
Anoniem 1022;;;1;;;;;1
Anoniem 1024;;;1;;;;;1
Anoniem 1025;;;1;;;;;1
Anoniem 1029;;;1;;;;;1
Anoniem 1066;;;1;;;;;1
Anoniem 1072;;;1;;;;;1
Anoniem 1074;;;1;;;;;1
Anoniem 1094;;;1;;;;;1
Anoniem 1098;;;1;;;;;1
Anoniem 1100;;;1;;;;;1
Anoniem 1107;;;1;;;;;1
Anoniem 1122;;;1;;;;;1
Anoniem 114;;;1;;;;;1
Anoniem 1161;;;1;;;;;1
Anoniem 1165;;;1;;;;;1
Anoniem 1167;;;1;;;;;1
Anoniem 1202;;;1;;;;;1
Anoniem 1203;;;1;;;;;1
Anoniem 1205;;;1;;;;;1
Anoniem 1213;;;1;;;;;1
Anoniem 1217;;;1;;;;;1
Anoniem 1224;;;1;;;;;1
Anoniem 1227;;;1;;;;;1
Anoniem 1228;;;1;;;;;1
Anoniem 1231;;;1;;;;;1
Anoniem 1242;;;1;;;;;1
Anoniem 1243;;;1;;;;;1
Anoniem 1244;;;1;;;;;1
Anoniem 1245;;;1;;;;;1
Anoniem 1247;;;1;;;;;1
Anoniem 1258;;;1;;;;;1
Anoniem 1259;;;1;;;;;1
Anoniem 1261;;;1;;;;;1
Anoniem 127;;;1;;;;;1
Anoniem 1277;;;1;;;;;1
Anoniem 1280;;;1;;;;;1
Anoniem 1281;;;1;;;;;1
Anoniem 1282;;;1;;;;;1
Anoniem 1287;;;1;;;;;1
Anoniem 1294;;;1;;;;;1
Anoniem 1299;;;1;;;;;1
Anoniem 1300;;;1;;;;;1
Anoniem 131;;;1;;;;;1
Anoniem 139;;;1;;;;;1
Anoniem 142;;;1;;;;;1
Anoniem 1459;;;1;;;;;1
Anoniem 1467;;;1;;;;;1
Anoniem 1468;;;1;;;;;1
Anoniem 1469;;;;;2;;2;2
Anoniem 1470;;;1;;;;;1
Anoniem 1471;;;1;;;;;1
Anoniem 1472;;;;;3;;;3
Anoniem 17;;;1;;;;;1
Anoniem 180;;;1;;;;;1
Anoniem 194;;;1;;;;;1
Anoniem 197;;;1;;;;;1
Anoniem 200;;;1;;;;;1
Anoniem 218;;;1;;;;;1
Anoniem 225;;;1;;;;;1
Anoniem 228;;;1;;;;;1
Anoniem 23;;;1;;;;;1
Anoniem 237;;;1;;;;;1
Anoniem 239;;;1;;;;;1
Anoniem 244;;;1;;;;;1
Anoniem 248;;;1;;;;;1
Anoniem 282;;;1;;;;;1
Anoniem 294;;;1;;;;;1
Anoniem 295;;;1;;;;;1
Anoniem 30;;;1;;;;;1
Anoniem 303;;;1;;;;;1
Anoniem 308;;;1;;;;;1
Anoniem 32;;;1;;;;;1
Anoniem 320;;;1;;;;;1
Anoniem 325;;;1;;;;;1
Anoniem 327;;;1;;;;;1
Anoniem 330;;;1;;;;;1
Anoniem 331;;;1;;;;;1
Anoniem 345;;;1;;;;;1
Anoniem 360;;;1;;;;;1
Anoniem 362;;;1;;;;;1
Anoniem 367;;;1;;;;;1
Anoniem 375;;;1;;;;;1
Anoniem 383;;;1;;;;;1
Anoniem 399;;;1;;;;;1
Anoniem 406;;;1;;;;;1
Anoniem 415;;;1;;;;;1
Anoniem 416;;;1;;;;;1
Anoniem 419;;;1;;;;;1
Anoniem 420;;;1;;;;;1
Anoniem 421;;;1;;;;;1
Anoniem 437;;;1;;;;;1
Anoniem 440;;;1;;;;;1
