Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
September;;;;1;;;;;;1
&Maes B.V.;;;;;;1;;;;1
100% TEAMWEAR;;;;;;;1;;;1
2010 Uitgevers B.V.;;;1;;;;;;;1
24 uur in bedrijf;;;;;;;1;;;1
2BIRDSMEDIA;;;;;;;1;;;1
360-Control B.V.;;;;;;2;;;;2
3K Horeca B.V.;;;;;;;1;;;1
4 the compagnie B.V.;;;1;;;;;;;1
4D organisatieontwikkeling & opleiding;;;;;;1;;;;1
4Dental Tandtechniek;;;2;;;;;;;2
5HART -IT Opleidingen B.V.;;;;;;2;;;;2
5HART-IT OPLEIDINGEN B.V.;;;;;1;1;;;;1
7AM B.V.;;;;;;;1;;;1
A World of Fantasy B.V.;;;1;;;;1;;;1
A. de Bruin-Folgerts;;;;;;1;;;;1
A. Dovens Meubelen B.V.;;;;1;;;;;;1
A. van Helden Relatiegeschenken B.V.;;;1;;;;1;;;1
A.C.M. Products B.V.;;;1;;;;;;;1
A.D.J. van Gemeren huisarts;;;1;;;;;;;1
A.H.E.M. van Kessel;;;;;1;;;;;1
A.M.S. Firma A. Vos & Zoons;;;1;;;;;;;1
A.P.S. (Aviation Patch Supplies);;;1;1;;2;;;;2
A1 Touch Solution B.V.;;;;2;;;;;;2
A1-Plaza B.V.;;;1;1;;;1;;;2
a4 Training;;;;;;2;;;;2
Aaaaha! The Actor Factory B.V.;;;;;;;1;;;1
AAB Management Services B.V.;;;;;;1;;;;1
AAFM Facility Management B.V.;;;;2;;;;;;2
Aalsmeerse Bloemenhal Berendsen;;;;1;;;;;;1
Aaltje Vincent & Company;;;1;;1;;;;;2
Aannemingsbedrijf Draisma B.V.;;;;1;;;;;;1
AAP Klimsportspecialist B.V.;;;;;1;;;;;1
ABB B.V.;;;2;;;;;;;2
Abbott B.V.;;;2;;;;;;;2
AbbVie B.V.;;;5;;;;;;;5
Abel. Grand Café Restaurant B.V.;;;;1;;;1;;;1
Able 2 B.V.;;;1;;;;;;;1
Aboma;;;;;;2;;;;2
About Flowers;;;;1;;;1;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;1;;;;;1
Academie voor Chinese Geneeswijze Qing-Bai;;;;;;1;;;;1
Academie voor Psychologica;;;;;;1;;;;1
Academische Huisartsenpraktijk Bankras;;;;;1;;;;;1
Academy Payroll Professionals;;;;;;1;;;;1
Acaleph Opleiding Training en Adviezen B.V.;;;;;;1;;;;1
Accenture B.V.;;;2;;;3;;;;3
AccreDidact B.V.;;;;;;1;;;;1
ACM Opleidingen B.V.;;;;;1;;;;;1
ACP Identificatiesystemen B.V.;;;1;;;;;;;1
ACTA Dental Education B.V.;;;;;;2;1;;;2
Action Events B.V.;;;;1;;;;;;1
Active Health Center Ypenburg;;;;;;;1;;;1
Ad Ballon Ballonvaarten B.V.;;;;;;;1;;;1
Ad Hogerdijk Wijnen;;;;1;;;;;;1
Ad Roland Media B.V.;;;1;;;;;;;1
ADDED PHARMA B.V.;;;1;;;;;;;1
Adecco Detachering B.V.;;;1;2;;2;;;;3
Adecco Personeelsdiensten B.V.;;;1;;;1;1;;;1
Adola B.V.;;;;;2;;;;;2
Adprosign;;;;;;;1;;;1
Adquipment Medical B.V.;;;1;;;;;;;1
Adriaan Blom Bloemenspecialist;;;;1;;;;;;1
Advanced Dental Diagnostics B.V.;;;1;;;;;;;1
Adventure King B.V.;;;;;;;1;;;1
AdviCo Mercuur B.V.;;;;;;1;;;;1
Aeneas B.V.;;;;;;1;;;;1
Aeneas Uitgeverij van Vakinformatie;;;;;;1;;;;1
Aerospace Competence Center B.V.;;;;;;1;;;;1
AESC B.V.;;;;;;1;;;;1
Aforma Drukkerij B.V.;;;;1;;;;;;1
Ahoy Rotterdam N.V.;;;;;2;;;;;2
Ahrend Inrichten B.V.;;;1;;;;;;;1
Aidea (Ontwikkeling en Advies);;;1;;;;;;;1
Air Center Best B.V.;;;1;;;;;;;1
Air Products Nederland B.V.;;;1;;;;;;;1
Aircraft Maintenance & Training School B.V.;;;;;;1;;;;1
AIS Vliegopleidingen B.V.;;;;;1;;;;;1
Akse Media B.V.;;;1;;;;;;;1
Alambik distilleerderij V.O.F.;;;1;;;;;;;1
Alba-academie;;;;;;1;;;;1
Alcatel-Lucent Nederland B.V.;;;;;;1;;;;1
Alcon Nederland B.V.;;;1;;;;;;;1
Alere Health B.V.;;;2;;;;;;;2
Alfred Knorr Communicatie;;;;;1;;;;;1
Algeco B.V.;;;;1;;;;;;1
Algemene Stichting Horeca Onderwijs;;;;;1;1;;;;1
Alk-Abello B.V.;;;1;;;;;;;1
All Golf;;;;;;1;;;;1
All Risk B.V.;;;;;;1;;;;1
Allekabels B.V.;;;1;;;;;;;1
Allergan B.V.;;;1;;;;;;;1
Allers;;;;;;;1;;;1
Alles Kids Family Events V.O.F.;;;;;;;1;;;1
Allgifts.nl B.V.;;;;;;;1;;;1
Alliance Francaise de La Haye;;;;;;1;;;;1
Alliance Healthcare;;;8;;;;;;;8
Allinco Business Solutions B.V.;;;1;;;;;;;1
All-Round Printing B.V.;;;;1;;;;;;1
AllweCare medical B.V.;;;1;;;;;;;1
Almeva B.V.;;;2;;;;;;;2
Alp Lift B.V.;;;;;;1;;;;1
Alprovi;;;1;;;;;;;1
Alternate Computerversand Nederland;;;;;;1;;;;1
Altijddebestewijn.Nl;;;;;;;1;;;1
Altop Kunststoftechniek B.V.;;;;;;1;;;;1
Altrex B.V.;;;;;1;;;;;1
Amaze Escape Events;;;;1;;;1;;;1
Ambius B.V.;;;;;;;1;;;1
Ambroise Holland B.V.;;;1;;;;;;;1
Ambu B.V.;;;2;;;;;;;2
AMC Centre;;;;;;2;;;;2
