HONDENPOEP;BEHEERDER;STRAAT;OPPERVLAK;OMTREK;LENGTE;X;Y;LONGITUDE;LATITUDE
Verboden voor honden;Gemeente;Martinus Nijhoffstraat;285.425;167.477;80.179;106222.243;427552.297;4.67950088700386;51.8344272055498
Losloopgebied zonder opruimen;Gemeente;Tjalk;26.782;38.891;17.954;108821.732;427227.530;4.71725711361639;51.831729129257
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;2.932;7.000;2.111;107607.113;426550.996;4.69972934883122;51.8255467547011
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;4.728;8.835;2.596;107736.091;426702.975;4.70157942001051;51.8269236610114
Losloopgebied zonder opruimen;Gemeente;Meelbeshof;1444.469;237.161;104.797;107924.305;427714.793;4.7041719303148;51.8360337316692
Verboden voor honden;Gemeente;Tiendweg-Oost;14.476;35.894;17.101;109352.939;427075.189;4.72498340776262;51.8304035439658
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;9.501;25.947;12.195;107567.652;426679.785;4.69913932712115;51.8267009573157
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.690;15.511;6.935;107591.357;426642.590;4.69948826810293;51.8263686617504
Verboden voor honden;Gemeente;Berkenhof;1.400;4.734;1.205;107556.141;427589.001;4.69884774312377;51.8348719729782
Losloopgebied zonder opruimen;Gemeente;Park Noordhoekse Wiel;438.909;275.082;134.272;106674.501;428590.555;4.68591712606632;51.8437982921381
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;48.786;40.518;17.466;107549.535;426721.574;4.69887080758535;51.827075017069
Verboden voor honden;Gemeente;Haagbeukhof;219.643;122.186;57.257;107459.204;427684.443;4.69742827854138;51.835721559573
Verboden voor honden;Gemeente;Veerweg;98.666;39.733;9.984;106723.312;427156.134;4.68682552270951;51.8309100434296
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;82.116;63.247;28.769;107613.794;426687.565;4.6998075657986;51.8267747985824
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;58.136;49.699;22.235;107685.063;426774.080;4.70082952272554;51.8275584316426
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;17.175;34.854;16.379;107655.426;426619.928;4.70042070004525;51.8261704086193
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;193.442;89.307;39.792;107603.717;426640.222;4.69966787641434;51.8263484267743
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;10.241;27.785;13.112;107573.992;426676.622;4.69923172395663;51.8266730665325
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;38.876;36.457;15.762;107704.637;426744.273;4.70111752663345;51.8272921845432
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;22.604;39.388;18.470;107604.233;426567.536;4.69968531062842;51.8256951713723
Verboden voor honden;Gemeente;Giebelhof;177.307;86.400;38.607;108971.185;427613.022;4.7193739560167;51.8352062574898
Verboden voor honden;Gemeente;Ericahof;1138.743;232.395;105.393;108216.635;427566.112;4.70843324502659;51.8347219509126
Verboden voor honden;Begraafplaats;Admiraal de Ruyterweg;5.353;13.276;5.699;107567.747;426668.054;4.69914231219546;51.8265955275927
