Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
&Maes B.V.;1;;;;;;;1
2Basics B.V.;;;2;;;;;2
2CoolMonkeys B.V.;1;;;;;;;1
A.M.C. van Gorp;1;;;;;;;1
AARTS DE JONG WILMS GOUDRIAAN PUBLIC ECONOMICS BV;3;;4;;;;;4
ABF Research B.V.;3;;;;;;;3
About Colors;1;;;;;;;1
Accenture B.V.;;;;;;5;;5
Adviesbureau Van Montfoort B.V.;;;2;;;;;2
Aenova B.V.;1;;;;;;;1
Andersson Elffers Felix;3;;3;;;;;4
Ankerpunt.com;1;;;2;;;;2
Anne Frank Stichting;2;;;;;;;2
ANP Pers Support Benelux B.V.;;;;1;;;;1
APG Service Partners B.V.;2;;;;;;;2
ARCADIS Nederland;2;;;;;;;2
Arq Psychotrauma Onderzoek;2;;;;;;;2
Arteria Consulting B.V.;3;;;;;;;3
Atos B.V.;;;;;;6;;6
Atos Nederland B.V.;4;;1;;;2;;4
Axway B.V.;;;;;;1;;1
B & A B.V.;4;;;;;;;4
B.V. Holl. Medi-Serv./Inf.-Displayservices;;;2;;;;;2
B.V. International Film Services;2;;;;;;;2
BaanBaan B.V.;2;;;;;;;2
Baecke Advies;1;;;;;;;1
Bakker Corporate Advies en Support;2;;;;;;;2
Basisweb;1;;;;;;;1
BCN B.V.;1;;;;;;;1
BDK Consult B.V.;;;;;;2;;2
BedrijfsID B.V.;;;4;;;;;4
Beer advocaten N.V.;;;2;;;;;2
Ben Faydherbe;2;;;1;;;;2
Berenschot Groep B.V.;1;;;;1;;;1
Between;;;;;;4;;4
Between B.V.;1;;;;;;;1
Bezemer Kuiper & Schubad B.V.;2;;;;;;;2
Bijl PR B.V.;;;;2;;;;2
Bilderberg Europa Hotel Scheveningen;1;;;;;;;1
BKB;;;1;;;;;1
BMC Advies B.V.;4;;3;;;;;4
BMC Implementatie;1;;1;1;;;;1
Boekel De Nerée;2;;;;;;;2
Boer & Croon Corporate Finance B.V.;1;;;;;;;1
Boer Management & Advies B.V.;;;2;;;;;2
Boschweij Consultancy;1;;;;;;;1
BPI Services B.V.;3;;;;;1;;3
Brainstormnet;1;;;;;;;1
Briesgoed B.V.;2;;;;;;;2
BS&F;;;2;;;;;2
Bureau Beke;;;1;;;;;1
Buro FIT B.V.;2;;;;;;;2
