OBJECTID;MIVA_toilet;Entree;Gebruik;Status;Ma;Ma_van;Ma_tot;Di;Di_van;Di_tot;Wo;Wo_van;Wo_tot;Do;Do_van;Do_tot;Vr;Vr_van;Vr_tot;Za;Za_van;Za_tot;Zo;Zo_van;Zo_tot;Kosten;Beoordeling;Eigenaar;Opmerking;Beugels;Grote_prullenbak;Wastafel;Baby_verschoontafel;GlobalID;X;Y;LONG;LAT
1;Ja;Drempelvrij;Ruim;In onderhoud;Ja;8:30;16:30;Ja;12:00;20:00;Ja;8:30;16:30;Ja;8:30;16:30;Ja;8:30;16:30;Nee;;;Nee;;;Gratis;Voldoende;Gemeente Den Haag;;Ja;Ja;Ja;Ja;a019b1d9-f2b5-4e8b-9838-29852722042c;79052.28785110735;451317.3492620565;4.280114028861785;52.044965919629654
2;Ja;Drempelvrij;Ruim;In onderhoud;Ja;08:00;16:00;Ja;08:00;17:00;Ja;08:00;17:00;Ja;08:00;17:00;;08:00;17:00;Nee;;;Nee;;;0,50;;;;Ja;Ja;Ja;Ja;aac86f71-dde1-4461-ae5e-f148b70b8e23;202778.4872406188;501954.46122743125;6.0908736135060275;52.50319249900053
3;Ja;Drempelvrij;Ruim;In onderhoud;;;;;;;;;;;;;;;;;;;;;;;;;;Ja;;Ja;;be909689-d4bf-4b8e-bf7d-753e4700bf44;202816.73889291653;501941.45043507626;6.091435068132784;52.50307223011174
4;;;;;Ja;9:00;21:00;Ja;9:00;21:00;Ja;9:00;21:00;Ja;9:00;21:00;Ja;9:00;21:00;Ja;11:00;21:00;Ja;11:00;21:00;;;Sophia Revalidatiecentrum;;;;;;c10d27e0-e5c8-4cd6-aba3-c152d2cfeedf;78053.31550246009;450792.95435561764;4.265672709572784;52.04011557016636
5;;;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;Ja;;;;;Haga ziekenhuis;;;;;;fdb6835e-4be9-445a-9868-a42f58c06450;77942.96535402547;452597.44198639254;4.263657713878784;52.05631659816054
6;;;;;;;;;;;;;;;;;;;;;;;;;;€ 0,50;;Gemeente Den Haag;Wordt gebouwd;;;;;c1d993ce-3bd2-4de4-a96b-d804c5df8970;75062.38281235445;454031.8561556475;4.221329186142061;52.06879897578743
7;;;;;Ja;9:00;22:00;Ja;9:00;21:00;Ja;9:00;23:30;Ja;9:00;21:00;Ja;9:00;16:00;Ja;9:00;16:00;Ja;9:30;14:00;;;Haag Atletiek;;;;;;3cbb06f7-4313-430e-a3a9-60d3ea7cd39a;76482.56389793573;454966.32759750314;4.24182326603171;52.077399817407645
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;Haga ziekenhuis;;;;;;39edcffd-09df-4d19-94da-7fed75f8270a;78026.75060702539;455385.17499042745;4.264250551733832;52.08138063498017
9;;;;;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;Ja;10:00;22:00;;;Pier Scheveningen;;;;;;390e0cec-a6fa-414e-8587-ca254f80bc79;79333.66931793946;459205.17560434056;4.282465582792407;52.11588980125473
10;;;;;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;18:00;Ja;10:00;20:00;Ja;10:00;18:00;;;Palace Promenade;;;;;;f9233870-afad-4673-a776-432d9b53728d;79441.97325103507;459041.14086266194;4.284082946650182;52.11443048488909
