FID,id,name,type,parentid,userid,x,y,z,color,gdb_geomattr_data,shape
dmnodes.1,103,Niers,RR - Open Water,3B_OPENWATER,0,200681.3459,410990.1023,0,16711680,,POINT (200681.34589999914 410990.10229999945)
dmnodes.2,104,Rijn,RR - Open Water,3B_OPENWATER,0,204440.9582,429259.4441,0,16711680,,POINT (204440.95820000023 429259.44409999996)
dmnodes.3,110,Maas,RR - Open Water,3B_OPENWATER,0,176310.0031,307495.4945,0,16711680,,POINT (176310.00310000032 307495.49450000003)
dmnodes.4,142,Twentekanaal Eefde,RR - Boundary,3B_BOUNDARY,0,210881.3471,461560.2282,0,33023,,POINT (210881.34710000083 461560.2281999998)
dmnodes.5,164,Zedemuden,RR - Boundary,3B_BOUNDARY,0,190235.3515,525737.0589,0,33023,,POINT (190235.3515000008 525737.0588999987)
dmnodes.6,165,Zedemuden,RR - Boundary,3B_BOUNDARY,0,188733.2276,523969.1717,0,33023,,POINT (188733.2276000008 523969.17170000076)
dmnodes.7,198,Noordzee Nieuwe Waterweg,RR - Open Water,3B_OPENWATER,0,68822.8594,444746.125,0,16711680,,POINT (68822.85940000042 444746.125)
dmnodes.8,199,Noordzee HV/ZD,RR - Open Water,3B_OPENWATER,0,57606.18,431201.8411,0,16711680,,POINT (57606.1799999997 431201.84109999985)
dmnodes.9,200,Westerschelde,RR - Open Water,3B_OPENWATER,0,46957.4883,376701.0313,0,16711680,,POINT (46957.488299999386 376701.03130000085)
dmnodes.10,201,Grevelingen/Oosterschelde,RR - Open Water,3B_OPENWATER,0,54406.875,398949.875,0,16711680,,POINT (54406.875 398949.875)
dmnodes.11,203,Noordzee,RR - Open Water,3B_OPENWATER,0,63300.38,442292.9223,0,16711680,,POINT (63300.37999999896 442292.92229999974)
dmnodes.12,204,Noordzee Scheveningen,RR - Open Water,3B_OPENWATER,0,74121.6797,451888.0313,0,16711680,,POINT (74121.67969999835 451888.03130000085)
dmnodes.13,205,Noordzee,RR - Open Water,3B_OPENWATER,0,87461.9719,469433.9265,0,16711680,,POINT (87461.97190000117 469433.92650000006)
dmnodes.14,206,Noordzee 3,RR - Open Water,3B_OPENWATER,0,101882.9063,497849.5625,0,16711680,,POINT (101882.90630000085 497849.5625)
