Leveranciers;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
!Pet;;;1;;;;;;;1
(BBP) Beerens-Business Press B.V.;;;;;;1;;;;1
2Byte;;;;1;;;;;;1
2engage.nu organisatieadvies;;;;;;2;;;;2
2Participate Deekens Advies B.V.;;;;;;1;;;;1
3K Horeca B.V.;;;;1;;;;;;1
3Stones Keniaans Restaurant;;;;1;;;;;;1
4Kids;;;;1;;;;;;1
5hart-IT Opleidingen B.V.;;;;;;1;;;;1
5Hart-IT Opleidingen BV;;;;;;1;;;;1
9:1 engagement;;;;;;1;;;;1
A. Donker;;;;;1;;;;;1
A. Rappard;;;;;;1;;;;1
A.P.F. Toonen Beheer B.V.;;;;;;1;;;;1
A.W. Kok B.V.;;;;1;;;;;;1
Aalbers;;;1;;;;;;;1
Aaron A. de Haas Training B.V.;;;;;;1;;;;1
Absoluta Food and Facilities B.V.;;;;1;;;;;2;2
Academie voor Leiderschap;;;;;;1;;;;1
Academisch Medisch Centrum;;;1;;;;;;;1
Academy for Information and Management B.V.;;;;;;1;;;;1
acteeranders;;;;;;1;;;;1
Acteursbureau Kapok BV;;;;;;1;;;;1
ACVO;;;;;;1;;;;1
Ad Hosman Bloemsierkunst;;;;1;;;;;;1
ADO Hospitality & Events B.V.;;;;1;;;1;;;1
Advies Hulp & Actie (AH&A);;;;1;;;;;;1
Agaath Brink;;;;;;1;;;;1
Ahoy' Horeca B.V.;;;;1;;;1;;;1
Aktant Trainingen;;;;;;1;;;;1
Aktiviteitencentrum Poortershoes;;;;1;;;1;;;1
Alacritas;;;;;;;1;;;1
Albert Heijn B.V.;;;;1;;;;;;1
Alberts Eten & Drinken;;;;1;;;;;;1
Alice Restaurant;;;;1;;;1;;;1
All inn Events;;;;1;;;;;;1
AlliantiePartners B.V.;;;;;;1;;;;1
Alpha Webdesign;;;;;1;;;;;1
Alpina;;;;1;;;;;;1
Altura Nederland;;;;;;1;;;;1
Amazing Balloons;;;;;;1;;;;1
Amazing Steakhouse;;;;1;;;1;;;1
Ambitious;;;;;;1;;;;1
Anahata Personal Coaching;;;;;;1;;;;1
Annage SkÃ»tsjesilen;;;;1;;;1;;;1
AOG Contractonderwijs B.V.;;;;;;2;;;;2
APD Doetinchem B.V.;;;;1;;;;;;1
Archimedes Participatie;;;;1;;;1;;;1
ARDIS;;;;;;3;;;;3
