Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
A. Bakx V.O.F.;1;;;;;;;1
A. Spoelder;1;;;;;;;1
A. Vianen;1;;;;;;;1
A. Vijfvinkel;;;1;;;;;1
A.D.M. Tomassen;1;;;;;;;1
A.E. Steensma;1;;;;;;;1
A.M.A.H. Lorne;;;1;;;;;1
A.T. van Soolingen;1;;;;;;;1
A.W. Diving;;;1;;;;;1
ABC Consult;1;1;;;;;;1
ABF Research B.V.;2;;;;;;;2
AC Plus Automatisering B.V.;;;;;;2;;2
Academisch Medisch Centrum;1;;;;;;;1
Ad Hosman;1;;;;;;;1
ADC Archeologische Opgravingen B.V.;;;1;;;;;1
Adrenaline Communicatie;2;;;;;;;2
Adviesbureau voor Onderwijsplanning;;;1;;;;;1
Advocatenkantoor Shaaban;;;;;1;;;1
Aino Recruitment Services B.V.;1;;;;;;;1
Aiwos;1;;;;;;;1
Alaka;1;;;;;;;1
Alef Groep;;;3;;;;;3
Algemene Onderwijsbond;;;;;1;;;1
Alhoda;1;;;;;;;1
Alice Overmeer Scheepsarcheologie;;;1;;;;;1
Altrecht Hoofdgebouw;1;;;;;;;1
Amazing Bread Company B.V.;1;;;;;;;1
Andriessen & Partners B.V.;7;;;;;;;7
Anne Beeksma;;;1;;;;;1
Anne Roorda Bedrijfsarts Organisatieadv. B.V.;3;;;;;;;3
Anne Versloot;;;1;;;;;1
APE Public Economics B.V.;;;2;;;;;2
APS International B.V.;3;;;;;;;3
ArboDirect;1;;;;;;;1
Archisto;;;2;;;;;2
architecten van Mourik B.V.;3;;;;;;;3
Archol;;;2;;;;;2
Ardis Opleidingen B.V.;1;;;;;;;1
Argeweb;;;;;;1;;1
Aromi dal Mondo B.V.;1;;;;;;;1
Arrow Imaging B.V.;1;;;;;;;1
Artemet;;;1;;;;;1
Artikraak;;;1;;;;;1
Atelier Amati;;;2;;;;;2
Atos Nederland B.V.;1;;;;;;;1
AVR Vision Consult B.V.;;1;;;;;;1
B.J. Kooiman;1;;;;;;;1
B.V. Alg. Ned. Drukkerij Onderneming A.N.D.O.;2;;;;;;;2
B.V. Algemeen Nederlands Persbureau ANP;1;;;;;;;1
Baac Bouwh. Archeol. Archit. en Cultuurhist.;;;4;;;;;4
Bal Bedrijfsvideo;;;1;;;;;1
Barbara Schoonhoven Rest.&Onderz. van Schild.;;;1;;;;;1
Bcase;2;;;;;;;2
Bedrijfsartsengroep B.V.;2;;;;;;;2
Beeldvorming B.V.;;;1;;;;;1
Berenschot Groep B.V.;;;3;;;;;3
Bierens Incasso Advocaten B.V.;;;;;2;;;2
Bikkels en Bolides;1;;;;;;;1
Bizbits B.V.;;;3;;;;;3
BlinkLane Consulting B.V.;3;;;;;;;3
Bloemendaal Consultancy B.V.;;;;;;4;;4
Blue Billywig B.V.;1;;1;;;;;2
Boekmanstichting;;;2;;;;;2
Bofit Burnout begeleiding en Stressmanagement;1;;;;;;;1
bol.com B.V.;1;;;;;;;1
Bontekoe Produkties V.O.F.;1;;;;;;;1
Bouwbedrijf Cornel;;;1;;;;;1
Bouwcombinatie DUO2 V.O.F.;2;;;;;;;2
Bouwhulp Groep B.V.;;;2;;;;;2
Brandid B.V.;1;;;;;;;1
Brens Advocaten B.V.;1;;;;;;;1
Brinkie B.V.;1;;;;;;;1
Broekema.Nielsen Notarissen N.V.;;;;;1;;;1
Brugman Dive & Technics;;;1;;;;;1
Brunel Nederland B.V.;2;;;;;;;2
BSA Schaderegeling B.V.;;;;;1;;;1
BuitenhekPlus;1;1;;;;;;2
Bureau;;;1;;;;;1
Bureau Mens&Groen;;;2;;;;;2
Bureau Roetemeijer;;;2;;;;;2
Bureau Veritas Industrial Services;1;1;2;;;;;2
Bureau voor Interculturele Evaluatie B.V.;7;;;;;;;7
Bureau Voor Noordelijke Gemeenten B.V.;2;;;;;;;2
Bureau voor Overheidscommunicatie B.V.;;;2;;;;;2
BURO38;;;;;1;;;1
By Charelle;1;;;;;;;1
C.A.L. Holding B.V.;1;;;;;;;1
C.G. Invest B.V.;1;;;;;;;1
C.J.M. Schoenmakers;1;;;;;;;1
C.W. Beheer B.V.;;;1;;;;;1
C.W. van de Velde B.V.;1;;;;;;;1
Cadre D'or Beheer B.V.;;;1;;;;;1
