Leveranciers;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;Eindtotaal
1.2.3. Sloten Service B.V.;;;1;;;;1
4some Technisch Beheer B.V.;1;;;;;;1
A. Maat;;;1;;;;1
AAFM Facility Management B.V.;;1;;;;;1
Aannemingsbedrijf BeZee;1;;;;;;1
ABF Research B.V.;;;;;2;;2
Abiom Communication Systems (A.C.S.) B.V.;;;1;;;;1
Acal Technology Netherlands;;;1;;;;1
ACES Direct B.V.;;;;;1;;1
Actendo B.V.;;1;;;;;1
Adec Nederland B.V.;1;1;;;;;1
ADP Nederland B.V.;;;;;1;;1
Advantec B.V.;;;1;;;;1
Ae Sensors B.V.;;;1;;;;1
AEVO Zuid-Holland;4;;;;;;4
aFrogleap B.V.;;;;;;1;1
Agco B.V.;;;1;;;;1
Agilent Technologies Netherlands B.V.;;;1;;;;1
Agilent Technologies Sanigi B.V.;;;2;;;;2
Agmi Traffic B.V.;7;;;;;;7
Albar Industrie;2;;;;;;2
Alewijnse Zwolle B.V.;;2;;;;;2
Alfa Laval Benelux B.V.;;;1;;;;1
Aloys Roemaat Transport B.V.;;1;;;;;1
Alparo;;1;;;;;1
Alphatron Group B.V.;;;1;;;;1
Alphatron Marine B.V.;;2;;;;;2
AlterNET Internet B.V.;;;;;1;;1
Amis Services B.V.;;2;;;;;2
Andarr Technology Services;;2;;;;;2
Anoigo Services Limited;1;;;;;;1
anoniem;2;2;4;;1;;4
Antea Nederland B.V.;;2;;;;;2
Aquapur;;;1;;;;1
Arane adviseurs in verkeer en vervoer B.V.;;2;;;;;2
Aranea Consult B.V.;;1;;;;;1
ARCADIS Nederland;;1;;;;;1
ARCADIS Nederland B.V.;;2;;;;;2
Aris;;;;;2;;2
Arkasis;;;2;;;;2
ARS Traffic & Transport Technology B.V.;;8;;;2;;8
Art Centre Delft;;1;;;;;1
ATK Grootkeukentechniek B.V.;;;1;;;;1
Atos Consulting N.V.;;2;;;;;2
Atos Nederland B.V.;9;5;;;8;;9
Audiotex B.V.;;;2;;;;2
Auto- en Bergingsbedr. Van den Boogaard B.V.;;;1;;;;1
Autobedrijf T. Schepens;;;1;;;;1
Autoschade Weller;;;1;;;;1
Axians;;2;2;;2;;3
Axiell ALM Netherlands B.V.;;;;;1;;1
Azbil Telstar Benelux B.V.;;;1;;;;1
Azurro Sei B.V.;;2;;;;;2
B.V. Handelsbedrijf 'St. Antonius';;;1;;;;1
Backstage AV B.V.;;;1;;;;1
Bakker & Spees B.V.;;;;;2;;2
BAM Bouw en Techniek B.V.;;1;;;;;1
Bartels Infra B.V.;;;1;;;;1
Bastion Hotel Terbregseplein B.V.;;1;1;;;;1
Bastion Hotel Utrecht B.V.;;1;;;;;1
Batenburg Mechatronica B.V.;;;1;;;;1
BdR Holding B.V.;;;1;;;;1
BDS Harlingen B.V.;1;;1;;;;1
Be Informed B.V.;;;;;3;;3
Beaumont Communicatie & Management B.V.;;1;;;;;1
Bechtle Holding B.V.;1;;1;;;;1
BellHayes B.V.;;;2;;;3;4
Belmont Innovations & Sustainability B.V.;;1;;;;;1
Benelux Solar & Techn. Syst.-Applicat. B.V.;1;;;;;;1
Besthoma Trading International B.V.;;;2;;;;2
Between B.V.;1;;;;;;1
Biesheuvel Techniek Zwolle;;;1;;;;1
Billink B.V.;;;1;;;;1
Bintra;;1;;;;;1
Biosolve B.V.;;;1;;;;1
Bizzdesign Consultancy B.V.;;2;;;;;2
Bluestream ROV B.V.;1;;4;;;;4
Boeg B.V.;;;1;;;;1
Boels Verhuur;1;;;;;;1
bol.com B.V.;;;1;;;1;1
Bootservice Leeuwen;;;1;;;;1
Boso B.V.;;;1;;;;1
Bouwbedrijf Salverda B.V.;;;1;;;;1
Brammer Nederland B.V.;;;1;;;;1
Breedband Helmond B.V.;1;;;;;;1
Bright Alley Knowledge & Learning B.V.;;1;;;;;1
Bright Futures NetCom B.V.;;;1;;;;1
Brimos Borden B.V.;6;;;;;;6
Brimos Techniek B.V.;4;;;;;;4
Brooklyn Business Consult;;1;;;;;1
BSI Group The Netherlands B.V.;2;;;;;;2
BSW Testsystems & Consulting B.V.;;;1;;;;1
BTN B.V.;;;1;;;;1
Buijze Management & Advies;;3;;;;;3
Bunkerstation 'Delta' Stolk & Berends B.V.;;;1;;;;1
Burando Customs Services B.V.;;;1;;;;1
Bureau BlauwGeel B.V.;;;;;1;;1
Bureau Bram van Luipen;;1;;;;;1
Buro Ecolan;;;1;;;;1
Buyitdirect.Com N.V.;;;;;1;;1
C. Services Holland B.V.;;1;;;;;1
C.I.V. Lauwerszee Lauwersoog B.V.;;;1;;;;1
Caesar Accounts;5;;;;2;;5
Callas;;1;;;;;1
Canast B.V.;;;;;1;;1
Canon Nederland N.V.;2;;2;;;;3
Capgemini Educational Services B.V.;;;;;2;;2
CAPGEMINI NEDERLAND B.V.;3;8;;5;6;4;8
Carthago ICT;;;;;2;;2
Cascade B2B;1;;;;;;1
Catec B.V.;;;4;;;;4
CCV Services B.V.;1;;;;;;1
Cendris Dataconsulting B.V.;;1;;;;;1
Cenosco Custom B.V.;;;;;1;;1
Centraal Boekhuis B.V.;1;;;;;;1
Centric;7;1;5;;;;7
Centric Financial Professionals B.V.;;2;;;;;2
Centric Test & Security Professionals B.V.;1;;;;;;1
CGI;4;8;;;7;;8
CGI Nederland B.V.;;1;;;3;;3
Charta Software;;2;;;;;2
Chikara Nederland B.V.;;;1;;;;1
Cimar Electronics B.V.;;;1;;;;1
Cimsolutions;1;;;;;3;3
Citgroup B.V.;;;;;2;;2
City Flow B.V.;;1;;;;;1
Citytec B.V.;2;;;;;;2
Clockwise B.V.;;;;;1;;1
CloudyDay B.V.;1;;;;;1;1
CM Telecom B.V.;1;;;;;;1
