Leveranciers;7110 Gebruik en onderhoud gebouw en terreinen;7210 Verbruik van energie en water;7310 Verhuizen;7410 Verwerven en afstoten;7-Huisvesting
A. Blijleven B.V.;1;;;;1
A. De Boer Groentotaal;1;;;;1
Aannemingbedrijf P.M. van Bemmel BV;1;;;;1
Abson;1;;;1;1
Accuraat A'Damse Verhuurinrichting;1;;;;1
Aermast Holland BV;1;;;;1
Aestic Produkten;1;;;;1
AG Equinox Coöperatieve;;;;2;2
Agilent Technologies;1;;;;1
Air Products Nederland;;1;;;1
Aircorent;;;;1;1
Airport Property Management;;;;2;2
AL P.H. BV;1;;;;1
Alphatron Communicatie, Observatie, Navigatie;1;;;;1
Alteco Europe;1;;;;1
Amsterdam Airport Schiphol;5;2;;6;7
AMSTERDAMSCHE HUIZENHANDEL &;;;;2;2
ANALYTICAL CONTROLS;3;;;;3
Ankerslot;1;;;1;1
Antalis (vh Modo van Gelder en incl. Dekker Packaging);1;;;;1
APF International;;;;4;4
APM Terminals Maasvlakte II B.V.;;;;2;2
Aqua D&S b.v.;1;;;;1
Arian Tuintechniek;2;;;;2
Arma Verhuur Horeca;;;;1;1
Artihove;1;;;;1
Ascom;1;;;;1
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);1;;;;1
Auke Rauwerda;1;;;;1
Autobedrijf van Mossel;1;;;;1
AViste;;;;1;1
B & L;1;;;;1
B. Langenbach Schoonmaak en Ontstoppingsbedrijf;1;;;;1
B.O.D. Totaalinstallateur b.v.;3;;;;3
Bam (incl. Interflow);1;;;;1
Barrera;1;;;;1
Bas - Business Art Service;;;;1;1
BEEMDELUST BV.;1;;;;1
Benschop Installatietechniek;2;;;;2
Bergh Brandkasten;1;;;;1
Besseling installatiegroep;1;;;;1
Bessels Tweewielers;1;;;1;1
Biermans Ijzerhandel;1;;;;1
BIM Media;;;;1;1
BIS Bedrijfs Informatie Systemen (incl. Correspondentie);1;;;;1
BLAUWE MEER;;;;1;1
Boels Verhuur (incl. HuurMax);1;;;1;1
Boerhof Projectinrichting Heeten;;;;6;6
BÖHNKE V/D BROEK;1;;;;1
Bouwbedrijf Hoorn 80;1;;;;1
BPF - Bouwinvest Office Fund;;;;7;7
Brabant Water;;2;;;2
Brady Groupe (incl. Seton, Transposafe);2;;;1;2
Brand Bierhuis;1;;;;1
Brand Interieurbouw en Aannemeningsbedrijf;1;;;;1
Brehm;1;;;1;1
Breider tuinmachines;1;;;;1
Breijer Bouw en Installatie, Contractonderhoud, Elektrotecniek, Technisch Beheer;2;;;;2
Breustedt Chemie;1;;;;1
Brezan;1;;;;1
Brinkel Beleggingen Onroerend Goed B.V.;;;;3;3
Brongers Bouw;1;;;;1
Bruynzeel Interfinish;1;;;;1
Buitink;1;;;;1
Buko Infrasupport;1;;;;1
Burgman Security;1;;;;1
C. Mulckhuyse Bouw- en Aannemingsbedrijf;1;;;;1
C.J. van Klaveren Holding;1;;;;1
Calertho Bouwkunde;1;;;;1
CameraTools.nl;1;;;;1
Carbon6;1;;;5;5
Cartal Automotiv;1;;;;1
Caspar De Haan Schildersbedrijf;1;;;;1
CBRE (incl. CB Richard Ellis, ING REIM);;;;3;3
CCV Services;1;;;;1
Cenned Telecom;2;;;;2
Chalet Group;;;;2;2
Chili Pepper Productions;;;;1;1
Clercx Liebau Vastgoedmanagement;;;;4;4
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);4;;;1;4
Cogas Energie, Meetdiensten, Infra & Beheer, Kabel (incl. CoNet);;2;;1;2
Common Eye;1;;;;1
Connect Service;1;;;;1
Conrad Electronic;1;;;;1
Cornelissen Aannemingsbedrijf;1;;;1;1
Crow, Kennisplatform Voor Infrastructuur, Verkeer, Vervoer en Openbare Ruimte;1;;;;1
Cushman & Wakefield;;;;2;2
D/L Real Estate K15 Zaandam;;;;2;2
Dassen Bouw;;;;1;1
Davelaar Bouwbedrijf;2;;;;2
De Boer  Bouwbedrijf;1;;;;1
De Klussenier Marcel den Hartog;1;;;;1
De Lekkernij Utrecht;1;;;;1
De Ouwe Dikke Dries Cafe;1;;;;1
De Sleutelkoning;1;;;1;1
De Sleutelspecialist;1;;;;1
De Vries Project Design;1;;;;1
De Waal Beheer o.g. Utrecht;;;;2;2
De Wilde Bouwbureau en Aannemingsbedrijf;1;;;;1
De Zeehond;;;;1;1
Dehullu Projekt (Dehullu Sign Sytems);2;;;1;2
Delphi Sleutelbeheersystemen;1;;;;1
Delta Infra;;1;;;1
Delta Netwerkbedrijf;;2;;;2
Delta Nutsbedrijven;;1;;;1
Destil;1;;;1;1
Dierenartsenpraktijk Horst (Dierapotheker);;;;1;1
Dijkstra & van Dijk;1;;;;1
Dock84;;;;1;1
Dog Sport Holland;1;;;;1
Dolmans Facilitaire Diensten;;;;1;1
Donker Holding (incl. Donkergroen);4;;;;4
Dordtse Bazar Verhuur;1;;;;1
Dorma van Duin Nederland;1;;;;1
DPS Digital Photo Systems;1;;;;1
DS Kunststoffen;1;;;;1
Dtz Zadelhoff;;;;6;6
Du Nord Rijwielen;1;;;;1
Dunea (Duinwaterbedrijf Zuid-Holland);;1;;;1
Duo2;4;;;4;5
Dura Vermeer;1;;;;1
Dutch Special Solutions;1;;;;1
E.On (incl. NRE Energie);;3;;;3
ECT - Europe Container Terminals;;2;;;2
Eemshaven Properties;;;;2;2
Eet Holland;1;;;;1
Eijkelboom;4;;;;4
Eindhoven Airport;1;;;2;2
Eisma Preventie;;;;1;1
Electrabel;;2;;;2
Elfa Elementenfabriek;1;;;;1
Endinet;;4;;;4
Eneco (incl. Utiliq, Vaney, Joulz);;8;;;8
Enexis (vh Essent Netwerk, At Home);;5;;;5
Enorm van Driel;1;;;;1
Epoc Nederland;;;;3;3
Equipe Quality Products (incl. Health2Work);;;;1;1
Erha Trading;1;;;;1
Ese (incl. Otto Gebr);1;;;;1
Esra Intern Transport;1;;;;1
Essent Energie;;3;;;3
ETV Groep Beheer;;;;3;3
Euro Barrier;1;;;;1
Euro Trapliften;1;;;;1
Euromate (vh Plymovent, Lucom);1;;;;1
Evides Waterbedrijf;;2;;;2
Faber Vlaggen (vh Shipmate);1;;;;1
Facilion;1;;;;1
Facility Service;;;;2;2
Falck Group;1;;;;1
Fireware;1;;;;1
First Care Opleidings- en Trainingsburo;1;;;;1
First Service Business Events;2;;;;2
Foto Anno Bakker;1;;;;1
Fujitsu Technology Solutions (vh Fujitsu Siemens);6;;;;6
G.B. van Hoek Aannemingsbedrijf;2;;;;2
Gebr. van der Winkel;1;;;;1
Geldersche Houtbouw BV;1;;;;1
Gemeente Ermelo;;;;1;1
Gielissen;1;;2;1;2
Glas & Isolatiebedrijf De Jonge & Zn.;1;;;;1
Glascentrale Swinkels;1;;;;1
Glashandel J. Snel;1;;;;1
Glashandel van Ooyen;1;;;;1
Glaspunt;1;;;;1
Glassolutions Interior (incl. De Verfgrossier);1;;;;1
Glassprotect;1;;;;1
Goed & Vast;;;;2;2
GOM Schoonhouden;1;;;;1
GRASSCHOPPERS DE;1;;;;1
Groenservice Noord;1;;;;1
