Locatie nr,Wijk,CBS-buurt,Straat,Type speelpl,Omschrijving,Doelgroep 3 tot 6 jaar,Doelgroep 6 tot 12 jaar,Doelgroep 12 jaar en ouder,Jaar aanleg,Jaar rec.-herinr.,X-coörd.,Y-coörd.,latitude,longitude
03021,Binnenstad,109,Augustijnenkamp,Speelterrein,In 2010 opnieuw ingericht met een glijbaancombinatie_ een duikelrek en balanceerblokken. De luifel is verwijderd.,1,1,0,,2010,105644.1057,425368.188,51.81474702,4.67143323
29281,Binnenstad,100,Hoge Nieuwstraat,Speelterrein,In 2009 opnieuw ingericht met een glijbaancombinatie_ een veerwip en een minirekstok.,0,1,0,,2009,105106.9795,425597.3039,51.8167585,4.66361123
50001,Binnenstad,106,Molenstraat (ingang Suikerstraat 70),Speelterrein,Een speelplek met een dubbel duikelrek en een schommel.,1,1,0,,2011,104831.7967,425205.5213,51.81321257,4.65967741
57282,Binnenstad,106,Pelserstraat bij huisnr. 48,Trapveld,Een trapveld met 2 doelen_ omzoomd door een hekwerk en ballenvangers.,0,1,1,,,105001.108,425164.6598,51.81286051,4.66213844
73961,Binnenstad,101,Tolbrugkamp,Speelterrein,Een speelplek met hondenrooster_ hekwerk_ kunstgras_ combinatietoestel met glijbaan_ een hobbelelement_ een dubbele schommel_ twee draaistoeltjes en een tweedelig duikelrek.,1,1,0,,2015,105276.3087,425471.2066,51.81564028,4.66608493
06281,De Schil,114,Cornelis van Beverenstraat,Speelstraat,Begin oktober 2009 heringericht met een klim-/glijcombinatietoestel_ klim-/duikelcombinatietoestel_ een zigzagbalans en een mandschommel.,1,1,0,,2009,105502.6675,424846.9362,51.81004958,4.66945679
06361,De Schil,112,Beverwijcksplein,Speelterrein,Plek met een tafeltennistafel.,0,0,1,2010,,105335.5305,424884.9234,51.81037616,4.66702791
15843,De Schil,105,Dokweg,Skateterrein,Skatebaan met een groot aantal skatetoestellen omgeven door een laag hekwerk. Door de ligging_ deels onder de spoorbrug_ kan bij regen langer van de baan gebruik gemaakt worden. De baan heeft zelfs een regionale functie.,0,0,1,,,104350.0332,424898.0384,51.81040547,4.65273656
18241,De Schil,112,Willem Dreeshof  (via Muys van Holystraat),Speelterrein,Speelplek met een klimklautertoestel_ een wip en een opstapduizel. De ondergrond is van veiligheidsgras.,1,1,0,,2009,105120.2946,424856.2331,51.8100991,4.66391118
21361,De Schil,110,Geldeloze pad bij huis nr. 84,Speelterrein,Een speelplek met een duikelrek en een dubbele schommel. Het speelplekje is geadopteerd. Voor nadere informatie over de adoptie kunt u contact opnemen met de gemeente Dordrecht via telefoonnummer 14078.,1,1,0,,2009,104801.2844,424950.4617,51.81091741,4.65927198
36081,De Schil,111,Koninginnestraat,Speelterrein,Speelplek met een veerbeest_ een klein klimtoestel en een hinkelbaan. De plek is afgeschermd door een hek van de straat. Het speelplekje is geadopteerd. Voor nadere informatie over de adoptie kunt u contact opnemen met de gemeente Dordrecht via telefoonnummer 14078.,1,0,0,,,104793.355,424776.1931,51.8093504,4.65918229
60361,De Schil,111,Rozenhof naast huisnr. 2,Speelterrein,Een speelplek met een draaitoestel_ drie hobbelelementen_ een duikelrek en een cijferslang. De plek is afgeschermd van het verkeer door inloophekken.,1,1,0,,,104730.2629,424859.6598,51.81009491,4.65825537
70003,De Schil,110,Spuiboulevard 2 / Geldelozepad  2,Speelterrein,Speelplek met een klim-/glijcombinatietoestel en een draaistoeltje.,1,1,0,,,104763.3291,425022.6449,51.81156276,4.65871114
75521,De Schil,105,Twintighuizen ( Hoogt),Speelterrein,Een speelplek met een combitoestel_ een hobbelelement_ een draaitoestel en een overgooischommel.,1,1,0,2000,2012,104630.2666,424929.5149,51.81071373,4.65679528
02321,Reeland,502,Ambonstraat,Speelterrein,Een speelplek omheind door een hek en toegankelijk via een hondenrooster. Er staat een combinatietoestel met kleine klimwand en een glijbaan. Er is een dubbel duikelrek_ een veerbeest en een dubbele schommel. De ondergrond is van kunstgras.,1,1,0,,2007,106334.2992,424390.5929,51.80602119,4.68157938
20882,Reeland,505,Fuutstraat_ oude schoollocatie,Speelterrein,Op deze plek is een tijdelijke speelplek ingericht met een dubbele schommel_ een glijbaancombinatie_ een veerwip en een draaischijf.,1,1,0,2014,,107030.5175,424587.4401,51.80785068,4.69164615
25681,Reeland,505,Halmaheiraplein,Combibalspelterrein,Gecombineerd trap- en basketbalveld op asfalt omgeven door een hek. Daarnaast een skateterrein.,0,1,1,,,106933.6474,424295.8372,51.80522147,4.69028213
30561,Reeland,506,Houweningestraat bij huisnr. 2,Speelterrein,Een speelplek omgeven door een hekwerk. Op de plek staat een combitoestel met klimrek en glijbaan. Daarnaast een veerbeest_ een wip_ een draaitoestel en een dubbel duikelrek.,1,1,0,,,106014.86,424391.033,51.8059972,4.67694796
31761,Reeland,503,Javastraat,Speelterrein,Een speelplek met een driedelig duikelrek_ een draaistoel en een veerelement.,1,1,0,2010,,106351.0715,424795.4655,51.80966157,4.68176562
