FID,wpeil_verf,se_anno_cad_data,gdb_geomattr_data,shape
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.1,0.12,,,"LINESTRING (105837.8599999994 473429.0729999989, 106169.69799999893 473803.08300000057)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.2,0.45,,,"LINESTRING (106169.69799999893 473803.08300000057, 106280.97899999842 473928.506000001, 106459.6240000017 474133.4360000007, 106498.90700000152 474179.3979999982)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.3,0.41,,,"LINESTRING (106498.90700000152 474179.3979999982, 106526.45499999821 474211.62999999896, 106629.3049999997 474334.8229999989, 106704.29600000009 474427.53400000185, 106815.13699999824 474566.6499999985)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.4,0.51,,,"LINESTRING (106815.13699999824 474566.6499999985, 106831.9140000008 474587.70800000057, 106891.53599999845 474658.13899999857, 106947.83999999985 474719.39400000125, 107023.67500000075 474795.37900000066, 107124.93299999833 474890.51999999955, 107163.10700000077 474924.79199999943)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.5,0.48,,,"LINESTRING (107163.10700000077 474924.79199999943, 107239.99599999934 474993.8209999986, 107297.50699999928 475046.71499999985, 107372.25200000033 475120.4270000011, 107420.55000000075 475171.2289999984, 107479.62099999934 475236.1939999983, 107516.21499999985 475278.1270000003)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.6,0.65,,,"LINESTRING (107516.21499999985 475278.1270000003, 107552.98299999908 475320.2589999996, 107645.03200000152 475429.62999999896, 107761.19900000095 475572.0020000003, 107908.11899999902 475756.8020000011)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.7,1.22,,,"LINESTRING (82822.97100000083 454703.2039999999, 82855.10000000149 454699.7749999985, 82890.18100000173 454690.6790000014, 82927.94200000167 454676.6469999999, 82968.14299999923 454658.33900000155, 83010.56799999997 454636.34899999946, 83055.02400000021 454611.20899999887, 83101.33700000122 454583.3969999999, 83198.9140000008 454521.4070000015, 83264.30999999866 454477.97100000083)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.8,-0.44,,,"LINESTRING (83264.30999999866 454477.97100000083, 83579.42799999937 454268.66899999976, 83681.52600000054 454202.4239999987)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.9,-0.47,,,"LINESTRING (83681.52600000054 454202.4239999987, 83755.77899999917 454154.24500000104, 83938.78200000152 454038.9600000009, 84105.27400000021 453937.06599999964)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.10,-0.65,,,"LINESTRING (84105.27400000021 453937.06599999964, 84130.12700000033 453921.85500000045, 84279.01099999994 453833.23900000006)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.11,-7.88,,,"LINESTRING (84857.25400000066 453496.1939999983, 84968.57400000095 453432.4279999994)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.12,-1.33,,,"LINESTRING (84968.57400000095 453432.4279999994, 85155.4690000005 453325.3729999997, 85578.94200000167 453085.36499999836)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.13,-1.12,,,"LINESTRING (75220.49399999902 442137.83900000155, 75144.05200000107 442265.9910000004, 75121.37099999934 442303.43299999833)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.14,-1,,,"LINESTRING (75477.86400000006 441620.8189999983, 75471.58300000057 441640.436999999, 75456.83999999985 441681.1020000018, 75440.8359999992 441721.7800000012, 75423.22300000116 441763.11400000006, 75420.54800000042 441768.938000001)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.15,-0.32,,,"LINESTRING (75566.96499999985 441130.5540000014, 75560.86699999869 441215.3929999992, 75557.20300000161 441256.2829999998, 75546.67100000009 441340.8770000003, 75539.45899999887 441384.22199999914, 75530.89699999988 441427.8920000009, 75521.06599999964 441471.5370000005, 75510.10300000012 441514.81500000134, 75498.15399999917 441557.4519999996, 75477.86400000006 441620.8189999983)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.16,0.09,,,"LINESTRING (77211.4609999992 438661.20800000057, 77159.47800000012 438724.4279999994, 77041.17199999839 438876.33999999985, 76905.4459999986 439056.5540000014)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.17,-2.92,,,"LINESTRING (78935.25600000098 437759.53500000015, 78884.97599999979 437772.73600000143)"
pilotgebied_potentiele_waterdiepte_laagste_punt_wegvak__m_.18,-2.33,,,"LINESTRING (78831.70300000161 437785.39499999955, 78765.86499999836 437800.9919999987, 78448.56799999997 437869.2340000011, 78447.54800000042 437869.4670000002)"
