Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;8-communicatie
7Am;;;;;1;;1
A. Oostenbrink;;;;1;;;1
A. Stoffels;;;;;;1;1
Accenture;4;;;;;;4
Alpina van Houwening & Ijsselstijn;;;;1;;;1
Annette Klarenbeek;2;;;;;;2
ANP - Algemeen Nederlands Persbureau;1;;;;;;1
Ara Groep (incl. HFM\Bovaco);1;;;;;;1
Arenda Oomen Fotografie;1;;;;;1;1
Arvato Services Nederland;2;;;;1;;3
Asp4All Hosting;;;;;;3;3
Atos;2;;;;;;2
AVB Amstelveens Vertaalburo;;;1;;;;1
B. Ruyssenaarr;;;;;1;;1
Balance2 - Texts and Translations;;;2;;;;2
Banketbakkerij Maison Kelder;;;;1;;;1
Bas Kijzers Fotografie;1;;;;;;1
BBP Light;1;;;;;;1
BIM Media;;1;;;;;1
Biobased Press;;1;;;;;1
BJU Boom Juridische Uitgevers (incl. Sun);;1;;;;;1
Blauw Research;2;;;;;;2
Bobbe Abonnementen;;3;;;;;3
Bol.Com;;1;;;1;;1
Brasserie van Baerle;;;;1;;;1
Bredemeijer Group;;;;1;;;1
Broese Wristers (vh Polare, Verwijs);1;1;;1;;;1
Bureau Voor Free Publicity;1;;;;;;1
CB Centraal Boekhuis (incl. Facturatie);;;;1;;;1
Centercom Buitenreclame;1;;;;;;1
Centric (incl. Qualityhouse);6;;;;;;6
Clock Studio's;1;;;;;;1
Co Efficient Management Consulting;2;;;;;;2
Code Zero;;;;;;1;1
Colour Digital;1;;;;;;1
Communicatie Support;;;;;;1;1
Cuisine Royale;;;;1;;;1
De Argumentenfabriek;;;;;1;;1
De Persgroep (incl. PCM, De Volkskrant, Het Parool, Trouw, Algemeen Dagblad, Perscombinatie);;1;;;;;1
De Redactie (Automotive Publishing);;;;;;1;1
Dedicon;2;;;;;;2
Desire to Communicate;1;;;;;;1
DPI Animationhouse;;;;;1;;1
DTS Dutch Television Services;;;;;;1;1
Dudok (Horeca Exploitatie WWZ IV);;;;;1;;1
Editor;;;;;;1;1
Eisma Group Media (incl. Bouwmedia, Businessmedia, Trademedia, Industrialmedia);;1;;;;;1
Emma Communicatie;2;;;;1;;2
Entopic;1;;;;;;1
Entzinger Consult;;;;;;1;1
Epiphaneia;;;;;1;;1
E-Power;3;;;;;;3
Erdee Media;;1;;;;;1
ERGO research intelligence;3;;;;;;3
Extratekst producties;;;;;1;;1
F. de Raat;;;;;;1;1
FHV BBDO;1;;;;;;1
Finalist IT Group;1;;;;;;1
Financieele Dagblad;;1;;;;;1
Fotografie Paul Voorham;1;;;;;;1
Fotopersbureau Dirk Hol;;;;;;1;1
Frohlich en Plaisier;2;;;;;;2
GFK Group (incl. Panel Services, Intomart);1;;;;;;1
Golden Tulip;;;;;1;;1
Grey Matters;;;;;1;;1
Gridline;2;;;;;;2
H.R. Guest Fotografie;1;;;;;;1
Hafo Spec Zaak voor Foto en Video;;;;;;1;1
Het Oranje Kruis;;1;;;;;1
Hiemstra Communicatie;3;;;;;;3
Hippo;2;;;;;;2
Hollandse Hoogte;2;;;;;1;2
Hospitality Industria;;;;1;;;1
House of Lords;;;;3;;;3
Igor Design;;;;2;;;2
In2Content;;;;;;2;2
Info Support;;;;;;1;1
Info.nl;;;;;1;;1
Informaat;3;;;;;;3
Infostrada (vh Parkpost);1;;;;;;1
ING Bank;;1;;1;;1;1
Inge van Mill Fotograaf;1;;;;;;1
Intelligence Group;2;;;;;;2
Intermax;2;;;;;3;4
Ipsos (incl. Synovate);2;;;;;;2
IS Interned Services Groep;;;;;;1;1
Istana Indonesisch Restaurant;;;;1;;;1
J. Dohmen;;;;;;1;1
Jeroen van der Meyde Fotogeniek;;;;1;;1;1
Karakter.TV;2;;;;;;2
Karolien Bais;;;;;;1;1
Kasias Photo Art;;;;;;1;1
Keijser Mischa Fotografie;;;;;;1;1
Kesselskramer;1;;;;;;1
L.H. Punt-Heyning;;;2;;;;2
La Vina Restaurant;;;;1;;;1
Lamar Communicatie;;;;;1;;1
Lexis Nexis;;1;;;;;1
Logeion Vereniging Voor Communicatie;1;;;;;;1
M. ten Hooven;;;;;;2;2
Mach3builders;;;;;;1;1
Mainpress (incl. Computerboek.nl, Managementboek.nl, Jongbloed);;1;;;1;;1
Mangrove;;;;;;2;2
Mare Research;3;;;;1;;3
Mark Prins Fotografie;;;;;;1;1
