Leveranciers;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9600 - VWS Specifiek;Eindtotaal
A.EL.VIS GmbH;;1;;;;;1
Aalborg University Hospital;1;;;;;;1
AB Sciex EDC B.V.;;;2;;;;2
Abbott B.V.;;1;;;;;1
Abbott Informatics Netherlands B.V.;1;;1;;;;1
Acal BFi Nederland BV (alle vestigingen);;;1;;;;1
ACB Vertalingen;;;;;1;;1
Acclon Technologies B.V.;;1;;;;;1
acdegroot publishing;;;;;1;;1
ACTIVE Bioscience GmbH;;1;;;;;1
AdFoPack;;;;;1;;1
Advocatenkantoor Dijkgraaf B.V.;;;;;;1;1
Agilent Technologies Netherlands B.V.;;2;4;;;;4
AgriWijzer B.V.;;;;;1;;1
AHF-Analysentechnik AG;;1;;;;;1
AID Diagnostika GmbH;;;1;;;;1
AIGHD;;;;;1;;1
Akerhus Universitetsykehus HF;4;;;;;;4
Akzo Nobel N.V.;;;;;1;;1
Alere Health B.V.;;1;;;;;1
All Modul B.V.;;1;1;;;;1
Alliance Healthcare;;2;;;;;2
Alphasense Ltd;;1;;;;;1
Altec IndustriÃ«le Identificatie;;1;;;1;;1
Ambient Advies BV;;;;;3;;3
Ameco Adviesgroep Milieubeleid B.V.;;;;;3;;3
AML BV BVBA;1;;;;;;1
Animal & Plant Heath Agency;1;;;;;;1
Antea Nederland B.V.;;;;;1;;1
Anthos Labtec B.V.;;;1;;;;1
Antibodies-online GmbH;;1;;;;;1
Antonides;;1;;;;;1
Apertum Consulting;;;;;2;;2
Apotheek Planetenbaan;;1;;;;;1
Applus RTD Certification;1;;;;;;1
ARCADIS Nederland B.V.;;;;;2;;2
Architectuurcentrum Aorta;;;;;1;;1
Arrayjet Ltd.;;;2;;;;2
Association Med-Vet-Net Zoonoses Research;;;;;1;;1
Asterion (Pitney Bowes Management Services);;;;;;1;1
Asterion France SAS;;;;;;1;1
ASTM International;;1;;;;;1
Astrid Smit, wetenschapsjournalist;;;;;1;;1
Aviv B.V.;;;;;2;;2
AW-ChemAdvice;;;;;2;;2
B. Braun Medical B.V.;;1;;;;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;1;2;;;;2
Baan om de aarde;;1;;;;;1
Balis Micro B.V.;;1;;;;;1
BAM Techniek;;;1;;;;1
BaseClear B.V.;6;1;;;;;6
BB - NCIPD Ltd.;;;;;;3;3
BBTWEEN;;;;;2;;2
Beckman Coulter Nederland B.V.;;2;3;;;;3
Becton Dickinson;;4;4;;;;5
Beheer derdengeld Rischen & Nijhuis;;;;;;1;1
Beldico B.V.;;1;;;;;1
Belimed B.V.;;;1;;;;1
Beltox Consultancy;;;;;1;;1
Berenschot B.V.;;;;;3;;3
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;;2;;;;2
Berthold Technologie Belgium NV.S.A.;;1;2;;;;2
Between;;;;;;1;1
Beun- de Ronde B.V.;;;2;;;;2
Beuth Verlag GmbH;1;;;;;;1
BGI Tech Solutions (Europe) B.V.;2;;;;;;2
Biesheuvel Groep B.V.;;1;;;;;1
Bilthoven Biologicals B.V.;;3;4;;1;6;7
Bio Olie Nederland B.V.;;1;;;;;1
Bio Trading Benelux B.V.;;3;;;;;3
Bio-Connect B.V.;;3;2;;;;3
Bio-Connect Diagnostics B.V.;;3;;;;;3
Bio-Connect Services B.V.;;5;;1;;;5
Biogents AG;;1;;;;;1
Biognost B.V.;;4;1;;;;4
Bioké;;2;;;;;2
Biolegio B.V.;;2;1;;;;2
bioMÃ©rieux Benelux B.V.;;2;1;;;;2
BioMed Central Limited;;;;;2;;2
BIOMED Co. Ltd;;;;;;1;1
Bio-Rad AbD Serotec GmbH;;1;;;;;1
Bio-Rad Laboratories B.V.;;4;4;;;;5
Biosisto B.V.;;1;;;;;1
Bio-Techne Ltd Voorheen R&D Systems Europe Ltd;;1;;;;;1
BioTop Consultancy B.V.;;;;;1;;1
Bisschoff Medical Research;2;;;;1;;2
Blonk Milieu Advies B.V.;;;;;3;;3
Bodinco B.V.;;1;;;;;1
Bojan Advies;;;;;2;;2
bol.com B.V.;;1;;;;1;1
Boom B.V.;;4;1;;;;4
Borgwaldt Technik GmbH;;1;1;;;;1
Bredenoord Beheer Apeldoorn B.V.;;;1;;;;1
Bredenoord GmbH Rental Sales;;;1;;;;1
Brocacef B.V.;;1;;;;;1
Brocacef Groep N.V.;;1;;;;;1
Bruker Nederland B.V.;;1;3;;;;3
Brunschwig Chemie B.V.;;3;;;;;3
Buchem B.V.;;2;;;;;2
Bugter Consult;;;;;2;;2
Building Services Amersfoort B.V.;;;2;;;;2
Bundeskasse Halle;;1;;;1;;1
Bureau KLB;;;;;2;;2
Bureau La Poutre;;;;;;1;1
Bureau Veritas Industrial Services;;;1;;;;1
Buro Blauw B.V.;;1;;;;;1
Busbus;;1;;;;;1
Business Line Cleanroom;;;1;;;;1
Butraco;;1;1;;;;1
Buveco Gasdetection B.V.;;;1;;;;1
BWT Nederland B.V.;;1;1;;;;1
CACI B.V.;;;;;2;;2
Cadmus Journal Services American Society for Micribiology;;;;;1;;1
Caesar Consult Nijmegen;;;;;2;;2
Caliz B.V.;;;1;;;;1
Canberra NV/SA;;1;1;;;;1
Capgemini N.V.;;;;;;4;4
CareFusion Netherlands 238 B.V.;;1;1;;;;1
CarePack Holland B.V.;;1;;;;;1
Carl Roth GmbH+Co.KG;;1;;;;;1
Carl Zeiss B.V.;;;1;;;;1
Carrosseriefabriek Harderwijk B.V.;;;1;;;;1
CasaGrande B.V.;;;;;1;;1
Center for Evaluation & Program Development bvba;;;;;1;;1
Centrale Organis. voor Radioactief Afval N.V.;;1;;;;;1
Centrum voor Wetenschaps- en Technologische Studies B.V.;;;;;1;;1
Cerulean;;;4;;;;4
Cerulean Logic B.V.;;1;;;;;1
CGI Nederland B.V.;;;;;2;;2
CGI Nederland B.V.(Logica Ned.B.V.);;;;;;2;2
Charles River Endotoxin Microbial Detection Europe;;;;;1;;1
Charles River Laboratories Den Bosch B.V.;;;;;1;;1
Chroma Technology Corp;;1;;;;;1
Chrono@Work Research, Training & Consultancy;2;;;;;;2
CKade B.V.;;;;;1;;1
Clindia Benelux B.V.;;1;;;;;1
CLM Onderzoek en Advies B.V.;;;;;3;;3
Co. Van Beek Generatoren;;;1;;;;1
Coöperatie PreventPartner U.A.;;;;;1;;1
CoaChrom Diagnostica GmbH;;1;;;;;1
Compass Group Nederland Holding B.V.;;;;;;2;2
Conrad Electronic Benelux B.V.;;1;;;;;1
Cosanta B.V.;;;;;1;;1
Council of Europe Minority Youth Committees;;1;;;;;1
Craft Management Consultants B.V.;;;;;1;;1
CrisisTox Consult;;;;;2;;2
Critical Airflow Europe Ltd;;;1;;;;1
Crowd Innovation;;;;;1;;1
Cryo Store B.V.;;1;1;;;;1
Cryopep SARL;;1;;;;;1
CSL Behring B.V.;;;;;;4;4
Culture Coll. Univ. of Goteborg;;1;;;;;1
Da Vinci Laboratory Solutions B.V.;;1;1;;;;1
Dbvision B.V.;;;;;3;;3
D-Care;;1;;;;;1
DDL Diagnostic Laboratory B.V.;;4;;;;;4
De Kok & Partners B.V.;;;;;2;;2
De Proeffabriek;;;;;2;;2
De Ruiter Grondwatertechniek Holding B.V.;;;1;;;;1
De Urbanisten B.V.;;;;;1;;1
De Vlinderstichting;;;;;1;;1
De Wilde Metaal B.V.;;;1;;;;1
Deining;;;;;1;;1
Deloitte Risk Advisory B.V.;;;;;;2;2
Denios B.V.;;;1;;;;1
Dermatologie St. Antonius Ziekenhuis;;;;;3;;3
Devrimed B.V.;;7;;;;;7
DGMR Industrie Verkeer en Milieu B.V.;;;;;4;;4
DHL Express bv (SameDay NL);;;;;;4;4
Diakonessenhuis Utrecht;;;;;3;;3
DiaMed Benelux N.V.;;1;;;;;1
DiaSorin SA/N.V.;;1;;;;;1
Diebels Relatiegeschenken B.V.;;;;;;1;1
Dijkstra-Vereenigde B.V.;;1;1;;;;1
DNA Genotek Inc.;;3;;;;;3
DNV GL Limited (Eurofacturen);;;;;3;;3
DNV GL Netherlands B.V.;;;;;4;;4
docdata payments B.V.;;;;;1;;1
Doxis;;;;;1;;1
DrÃ¤ger Nederland B.V.;;1;1;;;;1
Drost Pluimveebedrijf Loenen B.V.;;1;;;;;1
DSMZ;;1;;;;;1
Dutch Water Tech B.V.;;1;;;;;1
Dynabio S.A.S. Luminy Biotech Entreprises;;2;;;;;2
Dyzle Operations B.V.;;1;2;;;;2
Eastern Business Forms, Inc.;;3;;;;;3
eBioscience (Bender MedSystems GmbH);;;1;;;;1
Ecofide;;;;;2;;2
Eigenbrodt GmbH & Co KG;;1;1;;;;1
Eijkelkamp Soil & Water B.V.;;3;1;;;;3
ELDC B.V.;;3;;;;;3
Elinex Power Solutions B.V.;;;1;;;;1
Elisabeth-TweeSteden Ziekenhuis Facturen en ook Laboratorium;7;4;;;;;7
ELITechGroup B.V.;;1;;;;;1
Elscolab B.V.;;1;;;;;1
Elsevier Journals Customer Services (Euro);;;;;1;;1
Emdamed B.V.;;1;;;;;1
Emelca;;2;;;;;2
Empa - Swiss Federal Laboratories for Materials Science and Technolog;;;;;1;;1
Endomed B.V.;;1;;;;;1
Energieonderzoek Centrum Nederland;;;;;2;;2
Envitec N.V.;;1;6;;;;6
Erbrink Stacks Consult;;;;;2;;2
Eriks B.V.;;1;;;;;1
Eurofins Bactimm B.V.;1;;;;;2;2
Eurogentec Nederland B.V.;2;2;;;;;3
European Tech. Serv. (ETS);;;1;;;;1
Eurostat Benelux;;1;;;;;1
EWC Diagnostics Trade B.V.;;1;;;;;1
Exam Packaging BV;;1;;;;;1
Exiqon A/S;;1;;;;;1
F. Veldhuis Siervishandel B.V.;;1;;1;;;1
Federal Express Europe Inc.;;1;;;;;1
Ferro Explore B.V.;;;;2;;;2
Fisher Scientific of the Netherlands B.V.;;4;;;;;4
Flycatcher Internet Research B.V.;;;;;2;;2
Fridina Holding B.V.;;;1;;;;1
Fujirebio Europe N.V.;;2;1;;;;2
Futureconsult B.V.;;;;;1;;1
FutureWater;;;;;2;;2
FysioSupplies B.V.;;1;;;;;1
G.R. Instruments B.V.;;1;1;;;;1
Gassner Biologisch Risico Advies;;;;;1;;1
GC Biotech B.V.;;;1;;;;1
GE Energy Netherlands B.V.;;;1;;;;1
GE Healthcare Europe branch Netherlands;;;2;;;;2
Gebr. Barendsen B.V.;;;;;;1;1
GenScript (Hong Kong) Limited;1;1;;;;;1
Gentaur Nederland B.V.;;1;;;;;1
GenXPro GmbH;1;;;;;;1
Geodan B.V.;;;;1;;;1
Geo-Logica;;;;;1;;1
Georgia State University Dept. of Biology;;1;;;;;1
Gezondheidscentrum voor Asielzoekers B.V.;;;;;1;;1
Gezondheidsdienst voor Dieren;;;;;2;;2
Glassinstruments;;1;;;;;1
GlaxoSmithKline B.V.;;;;;;10;10
GlaxoSmithKline Biologicals SA;;;;;;1;1
GLS Netherlands;;;1;;;;1
Goffin Molecular Technologies B.V.;;1;;;;;1
Goudappel Coffeng B.V.;;;;;2;;2
Gradko International Ltd.;3;1;;;;;3
Greiner Bio-One B.V.;;1;;;;;1
Groen Agro Control;;;;;2;;2
Grondboorbedrijf Haitjema B.V.;;;1;;;;1
Groundworks;;;;;2;;2
Groveko;;1;;;;;1
GS1 Nederland B.V.;;;;;;1;1
Guenter Oberdoerster NANO;;;;;1;;1
Haemoscan;;1;;;;;1
Hangzhou Dangang Biological Techn.;;1;;;;;1
Hanna Instruments;;1;;;;;1
HaskoningDHV Nederland B.V.;;;;;2;;2
HazmatLINK Ltd;;1;1;;;;2
Heckman Milieu Software;;;;;1;;1
HelloFlex People B.V.;;;;;;1;1
Henri�tte Prast;;;;;2;;2
Hettich Benelux B.V.;;1;1;;;;1
Heyl Jupiter OG B.V.;;;;;;1;1
Hogeschool Utrecht;;;;;1;;1
Homij Technische Installaties B.V.;;;2;;;;2
Hoppe - Knowledge & Policy;;;;;2;;2
Houthoff Buruma / Mr. G.H. Gispen;;;;;;1;1
I.T.K. Diagnostics B.V.;;4;;;;;4
IBL International GmbH;;1;;;;;1
Igloocoolers B.V.;;;1;;;;1
IJsselland Ziekenhuis;7;;;;;;7
illumina Netherlands B.V.;;2;4;;;;5
Immudex;;2;;;;;2
ImmunoIVD AB;;1;;;;;1
Immunosource BV;;1;;;;;1
Inacom Instruments B.V.;;1;;;;;1
Informatiebeveiliging Nederland B.V.;;;;;2;;2
Innosieve Services B.V.;;1;;;;;1
Inosan Biopharma S.A.;;;;;;1;1
Inresa Arzneimittel GmbH;;;;;;2;2
Instand e.V.;1;;;;;;1
